"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"LOC113997153",28.0641187645004,-4.7983725377898,0.803716498592405,-5.97023023192067,2.36919019505065e-09,3.55615448277102e-05,"LOC113997153","LOC113997153","BSTm","~ mean_T","no"
"LOC113992168",219.341141701883,-0.964237142345313,0.174962892032521,-5.51109513076685,3.56607907827198e-08,0.000267634234824312,"C4A","LOC113992168 (C4A)","BSTm","~ mean_T","no"
"IGF2BP3",33.1178872892917,-1.24425759776542,0.273537013554571,-4.54877232735886,5.39597823379594e-06,0.0269978777630923,"IGF2BP3","IGF2BP3","BSTm","~ mean_T","no"
"LOC113985910",136.794929312255,-0.588120474734687,0.14193971003658,-4.14345269962239,3.42115659583407e-05,0.128378901258673,NA,"LOC113985910","BSTm","~ mean_T","no"
"LOC114000433",39.5639826185825,1.07844408221078,0.269705041863055,3.99860556836891,6.37167605819176e-05,0.191277715266917,"HYDIN","LOC114000433 (HYDIN)","BSTm","~ mean_T","no"
"LRCH4",303.729565330875,0.355987796431811,0.0918373447205,3.87628581287093,0.000106063089701014,0.244545810904234,"LRCH4","LRCH4","BSTm","~ mean_T","no"
"RFC3",539.409326002362,-0.281967354080996,0.0730753230381601,-3.8585851195451,0.000114045348189849,0.244545810904234,"RFC3","RFC3","BSTm","~ mean_T","no"
"LOC113986005",98.2242338009852,-0.659354181993314,0.173965633983455,-3.7901404254131,0.000150562142428884,0.282492219732194,"LOC113986005","LOC113986005","BSTm","~ mean_T","no"
"BATF",80.3882084702941,0.552979750380665,0.151140786842144,3.6587063090932,0.000253491632604444,0.343322099426855,"BATF","BATF","BSTm","~ mean_T","no"
"DEPDC5",1348.76858728559,0.286951439755501,0.0788598837703707,3.63875047788638,0.000273964084564619,0.343322099426855,"DEPDC5","DEPDC5","BSTm","~ mean_T","no"
"KLF9",202.356868698484,-0.396358017172977,0.107777410869176,-3.67756113249084,0.000235474652026854,0.343322099426855,"KLF9","KLF9","BSTm","~ mean_T","no"
"LOC113995953",57.0436351884164,-1.27380421515799,0.357111489064639,-3.56696509119433,0.000361139567854697,0.343322099426855,"CA3","LOC113995953 (CA3)","BSTm","~ mean_T","no"
"PGAP1",771.432308160347,-0.363825382084822,0.102098248128314,-3.56348310332981,0.000365966261880725,0.343322099426855,"PGAP1","PGAP1","BSTm","~ mean_T","no"
