"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"LY75",1345.31427359947,0.288199681045855,0.0417702423837315,6.89964109851806,5.21340839115914e-12,7.87485337484587e-08,"LY75","LY75","GCT","~ Batch + strength.all_study","no"
"ANXA5",1049.12402163486,-0.209684496290433,0.0327162226282656,-6.40919028681732,1.462945106704e-10,1.1048892918382e-06,"ANXA5","ANXA5","GCT","~ Batch + strength.all_study","no"
"CDO1",1196.48926028747,-0.233214438689989,0.0404507378363524,-5.76539393752179,8.14673228278292e-09,4.1018797043812e-05,"CDO1","CDO1","GCT","~ Batch + strength.all_study","no"
"FUCA1",171.162881848464,-0.404801157705578,0.0790133582708376,-5.12319899526384,3.00395024548308e-07,0.00090749336916044,"FUCA1","FUCA1","GCT","~ Batch + strength.all_study","no"
"LOC113985922",29.2779508686278,-0.826802040395927,0.160318708640252,-5.15723989675611,2.50616628495894e-07,0.00090749336916044,"LOC113985922","LOC113985922","GCT","~ Batch + strength.all_study","no"
"THSD7A",3634.9465193276,0.141523865456962,0.0299066651490651,4.73218477391438,2.22116079607339e-06,0.00559177230411476,"THSD7A","THSD7A","GCT","~ Batch + strength.all_study","no"
"ALPL",686.450556655035,-0.208402490433764,0.0452581489218819,-4.60475064487234,4.12960374021367e-06,0.00891109492798964,"ALPL","ALPL","GCT","~ Batch + strength.all_study","no"
"LOC113990605",2496.82534780656,-0.40640472092488,0.0921167795493998,-4.41184247769903,1.0249467260369e-05,0.0154818202967873,"GSTA5","LOC113990605 (GSTA5)","GCT","~ Batch + strength.all_study","no"
"LOC114004218",356.514726870849,-0.398923065008055,0.0904151872106336,-4.4121245259241,1.02361209116317e-05,0.0154818202967873,"HEATR8L1","LOC114004218 (HEATR8L1)","GCT","~ Batch + strength.all_study","no"
"SAMD12",2593.49148090052,0.118757889408048,0.0267742396629223,4.43552798896122,9.18468968359393e-06,0.0154818202967873,"SAMD12","SAMD12","GCT","~ Batch + strength.all_study","no"
"NIPAL3",3116.15140499508,0.122501127952388,0.0280217377636393,4.3716463620377,1.2331314316735e-05,0.0169331366140257,"NIPAL3","NIPAL3","GCT","~ Batch + strength.all_study","no"
"KCNJ5",92.8428020240236,-0.553348339625159,0.128122351323523,-4.31890559226388,1.56804835947018e-05,0.0197378087248309,"KCNJ5","KCNJ5","GCT","~ Batch + strength.all_study","no"
"GAS7",1426.32574065408,0.163448250359526,0.0386448137330734,4.22950027624644,2.34210991008065e-05,0.0272135155321294,NA,"GAS7","GCT","~ Batch + strength.all_study","no"
"COL5A2",679.047609863525,-0.174764661587342,0.041965038325938,-4.16453001257769,3.11994585918067e-05,0.0336619872878029,"COL5A2","COL5A2","GCT","~ Batch + strength.all_study","no"
"CUNH11orf54",210.941639931696,-0.309052462281109,0.0745058920736199,-4.14802713825279,3.35352654146506e-05,0.0337700122725532,"CUNH11orf54","CUNH11orf54","GCT","~ Batch + strength.all_study","no"
"LOC114000332",1067.50684770013,0.315793178122131,0.0774911289514502,4.07521715575962,4.59714276595924e-05,0.0408469655763614,"FOLH1","LOC114000332 (FOLH1)","GCT","~ Batch + strength.all_study","no"
"ATP10D",403.244068270661,0.230898538742606,0.0577928406979785,3.99527927601389,6.46180352172103e-05,0.0488027710977981,"ATP10D","ATP10D","GCT","~ Batch + strength.all_study","no"
"KCNH5",1708.79642714209,0.225637933634756,0.0562285646601269,4.01287023772743,5.99848914398078e-05,0.0488027710977981,"KCNH5","KCNH5","GCT","~ Batch + strength.all_study","no"
"LOC113997634",141.478553327187,-0.362265593113892,0.0904492447893726,-4.00518096041037,6.19700220931094e-05,0.0488027710977981,"LOC113997634","LOC113997634","GCT","~ Batch + strength.all_study","no"
"RBP5",122.999518221836,-0.455674187206334,0.115049338021462,-3.96068499865101,7.47350670274001e-05,0.0537558660689942,"RBP5","RBP5","GCT","~ Batch + strength.all_study","no"
"ID2",415.270491385263,-0.274443839545425,0.0699242119840622,-3.9248756869506,8.67745375235744e-05,0.0549987622064046,"ID2","ID2","GCT","~ Batch + strength.all_study","no"
"LMBRD2",1216.78766635964,0.150792538659883,0.0382574885669879,3.94151692408793,8.09679208339414e-05,0.0549987622064046,"LMBRD2","LMBRD2","GCT","~ Batch + strength.all_study","no"
"TNFRSF8",79.8261165353297,-0.5166814068946,0.132462302590912,-3.90059206875095,9.59577240336508e-05,0.0579776568611318,"TNFRSF8","TNFRSF8","GCT","~ Batch + strength.all_study","no"
"ANKRD7",126.853870132652,0.757697268494214,0.195499692468131,3.87569544958609,0.000106320597634096,0.0588221494733678,"ANKRD26","ANKRD7","GCT","~ Batch + strength.all_study","no"
"FBF1",66.075659897184,-0.747547415389028,0.193187355766044,-3.86954628797928,0.000109038079129712,0.0588221494733678,"FBF1","FBF1","GCT","~ Batch + strength.all_study","no"
"TMEM216",175.21895343706,-0.261071955949822,0.0673319772639677,-3.87738436562345,0.000105585482619049,0.0588221494733678,"TMEM216","TMEM216","GCT","~ Batch + strength.all_study","no"
"B3GNT9",427.004023546166,-0.455957066442532,0.118131902200706,-3.85972847256671,0.00011351308421148,0.0591246598970485,"B3GNT9","B3GNT9","GCT","~ Batch + strength.all_study","no"
"FLVCR1",783.354616967662,0.217119268400084,0.0571870210748412,3.79665288240732,0.00014666292721814,0.0704399140474803,"FLVCR1","FLVCR1","GCT","~ Batch + strength.all_study","no"
"ICE1",1259.90532558527,0.117748039383835,0.0309431490065939,3.80530240664075,0.000141631042369055,0.0704399140474803,"ICE1","ICE1","GCT","~ Batch + strength.all_study","no"
"SAP30L",610.417316172533,0.162705612989544,0.0429902945582096,3.78470570303346,0.000153890576866392,0.0704399140474803,"SAP30","SAP30L","GCT","~ Batch + strength.all_study","no"
"SLC10A4",477.824908983363,-0.520671486597977,0.137500381330219,-3.78669121904135,0.000152666620504758,0.0704399140474803,"SLC10A4","SLC10A4","GCT","~ Batch + strength.all_study","no"
"DGKE",2007.69671902896,0.160916205263616,0.0426665580497562,3.77148316196402,0.000162280110070574,0.0707365275899888,"DGKE","DGKE","GCT","~ Batch + strength.all_study","no"
"LOC114003309",13211.5786403997,0.19854628271267,0.0526788053453157,3.76899744425061,0.000163904565749726,0.0707365275899888,"OIP5-AS1","LOC114003309 (OIP5-AS1)","GCT","~ Batch + strength.all_study","no"
"NRP2",860.537807844725,-0.230959643237848,0.0614699902969227,-3.75727476321744,0.000171773858026085,0.0720734479301116,"NRP2","NRP2","GCT","~ Batch + strength.all_study","no"
"LOC113996991",220.109522920537,-0.420238915650753,0.1122914110332,-3.74239589461125,0.000182274053743349,0.074412150859278,"PAMA-U","LOC113996991 (PAMA-U)","GCT","~ Batch + strength.all_study","no"
"COQ10B",313.056811595092,0.246455173043382,0.0662098764679135,3.72233247048601,0.000197390874133996,0.0784628724682635,"COQ10B","COQ10B","GCT","~ Batch + strength.all_study","no"
"POLR3A",1157.73908919726,0.200662550804102,0.0541662351435816,3.70456891220507,0.000211750537566185,0.0820126120496726,"POLR3A","POLR3A","GCT","~ Batch + strength.all_study","no"
"VOPP1",300.747954597349,-0.225140128442601,0.0608891237348827,-3.69754259271136,0.000217696701119377,0.0822077167602049,"VOPP1","VOPP1","GCT","~ Batch + strength.all_study","no"
"NEK5",154.371518966204,-0.432106334614183,0.117492234618121,-3.67774377616219,0.000235306151772392,0.0846261767267137,"NEK5","NEK5","GCT","~ Batch + strength.all_study","no"
"PFKFB3",833.308334358414,0.210954649447598,0.0572666408390063,3.68372662263629,0.000229848747383034,0.0846261767267137,"PFKFB3","PFKFB3","GCT","~ Batch + strength.all_study","no"
