"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"GTSF1",308.704784554014,-0.46897071086909,0.104551764786962,-4.48553605790089,7.27308448157346e-06,0.00704670232800808,"GTSF1","GTSF1","GCT","~ Batch + mean_T","yes"
"LOC113999149",48.9937432162006,-1.05693657521814,0.237576786192367,-4.44882091452459,8.63429690066235e-06,0.00704670232800808,"LOC113999149","LOC113999149","GCT","~ Batch + mean_T","yes"
"AQP1",405.990411986061,-0.795956105927267,0.18615029142638,-4.27587891390466,1.90384686189997e-05,0.0118081313897616,"AQP1","AQP1","GCT","~ Batch + mean_T","yes"
"MGP",71.0860460567335,-1.2087330293116,0.285858635009704,-4.22842930482251,2.35328435456707e-05,0.0118081313897616,"MGP","MGP","GCT","~ Batch + mean_T","yes"
"DIO2",53.429900832414,-0.827757071441117,0.20670995063542,-4.0044374685235,6.21652316640694e-05,0.0304626956566949,"DIO2","DIO2","GCT","~ Batch + mean_T","yes"
"LOC113982132",92.3882531618016,-0.995621151052856,0.251044982532946,-3.96590738841872,7.31172505475192e-05,0.0308667568728325,"ARSE","LOC113982132 (ARSE)","GCT","~ Batch + mean_T","yes"
"APELA",98.2195784888198,0.756820100087443,0.19558192371582,3.86958102113312,0.000109022547211256,0.0332946002861358,"APELA","APELA","GCT","~ Batch + mean_T","yes"
"KLF2",557.708832543541,-0.587451617243202,0.151796496170781,-3.86999457867777,0.00010883777350122,0.0332946002861358,"KLF2","KLF2","GCT","~ Batch + mean_T","yes"
"VIT",94.0409995887728,-1.0390753043843,0.267653544662331,-3.88216530326615,0.000103530458440234,0.0332946002861358,"VIT","VIT","GCT","~ Batch + mean_T","yes"
"LOC113997892",95.7000626190517,1.07347876082856,0.281722185682252,3.81041613115735,0.000138733072239476,0.0400538928961211,"LOC113997892","LOC113997892","GCT","~ Batch + mean_T","yes"
"FGL2",27.3844828317778,-1.6244351787759,0.434397557444126,-3.73951269048019,0.000184377340280571,0.0501159216325568,"FGL2","FGL2","GCT","~ Batch + mean_T","yes"
"LCAT",298.469112543322,-0.883880566932597,0.237212190784772,-3.72611780199173,0.000194451553010099,0.0501159216325568,"LCAT","LCAT","GCT","~ Batch + mean_T","yes"
"PEBP4",436.964695005504,-0.468877325466222,0.127485267356082,-3.6778942005635,0.000235167460788109,0.0581537067030164,"PEBP4","PEBP4","GCT","~ Batch + mean_T","yes"
"SLC6A5",16.5398089287874,1.44946261165986,0.395936835429768,3.66084304858007,0.000251386724106919,0.0585121262260781,"SLC6A5","SLC6A5","GCT","~ Batch + mean_T","yes"
"AFAP1L2",542.817944631333,-0.280142134147746,0.0778399813697219,-3.59894914179302,0.000319505660088874,0.0728729012632044,"AFAP1L2","AFAP1L2","GCT","~ Batch + mean_T","yes"
"FGG",12.5165771906247,-1.47862809111684,0.412878870566156,-3.58126365025482,0.000341936381435356,0.0741278896761663,"FGG","FGG","GCT","~ Batch + mean_T","yes"
"LOC114000075",14.2976946468989,1.82878898127609,0.519689740840912,3.51900150716255,0.000433174246880622,0.0927223020566133,"VTG1","LOC114000075 (VTG1)","GCT","~ Batch + mean_T","yes"
"GAS2",190.694600901929,0.487664658344074,0.141356269334335,3.44989762845715,0.000560799172092562,0.109748379785817,"GAS2","GAS2","GCT","~ Batch + mean_T","yes"
"LOC113985040",380.187328867318,0.374887628863611,0.108788286771316,3.44602934736589,0.000568888574449232,0.109748379785817,"EIF3C","LOC113985040 (EIF3C)","GCT","~ Batch + mean_T","yes"
"LOC114002160",302.708168713468,0.624745442939918,0.1813349175412,3.44525726986902,0.000570516106750099,0.109748379785817,"TESC","LOC114002160 (TESC)","GCT","~ Batch + mean_T","yes"
"BTG2",725.02017968788,-0.633770525910189,0.186890693923745,-3.39112939549991,0.000696052300634803,0.13274514493495,"BTG2","BTG2","GCT","~ Batch + mean_T","yes"
"GREB1",564.961826905319,0.381603682196459,0.114514753958578,3.3323538583901,0.000861146850606061,0.163635576743793,"GREB1","GREB1","GCT","~ Batch + mean_T","yes"
