"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"LOC114002522",128.259965372476,-1.12181275912103,0.177170152876917,-6.33183829728007,2.42257309381899e-10,3.9093062014957e-06,"LOC114002522","LOC114002522","GON","~ Year + strength.all_study","no"
"CERKL",87.5757788277026,0.884068336862062,0.180012407474039,4.9111522326013,9.05427573592604e-07,0.00730544237753193,"CERK","CERKL","GON","~ Year + strength.all_study","no"
"GAMT",2287.14632082186,-0.255822493254045,0.0585301310471575,-4.37078285452546,1.23801865061165e-05,0.0401594658559835,"GAMT","GAMT","GON","~ Year + strength.all_study","no"
"REC114",894.523008210143,-0.363929674802482,0.0832853387968404,-4.36967274264469,1.24432874313638e-05,0.0401594658559835,"REC114","REC114","GON","~ Year + strength.all_study","no"
"AQP4",82.3882938784119,0.822349709202658,0.190592710444969,4.3146965447039,1.59822287726664e-05,0.0423844343534858,"AQP4","AQP4","GON","~ Year + strength.all_study","no"
"FAAP20",1696.96667154184,-0.323005342186584,0.0764072416308667,-4.22741791605388,2.36388367838739e-05,0.0423844343534858,NA,"FAAP20","GON","~ Year + strength.all_study","no"
"LOC113987033",521.83002840331,-0.68471800994012,0.161168250146474,-4.24846711010283,2.1523823900028e-05,0.0423844343534858,"LOC113987033","LOC113987033","GON","~ Year + strength.all_study","no"
"LOC113992889",501.438792271025,0.434675391089272,0.102090534556028,4.2577442950964,2.06499950021354e-05,0.0423844343534858,"LOC113992889","LOC113992889","GON","~ Year + strength.all_study","no"
"GJB7",299.345740729977,0.599065076310258,0.144455678158576,4.14705108131944,3.36784944727952e-05,0.0526480071284429,"GJB7","GJB7","GON","~ Year + strength.all_study","no"
"LOC113991780",167.028684983651,-1.41030824320785,0.341274704593668,-4.13247224076277,3.58882120848282e-05,0.0526480071284429,"MTMR9","LOC113991780 (MTMR9)","GON","~ Year + strength.all_study","no"
"CUNH11orf97",1324.15461908892,-0.430822660983221,0.107113278630983,-4.02212187405311,5.76761995615245e-05,0.0715939101787939,"CUNH11orf97","CUNH11orf97","GON","~ Year + strength.all_study","no"
"SC5D",395.024588020374,-0.5048106768378,0.124930665063978,-4.04072672293294,5.32858221574441e-05,0.0715939101787939,"SC5D","SC5D","GON","~ Year + strength.all_study","no"
"LOC113992533",87.3996361268358,-3.61295441016118,0.908426297545722,-3.97715744240587,6.97439896753328e-05,0.0803899115279176,"ORM1","LOC113992533 (ORM1)","GON","~ Year + strength.all_study","no"
"BORCS7",1382.4716945979,-0.267586698422483,0.0700238081099059,-3.82136741267331,0.000132713759040491,0.0973455422562003,"BORCS7","BORCS7","GON","~ Year + strength.all_study","no"
"LOC113988421",59.9400512241934,0.968589971261615,0.252794174366452,3.8315359667171,0.000127345753387526,0.0973455422562003,NA,"LOC113988421","GON","~ Year + strength.all_study","no"
"LOC113994733",277.623416253958,0.36721935848481,0.0944550162458638,3.88776978799038,0.000101169510811314,0.0973455422562003,"LOC113994733","LOC113994733","GON","~ Year + strength.all_study","no"
"MIOS",753.537358903741,0.295894217882339,0.0770119041854172,3.8421880488753,0.000121942349281864,0.0973455422562003,"MIOS","MIOS","GON","~ Year + strength.all_study","no"
"NID1",249.103182348266,0.749652611741654,0.193109331785201,3.88201131872542,0.000103596054217672,0.0973455422562003,"NID1","NID1","GON","~ Year + strength.all_study","no"
