"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"13979","SOCS3",61.4850670176869,-1.73300886439789,0.225904469256707,-7.67142354509409,1.70097856649981e-14,2.74486911276075e-10,"SOCS3","SOCS3","GON","~ Year + mean_T","no"
"10410","MRAP",160.333038279161,-1.98082057967799,0.287338897438659,-6.89367362837067,5.43696854779303e-12,4.3868180727868e-08,"MRAP","MRAP","GON","~ Year + mean_T","no"
"7989","LOC113995300",529.193740241069,-1.71651268021946,0.259785099648335,-6.60743315356833,3.91040654503518e-11,2.10340768057442e-07,"LOC113995300","LOC113995300","GON","~ Year + mean_T","no"
"13694","SLC35D3",76.5116355574185,-1.91201751794959,0.312686249569933,-6.11481163811767,9.66710798719365e-10,3.8999530397336e-06,"SLC35D3","SLC35D3","GON","~ Year + mean_T","no"
"9106","LOC114001083",13.9495751542322,-4.57796601486032,0.764348498037395,-5.98937006694602,2.10655346743514e-09,6.79869066080016e-06,"LOC423605","LOC114001083","GON","~ Year + mean_T","no"
"5149","KIF1A",360.044703025292,-1.1156076285196,0.187278610818675,-5.95694096428202,2.57003027793658e-09,6.91209643251042e-06,"KIF1A","KIF1A","GON","~ Year + mean_T","no"
"1813","CHGB",541.07235779385,-1.16963088974345,0.197920720012479,-5.90959294039406,3.42954139604124e-09,7.90607278684536e-06,"CHGB","CHGB","GON","~ Year + mean_T","no"
"11104","NRIP3",46.7623968935243,-2.20789095269192,0.379561360863049,-5.8169539377549,5.99296473192806e-09,1.20885589848904e-05,"NRIP3","NRIP3","GON","~ Year + mean_T","no"
"4872","IRF8",329.264581616681,-0.487853860358815,0.0870781393252956,-5.60248374780209,2.11301854331693e-08,3.47802394225259e-05,"IRF8","IRF8","GON","~ Year + mean_T","no"
"1812","CHGA",2837.43858319455,-2.42980305157417,0.433967107449463,-5.59904889072066,2.15531012099683e-08,3.47802394225259e-05,"CHGA","CHGA","GON","~ Year + mean_T","no"
"13598","SLC23A2",784.446890649272,-0.32453817507256,0.060923158850137,-5.32700833636815,9.98435830110734e-08,0.000146470536277245,"SLC23A2","SLC23A2","GON","~ Year + mean_T","no"
"9267","LOC114001892",103.407482436566,-1.82423832901989,0.344807455078994,-5.2906000208202,1.21915726516434e-07,0.000163946173232974,"CYB561","LOC114001892 (CYB561)","GON","~ Year + mean_T","no"
"5263","KRTCAP2",554.775360827323,-0.754567054494523,0.143435744834963,-5.26066257307569,1.43537229260566e-07,0.000174830207093289,"KRTCAP2","KRTCAP2","GON","~ Year + mean_T","no"
"13578","SLC18A2",57.8876997638077,-2.19050480731357,0.417198388640238,-5.25051118834139,1.51677690977632e-07,0.000174830207093289,"SLC18A2","SLC18A2","GON","~ Year + mean_T","no"
"14218","STAR",1463.88888044522,-1.1005134237091,0.212937801052471,-5.16823888604877,2.36310144081545e-07,0.000254222453002926,"STAR","STAR","GON","~ Year + mean_T","no"
"14266","STMN2",91.4601977615821,-2.57184472841239,0.506580410291734,-5.07687363380532,3.83695871465129e-07,0.000386981267364549,"STMN2","STMN2","GON","~ Year + mean_T","no"
"13577","SLC18A1",66.4481737394564,-1.77601848178357,0.351570131188857,-5.05167624956605,4.37949559205672e-07,0.00041571717864129,"SLC18A1","SLC18A1","GON","~ Year + mean_T","no"
"6773","LOC113988962",423.537864360399,-0.918108371081306,0.184062821972717,-4.98801638071916,6.10023975029918e-07,0.000546886493614322,"FDX1","LOC113988962 (FDX1)","GON","~ Year + mean_T","no"
"10915","NGB",94.7490424114142,-1.50047286405619,0.301817785448301,-4.9714527652089,6.64530557443016e-07,0.000564396295024103,"NGB","NGB","GON","~ Year + mean_T","no"
"11939","PNMT",172.940917618601,-3.09165436898802,0.623575544215401,-4.9579467919609,7.12420668801439e-07,0.000574816616622441,"PNMT","PNMT","GON","~ Year + mean_T","no"
"10328","MMD2",19.6212867202726,-1.83424481755224,0.375526264331542,-4.88446479453919,1.03710170158045e-06,0.000796938578971604,"MMD2","MMD2","GON","~ Year + mean_T","no"
"12488","RAB3C",225.959468362226,-0.536143353787938,0.112393518496848,-4.77023373730376,1.84012272356818e-06,0.00128446554907238,"RAB3C","RAB3C","GON","~ Year + mean_T","no"
"2509","DBH",204.170132374086,-3.02586547860287,0.634786576572024,-4.76674458830424,1.872264082826e-06,0.00128446554907238,"DBH","DBH","GON","~ Year + mean_T","no"
"5535","LOC113982361",207.91898612106,-1.02454404759204,0.215119011255934,-4.76268481158601,1.9103410285516e-06,0.00128446554907238,"DEPTOR","LOC113982361 (DEPTOR)","GON","~ Year + mean_T","no"
"10312","MLLT11",54.8601050381449,-2.0099048298248,0.423276672976821,-4.74844223209736,2.04989420489511e-06,0.0013231657113757,"MLLT11","MLLT11","GON","~ Year + mean_T","no"
"12672","RBP7",31.9602891722814,-2.68416547854809,0.566853680213224,-4.73519988004388,2.18839317645253e-06,0.0013319591467856,"RBP7","RBP7","GON","~ Year + mean_T","no"
"13661","SLC29A4",27.7113168659155,-1.66380108756751,0.351643001612272,-4.73150632868856,2.22859868396922e-06,0.0013319591467856,"SLC29A4","SLC29A4","GON","~ Year + mean_T","no"
"13214","SCG2",98.0681755637572,-1.42179909276576,0.309780593781439,-4.58969709951839,4.43889677994883e-06,0.00255823133350123,"SCG2","SCG2","GON","~ Year + mean_T","no"
"2457","CXCL14",93.4527028211678,-1.84185156768942,0.403818925725342,-4.56108282785675,5.08905002431555e-06,0.00283179311180621,"CXCL14","CXCL14","GON","~ Year + mean_T","no"
