"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"7138","LOC113990680",527.960430665179,0.468645348737714,0.098775499907332,4.7445505128031,2.08969830491849e-06,0.0337507173227385,"ACSM3","LOC113990680 (ACSM3)","GON","~ Batch + Status","no"
"16097","ZNF423",336.522970798079,0.381800782115482,0.0857802957227184,4.45091473395753,8.55052893264454e-06,0.0690497963955709,"ZNF423","ZNF423","GON","~ Batch + Status","no"
"11248","NXPH3",46.1015579885306,-0.893623908072127,0.220556138832845,-4.05168458606988,5.08501858844981e-05,0.185997647130477,"NXPH3","NXPH3","GON","~ Batch + Status","no"
"4591","HSD3B7",271.346914415964,0.715591643766638,0.182195707015688,3.9275988193565,8.57981720149801e-05,0.185997647130477,"HSD3B7","HSD3B7","GON","~ Batch + Status","no"
"2942","DYNC1H1",15598.6378233188,0.288920606291818,0.0737564249435988,3.91722628249341,8.95736610891047e-05,0.185997647130477,"DYNC1H1","DYNC1H1","GON","~ Batch + Status","no"
"5176","KIF5C",89.4075510565762,-0.769264561499632,0.197121499642765,-3.90248939305828,9.52084116715601e-05,0.185997647130477,"KIF5C","KIF5C","GON","~ Batch + Status","no"
"5586","LOC113982686",25.9980579674291,-2.13645408543747,0.550214350710317,-3.88294867750967,0.00010319735587799,0.185997647130477,"PCDHB1","LOC113982686 (PCDHB1)","GON","~ Batch + Status","no"
"9752","LOX",132.563163684259,-0.994342147178233,0.257694211916794,-3.85861265482863,0.000114032502100165,0.185997647130477,"LOX","LOX","GON","~ Batch + Status","no"
"14558","TBXAS1",94.3627916646093,0.695190205706282,0.180186932294901,3.85816106002907,0.000114243357963979,0.185997647130477,"TBXAS1","TBXAS1","GON","~ Batch + Status","no"
"5506","LOC113982194",1350.75648467785,-0.353315224962551,0.0916225601199475,-3.8562033684718,0.000115161690997757,0.185997647130477,"ACR","LOC113982194 (ACR)","GON","~ Batch + Status","no"
"14637","TEPSIN",204.569163929869,-0.406242534730151,0.106270063519553,-3.82273729097193,0.000131978369694002,0.189716078855819,"TEPSIN","TEPSIN","GON","~ Batch + Status","no"
"5465","LOC113982004",117.153791749089,-1.23980742413243,0.325709404559003,-3.80648334613204,0.000140956779535003,0.189716078855819,NA,"LOC113982004","GON","~ Batch + Status","no"
"11815","PITRM1",479.509387973214,0.3208556312561,0.0853119668275353,3.76096863297893,0.000169256655829018,0.195298010515471,"PITRM1","PITRM1","GON","~ Batch + Status","no"
"11652","PEX5",289.749652379732,0.295245065073118,0.0788671731361388,3.74357357228301,0.000181421448184467,0.195298010515471,"PEX5","PEX5","GON","~ Batch + Status","no"
"14267","STC2",793.087647856954,0.411005700813556,0.109837682044842,3.74193713088156,0.000182607204217829,0.195298010515471,"STC2","STC2","GON","~ Batch + Status","no"
"9682","LOC114003914",285.282687609966,1.09069605971707,0.29261647950979,3.72739109411839,0.000193472117407438,0.195298010515471,"LOC114003914","LOC114003914","GON","~ Batch + Status","no"
"162","ACTR8",540.897942382661,1.01217887821798,0.274319908907375,3.68977549697186,0.000224452042127981,0.213242643082884,"ACTR8","ACTR8","GON","~ Batch + Status","no"
"2117","COQ3",372.604393623147,-0.581947393470266,0.16117477132916,-3.61066058087826,0.0003054181373616,0.22267932877385,"COQ3","COQ3","GON","~ Batch + Status","no"
"9496","LOC114003020",115.455387260931,-0.662913950891954,0.18406989877406,-3.60142508529142,0.000316477622073217,0.22267932877385,"NME1","LOC114003020 (NME1)","GON","~ Batch + Status","no"
"3925","GATA5",322.159131881791,-0.454524591475748,0.126286686465549,-3.59914892216086,0.000319260329760573,0.22267932877385,"GATA5","GATA5","GON","~ Batch + Status","no"
