"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"LOC113999927",105.394145080986,1.72001439445225,0.319657878878878,5.38079774690611,7.41564741273811e-08,0.00111701896978074,"COL16A1","LOC113999927 (COL16A1)","ICO","~ Batch + Status","no"
"CXCL14",1441.24569490412,-0.457785181241882,0.101384184139935,-4.5153510394681,6.3211966971655e-06,0.0387153298100283,"CXCL14","CXCL14","ICO","~ Batch + Status","no"
"TSPAN33",390.350166044992,0.432970150689512,0.0967949897417659,4.47306365592486,7.71068110137986e-06,0.0387153298100283,"TSPAN33","TSPAN33","ICO","~ Batch + Status","no"
"LOC113987746",386.338056285765,0.605039936052432,0.15010117378946,4.03088077712899,5.55682266725349e-05,0.17663249484782,"PAIP2","LOC113987746 (PAIP2)","ICO","~ Batch + Status","no"
"WDR83OS",185.523020608893,0.795626620580318,0.198003121655185,4.01825291404179,5.86312470450176e-05,0.17663249484782,"WDR83OS","WDR83OS","ICO","~ Batch + Status","no"
"PCSK1",4742.52847772535,-0.286608290267075,0.0725364571159825,-3.95123089357399,7.77502662172386e-05,0.195192043338377,"PCSK1","PCSK1","ICO","~ Batch + Status","no"
"COL16A1",84.1364041874626,1.10931389799221,0.290097735091628,3.82393160581495,0.000131340362518365,0.264976709750523,"COL16A1","COL16A1","ICO","~ Batch + Status","no"
"LOC114002081",31.6500202900442,2.98518494227398,0.791360879370055,3.77221697470093,0.000161803455707098,0.264976709750523,"RPS16","LOC114002081 (RPS16)","ICO","~ Batch + Status","no"
"LOC114002958",69.5656747841966,-2.09742240399382,0.559117168289591,-3.75131103630764,0.000175912308139496,0.264976709750523,NA,"LOC114002958","ICO","~ Batch + Status","no"
"SDC1",192.620258810222,-0.477774246531481,0.125783606820067,-3.79838246501337,0.000145643464777539,0.264976709750523,"SDC1","SDC1","ICO","~ Batch + Status","no"
"CDK18",1737.7560475427,0.544328206328213,0.151273692046772,3.59830053040493,0.000320303372010656,0.348607806282227,"CDK18","CDK18","ICO","~ Batch + Status","no"
"GAMT",284.631874106519,0.523536673312066,0.14489962711977,3.61309883067764,0.000302559314674358,0.348607806282227,"GAMT","GAMT","ICO","~ Batch + Status","no"
"LOC113989815",117.744385813531,0.721697710589027,0.201743187640752,3.57730894920808,0.000347149777217911,0.348607806282227,NA,"LOC113989815","ICO","~ Batch + Status","no"
"LOC113995595",40.1528572095099,-1.18497937573423,0.330301418788128,-3.58756974184945,0.000333774472184935,0.348607806282227,"LOC113995595","LOC113995595","ICO","~ Batch + Status","no"
"RAD51",87.9292157243462,0.695875296060038,0.190256479857691,3.65756423424076,0.000254623461052327,0.348607806282227,"RAD51","RAD51","ICO","~ Batch + Status","no"
