"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"LOC113988355",353.548863404671,0.686634554761893,0.118879189319156,5.77590206237424,7.65418883656491e-09,1.6035984806706e-07,NA,"LOC113988355","ICO","~ Batch + Year + mean_T","yes"
"SHISA3",2904.76342726399,-0.889359031379933,0.193062663175427,-4.60658221922388,4.09341252964885e-06,0.00044431885096774,"SHISA3","SHISA3","ICO","~ Batch + Year + mean_T","yes"
"GSN",778.705104145884,0.514662988322028,0.113719637400627,4.52571780992322,6.01908523406315e-06,0.00050218859978024,"GSN","GSN","ICO","~ Batch + Year + mean_T","yes"
"CCDC27",18.204954931144,3.27345086567782,0.750219670031281,4.36332316578867,1.281014935084e-05,0.000790078301958097,"CCDC27","CCDC27","ICO","~ Batch + Year + mean_T","yes"
"CCDC33",85.6376876571013,4.30935382519738,0.991733559942651,4.34527377035277,1.3910206703908e-05,0.000790078301958097,"CCDC33","CCDC33","ICO","~ Batch + Year + mean_T","yes"
"ZMYND12",27.6577635265161,3.56103336619514,0.819362134213943,4.34610438717849,1.38576640001375e-05,0.000790078301958097,"ZMYND12","ZMYND12","ICO","~ Batch + Year + mean_T","yes"
"CDHR4",56.6026603813446,3.52722626004269,0.830284241821766,4.24821534888273,2.15480212584062e-05,0.00110101589380962,"CDHR4","CDHR4","ICO","~ Batch + Year + mean_T","yes"
"CEP126",20.1698286541674,3.87597671462599,0.913118482684659,4.24476865612251,2.18819059249688e-05,0.00110101589380962,"CEP126","CEP126","ICO","~ Batch + Year + mean_T","yes"
"TP73",30.1699562513768,2.75324230822339,0.659303728058738,4.17598474125131,2.96699708495177e-05,0.0014838693709122,"TP73","TP73","ICO","~ Batch + Year + mean_T","yes"
"C1S",195.802697553763,1.22330055348412,0.301814229276373,4.05315732269182,5.05309963364082e-05,0.0021263367906331,"C1S","C1S","ICO","~ Batch + Year + mean_T","yes"
"LOC113987742",35.0686821793032,4.65862941903119,1.14796537262933,4.05816197082753,4.94604602152325e-05,0.0021263367906331,"LOC113987742","LOC113987742","ICO","~ Batch + Year + mean_T","yes"
"LOC114000661",198.406538844275,4.43094250136963,1.0858964424833,4.08044665036073,4.49492453521094e-05,0.0021263367906331,NA,"LOC114000661","ICO","~ Batch + Year + mean_T","yes"
"MSX2",30.0185532747915,2.23566955294237,0.550133997981846,4.06386364257412,4.82670298462887e-05,0.0021263367906331,"MSX2","MSX2","ICO","~ Batch + Year + mean_T","yes"
"ADAMTS1",1003.80920445838,-0.747467340286312,0.185812155818387,-4.0227042035769,5.75337344279645e-05,0.00235735269881587,"ADAMTS1","ADAMTS1","ICO","~ Batch + Year + mean_T","yes"
"LOC113990953",24.047868376982,2.88231351433665,0.720016311041005,4.00312252672357,6.25119059075842e-05,0.00246419139355822,"LOC113990953","LOC113990953","ICO","~ Batch + Year + mean_T","yes"
"CCDC166",13.4184245452072,4.1439174612201,1.0396718060607,3.98579382172664,6.72548941200908e-05,0.00255276723592812,"CCDC166","CCDC166","ICO","~ Batch + Year + mean_T","yes"
"COL7A1",637.703185375205,0.914711504516421,0.231018751696427,3.95946864832172,7.51167043453887e-05,0.00278593460191878,"COL7A1","COL7A1","ICO","~ Batch + Year + mean_T","yes"
"LOC114003829",86.2410117350328,-1.23769295420008,0.313342813214672,-3.94996439044583,7.81628209891858e-05,0.00278593460191878,"FCGBP","LOC114003829 (FCGBP)","ICO","~ Batch + Year + mean_T","yes"
"CUNH22orf15",235.099834767514,4.34944032519933,1.10789760198527,3.92585047336998,8.64238325877644e-05,0.0028758690846022,"CUNH22orf15","CUNH22orf15","ICO","~ Batch + Year + mean_T","yes"
"MCTP2",199.758029896098,-0.53634883945929,0.136555854531809,-3.92768835359129,8.57662469025468e-05,0.0028758690846022,"MCTP2","MCTP2","ICO","~ Batch + Year + mean_T","yes"
"CFAP74",177.816961729043,0.725810214615983,0.185731360268313,3.90784956060977,9.31212566629679e-05,0.00292634917931853,"CFAP74","CFAP74","ICO","~ Batch + Year + mean_T","yes"
"LOC113990978",276.426263673688,3.94937213919227,1.0111226030905,3.90592805177235,9.38644394732858e-05,0.00292634917931853,"LOC113990978","LOC113990978","ICO","~ Batch + Year + mean_T","yes"
