"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"FAM210B",806.191476141308,-0.231868649591737,0.0512499468551586,-4.52427102504202,6.06040237447718e-06,0.00999005684826413,"FAM210B","FAM210B","LS","~ strength.all_study","no"
"GATD1",1263.86315019017,-0.172949583130294,0.038629574628818,-4.47712885249511,7.56535921867788e-06,0.00999005684826413,"GATD1","GATD1","LS","~ strength.all_study","no"
"LOC113992715",461.359985978066,-0.171277621793195,0.0374613587045982,-4.57211451255161,4.82826934934594e-06,0.00999005684826413,"COX17","LOC113992715 (COX17)","LS","~ strength.all_study","no"
"LRP4",1994.68112113106,-0.19897376753846,0.0425792203227156,-4.67302515241946,2.96795403288588e-06,0.00999005684826413,"LRP4","LRP4","LS","~ strength.all_study","no"
"UBTF",1311.01520326358,0.119857134801618,0.0266029304533131,4.50541097387605,6.62446079784205e-06,0.00999005684826413,"UBTF","UBTF","LS","~ strength.all_study","no"
"CEP120",863.710753691523,-0.269485408671038,0.0619304556028697,-4.35141976669957,1.35258817418482e-05,0.0153093658629519,"CEP120","CEP120","LS","~ strength.all_study","no"
"CUNH5orf30",691.55326560906,-0.275991295421101,0.0661494006020363,-4.17224181790401,3.01617279549198e-05,0.0217246700533482,"CUNH5orf30","CUNH5orf30","LS","~ strength.all_study","no"
"TBCA",1456.91339825011,-0.166136689667147,0.0392948727016923,-4.22794828547675,2.3583197710561e-05,0.0217246700533482,"TBCA","TBCA","LS","~ strength.all_study","no"
"TMEM59",3884.27095554592,-0.130687546898224,0.0312284332628831,-4.18488964201589,2.85304674197717e-05,0.0217246700533482,"TMEM59","TMEM59","LS","~ strength.all_study","no"
"VEGFA",507.959910084307,-0.238989337880564,0.0567255375986263,-4.21308193800796,2.51909625857513e-05,0.0217246700533482,"VEGFA","VEGFA","LS","~ strength.all_study","no"
