"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"DRD2",145.341324862567,-1.46205431201395,0.356948533894605,-4.09598071761697,4.20384922467079e-05,0.0326335369786648,"DRD2","DRD2","LS","~ mean_T","yes"
"LOC113999149",36.4399966474739,-0.781904153844946,0.206942356870951,-3.77836691177023,0.000157860178988224,0.0933416301092174,"LOC113999149","LOC113999149","LS","~ mean_T","yes"
"LOC113998449",21.3076499006567,0.955927205501161,0.260137201332273,3.67470396623571,0.000238125350649293,0.106914565135341,NA,"LOC113998449","LS","~ mean_T","yes"
"SPC25",130.312249345187,0.603463965584385,0.167671033327423,3.59909492778015,0.000319326617476009,0.117971171825223,"SPC25","SPC25","LS","~ mean_T","yes"
"LCAT",75.9044652970441,-0.602794967989825,0.174650623971484,-3.45143323443405,0.000557617699673556,0.12412357009028,"LCAT","LCAT","LS","~ mean_T","yes"
"LOC113988355",288.36787928635,0.554009183445263,0.160620774423466,3.44917514831958,0.000562301849064309,0.12412357009028,NA,"LOC113988355","LS","~ mean_T","yes"
"LOC113997526",150.396979894967,0.310920073678855,0.0888363322515743,3.49992019929824,0.000465397458906485,0.12412357009028,"PNPLA7","LOC113997526 (PNPLA7)","LS","~ mean_T","yes"
"S1PR3",157.541722922533,-0.558485400107874,0.161876391953741,-3.4500731908299,0.000560434587480256,0.12412357009028,"S1PR3","S1PR3","LS","~ mean_T","yes"
"CLEC3B",1805.29860060786,-0.550345963719438,0.163037506254553,-3.37557888588024,0.000736605714885506,0.15117477084196,"CLEC3B","CLEC3B","LS","~ mean_T","yes"
"CTBS",689.057977298305,-0.23301656275327,0.0713476673533925,-3.26593105839207,0.00109104808545815,0.15117477084196,"CTBS","CTBS","LS","~ mean_T","yes"
"DDX49",297.247187482039,-0.26169403056096,0.0787325117786211,-3.32383693405829,0.000887880957958861,0.15117477084196,"DDX49","DDX49","LS","~ mean_T","yes"
"JPT1",2241.63564051241,-0.145811782708819,0.0446623151496442,-3.26476095608269,0.00109556492888491,0.15117477084196,"JPT1","JPT1","LS","~ mean_T","yes"
"LOC113993948",581.781170988727,-0.229094602102031,0.0685448244643,-3.34225966573669,0.000830992827590559,0.15117477084196,"LOC113993948","LOC113993948","LS","~ mean_T","yes"
"LOC114001165",53.3553473626566,3.10885153666745,0.945435298331692,3.28827529726603,0.00100803216359445,0.15117477084196,"LOC114001165","LOC114001165","LS","~ mean_T","yes"
"LOC114001824",212.030150793891,0.475033416740765,0.14564945406691,3.26148436177823,0.00110830545645432,0.15117477084196,"RELB","LOC114001824 (RELB)","LS","~ mean_T","yes"
"NEUROD6",100.169859307686,3.98210199090098,1.2258131553657,3.24853912153765,0.00115999256373352,0.15117477084196,"NEUROD6","NEUROD6","LS","~ mean_T","yes"
"TOP2A",38.2527566010912,-0.993782750991363,0.303306517495684,-3.27649652634156,0.00105103605576751,0.15117477084196,"TOP2A","TOP2A","LS","~ mean_T","yes"
"ITGA8",48.0538000846699,0.656810537424262,0.205047471528365,3.20321207829868,0.00135903858967457,0.175745983409134,"ITGA8","ITGA8","LS","~ mean_T","yes"
"LOC113990764",30.7039992098042,0.864967318675625,0.274852836333527,3.1470198023571,0.00164943790559902,0.194191353648161,"MAG","LOC113990764 (MAG)","LS","~ mean_T","yes"
"LOC113991279",152.363907404855,-0.804449507809394,0.255317473951029,-3.15078124250787,0.00162834400695189,0.194191353648161,NA,"LOC113991279","LS","~ mean_T","yes"
"TBXT",86.3635744981985,0.772197139153602,0.244104879150269,3.16338264864523,0.00155947209323347,0.194191353648161,"T","TBXT","LS","~ mean_T","yes"
