"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"LOC113988442",125.594927185083,2.12015996036178,0.394618299686321,5.37268535708324,7.75726213637322e-08,2.59625822041087e-05,"LOC113988442","LOC113988442","PIT","~ Batch + Status","yes"
"PDLIM2",375.499577857902,1.65288227274881,0.377678151856956,4.37643073771139,1.20638501979898e-05,0.00492401937416864,"PDLIM2","PDLIM2","PIT","~ Batch + Status","yes"
"SERPIND1",484.515255576953,-1.72192348348716,0.394362308728192,-4.36634902823324,1.26340540779956e-05,0.00492401937416864,"SERPIND1","SERPIND1","PIT","~ Batch + Status","yes"
"GH1",165444.031994913,0.773198350869627,0.185519370688953,4.16774996593749,3.07621094002541e-05,0.0111663043605594,"GH","GH1","PIT","~ Batch + Status","yes"
"ITIH2",59.142538304327,-2.64560177353119,0.660768823671704,-4.00382354426217,6.23268609208213e-05,0.0178999325297327,"ITIH2","ITIH2","PIT","~ Batch + Status","yes"
"LOC114001059",2137.168297896,1.20806757233032,0.300579989224272,4.01912175008077,5.84154809567814e-05,0.0178999325297327,"LOC114001059","LOC114001059","PIT","~ Batch + Status","yes"
"VOPP1",595.11197051768,0.812004246186714,0.211754148785106,3.83465566481419,0.000125740319675003,0.036674827845663,"VOPP1","VOPP1","PIT","~ Batch + Status","yes"
"LOC113992990",18.4206828763205,1.85797124281583,0.489234623825201,3.79771003999845,0.000146039014743124,0.038640390761855,"METTL21EP","LOC113992990 (METTL21EP)","PIT","~ Batch + Status","yes"
"GRID2",116.278071603762,-0.982964234635693,0.262133591237315,-3.74985987105252,0.000176933414093091,0.0406234502643393,"GRID2","GRID2","PIT","~ Batch + Status","yes"
"LOC113985786",10.6853968061373,2.5275315250588,0.675311136749709,3.7427659452262,0.000182005742456942,0.0406234502643393,"LOC113985786","LOC113985786","PIT","~ Batch + Status","yes"
"LOC114000824",39.5954778967741,-3.20362795539372,0.871517877065829,-3.67591766009378,0.000236995959827081,0.051240493720106,"CIB1","LOC114000824 (CIB1)","PIT","~ Batch + Status","yes"
"LAMP3",386.765259170054,-0.798566641117949,0.226496747940168,-3.52573115676212,0.000422315442223969,0.0961364132209933,"LAMP3","LAMP3","PIT","~ Batch + Status","yes"
"SDF2L1",2280.49315193241,0.550585010420211,0.157266433722135,3.50096964361135,0.000463568644453289,0.0973580671843008,"SDF2L1","SDF2L1","PIT","~ Batch + Status","yes"
"SLC22A3",68.5814653262602,-1.10316787583134,0.31610071287979,-3.48992530191119,0.000483155577379721,0.0973580671843008,"SLC22A3","SLC22A3","PIT","~ Batch + Status","yes"
"GDPD4",339.513038569294,0.986305316831369,0.285762793576968,3.45148262475155,0.00055751565227362,0.108500919233778,"GDPD5","GDPD4","PIT","~ Batch + Status","yes"
"FRZB",122.106418324668,-1.37090320062594,0.403010865283315,-3.40165320272992,0.000669795745950886,0.121493361165857,"FRZB","FRZB","PIT","~ Batch + Status","yes"
"GRIN2C",80.8432956337345,-0.90307846081937,0.266513986444623,-3.38848430758441,0.000702800502252406,0.121493361165857,"GRIN2C","GRIN2C","PIT","~ Batch + Status","yes"
"LOC113983994",124.285826526729,0.682563012027343,0.2015492692537,3.38658142773104,0.000707692713959144,0.121493361165857,NA,"LOC113983994","PIT","~ Batch + Status","yes"
"C1QL2",42.9903370731358,-1.98450538916179,0.590741747620794,-3.35934508971875,0.000781274395225335,0.123591341997012,"C1QL2","C1QL2","PIT","~ Batch + Status","yes"
"CAPSL",82.0667003583803,1.05364043333564,0.312604370163516,3.37052368392836,0.000750254565219501,0.123591341997012,"CAPSL","CAPSL","PIT","~ Batch + Status","yes"
"PAM",4442.14244407147,0.510920057405333,0.153146202860671,3.33615883294315,0.000849446174304182,0.130550826723927,"PAM","PAM","PIT","~ Batch + Status","yes"
"ARHGAP19",49.0603601808476,-1.06487271245274,0.320376947485272,-3.32381190597895,0.000887960641089874,0.131648425598516,"ARHGAP19","ARHGAP19","PIT","~ Batch + Status","yes"
"HEBP2",313.377855921958,-2.42295225020974,0.73392550130251,-3.3013599417239,0.000962173596861073,0.133283240180953,"HEBP2","HEBP2","PIT","~ Batch + Status","yes"
"LOC114000732",12.0302024393601,2.31696319953206,0.700233058916938,3.30884577645583,0.000936814255066128,0.133283240180953,"LOC114000732","LOC114000732","PIT","~ Batch + Status","yes"
"SLC26A1",217.383395436208,-2.27043167181365,0.694683283683417,-3.26829754672538,0.00108196553181644,0.147949218974486,"SLC26A1","SLC26A1","PIT","~ Batch + Status","yes"
"BCL2L10",3343.13051678906,0.572888245878859,0.176530074512473,3.24527278120183,0.0011733816408584,0.148318154086602,"BCL2L10","BCL2L10","PIT","~ Batch + Status","yes"
"MPP4",63.1927368333853,-1.01386173419809,0.312754890473787,-3.24171344742909,0.00118813422915801,0.148318154086602,"MPP4","MPP4","PIT","~ Batch + Status","yes"
"SERTM2",72.3912909928336,-1.19353717588167,0.367752490363605,-3.24549039681986,0.0011724851900665,0.148318154086602,"SERTM2","SERTM2","PIT","~ Batch + Status","yes"
"ADGRG6",159.090143295827,-0.90222679041219,0.281818759553933,-3.20144333840745,0.00136740965473755,0.15940123529138,"ADGRG6","ADGRG6","PIT","~ Batch + Status","yes"
"MYOT",25.4941806220376,2.52783994008003,0.787594204283403,3.20957153611866,0.00132932963572019,0.15940123529138,"MYOT","MYOT","PIT","~ Batch + Status","yes"
"SH3PXD2A",703.465539881929,-0.431663060509801,0.134636083227364,-3.2061468973428,0.00134525294595853,0.15940123529138,"SH3PXD2A","SH3PXD2A","PIT","~ Batch + Status","yes"
"LUM",1028.99441888501,-1.0469333912739,0.331355345005079,-3.15954882592238,0.00158013621681664,0.180486294702796,"LUM","LUM","PIT","~ Batch + Status","yes"
"SAMD13",89.073924588049,0.848823116587033,0.268812327374453,3.15767928084872,0.00159030415027554,0.180486294702796,"SAMD13","SAMD13","PIT","~ Batch + Status","yes"
"GCH1",2663.59160841294,0.641978870134344,0.204436190773462,3.14024081404318,0.00168809008074,0.188591519986836,"GCH1","GCH1","PIT","~ Batch + Status","yes"
