"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"LOC113988218",88.6597802608513,1.47976102827938,0.185922157302001,7.95903538208061,1.73385657998735e-15,2.56818836627726e-11,"RHOBTB2","LOC113988218 (RHOBTB2)","PIT","~ Batch + strength.all_study","no"
"SLC4A1",302.430908375872,1.66253446618684,0.215876433203184,7.70132451012869,1.34663021177148e-14,8.42924491254241e-11,"SLC4A1","SLC4A1","PIT","~ Batch + strength.all_study","no"
"SPTB",266.551523550419,0.969857892893269,0.12643253579462,7.67095183844713,1.70724647161945e-14,8.42924491254241e-11,"SPTB","SPTB","PIT","~ Batch + strength.all_study","no"
"LOC113995717",388.733229627026,0.70747658071716,0.0952440839220781,7.42803701378415,1.10221119348659e-13,4.08148804948083e-10,"HAGH","LOC113995717 (HAGH)","PIT","~ Batch + strength.all_study","no"
"EPOR",212.452203017955,1.13931620683251,0.158888880117277,7.17052197731882,7.47123505401585e-13,2.21327867240165e-09,NA,"EPOR","PIT","~ Batch + strength.all_study","no"
"TNFRSF10B",71.9695858544896,0.834279451935787,0.117001355058818,7.13051102285428,9.99969668422253e-13,2.46859178811173e-09,"TNFRSF10B","TNFRSF10B","PIT","~ Batch + strength.all_study","no"
"RHCE",104.233297438701,0.889976584824046,0.129291961308758,6.88346418304166,5.84142902275098e-12,1.23604638121411e-08,"RHCE","RHCE","PIT","~ Batch + strength.all_study","no"
"HEMGN",139.519159251509,1.06294759900784,0.156061694738483,6.81107302332613,9.68734397590432e-12,1.79361173713869e-08,NA,"HEMGN","PIT","~ Batch + strength.all_study","no"
"RIPOR3",292.524345801965,0.859778122367699,0.126620404361537,6.79020199550767,1.11976651036709e-11,1.84288683906193e-08,"RIPOR3","RIPOR3","PIT","~ Batch + strength.all_study","no"
"LOC113992312",121.651349509465,1.05525514939336,0.159524545819889,6.6150017476608,3.71547355782192e-11,5.50335943384582e-08,"TMOD4","LOC113992312 (TMOD4)","PIT","~ Batch + strength.all_study","no"
"R3HDM4",685.024679190011,0.540905845574386,0.0822360473860188,6.57747864553066,4.78492550515344e-11,6.44311968930297e-08,"R3HDM4","R3HDM4","PIT","~ Batch + strength.all_study","no"
"EPB41",817.304201650535,0.583811543414187,0.0898567482128323,6.49713633116777,8.18632732519461e-11,1.01046566950652e-07,"EPB41","EPB41","PIT","~ Batch + strength.all_study","no"
"ANK1",624.848278752554,0.823465557878177,0.135728173648532,6.06702010159321,1.30305253628715e-09,1.37862958339181e-06,"ANK1","ANK1","PIT","~ Batch + strength.all_study","no"
"TAL1",129.106782576123,1.26865154941576,0.208708238444226,6.07858874605365,1.21244873765146e-09,1.37862958339181e-06,"TAL1","TAL1","PIT","~ Batch + strength.all_study","no"
"SLC25A37",291.32357618345,0.552378211902765,0.0917992266629319,6.01724254095282,1.77413163996525e-09,1.75189585674435e-06,"SLC25A37","SLC25A37","PIT","~ Batch + strength.all_study","no"
"GFI1B",76.1833499680156,1.34809072572277,0.22608763048236,5.96269120449715,2.48117048276555e-09,2.29694357442021e-06,"GFI1B","GFI1B","PIT","~ Batch + strength.all_study","no"
"PIM1",159.578529810902,0.935161791829375,0.157405658133173,5.94109387756686,2.83126409408589e-09,2.46686375068236e-06,"PIM1","PIM1","PIT","~ Batch + strength.all_study","no"
"ADD2",158.502196688593,0.80178292824697,0.138264078461207,5.79892432778139,6.67416387902173e-09,5.49209529867055e-06,"ADD2","ADD2","PIT","~ Batch + strength.all_study","no"
"TFRC",679.424192095854,0.715349268155345,0.125351533253642,5.70674525941279,1.15156929882318e-08,8.97739181798368e-06,"TFRC","TFRC","PIT","~ Batch + strength.all_study","no"
"SYNM",782.95023853187,0.529502494101081,0.095445286936194,5.54770708013124,2.8944025419958e-08,2.14359452260209e-05,"SYNM","SYNM","PIT","~ Batch + strength.all_study","no"
"KEL",57.0275890526712,1.05525461329796,0.192302861071919,5.48746184750372,4.07750046470907e-08,2.87599699444146e-05,"KEL","KEL","PIT","~ Batch + strength.all_study","no"
"ARRDC2",429.291628939854,0.740803829318368,0.137202908731598,5.39933035069657,6.68901034723675e-08,4.50352823923958e-05,"ARRDC2","ARRDC2","PIT","~ Batch + strength.all_study","no"
"LOC114004336",29.7992153852148,1.1792226803955,0.219773279316347,5.36563263770614,8.06659754863995e-08,5.19488882132413e-05,"CDC37L1","LOC114004336 (CDC37L1)","PIT","~ Batch + strength.all_study","no"
"CUNH2orf80",229.735421454801,-0.524768942446324,0.0991678634145735,-5.29172379415412,1.21168797011231e-07,7.24857675441132e-05,"CUNH2orf80","CUNH2orf80","PIT","~ Batch + strength.all_study","no"
"DMTN",790.703572313191,0.571397270206978,0.108015419467302,5.28996020220938,1.22342977896491e-07,7.24857675441132e-05,"DMTN","DMTN","PIT","~ Batch + strength.all_study","no"
"FOXL2",694.993727895651,0.520398196458035,0.0994248790194117,5.2340842814245,1.65804789232519e-07,9.44577130043105e-05,"FOXL2","FOXL2","PIT","~ Batch + strength.all_study","no"
"PRKAG1",548.564653079034,0.407658971413568,0.0780456712272025,5.22333865547536,1.75725582637231e-07,9.64017529638025e-05,"PRKAG1","PRKAG1","PIT","~ Batch + strength.all_study","no"
"GPX1",1562.2907731073,0.548883253121504,0.105741872610176,5.19078430873828,2.09410098117945e-07,0.000110777941904393,"GPX1","GPX1","PIT","~ Batch + strength.all_study","no"
"LOC113999026",114.826862389243,1.11972920841,0.217017641951059,5.15962296126378,2.47447663201908e-07,0.000126386027149885,"LOC113999026","LOC113999026","PIT","~ Batch + strength.all_study","no"
"RAB37",146.865527883035,0.98316342087661,0.191081089921863,5.14526801829865,2.67139134719546e-07,0.000131895495448864,"RAB26","RAB37","PIT","~ Batch + strength.all_study","no"
"LOC114004337",60.0248579647552,1.17604095964693,0.230637158831565,5.09909576412098,3.41279868009607e-07,0.00016306572274059,"LOC114004337","LOC114004337","PIT","~ Batch + strength.all_study","no"
"RFESD",95.2885832554352,1.14029929118059,0.226223554288953,5.04058604668593,4.64108391331765e-07,0.000214824171637691,"RFESD","RFESD","PIT","~ Batch + strength.all_study","no"
"LOC113984828",1734.65205065828,0.94625673280117,0.189529596632976,4.99265945589277,5.95535097229434e-07,0.000267305026065527,"H1F0","LOC113984828 (H1F0)","PIT","~ Batch + strength.all_study","no"
