"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"LOC113983294",47.2313979259828,3.34813899403526,0.737870952189287,4.53756715059893,5.69069129080831e-06,0.0100846681349021,"CYP11A1","LOC113983294 (CYP11A1)","PIT","~ Batch + mean_T","yes"
"LOC113999350",18.015656162866,2.50626091831811,0.586274715522774,4.27489170513402,1.91230222815906e-05,0.021316275190808,"PLXDC1","LOC113999350 (PLXDC1)","PIT","~ Batch + mean_T","yes"
"AVP",123.155916166431,6.41691850171768,1.57801401493412,4.06645216138056,4.77342784038511e-05,0.0233410301355954,"AVP","AVP","PIT","~ Batch + mean_T","yes"
"CACNB1",103.27234784101,1.20351304047112,0.300001559774426,4.01168927713594,6.02858142612356e-05,0.0233410301355954,"CACNB1","CACNB1","PIT","~ Batch + mean_T","yes"
"LOC113982334",22.8447303704631,2.42756582008852,0.590145868865943,4.11350133612468,3.89702784432455e-05,0.0233410301355954,NA,"LOC113982334","PIT","~ Batch + mean_T","yes"
"LOC113988442",125.594927185083,1.44436736145741,0.364213678625618,3.96571421179957,7.31764990907939e-05,0.0233410301355954,"LOC113988442","LOC113988442","PIT","~ Batch + mean_T","yes"
"LOC114001994",159.207382216395,1.35783486913344,0.342308899853479,3.96669461329997,7.28762723543668e-05,0.0233410301355954,NA,"LOC114001994","PIT","~ Batch + mean_T","yes"
"OTOGL",102.835346306689,-1.33071493696653,0.334208061808181,-3.9816961020237,6.84252326144897e-05,0.0233410301355954,"OTOGL","OTOGL","PIT","~ Batch + mean_T","yes"
"PLXDC1",181.167554763162,1.30411351462209,0.321292878162206,4.05895556129852,4.92926921851202e-05,0.0233410301355954,"PLXDC1","PLXDC1","PIT","~ Batch + mean_T","yes"
"LOC113999149",201.182013665086,-0.699233929324433,0.177428196150963,-3.94094030426538,8.11628245740145e-05,0.0237571702015882,"LOC113999149","LOC113999149","PIT","~ Batch + mean_T","yes"
"MRPL27",1072.76278564781,-0.3799556124841,0.0983205222214003,-3.86445885253241,0.000111335755634726,0.0314359612743216,"MRPL27","MRPL27","PIT","~ Batch + mean_T","yes"
"HS3ST3B1",449.029132695068,0.958904702348491,0.256918005542211,3.73233748380063,0.000189711093501974,0.054250515524897,"HS3ST3B1","HS3ST3B1","PIT","~ Batch + mean_T","yes"
"GAP43",116.923872239209,-0.813247452179817,0.219422644066275,-3.70630595415751,0.000210304226994707,0.0565920050937679,"GAP43","GAP43","PIT","~ Batch + mean_T","yes"
"LOC113998183",86.0102297216275,1.47410458680388,0.400266752861099,3.68280546976988,0.000230681191412965,0.0586449462867281,"LOC113998183","LOC113998183","PIT","~ Batch + mean_T","yes"
"SCARF1",95.4187802060107,0.610829739560286,0.167708424385584,3.64221261870488,0.000270304666172205,0.0660611901085869,"SCARF1","SCARF1","PIT","~ Batch + mean_T","yes"
"ACOT12",160.098267121822,-0.772308241361996,0.214669500167079,-3.59766171142571,0.000321090862412786,0.0759662477688751,"ACOT12","ACOT12","PIT","~ Batch + mean_T","yes"
"LOC113992196",52.6505747078751,1.06918786978993,0.298373474854568,3.58338780051099,0.000339166487046956,0.0762963564459302,"SEPTIN4","LOC113992196 (SEPTIN4)","PIT","~ Batch + mean_T","yes"
"LOC113982361",446.065531397597,0.56892977911872,0.161683915624982,3.51877783834927,0.000433539590426027,0.09133514205156,"DEPTOR","LOC113982361 (DEPTOR)","PIT","~ Batch + mean_T","yes"
"PDLIM2",375.499577857902,1.25086361846108,0.35499961453855,3.52356331453214,0.000425785354816091,0.09133514205156,"PDLIM2","PDLIM2","PIT","~ Batch + mean_T","yes"
"LOC114001165",15.3460793647758,2.72189783010062,0.785762461066359,3.46402120865729,0.000532164551855559,0.110637355740323,"LOC114001165","LOC114001165","PIT","~ Batch + mean_T","yes"
"EMID1",55.7882489918472,1.93785443189307,0.566339860345937,3.42171647729222,0.000622271660226913,0.112066945108483,NA,"EMID1","PIT","~ Batch + mean_T","yes"
"LOC113990500",81.9585234997009,0.89968348658803,0.262678084137175,3.42504206067758,0.000614704247953298,0.112066945108483,"P2RY10","LOC113990500 (P2RY10)","PIT","~ Batch + mean_T","yes"
"PTPRQ",36.8165283537682,-1.60904702299626,0.470553023649956,-3.41948078564091,0.000627407633178414,0.112066945108483,"PTPRQ","PTPRQ","PIT","~ Batch + mean_T","yes"
"SLITRK5",136.810035560269,0.976933846007353,0.283226734276193,3.4492995461886,0.000562042848602531,0.112066945108483,"SLITRK5","SLITRK5","PIT","~ Batch + mean_T","yes"
"LOC113982041",1543.37745350017,0.87629744733601,0.259200498696315,3.38077068425204,0.000722828400901297,0.122415712903639,"GNRHR","LOC113982041 (GNRHR)","PIT","~ Batch + mean_T","yes"
"LOC113995345",410.308193680993,0.685046322224424,0.202789314763213,3.37811843303637,0.000729836405521293,0.122415712903639,"PLPPR2","LOC113995345 (PLPPR2)","PIT","~ Batch + mean_T","yes"
"P3H4",91.99118546879,1.0523309722434,0.312090940844153,3.37187285666486,0.000746589055363705,0.122415712903639,"P3H4","P3H4","PIT","~ Batch + mean_T","yes"
"BTC",45.6009059399279,0.896647305352443,0.270945784225628,3.30932370073626,0.000935216435147553,0.154152325059113,"BTC","BTC","PIT","~ Batch + mean_T","yes"
"CNP",464.861042369102,-1.17672818058285,0.36215246975564,-3.24926178572478,0.00115704942555635,0.163348737651562,"CNP","CNP","PIT","~ Batch + mean_T","yes"
"LOC113997326",43.0950951610922,-0.987526667433853,0.303633243388968,-3.25236675803902,0.00114448240641924,0.163348737651562,"MMP13","LOC113997326 (MMP13)","PIT","~ Batch + mean_T","yes"
"MAP3K9",553.579052176575,-0.34630537520432,0.106532233437101,-3.25070979957243,0.00115117296994633,0.163348737651562,"MAP3K9","MAP3K9","PIT","~ Batch + mean_T","yes"
"SEPT4",43.8854080342336,1.47271877740245,0.452809744909046,3.25240080179429,0.00114434532015171,0.163348737651562,"SEPTIN4","SEPT4","PIT","~ Batch + mean_T","yes"
"SVOPL",108.177281363146,-1.11581771351757,0.343047741043361,-3.2526601403171,0.00114330152246105,0.163348737651562,"SVOPL","SVOPL","PIT","~ Batch + mean_T","yes"
