"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"BARD1",28.8749898837375,1.13989791407576,0.224130455358259,5.0858680149188,3.65948486095954e-07,0.0055982799402959,"BARD1","BARD1","POM","~ Batch + Status","no"
"LOC113990857",34.6239714587882,1.37501169210027,0.291713190503094,4.71357393791107,2.43409345184677e-06,0.018618380813176,NA,"LOC113990857","POM","~ Batch + Status","no"
"CFAP53",150.465015071002,-0.49127378516098,0.116002830313222,-4.23501550638447,2.28535935153101e-05,0.0759035340835961,"CFAP53","CFAP53","POM","~ Batch + Status","no"
"LOC113984721",496.465489705315,-1.68512892475523,0.399647659016025,-4.21653645839987,2.48083194154779e-05,0.0759035340835961,"LOC113984721","LOC113984721","POM","~ Batch + Status","no"
"NMU",468.645604381045,1.90179585284608,0.442860073979624,4.29434930937935,1.75206435399993e-05,0.0759035340835961,"NMU","NMU","POM","~ Batch + Status","no"
"IAPP",2049.14579875287,1.13405560421986,0.283162562143049,4.00496307010725,6.20271706861836e-05,0.148489129526232,"IAPP","IAPP","POM","~ Batch + Status","no"
"LOC113986991",1071.60731304441,0.302640874230733,0.0759761050691262,3.98336916528398,6.79450847616437e-05,0.148489129526232,"ARHGAP20","LOC113986991 (ARHGAP20)","POM","~ Batch + Status","no"
"SLC6A8",3879.34702590542,0.157147673062111,0.0414025587935733,3.79560292023555,0.000147285076729838,0.230988285609729,"SLC6A8","SLC6A8","POM","~ Batch + Status","no"
"TNR",4893.3848266045,0.215960067364027,0.0569900974686465,3.7894314443459,0.000150992473270839,0.230988285609729,"TNR","TNR","POM","~ Batch + Status","no"
"VAT1",6028.56144785381,-0.166113309849257,0.0437629445420275,-3.79575258446631,0.000147196242374254,0.230988285609729,"VAT1","VAT1","POM","~ Batch + Status","no"
"LOC113987351",1768.09711428435,0.364226949443505,0.100255260920861,3.63299587570789,0.000280149497833952,0.306123358418843,"NTL","LOC113987351 (NTL)","POM","~ Batch + Status","no"
"SLC17A9",80.1423536396489,0.587034283360275,0.161171063279229,3.64230570560448,0.000270206910474102,0.306123358418843,"SLC17A9","SLC17A9","POM","~ Batch + Status","no"
"SLC30A10",232.419372287387,0.320575004648219,0.0880993907891023,3.63878798453477,0.000273924193140126,0.306123358418843,"SLC30A10","SLC30A10","POM","~ Batch + Status","no"
"TIMM21",399.419811264819,-0.360457176739394,0.0979156364158155,-3.68130351733252,0.000232044573370696,0.306123358418843,"TIMM21","TIMM21","POM","~ Batch + Status","no"
"LOC113999413",153.18975357211,0.44898722908945,0.124990517335005,3.59217033949909,0.000327935369273577,0.334450351943146,NA,"LOC113999413","POM","~ Batch + Status","no"
"AR",828.546095500921,0.666833884898269,0.189405106063274,3.52067533319563,0.000430449307866904,0.346579658513047,"AR","AR","POM","~ Batch + Status","no"
"LOC113991665",142.137405429318,-0.498312766710017,0.141524495765605,-3.52103545053662,0.000429865143397869,0.346579658513047,NA,"LOC113991665","POM","~ Batch + Status","no"
"LOC113997306",37.2302279707839,-1.31570799288807,0.370454959718018,-3.55160042637723,0.000382895842384961,0.346579658513047,"LOC113997306","LOC113997306","POM","~ Batch + Status","no"
"MAT2A",2625.78190365719,0.163480636071134,0.0460947079363201,3.54662483808299,0.000390199821351688,0.346579658513047,"MAT2A","MAT2A","POM","~ Batch + Status","no"
"LOC113986086",708.318725954809,-0.261890581741081,0.0757573040715882,-3.45696807655144,0.000546289560340177,0.370777027651603,"COPZ1","LOC113986086 (COPZ1)","POM","~ Batch + Status","no"
"LOC114000424",1199.28154266019,0.424403676480446,0.122961585182258,3.45151435589726,0.000557450100404423,0.370777027651603,"SHISA6","LOC114000424 (SHISA6)","POM","~ Batch + Status","no"
"MYO9A",1384.10674311337,0.220810022090099,0.0637078032918864,3.46598078540593,0.000528301033582896,0.370777027651603,"MYO9A","MYO9A","POM","~ Batch + Status","no"
