"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"GOT1",4655.36054872661,0.117735544266321,0.0210182338472699,5.60159074838792,2.12393542513983e-08,0.000324282460710349,"GOT1","GOT1","POM","~ strength.all_study","yes"
"LOC113987015",76.4605507435715,-0.840340214313076,0.158140601199003,-5.31388023026168,1.07315167141227e-07,0.00056305690132582,"OTOF","LOC113987015 (OTOF)","POM","~ strength.all_study","yes"
"LOC113991140",107.300393711837,-0.668343372155296,0.125904658600214,-5.30832917213563,1.10634706836355e-07,0.00056305690132582,"OTOF","LOC113991140 (OTOF)","POM","~ strength.all_study","yes"
"LOC113993758",47.4119349154622,-0.68589135281421,0.138508608214674,-4.95197635479198,7.3463532456825e-07,0.00280410303387701,"OTOF","LOC113993758 (OTOF)","POM","~ strength.all_study","yes"
"LOC114000754",87.6248801943727,-0.451124026401473,0.09429866531146,-4.78399163881536,1.71847835351796e-06,0.00524754550030243,"FLOT1","LOC114000754 (FLOT1)","POM","~ strength.all_study","yes"
"MRC2",829.334289784378,-0.186696917801999,0.0403523468677703,-4.6266681443283,3.71595202652183e-06,0.00945585925682256,"MRC2","MRC2","POM","~ strength.all_study","yes"
"ACAP3",3685.31346435049,-0.131994432624987,0.0289739116967034,-4.55563038938941,5.22287049803021e-06,0.0113918266805608,"ACAP3","ACAP3","POM","~ strength.all_study","yes"
"IGF2BP3",36.2729661296163,-0.72397605647767,0.166389326365332,-4.35109674576166,1.35458263121803e-05,0.0258522095167961,"IGF2BP3","IGF2BP3","POM","~ strength.all_study","yes"
"CUNH3orf14",1597.96568811012,0.116402577628706,0.0276927513869915,4.20335906685621,2.6298291579349e-05,0.0441768171466775,"CUNH3orf14","CUNH3orf14","POM","~ strength.all_study","yes"
"IL7R",41.8536558016687,-0.664091197234749,0.160415988823468,-4.13980677428332,3.47598480451685e-05,0.0482466690866939,"IL7R","IL7R","POM","~ strength.all_study","yes"
"DBX2",360.81843444629,0.276358658398488,0.0674147918299667,4.09937716778121,4.14263459789542e-05,0.0527081208672227,"DBX2","DBX2","POM","~ strength.all_study","yes"
"ZNF503",250.593252416779,-0.2357602541428,0.0591989446332942,-3.98250772210905,6.81919084219994e-05,0.0800887736759297,"ZNF503","ZNF503","POM","~ strength.all_study","yes"
"BRD3OS",2999.91122614542,0.101621738011226,0.0256833815271651,3.95671177114049,7.59885246925742e-05,0.0828709139290159,"BRD3OS","BRD3OS","POM","~ strength.all_study","yes"
"PAIP2B",429.579231273817,0.212564804964897,0.0541015517325194,3.92899645495987,8.53010968902709e-05,0.0868251431547104,"PAIP2B","PAIP2B","POM","~ strength.all_study","yes"
"FLNC",182.568439253867,-0.335175767390486,0.0860648740151351,-3.89445486589038,9.84198142876262e-05,0.0939171077839673,"FLNC","FLNC","POM","~ strength.all_study","yes"
"LOC113993742",73.6733684606561,-0.58499062328861,0.151498540542297,-3.86136144410769,0.000112756950332679,0.101269006922314,"LOC113993742","LOC113993742","POM","~ strength.all_study","yes"
"LOC113993146",26.5170079614692,-0.762656375276395,0.201421370386203,-3.78637268634449,0.000152862358498237,0.116695124477554,"OTOF","LOC113993146 (OTOF)","POM","~ strength.all_study","yes"
"OAZ2",1112.47275807778,0.0974908493941019,0.0257007881836469,3.79330192900987,0.000148657217708859,0.116695124477554,"OAZ2","OAZ2","POM","~ strength.all_study","yes"
"OGT",18303.552904533,-0.0991759364859804,0.0260585470323677,-3.80588896083855,0.000141295767755406,0.116695124477554,"OGT","OGT","POM","~ strength.all_study","yes"
"FAM133B",655.012672646077,0.138073217434877,0.0367786270382209,3.75416997734553,0.000173916819373223,0.126445809437636,"FAM133B","FAM133B","POM","~ strength.all_study","yes"
"ANKRD7",48.0754330483749,0.755634978362717,0.202608506035738,3.72953235354015,0.000191835474479405,0.133133819288707,"ANKRD26","ANKRD7","POM","~ strength.all_study","yes"
"BTF3L4",1921.27622828953,0.102704701869313,0.0279468367908346,3.67500274317257,0.000237846859118742,0.145257833800998,"BTF3L4","BTF3L4","POM","~ strength.all_study","yes"
"FAAP100",914.436024243452,-0.153244092917698,0.0416635179075237,-3.67813618758355,0.000234944510201645,0.145257833800998,"FAAP100","FAAP100","POM","~ strength.all_study","yes"
"NOTCH2",1788.95011853402,-0.135425522864192,0.0366939245671111,-3.69067970956626,0.000223655612337625,0.145257833800998,"NOTCH2","NOTCH2","POM","~ strength.all_study","yes"
"HPSE",103.870615022676,-0.42000448717713,0.116349902410333,-3.60983961719102,0.000306386387299296,0.179919513895602,"HPSE","HPSE","POM","~ strength.all_study","yes"
"EWSR1",1371.16461566099,-0.136276887276315,0.0379091912871384,-3.59482443832957,0.000324610398598825,0.180825572513739,"EWSR1","EWSR1","POM","~ strength.all_study","yes"
"LOC113994733",265.397185928705,0.282343195286015,0.0788645592423189,3.58010236788985,0.000343459628169927,0.180825572513739,"LOC113994733","LOC113994733","POM","~ strength.all_study","yes"
"XPOT",1732.60237391724,0.121685765070741,0.0339866261496182,3.58040143599567,0.00034306673668427,0.180825572513739,"XPOT","XPOT","POM","~ strength.all_study","yes"
"LOC113992467",23.3124201935323,-0.813412802839609,0.228977289117685,-3.55237327672942,0.000381772858780412,0.188029290576108,"LOC113992467","LOC113992467","POM","~ strength.all_study","yes"
"LOC113998703",24.4847940049952,-0.751918648980492,0.211337635188123,-3.55790225584369,0.000373828360312607,0.188029290576108,"B-LB","LOC113998703 (B-LB)","POM","~ strength.all_study","yes"
"LOC113994023",21.1532538998035,-0.903278284594909,0.257173455780193,-3.51233093576712,0.000444194513748129,0.205513995027468,NA,"LOC113994023","POM","~ strength.all_study","yes"
"PKP2",97.5295661218542,-0.437528585837698,0.125063563972073,-3.49844968383757,0.000467971379616869,0.210146677176187,"PKP2","PKP2","POM","~ strength.all_study","yes"
"TNFRSF8",167.956413297149,-0.373384426441009,0.10739181308265,-3.4768425611145,0.000507355643978014,0.221323027778752,"TNFRSF8","TNFRSF8","POM","~ strength.all_study","yes"
"COL1A1",34.905035330472,-0.953493221118437,0.276287986866369,-3.45108461621101,0.000558338489292041,0.230397623094889,"COL1A1","COL1A1","POM","~ strength.all_study","yes"
"LOC113999502",655.232166881613,-0.178208655189835,0.0515350028710304,-3.45801193871695,0.000544177268997639,0.230397623094889,"SMC1A","LOC113999502 (SMC1A)","POM","~ strength.all_study","yes"
"ENPP5",1644.88375473316,0.0893017084989753,0.0260015745128995,3.4344731106446,0.000593706972264123,0.237699097296435,"ENPP5","ENPP5","POM","~ strength.all_study","yes"
"MAEL",92.3818790758782,-0.553785316874166,0.16152920229639,-3.42839133111068,0.000607169556887671,0.237699097296435,"MAEL","MAEL","POM","~ strength.all_study","yes"
