"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"SFRP2",395.654325282102,-0.377734515125336,0.0819227971324748,-4.61085959399693,4.0100732578558e-06,0.0607566199297732,"SFRP2","SFRP2","PVN","~ strength.all_study","no"
"LOC113992467",24.7474528280971,-0.973171165594285,0.228144588042502,-4.26558952786989,1.99375043151829e-05,0.0761625738705622,"LOC113992467","LOC113992467","PVN","~ strength.all_study","no"
"LOC114002782",17.5707182528864,0.839189458614189,0.191162219243677,4.38993364868015,1.13385252347912e-05,0.0761625738705622,"TMEM68","LOC114002782 (TMEM68)","PVN","~ strength.all_study","no"
"LOC114004218",167.821405241417,-0.374983809596702,0.0879481345008788,-4.26369259251264,2.01076031603359e-05,0.0761625738705622,"HEATR8L1","LOC114004218 (HEATR8L1)","PVN","~ strength.all_study","no"
"LOC114002785",59.0161262194867,0.561699100760459,0.136440518346591,4.1168056788938,3.84159707955318e-05,0.0986969015088933,NA,"LOC114002785","PVN","~ strength.all_study","no"
"ATP6V0E1",379.630980755868,-0.20413484234383,0.052050239619898,-3.9218809333933,8.78604086712406e-05,0.173493913884508,"ATP6V0E1","ATP6V0E1","PVN","~ strength.all_study","no"
"LOC113990605",1702.4292196343,-0.266570460022766,0.0681450855457039,-3.91180754838118,9.16079011996608e-05,0.173493913884508,"GSTA5","LOC113990605 (GSTA5)","PVN","~ strength.all_study","no"
"TNC",352.206204918334,-0.263850036888151,0.0681513388253022,-3.87153123381038,0.0001081537953973,0.182070906007166,"TNC","TNC","PVN","~ strength.all_study","no"
"TLN1",967.975420683972,-0.252612216762096,0.065719746349171,-3.84377954564765,0.000121153848525952,0.18356019590167,"TLN1","TLN1","PVN","~ strength.all_study","no"
"FBXO4",576.878470749698,0.20170766552541,0.0529048002242608,3.81265338249802,0.000137482856436633,0.189363887079221,"FBXO4","FBXO4","PVN","~ strength.all_study","no"
"LOC113997391",315.273750141626,0.188540075664793,0.0500545107308833,3.76669500733858,0.000165422882529682,0.208860174433934,NA,"LOC113997391","PVN","~ strength.all_study","no"
"ANKRD7",57.0344888848552,0.678975693288888,0.189161623056965,3.58939452049646,0.000331446908104405,0.218296177112772,"ANKRD26","ANKRD7","PVN","~ strength.all_study","no"
"ARX",475.517086239508,0.286807006545564,0.0801586605247581,3.57799150669414,0.0003462446999393,0.218296177112772,"ARX","ARX","PVN","~ strength.all_study","no"
"AS3MT",27.4448522261429,0.6319064009159,0.178778687650468,3.53457343948819,0.000408433918708677,0.218296177112772,"AS3MT","AS3MT","PVN","~ strength.all_study","no"
"ASCC1",750.156048607212,-0.188091210988281,0.0519677123882302,-3.61938600612485,0.000295302861843052,0.218296177112772,"ASCC1","ASCC1","PVN","~ strength.all_study","no"
"BCKDHA",354.607167144982,-0.175981744662563,0.0502675626374911,-3.50090068881341,0.000463688602443178,0.218296177112772,"BCKDHA","BCKDHA","PVN","~ strength.all_study","no"
"CAPRIN2",1533.32530609868,-0.287417529298735,0.0822553465850245,-3.49421090824342,0.000475465239569763,0.218296177112772,"CAPRIN2","CAPRIN2","PVN","~ strength.all_study","no"
"CASR",216.347464871872,-0.385096531338238,0.109895684061264,-3.50420068474715,0.000457980083453741,0.218296177112772,"CASR","CASR","PVN","~ strength.all_study","no"
"CDCP1",268.044041882553,0.206829247895371,0.058896891614331,3.51171754953948,0.000445220902405609,0.218296177112772,"CDCP1","CDCP1","PVN","~ strength.all_study","no"
"CLEC3B",147.25740771232,-0.545651217437327,0.149946251190329,-3.63897872141348,0.000273721412907134,0.218296177112772,"CLEC3B","CLEC3B","PVN","~ strength.all_study","no"
"FLNC",197.894895570856,-0.204458590708653,0.0584306085213127,-3.49916928614694,0.000466710166946281,0.218296177112772,"FLNC","FLNC","PVN","~ strength.all_study","no"
"GRIK1",1819.61570209852,-0.148108335455354,0.0400747309486974,-3.69580361362771,0.000219192361318083,0.218296177112772,"GRIK1","GRIK1","PVN","~ strength.all_study","no"
"GRN",1187.60352280775,-0.200276580431695,0.0553063365856503,-3.6212230423459,0.000293213587653117,0.218296177112772,"GRN","GRN","PVN","~ strength.all_study","no"
"LOC113994733",273.382416972429,0.284169269166204,0.0808978565038052,3.51269219540863,0.000443591046259841,0.218296177112772,"LOC113994733","LOC113994733","PVN","~ strength.all_study","no"
"LOC113996991",150.625424881358,-0.419738287467425,0.119779908959734,-3.50424617210659,0.000457901857030611,0.218296177112772,"PAMA-U","LOC113996991 (PAMA-U)","PVN","~ strength.all_study","no"
"LOC113998917",306.951035877487,-0.30587296020952,0.08580482767883,-3.56475233951185,0.00036419991689125,0.218296177112772,NA,"LOC113998917","PVN","~ strength.all_study","no"
"LOC114001871",395.349178133347,0.459519079276774,0.129456292240698,3.54960791262577,0.000385805303544158,0.218296177112772,"LOC114001871","LOC114001871","PVN","~ strength.all_study","no"
"PLEKHG5",367.298830212426,-0.246423561575648,0.070161606330639,-3.51222804698011,0.000444366524844016,0.218296177112772,"PLEKHG5","PLEKHG5","PVN","~ strength.all_study","no"
"PRKX",407.272005628429,0.233834532619133,0.0643508350985279,3.63374511396951,0.000279336823322411,0.218296177112772,"PRKX","PRKX","PVN","~ strength.all_study","no"
"TBC1D9B",3555.46654421032,-0.240793526361479,0.0668229881501494,-3.60345343761675,0.000314017021478257,0.218296177112772,"TBC1D9B","TBC1D9B","PVN","~ strength.all_study","no"
"TEX12",36.1043286865837,0.410645238724076,0.116814726107855,3.51535506186889,0.000439166404100962,0.218296177112772,"TEX12","TEX12","PVN","~ strength.all_study","no"
"LOC113987693",272.114928623776,0.496605031747258,0.142926661748275,3.47454439691516,0.000511721675223907,0.222241749074281,"LOC113987693","LOC113987693","PVN","~ strength.all_study","no"
"LOC113994599",169.927272115431,0.251179182836718,0.0723094966241355,3.4736679767299,0.000513395895822046,0.222241749074281,"LOC113994599","LOC113994599","PVN","~ strength.all_study","no"
"LOC113997153",5.76235348526621,-2.38003147580159,0.687830387400394,-3.46020111847159,0.000539772076050295,0.227169075673278,"LOC113997153","LOC113997153","PVN","~ strength.all_study","no"
"LOC113987920",9.65775942896009,1.008868930197,0.293517344653034,3.43716972293266,0.000587827135071886,0.240707268202004,"LOC113987920","LOC113987920","PVN","~ strength.all_study","no"
