"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"LCAT",151.279823936794,-1.13807388113255,0.227141212730265,-5.01042442915914,5.43101224922574e-07,0.000214830200213401,"LCAT","LCAT","PVN","~ mean_T","yes"
"LOC113990865",63.348223547329,1.74129056242477,0.416511503931676,4.18065418598957,2.90671635642915e-05,0.0112274018695355,"GSTA3","LOC113990865 (GSTA3)","PVN","~ mean_T","yes"
"LOC113992168",78.6306701832076,-1.33565024658659,0.318870453228948,-4.18869240803442,2.80566375547093e-05,0.0112274018695355,"C4A","LOC113992168 (C4A)","PVN","~ mean_T","yes"
"BTG2",2360.35308908551,-0.604237514436518,0.147252369726641,-4.10341453627009,4.07096877212037e-05,0.0129073897983325,"BTG2","BTG2","PVN","~ mean_T","yes"
"POMC",53.7590054431981,1.71473759517303,0.427278410092114,4.01316227235391,5.99106971917706e-05,0.0168510616257877,"POMC","POMC","PVN","~ mean_T","yes"
"LOC114001377",179.117355746212,-1.2206945367887,0.311920435927615,-3.91348047831011,9.09752584894431e-05,0.0238397731932831,"LOC114001377","LOC114001377","PVN","~ mean_T","yes"
"PRLH",109.203399452577,2.04006855081182,0.52620244980295,3.87696513305055,0.000105767508311274,0.0247301669919634,"PRLH","PRLH","PVN","~ mean_T","yes"
"C3",41.0663583278989,-2.07855382014893,0.555535133475528,-3.74153441411549,0.000182900125590318,0.0423197216543064,"C3","C3","PVN","~ mean_T","yes"
"LOC114000433",22.7309167329486,0.972667329844952,0.261286723879442,3.72260524914287,0.000197177672694176,0.0423197216543064,"HYDIN","LOC114000433 (HYDIN)","PVN","~ mean_T","yes"
"CUNH2orf66",58.1626079741523,-1.37236952327586,0.372199412175377,-3.68718885195125,0.0002267450828015,0.0454536660418251,"CUNH2orf66","CUNH2orf66","PVN","~ mean_T","yes"
"CTNNA3",229.631612549657,0.483840425591387,0.135261310084166,3.57707924971538,0.000347454858134226,0.0708982706067828,"CTNNA3","CTNNA3","PVN","~ mean_T","yes"
"ANKRD34B",1014.90601518423,0.695748460934396,0.196249503085286,3.54522406424662,0.000392279471309542,0.0757663036684094,"ANKRD34B","ANKRD34B","PVN","~ mean_T","yes"
"APELA",135.033742970559,0.789463113240989,0.224413924657433,3.51788827028492,0.00043499547155746,0.0797004751239454,"APELA","APELA","PVN","~ mean_T","yes"
"CRHBP",450.95433679218,0.405702364601098,0.117597426898506,3.44992552389131,0.000560741227803813,0.102010481419514,"CRHBP","CRHBP","PVN","~ mean_T","yes"
"IGF2BP3",42.6673990854751,-0.922743028720135,0.268635567300741,-3.43492501008667,0.000592717823358237,0.102120507006013,"IGF2BP3","IGF2BP3","PVN","~ mean_T","yes"
"HMG20B",644.676573872653,-0.227295488867607,0.0671403223920881,-3.38537976538509,0.000710798410882893,0.113349900945596,"HMG20B","HMG20B","PVN","~ mean_T","yes"
"LOC113984271",20.0180020244997,-1.29201284198989,0.38111160848232,-3.39011673544923,0.000698628673570717,0.113349900945596,"IGLL1","LOC113984271 (IGLL1)","PVN","~ mean_T","yes"
"COL4A3",374.065945020719,0.317364511340523,0.0945303247029746,3.35727727940975,0.000787141310430369,0.11704839482745,"COL4A3","COL4A3","PVN","~ mean_T","yes"
"IL7R",39.9723598652394,-0.847574974903516,0.252697978287955,-3.35410271441779,0.00079622800464924,0.11704839482745,"IL7R","IL7R","PVN","~ mean_T","yes"
"JUN",2026.35533591766,-0.501273354840289,0.151649543311728,-3.30547223482157,0.000948164977777084,0.134812720473501,"JUN","JUN","PVN","~ mean_T","yes"
"LOC114000367",39.6622720054003,-1.03861282236801,0.317518394608991,-3.27103197799614,0.00107155792893141,0.134812720473501,"KRT5","LOC114000367 (KRT5)","PVN","~ mean_T","yes"
"LOC114002342",10.3280757828211,1.7571073190865,0.536442505865351,3.27548115571502,0.00105482151268011,0.134812720473501,"LOC114002342","LOC114002342","PVN","~ mean_T","yes"
"PNPO",867.665328016304,-0.306365316223975,0.093189438702724,-3.28755404570346,0.00101061788721874,0.134812720473501,"PNPO","PNPO","PVN","~ mean_T","yes"
"SH3YL1",458.889325519002,-0.457490905762047,0.138969323595401,-3.29202800967786,0.000994677046311569,0.134812720473501,"SH3YL1","SH3YL1","PVN","~ mean_T","yes"
"CLEC3B",147.25740771232,-0.810970758580904,0.250547988152241,-3.23678814809773,0.00120883116591648,0.150682354030308,"CLEC3B","CLEC3B","PVN","~ mean_T","yes"
"CALB1",1675.61360915404,0.411141568196779,0.128328771177307,3.20381442466023,0.00135619862151,0.163921176622739,"CALB1","CALB1","PVN","~ mean_T","yes"
"CAPN7",625.456296477885,0.232450112342349,0.0737074681055023,3.15368467154004,0.00161223186379645,0.163921176622739,"CAPN7","CAPN7","PVN","~ mean_T","yes"
"DDX54",330.012951360693,-0.377900986300926,0.120834425294185,-3.12742817604242,0.00176342900833807,0.163921176622739,"DDX54","DDX54","PVN","~ mean_T","yes"
"HHATL",115.021250437064,-0.583719359497365,0.185296587696705,-3.15018947058433,0.00163164608203217,0.163921176622739,"HHATL","HHATL","PVN","~ mean_T","yes"
"LOC113997306",32.4074938982307,-1.12056518842019,0.354679393208768,-3.15937494502427,0.00158107937574759,0.163921176622739,"LOC113997306","LOC113997306","PVN","~ mean_T","yes"
"LOC114001165",79.3028817173752,3.23213888191598,1.03078164709632,3.13561935354672,0.0017149163062687,0.163921176622739,"LOC114001165","LOC114001165","PVN","~ mean_T","yes"
"MLNR",101.593546486127,-0.554815169603625,0.175651523258925,-3.15861291328389,0.001585218878826,0.163921176622739,"MLNR","MLNR","PVN","~ mean_T","yes"
"MYO15B",35.8173507006663,0.629905536173727,0.200458111637372,3.14232999118153,0.00167609017465596,0.163921176622739,"MYO15B","MYO15B","PVN","~ mean_T","yes"
"NR4A1",432.987335225054,-1.35133157251328,0.425020425607072,-3.17945089482024,0.00147554367818463,0.163921176622739,"NR4A1","NR4A1","PVN","~ mean_T","yes"
