"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"BICD1",3690.06623208844,-0.474283264404387,0.0704770462116413,-6.72961325564245,1.70114632292332e-11,2.25469933640256e-07,"BICD1","BICD1","TNA","~ Batch + Status","no"
"CKMT1A",3470.21105358006,0.328839735410118,0.0544785096004309,6.03613677800608,1.57847473514616e-09,1.04605520698136e-05,"CKMT1B","CKMT1A","TNA","~ Batch + Status","no"
"LOC113991485",39.4663274574275,1.73496931673897,0.315567957856829,5.49792611557259,3.84283867142937e-08,0.00016977661250375,"SERPINB6","LOC113991485 (SERPINB6)","TNA","~ Batch + Status","no"
"ZNF469",332.557462757967,-1.03406987635306,0.23120796644929,-4.4724664648606,7.73225291783258e-06,0.0256208200432383,"ZNF469","ZNF469","TNA","~ Batch + Status","no"
"SH2B3",269.986216244159,-0.381009450256392,0.0869306681325365,-4.38291178983574,1.17103536576345e-05,0.0310418054756574,"SH2B3","SH2B3","TNA","~ Batch + Status","no"
"ITIH5",333.640042664294,-0.489812781284006,0.113639076171403,-4.31024958831251,1.63070391753099e-05,0.0358986576364326,"ITIH5","ITIH5","TNA","~ Batch + Status","no"
"PDE5A",5346.00294187931,-0.63839762998067,0.149269807662238,-4.27680346065167,1.89596049083317e-05,0.0358986576364326,"PDE5A","PDE5A","TNA","~ Batch + Status","no"
"ITGA1",424.40861414091,-0.389339811720201,0.093261176498171,-4.17472550035691,2.98345570047838e-05,0.0494284023176756,"ITGA1","ITGA1","TNA","~ Batch + Status","no"
"FGFR4",180.60854627477,0.715139400761823,0.175151622903737,4.08297330567621,4.44631321042429e-05,0.0589314352909635,"FGFR4","FGFR4","TNA","~ Batch + Status","no"
"PYGM",39.3120469978007,1.056142271087,0.257454159617679,4.10225366976154,4.09145346419884e-05,0.0589314352909635,"PYGM","PYGM","TNA","~ Batch + Status","no"
"SYNM",649.528636524296,-0.35402898348885,0.0888512016474716,-3.98451542494051,6.76179650864583e-05,0.0814735008414471,"SYNM","SYNM","TNA","~ Batch + Status","no"
"EPHB2",571.896717273433,-0.384281336020408,0.0985241122919617,-3.90037856805699,9.60423897857925e-05,0.0979189103246842,"EPHB2","EPHB2","TNA","~ Batch + Status","no"
"TJP3",61.2410813435168,0.672261572671462,0.171753201017983,3.91411379052595,9.0736840904826e-05,0.0979189103246842,"TJP3","TJP3","TNA","~ Batch + Status","no"
"ANXA2",164.325967910265,1.0603653175991,0.279135253549607,3.7987509786565,0.000145427117005959,0.137677929199784,"ANXA2","ANXA2","TNA","~ Batch + Status","no"
"CUX2",560.321943879487,-0.421939511825583,0.112913314829095,-3.73684460919625,0.000186344002024857,0.155836008100348,"CUX2","CUX2","TNA","~ Batch + Status","no"
"GPR75",131.30350102567,0.498298255858383,0.133981115049701,3.71916785192851,0.000199880197503087,0.155836008100348,"GPR75","GPR75","TNA","~ Batch + Status","no"
"PHLDA1",1256.87545783607,-0.383493022822529,0.102731943227099,-3.73294820263236,0.000189251524312573,0.155836008100348,"PHLDA1","PHLDA1","TNA","~ Batch + Status","no"
"LOC114000421",243.842524116529,0.609464492095614,0.165152569718336,3.6903118924219,0.000223979264800049,0.164923398647769,"GRINA","LOC114000421 (GRINA)","TNA","~ Batch + Status","no"
"LOC114003843",116.560640320687,-0.577266494977,0.158722236612778,-3.63696043664828,0.000275874284764671,0.192444093172155,"HOMER2","LOC114003843 (HOMER2)","TNA","~ Batch + Status","no"
"PLXNA1",6612.93215181401,-0.304013840126098,0.0840277953552949,-3.61801519176643,0.00029687097462465,0.196736394883755,"PLXNA1","PLXNA1","TNA","~ Batch + Status","no"
"RNF130",7150.58042540777,-0.315952296898281,0.0876694969459925,-3.60390224541745,0.000313474996671389,0.197847505042028,"RNF130","RNF130","TNA","~ Batch + Status","no"
"LHFPL5",162.877800824297,0.625702641154304,0.174275761931589,3.59030214081016,0.000330294873418345,0.198987647831216,"LHFPL5","LHFPL5","TNA","~ Batch + Status","no"
"PTPRN2",16869.6912106327,-0.163754798801991,0.0460194624751713,-3.55838138896866,0.000373147228458893,0.206070556916424,"PTPRN2","PTPRN2","TNA","~ Batch + Status","no"
"SMPDL3B",141.655337026075,0.609760428175616,0.170891008444094,3.56812469963916,0.000359545389136228,0.206070556916424,"SMPDL3B","SMPDL3B","TNA","~ Batch + Status","no"
"ADSSL1",1167.23593297817,-0.311774122285681,0.0896425033616542,-3.47797206229123,0.000505222579198911,0.212829576287147,"ADSSL1","ADSSL1","TNA","~ Batch + Status","no"
"AMIGO3",82.9169205744338,1.40424260238437,0.39963968349938,3.5137716807509,0.000441792372587981,0.212829576287147,"AMIGO3","AMIGO3","TNA","~ Batch + Status","no"
"ARHGAP24",1782.05025685486,-0.619864180247906,0.176299932928147,-3.51596378939372,0.000438160739137646,0.212829576287147,"ARHGAP24","ARHGAP24","TNA","~ Batch + Status","no"
"FLT4",360.639552025874,-0.92152686336937,0.266052764816472,-3.46369963118051,0.000532801085941915,0.212829576287147,"FLT4","FLT4","TNA","~ Batch + Status","no"
"ITGB1",744.6266500196,-0.179146800267205,0.0512184622760508,-3.49769970253426,0.000469289219453168,0.212829576287147,"ITGB1","ITGB1","TNA","~ Batch + Status","no"
"ITGB4",104.935710214744,0.645680855919468,0.185193341862102,3.4865230543777,0.000489343204092718,0.212829576287147,"ITGB4","ITGB4","TNA","~ Batch + Status","no"
"KCNH5",310.416822131525,-0.670412993327875,0.193220579954465,-3.46967695411051,0.000521084689495465,0.212829576287147,"KCNH5","KCNH5","TNA","~ Batch + Status","no"
"KCNJ6",1193.40067963461,-0.357276830714221,0.101974855784649,-3.50357770025898,0.000459052710382084,0.212829576287147,"KCNJ6","KCNJ6","TNA","~ Batch + Status","no"
