"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","best_anno","display_gene_ID","Tissue","design","fdrtool"
"MEF2C",1344.8794884657,0.172619242198865,0.0321517117602387,5.36889741629058,7.92194614261387e-08,0.00109037666706937,"MEF2C","MEF2C","TNA","~ Batch + strength.all_study","no"
"STK11IP",2392.16283471939,-0.203278400333538,0.0407875196351953,-4.98383824639658,6.2335195768964e-07,0.0042899081728201,"STK11IP","STK11IP","TNA","~ Batch + strength.all_study","no"
"LOC114003129",444.726639593743,0.2113585780081,0.0444346928248027,4.75661166020536,1.96869366038447e-06,0.00903236651384396,"COX11","LOC114003129 (COX11)","TNA","~ Batch + strength.all_study","no"
"ALKBH8",164.107466034036,0.426224786945506,0.0939523637436677,4.53660525357707,5.71669648976362e-06,0.0157369220970213,"ALKBH8","ALKBH8","TNA","~ Batch + strength.all_study","no"
"TNIK",15311.2479715319,-0.192460535322541,0.042221657152484,-4.55833684185979,5.15602966763536e-06,0.0157369220970213,"TNIK","TNIK","TNA","~ Batch + strength.all_study","no"
"LOC113998683",69.5128104390481,-1.29229386145813,0.291875462014947,-4.42755225991538,9.53084851844479e-06,0.0218435902443372,NA,"LOC113998683","TNA","~ Batch + strength.all_study","no"
"TCIRG1",293.506364173494,-0.407235333052783,0.0926719045746274,-4.3943775076387,1.11090621701802e-05,0.0218435902443372,"TCIRG1","TCIRG1","TNA","~ Batch + strength.all_study","no"
"NFE2L3",1110.93426707568,-0.309343547181549,0.0732595031727024,-4.22257227778764,2.41529908088966e-05,0.0415552206867065,"NFE2L3","NFE2L3","TNA","~ Batch + strength.all_study","no"
"AFMID",91.3219956801764,0.435502649793117,0.105450001421951,4.1299444658183,3.62850872163054e-05,0.0554919933828031,"AFMID","AFMID","TNA","~ Batch + strength.all_study","no"
"TTC8",718.62467435674,0.1801244474671,0.0440183662331613,4.09202937049043,4.27614475315746e-05,0.0588568563824593,"TTC8","TTC8","TNA","~ Batch + strength.all_study","no"
"CASKIN2",669.003014143476,-0.252898948726897,0.0639933698896884,-3.95195547855728,7.75151643386549e-05,0.0675483913464709,"CASKIN2","CASKIN2","TNA","~ Batch + strength.all_study","no"
"CDR2L",778.48823075935,-0.221767373668483,0.0554397295859826,-4.00015251381304,6.33016741996168e-05,0.0675483913464709,"CDR2L","CDR2L","TNA","~ Batch + strength.all_study","no"
