"gene","best_annot","dummy_name","GO"
"LOC113988170","2KTGRL","2KTGRL","unknown"
"A1CF","A1CF","A1CF","GO:0006397;GO:0016556;GO:0050821;GO:0016554"
"A2M","A2M","A2M","GO:0002576;GO:0001869;GO:0010951;GO:0048863;GO:0051056;GO:0022617;GO:0007597"
"LOC113989411","A2M","A2M_pp_1","GO:0002576;GO:0001869;GO:0010951;GO:0048863;GO:0051056;GO:0022617;GO:0007597"
"LOC113989405","A2ML1","A2ML1_pp_1","GO:0010951;GO:0052548"
"A2ML1","A2ML1","A2ML1","GO:0010951;GO:0052548"
"LOC113989407","A2ML1","A2ML1_pp_2","GO:0010951;GO:0052548"
"LOC113989406","A2ML2","A2ML2","unknown"
"A4GALT","A4GALT","A4GALT","GO:0006688;GO:0007009;GO:0001576"
"A4GNT","A4GNT","A4GNT","GO:0016266;GO:0050680;GO:0005975;GO:0009101;GO:0006493"
"AAAS","AAAS","AAAS","GO:0009566;GO:0016032;GO:0075733;GO:0006406;GO:1900034;GO:0007612;GO:0016925;GO:0060964;GO:0090307;GO:0006110;GO:0006409;GO:0019083;GO:0006913;GO:0001578;GO:0046822"
"AACS","AACS","AACS","GO:0046951;GO:0006631;GO:0060612;GO:0042594;GO:0050872;GO:0034201;GO:0071397;GO:0045471;GO:0071394;GO:0007584;GO:0032024;GO:0014074;GO:0071333;GO:0042493;GO:0001889"
"AADAC","AADAC","AADAC","GO:0010898;GO:0006805"
"AADAT","AADAT","AADAT","GO:0097052;GO:0006554;GO:0070189;GO:0009058;GO:1901605;GO:0006103;GO:0033512;GO:0006569;GO:0006536"
"AAGAB","AAGAB","AAGAB","GO:0015031"
"AAK1","AAK1","AAK1","GO:0032880;GO:2000369;GO:0006468;GO:0046777;GO:0045747;GO:0006897;GO:0050821;GO:0061024"
"AAMDC","AAMDC","AAMDC","GO:0045600"
"AAMP","AAMP","AAMP","GO:0030154;GO:0014909;GO:0010595;GO:0001525"
"AANAT","AANAT","AANAT","GO:0007623;GO:0010043;GO:0051592;GO:0071320;GO:0009648;GO:0030187;GO:0051412;GO:0046219;GO:0046688;GO:0009416;GO:0034695;GO:0032868;GO:0034097;GO:0006474"
"AAR2","AAR2","AAR2","GO:0000244"
"AARS","AARS","AARS","unknown"
"AARS2","AARS2","AARS2","GO:0070143;GO:0006400;GO:0006419;GO:0106074"
"LOC114000907","AARSD1","AARSD1","GO:0006419;GO:0008150;GO:0006450;GO:0106074"
"AASDH","AASDH","AASDH","GO:0043041;GO:0019482;GO:0006631"
"AASDHPPT","AASDHPPT","AASDHPPT","GO:0015939;GO:0019878"
"AASS","AASS","AASS","GO:0019878;GO:0006554;GO:0031061;GO:0000122;GO:0033512"
"AATF","AATF","AATF","GO:0007155;GO:0043066;GO:0007346;GO:2000378;GO:0042985;GO:0040016;GO:2001234;GO:0045944;GO:0042254;GO:0006974;GO:0032929;GO:0006357"
"AATK","AATK","AATK","GO:0007420;GO:0038083;GO:0008150;GO:0006468"
"ABAT","ABAT","ABAT","GO:0009450;GO:0042135;GO:0009448;GO:0048148"
"ABCA7","ABCA1","ABCA1_pp_1","GO:0010875;GO:0008203;GO:0007040;GO:0120009;GO:0033700;GO:0032367;GO:0009306;GO:0023061;GO:0019216;GO:0033344;GO:0034380;GO:0045332;GO:0032489;GO:0071806;GO:0140115;GO:0007186;GO:0034616;GO:0007189;GO:0010887;GO:0010745;GO:0071404;GO:0090107;GO:0090108;GO:0016197;GO:0055091;GO:0038027;GO:0042632;GO:0006869;GO:0043691;GO:0060155;GO:0099039"
"ABCA1","ABCA1","ABCA1","GO:0010875;GO:0008203;GO:0007040;GO:0120009;GO:0033700;GO:0032367;GO:0009306;GO:0023061;GO:0019216;GO:0033344;GO:0034380;GO:0045332;GO:0032489;GO:0071806;GO:0140115;GO:0007186;GO:0034616;GO:0007189;GO:0010887;GO:0010745;GO:0071404;GO:0090107;GO:0090108;GO:0016197;GO:0055091;GO:0038027;GO:0042632;GO:0006869;GO:0043691;GO:0060155;GO:0099039"
