"pfil_name","best_annot","dummy_name","GO"
"LOC113988170","2KTGRL","2KTGRL","unknown"
"A1CF","A1CF","A1CF","GO:0005515;GO:0005654;GO:0005634;GO:0006397;GO:0016556;GO:0050821;GO:0016554;GO:0003725;GO:0003727;GO:0030895;GO:0003729;GO:0003723;GO:0005783;GO:0005737"
"A2M","A2M","A2M","GO:0031093;GO:0002576;GO:0005515;GO:0005829;GO:0019838;GO:0005102;GO:0048306;GO:0001869;GO:0062023;GO:0070062;GO:0004866;GO:0010951;GO:0004867;GO:0048863;GO:0002020;GO:0019959;GO:0019899;GO:0005576;GO:0005615;GO:0043120;GO:0051056;GO:0072562;GO:0022617;GO:0019966;GO:0007597"
"LOC113989411","A2M","A2M_pp_1","GO:0031093;GO:0002576;GO:0005515;GO:0005829;GO:0019838;GO:0005102;GO:0048306;GO:0001869;GO:0062023;GO:0070062;GO:0004866;GO:0010951;GO:0004867;GO:0048863;GO:0002020;GO:0019959;GO:0019899;GO:0005576;GO:0005615;GO:0043120;GO:0051056;GO:0072562;GO:0022617;GO:0019966;GO:0007597"
"LOC113989405","A2ML1","A2ML1_pp_1","GO:0010951;GO:0002020;GO:0070062;GO:0004866;GO:0030414;GO:0005615;GO:0004867;GO:0052548"
"A2ML1","A2ML1","A2ML1","GO:0010951;GO:0002020;GO:0070062;GO:0004866;GO:0030414;GO:0005615;GO:0004867;GO:0052548"
"LOC113989407","A2ML1","A2ML1_pp_2","GO:0010951;GO:0002020;GO:0070062;GO:0004866;GO:0030414;GO:0005615;GO:0004867;GO:0052548"
"LOC113989406","A2ML2","A2ML2","unknown"
"A4GALT","A4GALT","A4GALT","GO:0006688;GO:0007009;GO:0008378;GO:0015643;GO:0016758;GO:0030173;GO:0050512;GO:0016020;GO:0001576"
"A4GNT","A4GNT","A4GNT","GO:0008375;GO:0016266;GO:0050680;GO:0005975;GO:0016021;GO:0016758;GO:0009101;GO:0006493;GO:0016020;GO:0000139"
"AAAS","AAAS","AAAS","GO:0005635;GO:0009566;GO:0005643;GO:0016032;GO:0075733;GO:0043657;GO:0006406;GO:1900034;GO:0016020;GO:0031965;GO:0007612;GO:0016925;GO:0060964;GO:0072686;GO:0005654;GO:0090307;GO:0006110;GO:0005813;GO:0006409;GO:0003674;GO:0000922;GO:0019083;GO:0006913;GO:0005515;GO:0005634;GO:0001578;GO:0046822;GO:0005829"
"AACS","AACS","AACS","GO:0046951;GO:0006631;GO:0060612;GO:0042594;GO:0050872;GO:0005829;GO:0034201;GO:0071397;GO:0045471;GO:0071394;GO:0007584;GO:0032024;GO:0030729;GO:0014074;GO:0005515;GO:0005524;GO:0071333;GO:0047760;GO:0042493;GO:0001889"
"AADAC","AADAC","AADAC","GO:0005789;GO:0004806;GO:0010898;GO:0019213;GO:0017171;GO:0016021;GO:0016298;GO:0005515;GO:0016787;GO:0006805;GO:0003824"
"LOC113995833","AADACL4","AADACL4_ah_4","GO:0016021;GO:0016787;GO:0052689"
"LOC113995829","AADACL4","AADACL4_ah_2","GO:0016021;GO:0016787;GO:0052689"
"LOC113995830","AADACL4","AADACL4_ah_1","GO:0016021;GO:0016787;GO:0052689"
"LOC113995832","AADACL4","AADACL4_ah_3","GO:0016021;GO:0016787;GO:0052689"
"AADAT","AADAT","AADAT","GO:0030170;GO:0047536;GO:0097052;GO:0006554;GO:0070189;GO:0008483;GO:0009058;GO:1901605;GO:0016212;GO:0006103;GO:0005759;GO:0033512;GO:0006569;GO:0006536;GO:0042803"
"AAGAB","AAGAB","AAGAB","GO:0005515;GO:0016607;GO:0005737;GO:0015031;GO:0005829"
"AAK1","AAK1","AAK1","GO:0032880;GO:0005829;GO:0005905;GO:0019897;GO:2000369;GO:0004674;GO:0035612;GO:0030136;GO:0006468;GO:0046777;GO:0005524;GO:0031252;GO:0106311;GO:0005515;GO:0045747;GO:0106310;GO:0006897;GO:0005112;GO:0005737;GO:0050821;GO:0043195;GO:0061024"
"AAMDC","AAMDC","AAMDC","GO:0005515;GO:0005737;GO:0045600"
"AAMP","AAMP","AAMP","GO:0030154;GO:0015630;GO:0009986;GO:0005515;GO:0045171;GO:0014909;GO:0005886;GO:0008201;GO:0010595;GO:0005829;GO:0001525"
"AANAT","AANAT","AANAT","GO:0007623;GO:0010043;GO:0048471;GO:0051592;GO:0005515;GO:0071320;GO:0009648;GO:0005829;GO:0030187;GO:0005737;GO:0051412;GO:0071889;GO:0004060;GO:0046219;GO:0046688;GO:0009416;GO:0034695;GO:0004059;GO:0032868;GO:0034097;GO:0006474"
"AAR2","AAR2","AAR2","GO:0005682;GO:0000244;GO:0005681"
"AARS","AARS","AARS","unknown"
"AARS2","AARS2","AARS2","GO:0016597;GO:0070143;GO:0005739;GO:0002161;GO:0008270;GO:0006400;GO:0004813;GO:0005524;GO:0005515;GO:0006419;GO:0000049;GO:0106074"
"LOC114000907","AARSD1","AARSD1","GO:0006419;GO:0004813;GO:0005737;GO:0005634;GO:0005524;GO:0003676;GO:0008150;GO:0006450;GO:0003674;GO:0106074;GO:0046872;GO:0002196"
