"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0010951","negative regulation of endopeptidase activity","3/45","59/11064",0.00174337411216126,0.252104107882108,0.236274856417673,"ITIH5/LOC113991485/LOC113992168",3
"GO:0043085","positive regulation of catalytic activity","2/45","22/11064",0.00354820937537042,0.252104107882108,0.236274856417673,"FGFR4/SLC5A3",2
"GO:0045540","regulation of cholesterol biosynthetic process","2/45","33/11064",0.00788344203906883,0.252104107882108,0.236274856417673,"GGPS1/SC5D",2
"GO:0009636","response to toxic substance","2/45","54/11064",0.0202446996622794,0.252104107882108,0.236274856417673,"LOC114001565/RAD51",2
"GO:0006936","muscle contraction","2/45","61/11064",0.0254301631477573,0.252104107882108,0.236274856417673,"GAMT/ITGA1",2
"GO:0030334","regulation of cell migration","2/45","66/11064",0.0294294372448716,0.252104107882108,0.236274856417673,"MEAK7/ROBO4",2
"GO:0000731","DNA synthesis involved in DNA repair","1/45","10/11064",0.0399520118772425,0.252104107882108,0.236274856417673,"LOC114000574",1
"GO:0007602","phototransduction","1/45","10/11064",0.0399520118772425,0.252104107882108,0.236274856417673,"PLEKHB1",1
"GO:0034356","NAD biosynthesis via nicotinamide riboside salvage pathway","1/45","10/11064",0.0399520118772425,0.252104107882108,0.236274856417673,"LOC113994416",1
"GO:0045651","positive regulation of macrophage differentiation","1/45","10/11064",0.0399520118772425,0.252104107882108,0.236274856417673,"IL34",1
"GO:0045947","negative regulation of translational initiation","1/45","10/11064",0.0399520118772425,0.252104107882108,0.236274856417673,"LOC113987746",1
"GO:0070207","protein homotrimerization","1/45","10/11064",0.0399520118772425,0.252104107882108,0.236274856417673,"CLYBL",1
"GO:0030500","regulation of bone mineralization","1/45","11/11064",0.0438602948033802,0.252104107882108,0.236274856417673,"SGMS2",1
"GO:1904851","positive regulation of establishment of protein localization to telomere","1/45","11/11064",0.0438602948033802,0.252104107882108,0.236274856417673,"CCT4",1
"GO:2000343","positive regulation of chemokine (C-X-C motif) ligand 2 production","1/45","11/11064",0.0438602948033802,0.252104107882108,0.236274856417673,"LOC114001565",1
"GO:0007283","spermatogenesis","3/45","198/11064",0.0462677561265955,0.252104107882108,0.236274856417673,"GAMT/LOC113987746/PRKAG1",3
"GO:0000722","telomere maintenance via recombination","1/45","12/11064",0.0477530195599033,0.252104107882108,0.236274856417673,"RAD51",1
"GO:0006195","purine nucleotide catabolic process","1/45","12/11064",0.0477530195599033,0.252104107882108,0.236274856417673,"LOC113994971",1
"GO:0006958","complement activation, classical pathway","1/45","12/11064",0.0477530195599033,0.252104107882108,0.236274856417673,"LOC113992168",1
"GO:0007339","binding of sperm to zona pellucida","1/45","12/11064",0.0477530195599033,0.252104107882108,0.236274856417673,"CCT4",1
"GO:0019674","NAD metabolic process","1/45","12/11064",0.0477530195599033,0.252104107882108,0.236274856417673,"LOC113992301",1
"GO:0032516","positive regulation of phosphoprotein phosphatase activity","1/45","12/11064",0.0477530195599033,0.252104107882108,0.236274856417673,"ITGA1",1
"GO:1904659","glucose transmembrane transport","1/45","12/11064",0.0477530195599033,0.252104107882108,0.236274856417673,"SLC5A3",1
"GO:1904871","positive regulation of protein localization to Cajal body","1/45","12/11064",0.0477530195599033,0.252104107882108,0.236274856417673,"CCT4",1
"GO:2000573","positive regulation of DNA biosynthetic process","1/45","12/11064",0.0477530195599033,0.252104107882108,0.236274856417673,"FGFR4",1
"GO:0016126","sterol biosynthetic process","1/45","13/11064",0.0516302466789588,0.252104107882108,0.236274856417673,"SC5D",1
"GO:0072711","cellular response to hydroxyurea","1/45","13/11064",0.0516302466789588,0.252104107882108,0.236274856417673,"RAD51",1
"GO:0098789","pre-mRNA cleavage required for polyadenylation","1/45","13/11064",0.0516302466789588,0.252104107882108,0.236274856417673,"CPSF4",1
"GO:1900271","regulation of long-term synaptic potentiation","1/45","13/11064",0.0516302466789588,0.252104107882108,0.236274856417673,"LOC113987746",1
"GO:0051726","regulation of cell cycle","2/45","91/11064",0.0527239646236856,0.252104107882108,0.236274856417673,"CDK18/XIAP",2
"GO:0008154","actin polymerization or depolymerization","1/45","14/11064",0.0554920364626391,0.252104107882108,0.236274856417673,"ENAH",1
"GO:0010759","positive regulation of macrophage chemotaxis","1/45","14/11064",0.0554920364626391,0.252104107882108,0.236274856417673,"IL34",1
"GO:0030948","negative regulation of vascular endothelial growth factor receptor signaling pathway","1/45","14/11064",0.0554920364626391,0.252104107882108,0.236274856417673,"CNMD",1
"GO:0045088","regulation of innate immune response","1/45","14/11064",0.0554920364626391,0.252104107882108,0.236274856417673,"XIAP",1
"GO:0060292","long-term synaptic depression","1/45","14/11064",0.0554920364626391,0.252104107882108,0.236274856417673,"LOC113992301",1
"GO:0042127","regulation of cell population proliferation","2/45","96/11064",0.0579725552373606,0.252104107882108,0.236274856417673,"MEAK7/XIAP",2
"GO:0001676","long-chain fatty acid metabolic process","1/45","15/11064",0.0593384489838318,0.252104107882108,0.236274856417673,"ACAD9",1
"GO:0005980","glycogen catabolic process","1/45","15/11064",0.0593384489838318,0.252104107882108,0.236274856417673,"PYGM",1
"GO:0006268","DNA unwinding involved in DNA replication","1/45","15/11064",0.0593384489838318,0.252104107882108,0.236274856417673,"RAD51",1
"GO:0006388","tRNA splicing, via endonucleolytic cleavage and ligation","1/45","15/11064",0.0593384489838318,0.252104107882108,0.236274856417673,"CPSF4",1
"GO:0006895","Golgi to endosome transport","1/45","15/11064",0.0593384489838318,0.252104107882108,0.236274856417673,"LOC113994084",1
"GO:0006956","complement activation","1/45","15/11064",0.0593384489838318,0.252104107882108,0.236274856417673,"LOC113992168",1
"GO:0043651","linoleic acid metabolic process","1/45","15/11064",0.0593384489838318,0.252104107882108,0.236274856417673,"LOC114002604",1
"GO:0007605","sensory perception of sound","2/45","98/11064",0.0601213899681544,0.252104107882108,0.236274856417673,"LOC113991485/LOC114001565",2
"GO:0010569","regulation of double-strand break repair via homologous recombination","1/45","16/11064",0.0631695440870744,0.252104107882108,0.236274856417673,"RAD51",1
"GO:0030220","platelet formation","1/45","16/11064",0.0631695440870744,0.252104107882108,0.236274856417673,"NBEAL2",1
"GO:0051259","protein complex oligomerization","1/45","16/11064",0.0631695440870744,0.252104107882108,0.236274856417673,"HGSNAT",1
