"ID","cluster","parent","parentSimScore","score","size","term","parentTerm","Description","Freq"
"GO:0000002",23,"GO:0007130",0.303,1,12,"mitochondrial genome maintenance","synaptonemal complex assembly","mitochondrial genome maintenance",1
"GO:0000077",53,"GO:0007095",0.866,1,37,"DNA damage checkpoint","mitotic G2 DNA damage checkpoint","DNA damage checkpoint",1
"GO:0000184",66,"GO:0008334",0.565,1,151,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","histone mRNA metabolic process","nuclear-transcribed mRNA catabolic process,
nonsense-mediated decay",1
"GO:0000186",51,"GO:0000186",1,2,45,"activation of MAPKK activity","activation of MAPKK activity","activation of MAPKK activity",2
"GO:0000188",51,"GO:0000186",0.705,1,30,"inactivation of MAPK activity","activation of MAPKK activity","inactivation of MAPK activity",1
"GO:0000266",23,"GO:0007130",0.627,1,26,"mitochondrial fission","synaptonemal complex assembly","mitochondrial fission",1
"GO:0000302",14,"GO:0042542",0.959,2,12,"response to reactive oxygen species","response to hydrogen peroxide","response to reactive oxygen species",2
"GO:0000413",55,"GO:0042531",0.535,1,48,"protein peptidyl-prolyl isomerization","positive regulation of tyrosine phosphorylation of STAT protein","protein peptidyl-prolyl isomerization",1
"GO:0000717",67,"GO:0006338",0.52,1,24,"nucleotide-excision repair, DNA duplex unwinding","chromatin remodeling","nucleotide-excision repair, DNA duplex
unwinding",1
"GO:0000722",33,"GO:0042632",0.461,1,11,"telomere maintenance via recombination","cholesterol homeostasis","telomere maintenance via recombination",1
"GO:0000723",33,"GO:0042632",0.575,1,57,"telomere maintenance","cholesterol homeostasis","telomere maintenance",1
"GO:0000729",14,"GO:0042542",0.332,3,15,"DNA double-strand break processing","response to hydrogen peroxide","DNA double-strand break processing",3
"GO:0000902",69,"GO:0009653",0.773,1,90,"cell morphogenesis","anatomical structure morphogenesis","cell morphogenesis",1
"GO:0001188",99,"GO:0001188",1,1,10,"RNA polymerase I preinitiation complex assembly","RNA polymerase I preinitiation complex assembly","RNA polymerase I preinitiation
complex assembly",1
"GO:0001501",13,"GO:0001501",0.995,4,139,"skeletal system development","skeletal system development","skeletal system development",4
"GO:0001502",13,"GO:0001501",0.734,1,20,"cartilage condensation","skeletal system development","cartilage condensation",1
"GO:0001503",28,"GO:0030501",0.806,1,75,"ossification","positive regulation of bone mineralization","ossification",1
"GO:0001516",74,"GO:0006693",0.974,1,17,"prostaglandin biosynthetic process","prostaglandin metabolic process","prostaglandin biosynthetic process",1
"GO:0001523",31,"GO:0008203",0.552,2,69,"retinoid metabolic process","cholesterol metabolic process","retinoid metabolic process",2
"GO:0001525",46,"GO:0001525",0.994,3,248,"angiogenesis","angiogenesis","angiogenesis",3
"GO:0001541",56,"GO:0060065",0.652,1,40,"ovarian follicle development","uterus development","ovarian follicle development",1
"GO:0001568",46,"GO:0001525",0.953,1,38,"blood vessel development","angiogenesis","blood vessel development",1
"GO:0001574",52,"GO:0006414",0.546,1,10,"ganglioside biosynthetic process","translational elongation","ganglioside biosynthetic process",1
"GO:0001654",44,"GO:0042462",0.818,1,34,"eye development","eye photoreceptor cell development","eye development",1
"GO:0001662",64,"GO:0048265",0.896,2,29,"behavioral fear response","response to pain","behavioral fear response",2
"GO:0001701",65,"GO:0035116",0.591,1,200,"in utero embryonic development","embryonic hindlimb morphogenesis","in utero embryonic development",1
"GO:0001706",65,"GO:0035116",0.596,1,8,"endoderm formation","embryonic hindlimb morphogenesis","endoderm formation",1
"GO:0001709",59,"GO:0050873",0.319,1,17,"cell fate determination","brown fat cell differentiation","cell fate determination",1
"GO:0001755",12,"GO:0010976",0.514,2,48,"neural crest cell migration","positive regulation of neuron projection development","neural crest cell migration",2
"GO:0001756",34,"GO:0007368",0.735,2,47,"somitogenesis","determination of left/right symmetry","somitogenesis",2
"GO:0001774",63,"GO:0043032",0.87,1,31,"microglial cell activation","positive regulation of macrophage activation","microglial cell activation",1
"GO:0001817",5,"GO:0010575",0.685,2,11,"regulation of cytokine production","positive regulation of vascular endothelial growth factor production","regulation of cytokine production",2
"GO:0001822",39,"GO:0001822",0.996,3,98,"kidney development","kidney development","kidney development",3
"GO:0001835",65,"GO:0035116",0.496,1,26,"blastocyst hatching","embryonic hindlimb morphogenesis","blastocyst hatching",1
