"ID","cluster","parent","parentSimScore","score","size","term","parentTerm","Description","Freq"
"GO:0000070",63,"GO:0045786",0.622,1,32,"mitotic sister chromatid segregation","negative regulation of cell cycle","mitotic sister chromatid segregation",1
"GO:0000076",63,"GO:0045786",0.729,1,10,"DNA replication checkpoint","negative regulation of cell cycle","DNA replication checkpoint",1
"GO:0000077",63,"GO:0045786",0.858,1,37,"DNA damage checkpoint","negative regulation of cell cycle","DNA damage checkpoint",1
"GO:0000083",63,"GO:0045786",0.527,1,25,"regulation of transcription involved in G1/S transition of mitotic cell cycle","negative regulation of cell cycle","regulation of transcription involved in G1/S
transition of mitotic cell cycle",1
"GO:0000086",63,"GO:0045786",0.64,1,134,"G2/M transition of mitotic cell cycle","negative regulation of cell cycle","G2/M transition of mitotic
cell cycle",1
"GO:0000184",46,"GO:0043488",0.815,1,151,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","regulation of mRNA stability","nuclear-transcribed mRNA catabolic process,
nonsense-mediated decay",1
"GO:0000187",58,"GO:0043405",0.922,1,133,"activation of MAPK activity","regulation of MAP kinase activity","activation of MAPK activity",1
"GO:0000226",38,"GO:0007015",0.771,1,120,"microtubule cytoskeleton organization","actin filament organization","microtubule cytoskeleton organization",1
"GO:0000289",46,"GO:0043488",0.753,1,30,"nuclear-transcribed mRNA poly(A) tail shortening","regulation of mRNA stability","nuclear-transcribed mRNA poly(A) tail
shortening",1
"GO:0000302",75,"GO:0009749",0.593,1,12,"response to reactive oxygen species","response to glucose","response to reactive oxygen species",1
"GO:0000398",46,"GO:0043488",0.737,1,437,"mRNA splicing, via spliceosome","regulation of mRNA stability","mRNA splicing, via spliceosome",1
"GO:0000729",60,"GO:0000729",1,2,15,"DNA double-strand break processing","DNA double-strand break processing","DNA double-strand break processing",2
"GO:0000731",60,"GO:0000729",0.574,1,11,"DNA synthesis involved in DNA repair","DNA double-strand break processing","DNA synthesis involved in
DNA repair",1
"GO:0000902",14,"GO:0007411",0.86,3,90,"cell morphogenesis","axon guidance","cell morphogenesis",3
"GO:0001503",105,"GO:0001503",0.996,1,75,"ossification","ossification","ossification",1
"GO:0001508",69,"GO:0086012",0.861,1,16,"action potential","membrane depolarization during cardiac muscle cell action potential","action potential",1
"GO:0001523",36,"GO:0006695",0.525,2,69,"retinoid metabolic process","cholesterol biosynthetic process","retinoid metabolic process",2
"GO:0001525",23,"GO:0016525",0.878,2,248,"angiogenesis","negative regulation of angiogenesis","angiogenesis",2
"GO:0001568",23,"GO:0016525",0.838,1,38,"blood vessel development","negative regulation of angiogenesis","blood vessel development",1
"GO:0001569",65,"GO:0003323",0.467,1,28,"branching involved in blood vessel morphogenesis","type B pancreatic cell development","branching involved in blood
vessel morphogenesis",1
"GO:0001574",84,"GO:0043101",0.405,1,10,"ganglioside biosynthetic process","purine-containing compound salvage","ganglioside biosynthetic process",1
"GO:0001659",31,"GO:0006874",0.621,1,20,"temperature homeostasis","cellular calcium ion homeostasis","temperature homeostasis",1
"GO:0001678",31,"GO:0006874",0.783,1,21,"cellular glucose homeostasis","cellular calcium ion homeostasis","cellular glucose homeostasis",1
"GO:0001708",15,"GO:0045595",0.475,1,37,"cell fate specification","regulation of cell differentiation","cell fate specification",1
"GO:0001755",11,"GO:0060326",0.59,3,48,"neural crest cell migration","cell chemotaxis","neural crest cell migration",3
"GO:0001774",52,"GO:0030449",0.351,1,31,"microglial cell activation","regulation of complement activation","microglial cell activation",1
"GO:0001778",13,"GO:0007009",0.853,1,11,"plasma membrane repair","plasma membrane organization","plasma membrane repair",1
"GO:0001818",25,"GO:0032720",0.852,2,14,"negative regulation of cytokine production","negative regulation of tumor necrosis factor production","negative regulation of cytokine production",2
"GO:0001835",47,"GO:0035116",0.496,1,26,"blastocyst hatching","embryonic hindlimb morphogenesis","blastocyst hatching",1
"GO:0001886",65,"GO:0003323",0.712,1,13,"endothelial cell morphogenesis","type B pancreatic cell development","endothelial cell morphogenesis",1
"GO:0001895",31,"GO:0006874",0.582,1,42,"retina homeostasis","cellular calcium ion homeostasis","retina homeostasis",1
"GO:0001932",7,"GO:0044267",0.684,1,42,"regulation of protein phosphorylation","cellular protein metabolic process","regulation of protein phosphorylation",1
"GO:0001946",23,"GO:0016525",0.6,1,16,"lymphangiogenesis","negative regulation of angiogenesis","lymphangiogenesis",1
"GO:0001954",6,"GO:0007155",0.667,1,27,"positive regulation of cell-matrix adhesion","cell adhesion","positive regulation of cell-matrix
adhesion",1
"GO:0001958",72,"GO:0001958",1,2,28,"endochondral ossification","endochondral ossification","endochondral ossification",2
"GO:0002009",65,"GO:0003323",0.581,1,16,"morphogenesis of an epithelium","type B pancreatic cell development","morphogenesis of an epithelium",1
"GO:0002027",33,"GO:0061337",0.835,2,35,"regulation of heart rate","cardiac conduction","regulation of heart rate",2
"GO:0002040",23,"GO:0016525",0.794,1,34,"sprouting angiogenesis","negative regulation of angiogenesis","sprouting angiogenesis",1
"GO:0002053",28,"GO:0050680",0.517,1,23,"positive regulation of mesenchymal cell proliferation","negative regulation of epithelial cell proliferation","positive regulation of mesenchymal
cell proliferation",1
"GO:0002062",72,"GO:0001958",0.667,2,35,"chondrocyte differentiation","endochondral ossification","chondrocyte differentiation",2
"GO:0002064",65,"GO:0003323",0.845,1,12,"epithelial cell development","type B pancreatic cell development","epithelial cell development",1
"GO:0002076",105,"GO:0001503",0.765,1,19,"osteoblast development","ossification","osteoblast development",1
"GO:0002084",99,"GO:0002084",1,1,12,"protein depalmitoylation","protein depalmitoylation","protein depalmitoylation",1
"GO:0002091",79,"GO:0006897",0.697,1,12,"negative regulation of receptor internalization","endocytosis","negative regulation of receptor internalization",1
"GO:0002092",79,"GO:0006897",0.727,1,23,"positive regulation of receptor internalization","endocytosis","positive regulation of receptor internalization",1
"GO:0002218",55,"GO:0006953",0.497,1,32,"activation of innate immune response","acute-phase response","activation of innate immune response",1
