"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0007268","chemical synaptic transmission","18/177","199/11948",8.23475376075457e-10,5.92902270774329e-07,5.24423792132264e-07,"NTSR1/CACNA1E/AKAP5/HTR1B/NPTX2/GRM4/RIT2/CHRNA4/SCN2B/CACNA1G/KCNIP2/PLP1/CPLX1/KCND2/SLC1A2/LOC114000755/HTR4/CARTPT",18,177
"GO:0045956","positive regulation of calcium
ion-dependent exocytosis","6/177","16/11948",6.87635062204292e-08,2.47548622393545e-05,2.18957480333472e-05,"DOC2B/STXBP1/CACNA1I/STX1A/CACNA1G/SYT9",6,177
"GO:0007186","G protein-coupled receptor signaling
pathway","22/177","464/11948",1.36724522293765e-06,0.000328138853505035,0.000290239775395535,"NTSR1/CCK/HTR1B/NGEF/GRM4/CRHR2/POMC/PDE2A/GNG2/RAMP1/LOC113993090/P2RY1/RGS12/GPER1/RGS4/VIP/HTR4/LOC113983498/PTGFR/CARTPT/LOC113983511/CALCR",22,177
"GO:0071805","potassium ion transmembrane transport","9/177","92/11948",8.47770123089252e-06,0.00152598622156065,0.00134973927491841,"KCNAB1/KCNK12/KCNT1/KCNS1/KCNS2/LRRC38/SLC24A2/KCNIP4/KCND2",9,177
"GO:0014047","glutamate secretion","5/177","29/11948",6.00097099729053e-05,0.00758259548920099,0.00670682788153012,"STXBP1/STX1A/SLC1A3/CPLX1/SLC1A2",5,177
"GO:0046928","regulation of neurotransmitter secretion","4/177","16/11948",7.37196783672319e-05,0.00758259548920099,0.00670682788153012,"LOC113986509/CAMK2A/CPLX1/CPLX3",4,177
"GO:2001222","regulation of neuron migration","4/177","16/11948",7.37196783672319e-05,0.00758259548920099,0.00670682788153012,"NTNG1/NTNG2/LOC113986509/CAMK2A",4,177
"GO:0019228","neuronal action potential","4/177","20/11948",0.000187359832002251,0.0168623848802026,0.0149148287317581,"CACNA1I/CACNA1G/GPER1/KCND2",4,177
"GO:0034765","regulation of ion transmembrane transport","7/177","83/11948",0.000223878737932907,0.0179102990346325,0.0158417118654279,"CACNA1E/KCNK12/CACNA1I/CACNA2D2/CACNA1G/LOC113999542/KCND2",7,177
"GO:0050796","regulation of insulin secretion","6/177","61/11948",0.000274484826065807,0.0190786204178338,0.0168750955450138,"CACNA1E/STX1A/CACNA2D2/PRKCA/SYT9/CARTPT",6,177
"GO:0061337","cardiac conduction","5/177","40/11948",0.000291478923050239,0.0190786204178338,0.0168750955450138,"CACNA2D2/KCNIP2/LOC113999542/KCNIP4/KCND2",5,177
"GO:0010628","positive regulation of gene expression","13/177","286/11948",0.000332232677345146,0.0199339606407088,0.0176316464731415,"TNC/ROBO1/NR5A1/PDE2A/WHRN/LOC113983693/PLP1/GPER1/ARX/QKI/LOC113983498/PTGFR/CALCR",13,177
"GO:0014059","regulation of dopamine secretion","4/177","26/11948",0.000539382981289277,0.0298735189637138,0.0264232148728755,"HTR1B/CHRNA4/SYT6/SYT9",4,177
"GO:1901379","regulation of potassium ion
transmembrane transport","3/177","12/11948",0.000637307856823258,0.0324839207620749,0.0287321228962797,"KCNAB1/KCNIP2/KCNIP4",3,177
"GO:0006813","potassium ion transport","5/177","48/11948",0.000689421976711435,0.0324839207620749,0.0287321228962797,"KCNAB1/KCNS1/KCNIP2/KCNS2/LOC113999542",5,177
"GO:0007205","protein kinase C-activating G protein-coupled receptor
signaling pathway","4/177","28/11948",0.000721864905823887,0.0324839207620749,0.0287321228962797,"LOC113989956/CCK/HTR1B/GAP43",4,177
"GO:0007189","adenylate cyclase-activating G protein-coupled
receptor signaling pathway","6/177","80/11948",0.00117852164945257,0.049913858094462,0.0441489534315051,"RIT2/RAMP1/GPER1/VIP/PTGFR/CALCR",6,177
"GO:0060996","dendritic spine development","3/177","15/11948",0.00127562570907411,0.0510250283629645,0.0451317867830315,"LOC113999057/LOC113986509/CAMK2A",3,177
"GO:0030154","cell differentiation","14/177","381/11948",0.00159917201711785,0.0606002027539397,0.053601056529435,"CPNE9/NGEF/RXRA/NR5A1/BMP1/ARHGAP24/ETV1/SIM1/ZIC5/FER/ZIC2/ARHGAP22/WIPF3/MGP",14,177
"GO:0051930","regulation of sensory perception
of pain","3/177","17/11948",0.00186535235101906,0.0669593828766729,0.0592257699420864,"NTSR1/VIP/LOC113983511",3,177
"GO:0007155","cell adhesion","12/177","305/11948",0.00195298200056963,0.0669593828766729,0.0592257699420864,"TNC/PTPRF/LOC113982491/CDHR1/LOC114004136/ROBO1/LOC114003844/THBS1/PRKCA/KITLG/FER/SPON1",12,177
"GO:0006816","calcium ion transport","5/177","61/11948",0.00205209521773324,0.067159479853088,0.0594027563028044,"CACNA1E/CHRNA4/LOC113986509/RAMP1/CAMK2A",5,177
"GO:0048013","ephrin receptor signaling pathway","6/177","93/11948",0.00255310913901377,0.0758344432072666,0.0670757867549654,"NGEF/LOC113999057/CHN2/SDC2/WASL/ARPC1B",6,177
"GO:0035904","aorta development","3/177","19/11948",0.002600933210489,0.0758344432072666,0.0670757867549654,"ROBO1/PDE2A/PLXND1",3,177
"GO:0007399","nervous system development","11/177","275/11948",0.0026331403891412,0.0758344432072666,0.0670757867549654,"NGEF/ROBO1/ST8SIA2/SCN2B/LOC114003809/CAMK1D/RBFOX3/OPHN1/SIM1/GMFB/FABP7",11,177
"GO:0007204","positive regulation of cytosolic
calcium ion concentration","6/177","95/11948",0.00284136470031837,0.078683945547278,0.0695961799065836,"P2RY1/GPER1/LOC113983498/PTGFR/LOC113983511/CALCR",6,177
"GO:0030073","insulin secretion","3/177","20/11948",0.0030268579243396,0.0807162113157228,0.0713937249210706,"STX1A/CPLX1/CPLX3",3,177
"GO:0042755","eating behavior","3/177","21/11948",0.00349320406475618,0.0898252473794445,0.0794506939540408,"CCK/P2RY1/LOC113983511",3,177
"GO:0071277","cellular response to calcium ion","5/177","70/11948",0.0037524286826687,0.0929292321626742,0.0821961775707864,"CPNE9/CPNE2/SYT6/SYT9/CPNE4",5,177
"GO:0070509","calcium ion import","3/177","22/11948",0.00400111971811514,0.0929292321626742,0.0821961775707864,"CACNA1E/CACNA1I/CACNA1G",3,177
"GO:0099560","synaptic membrane adhesion","3/177","22/11948",0.00400111971811514,0.0929292321626742,0.0821961775707864,"PTPRF/NTNG1/NTNG2",3,177
"GO:0035725","sodium ion transmembrane transport","5/177","72/11948",0.00423652745073676,0.0953218676415772,0.0843124706478862,"CACNA1I/SCN2B/CACNA1G/SLC24A2/SLC12A2",5,177
"GO:0008284","positive regulation of cell
population proliferation","12/177","337/11948",0.00439414443906352,0.0958722423068405,0.0847992786485943,"TNC/CCK/EPCAM/THBS1/FGFR3/GPER1/KITLG/PRLR/FER/VIP/LOC113983498/PTGFR",12,177
"GO:0016079","synaptic vesicle exocytosis","3/177","23/11948",0.00455167541441751,0.0963884205406061,0.0852558398056531,"STX1A/CPLX1/CPLX3",3,177
"GO:0007269","neurotransmitter secretion","4/177","48/11948",0.00545262139450718,0.112168211544148,0.0992131110880254,"STXBP1/GRM4/STX1A/CPLX1",4,177
"GO:2000463","positive regulation of excitatory
postsynaptic potential","3/177","25/11948",0.00578461633522487,0.115692326704497,0.102330201251785,"LOC114004136/STX1A/RGS4",3,177
"GO:0006811","ion transport","5/177","78/11948",0.0059549094351313,0.11587931873769,0.102495596251904,"CHRNA4/SLC1A3/SLC24A2/SLC12A2/SLC1A2",5,177
"GO:0032355","response to estradiol","5/177","79/11948",0.00628270963489715,0.116437989734592,0.102989742382205,"STXBP1/LOC113993669/PTGFR/LOC113983511/ARPC1B",5,177
"GO:0007193","adenylate cyclase-inhibiting G protein-coupled
receptor signaling pathway","4/177","50/11948",0.00630785133427525,0.116437989734592,0.102989742382205,"AKAP5/HTR1B/PDE2A/P2RY1",4,177
"GO:0017156","calcium-ion regulated exocytosis","3/177","26/11948",0.00646877720747733,0.116437989734592,0.102989742382205,"STX1A/SYT6/SYT9",3,177
"GO:0042220","response to cocaine","3/177","28/11948",0.00797640645482958,0.140073479206763,0.123895401929959,"HTR1B/RGS4/LOC113983511",3,177
"GO:0001574","ganglioside biosynthetic process","2/177","10/11948",0.0090821246938262,0.142154995207714,0.125736508919104,"ST8SIA2/ST8SIA6",2,177
"GO:0023019","signal transduction involved in
regulation of gene expression","2/177","10/11948",0.0090821246938262,0.142154995207714,0.125736508919104,"EPCAM/P2RY1",2,177
"GO:0030431","sleep","2/177","10/11948",0.0090821246938262,0.142154995207714,0.125736508919104,"CACNA1I/LOC113983511",2,177
"GO:0035493","SNARE complex assembly","2/177","10/11948",0.0090821246938262,0.142154995207714,0.125736508919104,"STXBP1/STX1A",2,177
"GO:1902287","semaphorin-plexin signaling pathway involved
in axon guidance","2/177","10/11948",0.0090821246938262,0.142154995207714,0.125736508919104,"LOC113986256/PLXND1",2,177
"GO:0050772","positive regulation of axonogenesis","3/177","31/11948",0.0105959711082855,0.158299053330787,0.14001597553381,"ROBO1/LOC113986256/PLXND1",3,177
"GO:0007017","microtubule-based process","2/177","11/11948",0.010992989814638,0.158299053330787,0.14001597553381,"LOC113991233/LOC113996267",2,177
"GO:0007625","grooming behavior","2/177","11/11948",0.010992989814638,0.158299053330787,0.14001597553381,"LOC113983498/LOC113983511",2,177
"GO:0070831","basement membrane assembly","2/177","11/11948",0.010992989814638,0.158299053330787,0.14001597553381,"NTNG1/NTNG2",2,177
"GO:0070588","calcium ion transmembrane transport","5/177","92/11948",0.0117643783375646,0.166085341236206,0.146902969953077,"CACNA1E/CACNA1I/CACNA2D2/CACNA1G/SLC24A2",5,177
"GO:0019233","sensory perception of pain","3/177","33/11948",0.0125873581661754,0.170952276734479,0.151207788632105,"CHRNA4/P2RY1/KCND2",3,177
"GO:0001508","action potential","2/177","12/11948",0.0130641262062009,0.170952276734479,0.151207788632105,"CHRNA4/KCND2",2,177
"GO:0016081","synaptic vesicle docking","2/177","12/11948",0.0130641262062009,0.170952276734479,0.151207788632105,"STX1A/BLOC1S6",2,177
"GO:0022010","central nervous system myelination","2/177","12/11948",0.0130641262062009,0.170952276734479,0.151207788632105,"ASPA/PLP1",2,177
"GO:0007411","axon guidance","8/177","211/11948",0.0132962881904595,0.170952276734479,0.151207788632105,"LOC114004136/ROBO1/VSTM2L/LOC113999057/LOC114003809/OPHN1/PRKCA/ARX",8,177
"GO:0009888","tissue development","3/177","34/11948",0.0136578277952032,0.172519930044671,0.152594382568752,"NR5A1/NTNG1/NTNG2",3,177
"GO:0010001","glial cell differentiation","2/177","13/11948",0.0152904211520794,0.173999094566546,0.153902707913393,"LOC114004136/GAP43",2,177
"GO:0014002","astrocyte development","2/177","13/11948",0.0152904211520794,0.173999094566546,0.153902707913393,"VIM/PLP1",2,177
"GO:0015813","L-glutamate transmembrane transport","2/177","13/11948",0.0152904211520794,0.173999094566546,0.153902707913393,"SLC1A3/SLC1A2",2,177
"GO:0017158","regulation of calcium ion-dependent
exocytosis","2/177","13/11948",0.0152904211520794,0.173999094566546,0.153902707913393,"SYT6/SYT9",2,177
"GO:0032793","positive regulation of CREB
transcription factor activity","2/177","13/11948",0.0152904211520794,0.173999094566546,0.153902707913393,"LOC114004136/CAMK1D",2,177
"GO:2000353","positive regulation of endothelial
cell apoptotic process","2/177","13/11948",0.0152904211520794,0.173999094566546,0.153902707913393,"THBS1/GPER1",2,177
"GO:0043087","regulation of GTPase activity","4/177","65/11948",0.0156358972117315,0.173999094566546,0.153902707913393,"NGEF/LOC113986256/PLXND1/CHN2",4,177
"GO:0090630","activation of GTPase activity","5/177","99/11948",0.0157621000380452,0.173999094566546,0.153902707913393,"NGEF/SGSM2/ARHGAP24/ARHGEF10/ARHGAP22",5,177
"GO:0051384","response to glucocorticoid","3/177","36/11948",0.0159499170019334,0.173999094566546,0.153902707913393,"LOC113993090/LOC113983511/CALCR",3,177
"GO:0051056","regulation of small GTPase
mediated signal transduction","6/177","138/11948",0.0167388978342366,0.176668767541315,0.156264041465637,"NGEF/SRGAP3/OPHN1/ARHGAP24/CHN2/ARHGAP22",6,177
"GO:0030048","actin filament-based movement","2/177","14/11948",0.0176668767541315,0.176668767541315,0.156264041465637,"WASL/WIPF3",2,177
"GO:0043523","regulation of neuron apoptotic process","2/177","14/11948",0.0176668767541315,0.176668767541315,0.156264041465637,"GRM4/EGLN3",2,177
"GO:0060292","long-term synaptic depression","2/177","14/11948",0.0176668767541315,0.176668767541315,0.156264041465637,"STXBP1/SLC24A2",2,177
"GO:0086002","cardiac muscle cell action
potential involved in contraction","2/177","14/11948",0.0176668767541315,0.176668767541315,0.156264041465637,"SCN2B/CACNA1G",2,177
"GO:0086010","membrane depolarization during action potential","2/177","14/11948",0.0176668767541315,0.176668767541315,0.156264041465637,"CACNA1I/CACNA1G",2,177
"GO:0007223","Wnt signaling pathway, calcium
modulating pathway","3/177","38/11948",0.0184451019100034,0.179465856421654,0.158738074758919,"LOC113986509/GNG2/CAMK2A",3,177
"GO:0009612","response to mechanical stimulus","3/177","38/11948",0.0184451019100034,0.179465856421654,0.158738074758919,"TNC/P2RY1/THBS1",3,177
"GO:0007156","homophilic cell adhesion via
plasma membrane adhesion molecules","5/177","105/11948",0.0198379800028899,0.181697469157263,0.160711942748749,"CDHR1/ROBO1/VSTM2L/LOC113993290/LOC114003844",5,177
"GO:0042310","vasoconstriction","2/177","15/11948",0.0201886076841403,0.181697469157263,0.160711942748749,"HTR1B/LOC113983498",2,177
"GO:0042759","long-chain fatty acid biosynthetic
process","2/177","15/11948",0.0201886076841403,0.181697469157263,0.160711942748749,"PLP1/QKI",2,177
"GO:0048168","regulation of neuronal synaptic plasticity","2/177","15/11948",0.0201886076841403,0.181697469157263,0.160711942748749,"LOC113986509/CAMK2A",2,177
"GO:0050773","regulation of dendrite development","2/177","15/11948",0.0201886076841403,0.181697469157263,0.160711942748749,"LOC113989956/CAMK1D",2,177
"GO:0050965","detection of temperature stimulus involved in
sensory perception of pain","2/177","15/11948",0.0201886076841403,0.181697469157263,0.160711942748749,"NTSR1/LOC113999057",2,177
"GO:0008585","female gonad development","2/177","16/11948",0.0228508389762693,0.200641512962365,0.177468004886302,"NR5A1/LOC113993669",2,177
"GO:0030705","cytoskeleton-dependent intracellular transport","2/177","16/11948",0.0228508389762693,0.200641512962365,0.177468004886302,"LOC113991233/LOC113996267",2,177
"GO:0045471","response to ethanol","4/177","75/11948",0.0250714917956553,0.216661285010697,0.191637540104491,"TNC/HTR1B/RGS4/LOC113983498",4,177
"GO:0007162","negative regulation of cell adhesion","3/177","43/11948",0.0255780683693184,0.216661285010697,0.191637540104491,"TNC/LOC113986256/PLXND1",3,177
"GO:0008277","regulation of G protein-coupled
receptor signaling pathway","3/177","43/11948",0.0255780683693184,0.216661285010697,0.191637540104491,"RAMP1/RGS12/RGS4",3,177
"GO:0007409","axonogenesis","4/177","78/11948",0.0284461716965206,0.21889716993429,0.193615186857084,"CCK/NTNG1/NTNG2/SLITRK6",4,177
"GO:0030168","platelet activation","4/177","78/11948",0.0284461716965206,0.21889716993429,0.193615186857084,"LOC113989956/GNG2/P2RY1/PRKCA",4,177
"GO:0001502","cartilage condensation","2/177","18/11948",0.0285782416303101,0.21889716993429,0.193615186857084,"BMP1/MGP",2,177
"GO:0006491","N-glycan processing","2/177","18/11948",0.0285782416303101,0.21889716993429,0.193615186857084,"ST8SIA2/ST8SIA6",2,177
"GO:0015721","bile acid and bile
salt transport","2/177","18/11948",0.0285782416303101,0.21889716993429,0.193615186857084,"RXRA/SLC10A4",2,177
"GO:0016125","sterol metabolic process","2/177","18/11948",0.0285782416303101,0.21889716993429,0.193615186857084,"LOC114002263/LOC113993669",2,177
"GO:0043401","steroid hormone mediated signaling pathway","2/177","18/11948",0.0285782416303101,0.21889716993429,0.193615186857084,"RXRA/GPER1",2,177
"GO:0097503","sialylation","2/177","18/11948",0.0285782416303101,0.21889716993429,0.193615186857084,"ST8SIA2/ST8SIA6",2,177
"GO:0098962","regulation of postsynaptic neurotransmitter
receptor activity","2/177","18/11948",0.0285782416303101,0.21889716993429,0.193615186857084,"NPTX2/DLGAP3",2,177
"GO:0009311","oligosaccharide metabolic process","2/177","19/11948",0.0316343955620538,0.234812008295657,0.207691907922328,"ST8SIA2/ST8SIA6",2,177
"GO:0050807","regulation of synapse organization","2/177","19/11948",0.0316343955620538,0.234812008295657,0.207691907922328,"LOC113996267/LOC114003844",2,177
"GO:0060976","coronary vasculature development","2/177","19/11948",0.0316343955620538,0.234812008295657,0.207691907922328,"GPC3/PLXND1",2,177
"GO:0016477","cell migration","7/177","207/11948",0.03445165547414,0.250653678156959,0.221703911235322,"GPC3/PTPRF/NTNG1/NTNG2/LURAP1/THBS1/SDC2",7,177
"GO:0007218","neuropeptide signaling pathway","4/177","83/11948",0.0346447387211715,0.250653678156959,0.221703911235322,"NTSR1/POMC/LOC113993090/CARTPT",4,177
"GO:0051928","positive regulation of calcium
ion transport","2/177","20/11948",0.0348130108551331,0.250653678156959,0.221703911235322,"LOC113986509/CAMK2A",2,177
"GO:0006694","steroid biosynthetic process","2/177","21/11948",0.0381098326225412,0.263837302771439,0.23336486575544,"LOC113993669/PRLR",2,177
"GO:0033574","response to testosterone","2/177","21/11948",0.0381098326225412,0.263837302771439,0.23336486575544,"THBS1/LOC113983498",2,177
"GO:0048814","regulation of dendrite morphogenesis","2/177","21/11948",0.0381098326225412,0.263837302771439,0.23336486575544,"LOC113986074/SDC2",2,177
"GO:0051281","positive regulation of release of sequestered
calcium ion into cytosol","2/177","21/11948",0.0381098326225412,0.263837302771439,0.23336486575544,"NTSR1/GPER1",2,177
"GO:0019221","cytokine-mediated signaling pathway","6/177","168/11948",0.0388858486423728,0.266645819261985,0.235849006803364,"POMC/STX1A/VIM/IL1R1/PRLR/FER",6,177
"GO:0051260","protein homooligomerization","4/177","88/11948",0.0415684943623851,0.280076656813615,0.247728621889236,"KCNS1/KCNS2/KCTD12/KCND2",4,177
"GO:0051965","positive regulation of synapse assembly","3/177","52/11948",0.0416225031653567,0.280076656813615,0.247728621889236,"LOC113999057/SLITRK6/LOC113983511",3,177
"GO:0051897","positive regulation of protein
kinase B signaling","5/177","129/11948",0.0427816028663361,0.285210685775574,0.252269685517869,"RASD2/THBS1/FGFR3/KITLG/CALCR",5,177
"GO:0008016","regulation of heart contraction","2/177","23/11948",0.0450415637699902,0.294817508312663,0.260766948142048,"KCNIP2/LOC113999542",2,177
"GO:0060997","dendritic spine morphogenesis","2/177","23/11948",0.0450415637699902,0.294817508312663,0.260766948142048,"LOC113999057/WASL",2,177
"GO:0034446","substrate adhesion-dependent cell spreading","3/177","54/11948",0.045735936973943,0.296665537128279,0.262401535033054,"NTNG1/NTNG2/FER",3,177
"GO:0043410","positive regulation of MAPK cascade","4/177","92/11948",0.0476316956057,0.303938249455382,0.268834270351618,"GRM4/RIT2/FGFR3/GPER1",4,177
"GO:0007267","cell-cell signaling","5/177","133/11948",0.047701419706192,0.303938249455382,0.268834270351618,"POMC/CXCL14/FGFR3/LOC113983498/CARTPT",5,177
"GO:0051899","membrane depolarization","2/177","24/11948",0.0486684453265213,0.304706788131264,0.269514045057624,"CACNA1E/CHRNA4",2,177
"GO:0070555","response to interleukin-1","2/177","24/11948",0.0486684453265213,0.304706788131264,0.269514045057624,"PRKCA/IL1R1",2,177
"GO:0035023","regulation of Rho protein
signal transduction","2/177","25/11948",0.0523974739344602,0.320241989904945,0.283254976451011,"OPHN1/ARHGEF10",2,177
"GO:1900273","positive regulation of long-term
synaptic potentiation","2/177","25/11948",0.0523974739344602,0.320241989904945,0.283254976451011,"AKAP5/LOC114004136",2,177
"GO:0050900","leukocyte migration","4/177","95/11948",0.0524841039010882,0.320241989904945,0.283254976451011,"EPCAM/LOC113993290/GRB14/SDC2",4,177
"GO:0002576","platelet degranulation","4/177","96/11948",0.0541594056677465,0.325828753423408,0.288196485118658,"STXBP1/LOC113995052/THBS1/SELENOP",4,177
"GO:0070374","positive regulation of ERK1
and ERK2 cascade","5/177","138/11948",0.0543047922372347,0.325828753423408,0.288196485118658,"P2RY1/PRKCA/FGFR3/GPER1/CALCR",5,177
"GO:0007169","transmembrane receptor protein tyrosine
kinase signaling pathway","4/177","97/11948",0.0558635067277271,0.331818877347789,0.293494767244755,"LOC113999057/LOC114003844/FGFR3/FER",4,177
"GO:0035094","response to nicotine","2/177","26/11948",0.0562248653283754,0.331818877347789,0.293494767244755,"CHRNA4/LOC113983498",2,177
"GO:0001975","response to amphetamine","2/177","27/11948",0.0601469238229649,0.352079554085648,0.311415395061136,"RGS4/LOC113983511",2,177
"GO:0050804","modulation of chemical synaptic transmission","3/177","61/11948",0.0616360264069175,0.357886604943392,0.316551748524491,"LOC114004136/NTNG1/NTNG2",3,177
"GO:0006027","glycosaminoglycan catabolic process","2/177","28/11948",0.0641600405435907,0.366628803106232,0.324284248361507,"GPC3/SDC2",2,177
"GO:0051966","regulation of synaptic transmission, glutamatergic","2/177","28/11948",0.0641600405435907,0.366628803106232,0.324284248361507,"GRM4/OPHN1",2,177
"GO:0032092","positive regulation of protein binding","3/177","63/11948",0.0665933419987973,0.372331045578168,0.329327898501157,"PLXND1/RAMP1/SPON1",3,177
"GO:0050731","positive regulation of peptidyl-tyrosine
phosphorylation","3/177","63/11948",0.0665933419987973,0.372331045578168,0.329327898501157,"CCK/LOC114004136/KITLG",3,177
"GO:0008344","adult locomotory behavior","2/177","29/11948",0.0682606916893308,0.372331045578168,0.329327898501157,"NTSR1/SLITRK6",2,177
"GO:0032024","positive regulation of insulin secretion","2/177","29/11948",0.0682606916893308,0.372331045578168,0.329327898501157,"DOC2B/GPER1",2,177
