"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","n_annotated"
"GO:0007268","chemical synaptic transmission","17/169","196/11484",4.17283073673207e-09,2.95019133086958e-06,2.65304185788018e-06,"PDYN/HCRT/KCNIP2/CHRNA4/GRIN1/CACNA1E/HTR1B/CHRNB2/KCND2/SLC1A2/GABRA1/HTR4/GAD1/CARTPT/CNP/PLP1/LOC114000755",17,169
"GO:0014059","regulation of dopamine secretion","6/169","26/11484",1.67621555111071e-06,0.000592542197317637,0.000532860101510984,"SYT6/CHRNA4/HTR1B/RAB3A/CHRNB2/SYT9",6,169
"GO:0007205","protein kinase C-activating G protein-coupled receptor
signaling pathway","5/169","28/11484",4.85970681560426e-05,0.0101105770064046,0.00909221843500089,"LOC113989956/HCRT/CCK/HTR1B/LOC113986829",5,169
"GO:0014047","glutamate secretion","5/169","29/11484",5.80268404276634e-05,0.0101105770064046,0.00909221843500089,"STXBP1/RAB3A/STX1A/SLC1A3/SLC1A2",5,169
"GO:0045956","positive regulation of calcium
ion-dependent exocytosis","4/169","16/11484",7.17487576000478e-05,0.0101105770064046,0.00909221843500089,"DOC2B/STXBP1/STX1A/SYT9",4,169
"GO:0007186","G protein-coupled receptor signaling
pathway","18/169","441/11484",8.5804048144876e-05,0.0101105770064046,0.00909221843500089,"PDYN/HCRT/CCK/PLCB1/QRFP/HTR1B/NGEF/PDE2A/GPR22/RGS12/VIP/LOC113992576/HTR4/LOC113983511/CARTPT/CALCR/PTGFR/LOC113983498",18,169
"GO:0006811","ion transport","7/169","78/11484",0.000144938700290955,0.0146388087293865,0.0131643571392086,"CHRNA4/CHRNB2/SLC1A3/SLC1A2/SLC24A4/PLLP/SLC12A2",7,169
"GO:0048013","ephrin receptor signaling pathway","7/169","91/11484",0.000378472411813693,0.0319602777679889,0.0287411714015712,"LOC113999057/GRIN1/NGEF/WASL/CHN2/ARPC1B/SDC2",7,169
"GO:0007626","locomotory behavior","6/169","66/11484",0.000406849363383168,0.0319602777679889,0.0287411714015712,"QRFP/DDHD2/RASD2/CHRNB2/CALB1/LOC113983498",6,169
"GO:0007625","grooming behavior","3/169","11/11484",0.000473627955872323,0.0334854964801733,0.0301127668786193,"QRFP/LOC113983511/LOC113983498",3,169
"GO:0022010","central nervous system myelination","3/169","12/11484",0.00062469253309474,0.0401506928089073,0.0361066306209782,"B4GALT6/LOC113990764/PLP1",3,169
"GO:0035176","social behavior","5/169","53/11484",0.00105500022461626,0.0621570965669749,0.0558965031287915,"BRINP1/CHRNB2/LOC113983511/GAD1/LOC113983498",5,169
"GO:0060996","dendritic spine development","3/169","15/11484",0.00125067702846989,0.0672859588037583,0.0605087755787539,"LOC113999057/LOC113986509/CAMK2A",3,169
"GO:0006816","calcium ion transport","5/169","56/11484",0.00135544389321475,0.0672859588037583,0.0605087755787539,"LOC113986509/CAMK2A/CHRNA4/CACNA1E/CHRNB2",5,169
"GO:0046834","lipid phosphorylation","3/169","16/11484",0.00152273739867063,0.0672859588037583,0.0605087755787539,"LOC113989956/LOC113986829/CERK",3,169
"GO:0046928","regulation of neurotransmitter secretion","3/169","16/11484",0.00152273739867063,0.0672859588037583,0.0605087755787539,"HCRT/LOC113986509/CAMK2A",3,169
"GO:0008542","visual learning","4/169","35/11484",0.00166025583558634,0.0690471103387968,0.06209254022874,"CCK/GRIN1/DDHD2/CHRNB2",4,169
"GO:0050796","regulation of insulin secretion","5/169","60/11484",0.00184871445993568,0.0726133957319179,0.0652996218597163,"CACNA1E/STX1A/RFX3/SYT9/CARTPT",5,169
"GO:0010628","positive regulation of gene expression","11/169","272/11484",0.00228369569018848,0.0849775185770135,0.0764184042589387,"TNC/WHRN/NR5A1/PDE2A/QKI/VSTM2A/CALCR/PTGFR/LOC113983498/ARX/PLP1",11,169
