"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",110,0.537832569122235,2.40198013552126,1e-10,1.1865e-07,1.10631578947368e-07,3792,"tags=61%, list=26%, signal=45%","PPP2R1A/RPS29/CASC3/LOC113990491/RPL19/RPL17/LOC113983589/UBA52/RPS26/RPL38/LOC114003727/SMG5/LOC113996674/LOC113990916/LOC113998898/LOC113990217/RPL6/LOC113989206/RPSA/RPL15/RPS14/LOC113998810/SMG7/RPL32/SMG8/RPL35/LOC113987193/RPS15/EXOSC10/RPL4/RPL23A/RPL3/RPL7A/RPS11/HELZ2/EIF4A3/UPF1/RPL12/RPL22/RPL37A/RPS3/RPS4X/RPS25/RPS3A/RPL23/RPL39/RPL37/RPL10A/RPL9/RPS10/RPS21/PPP2R2A/RPL27/CTIF/RPS20/RPS15A/RPS27A/LOC113988372/MAGOH/RPS28/RPL36/RPL18A/RPS23/RPS5/DCP1B/RPL14/DHX34"
"GO:0019083","viral transcription",100,0.564336856857024,2.48117524913043,1e-10,1.1865e-07,1.10631578947368e-07,3628,"tags=58%, list=25%, signal=44%","RPS29/RPL19/RPL17/LOC113999689/UBA52/RPS26/RPL38/NUP214/NUP98/NUP62CL/LOC113996674/LOC113998898/LOC113990217/RPL6/LOC113989206/RPSA/RPL15/RPS14/LOC113998810/RPL32/NUP88/AAAS/RPL35/NUP188/NUP160/LOC113987193/RPS15/RPL4/RPL23A/RPL3/NUP85/RPL7A/RPS11/RPL12/TPR/RPL22/NUP93/RPL37A/RPS3/RPS4X/RPS25/RPS3A/RPL23/RPL39/RPL37/RPL10A/RPL9/RPS10/RPS21/RPL27/RPS20/RPS15A/RPS27A/RPS28/RPL36/RPL18A/RPS23/RPS5"
"GO:0006413","translational initiation",117,0.48467831819578,2.18001286659601,7.67869306517869e-09,6.07384621455635e-06,5.66337292035285e-06,3786,"tags=58%, list=26%, signal=43%","LOC113998301/RPS29/RPL19/RPL17/LOC113983589/UBA52/RPS26/RPL38/EIF6/EIF3I/LOC114003727/LOC113996674/LOC113998898/LOC113990217/EIF4B/RPL6/LOC113989206/RPSA/RPL15/RPS14/EIF3L/LOC113998810/RPL32/RPL35/LOC113987193/RPS15/EIF3D/RPL4/RPL23A/RPL3/RPL7A/RPS11/LARP1/DHX33/RPL12/RPL22/EIF4E1B/RPL37A/EIF4E2/RPS3/LOC113985040/RPS4X/EIF1/RPS25/RPS3A/EIF2B3/RPL23/RPL39/EIF2B5/RPL37/RPL10A/RPL9/RPS10/RPS21/EIF3A/RPL27/EIF2B2/RPS20/RPS15A/EIF2B1/RPS27A/RPS28/RPL36/RPL18A/RPS23/RPS5/RPL14/EIF2A"
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane",81,0.53535842777052,2.2657921215701,3.64204567909687e-08,2.16064359912422e-05,2.01462632038464e-05,3764,"tags=62%, list=26%, signal=46%","RPS29/RPL19/RPL17/UBA52/RPS26/SRPRA/RPL38/LOC113996674/LOC113998898/LOC113990217/RPL6/LOC113989206/RPSA/RPL15/RPS14/LOC113998810/RPL32/RPL35/LOC113987193/RPS15/RPL4/RPL23A/RPL3/RPL7A/RPS11/SRP72/RPL12/RPL22/RPL37A/RPS3/RPS4X/RPS25/RPS3A/RPL23/RPL39/RPL37/RPL10A/RPL9/RPS10/RPS21/RPL27/RPS20/RPS15A/RPS27A/RPS28/RPL36/RPL18A/RPS23/RPS5/RPL14"
"GO:0006412","translation",148,0.427491894682078,1.99561147344468,3.16590892079449e-07,0.000150254037380907,0.000140099801084421,4370,"tags=54%, list=30%, signal=38%","TNIP1/EEF1A2/RPS29/RPL19/RPL17/LOC113983589/RPS26/RPL38/GGT7/LOC114003727/LOC113996674/LOC113998898/CPEB1/LOC113990217/RPL6/LOC113989206/RPSA/RPL15/RPS14/LOC113998810/RPL32/RPL35/LOC113987193/MRPL9/RPS15/RPL4/RPL23A/RPL3/RPS6KB2/RPL7A/RPS11/MRPL43/LOC113996700/RPL12/RPL22/MRPS16/MRPL23/RPL37A/RPS3/RPS4X/GCN1/RPS25/MRPS14/RPS3A/RPL23/RPL39/MRPL28/RPL37/RPL10A/IGHMBP2/RPL9/RPS10/MRRF/RPS21/RPL27/PABPC4/RPS20/RPS15A/RPS27A/MRPL10/GGT5/PDF/RPS28/RPL36/RPL18A/MRPS15/RPS23/RPS5/RPL14/MRPS18B/MRPL55/FARSB/MRPS7/RPL11/GEMIN5/MRPL37/LOC113995601/RPL35A/RPLP0/EIF4EBP2"
"GO:0045766","positive regulation of angiogenesis",97,-0.498147616455699,-1.95954107303206,4.90904785197028e-06,0.00194152842545424,0.0018103190499722,3672,"tags=46%, list=25%, signal=35%","F3/ETS1/LOC113998942/C3AR1/PGF/NFE2L2/TERT/SFRP2/CX3CR1/LOC113997171/AKT3/TEK/VEGFC/PDCD6/PIK3CD/KDR/AGGF1/AGO2/HK2/TGFBR2/VEGFD/HMOX1/HIF1A/CDH5/FLT1/ITGB1/PRKD1/PLCG1/LOC113996102/VASH2/VEGFA/RRAS2/TLR3/GAB1/NR2E1/ANGPT2/SASH1/MTDH/DDAH1/AQP1/LOC113988059/RHOB/ITGB8/THBS1/PRKCA"
"GO:0007204","positive regulation of cytosolic calcium ion concentration",95,-0.501087290804614,-1.96838123743969,1.2122692252765e-05,0.00410959267368734,0.00383186452861836,1434,"tags=26%, list=10%, signal=24%","AGTR1/PDGFRA/IAPP/SELENOT/LRP1B/CD24/LOC113992301/LPAR1/HMGB1/ITGAV/JAK2/GALR1/NMB/EDNRA/PLCE1/NMU/SWAP70/CXCR4/GJA1/P2RY1/GPER1/LOC113983498/PTGFR/LOC113983511/CALCR"
"GO:0000398","mRNA splicing, via spliceosome",232,0.326850843319506,1.65134288788614,3.79335549570162e-05,0.0112520407391249,0.0104916226999537,3443,"tags=34%, list=24%, signal=26%","RALY/SNRNP200/LOC114003209/PRPF8/SF3A1/DDX41/CSTF2/PRPF6/SF3B3/SNRPC/LOC113985989/SPEN/RBM22/CASC3/DDX23/POLR2G/IK/LOC113988658/EFTUD2/RBM5/USP39/SF3A2/PCBP2/POLR2E/LOC114004318/U2AF2/LOC113991857/SF1/PRPF3/PRPF19/SF3B4/WBP11/PPIE/RBM6/LOC113997733/CTNNBL1/SNRPB/BUD13/CHERP/RBM19/CPSF7/CACTIN/CRNKL1/LOC113989432/PRPF40A/POLR2C/TFIP11/ZMAT2/EIF4A3/SNRNP25/RBM41/SRSF4/LOC113998492/MFAP1/RSRC1/PRPF4/DHX9/CWF19L1/POLR2F/LOC113995977/LOC113992597/SNRPA1/CPSF4/LOC113993656/PLRG1/METTL14/DHX8/DDX42/RBMX2/CWC25/SYF2/SART3/LOC113989853/LOC113984740/CDC5L/ZMAT5/RAVER2/LOC113988372/MAGOH"
"GO:0007267","cell-cell signaling",133,-0.42876823814479,-1.77004641029743,7.21413245100086e-05,0.0190212625624723,0.0177357969731039,1327,"tags=20%, list=9%, signal=18%","IAPP/FGF9/PCDH7/LNPEP/PANX2/LOC113987004/ADAM10/GJE1/FGF13/FADS1/NMB/CCN6/VIPR2/GJA3/FJX1/LOC113988059/TRH/AGT/CRB1/NAMPT/ESR2/GJA1/CXCL14/FGFR3/LOC113983498/CARTPT"
"GO:0006110","regulation of glycolytic process",38,0.549855836067602,1.99587098585148,0.000128627149822939,0.0305232226529834,0.0284604493608229,2592,"tags=45%, list=18%, signal=37%","LOC113999689/NUP214/EIF6/NUP98/NUP62CL/PGAM1/EP300/NUP88/AAAS/OGT/NUP188/NUP160/PRKAG1/NUP85/TPR/NUP93/JMJD8"
"GO:0071526","semaphorin-plexin signaling pathway",33,0.570087362309537,1.97935677424529,0.000225496949771557,0.0453900014824996,0.0423225245042758,1121,"tags=39%, list=8%, signal=36%","LOC113986256/PLXND1/SEMA4G/SEMA4A/PLXNA4/SEMA7A/LOC113982696/LOC113993848/SEMA4B/SEMA3F/SEMA4C/SEMA3D/ARHGDIA"
"GO:1904837","beta-catenin-TCF complex assembly",32,0.582803755154151,1.98059662698622,0.000229532245170668,0.0453900014824996,0.0423225245042758,3124,"tags=59%, list=22%, signal=47%","LOC113983693/BCL9L/LOC113983694/LOC113991570/BCL9/RBBP5/LOC113985909/PYGO2/MEN1/EP300/KMT2D/LOC113998423/ASH2L/LOC113985906/CTNNB1/CREBBP/TLE4/TRRAP/HDAC1"
"GO:0045773","positive regulation of axon extension",29,0.583064022910809,1.95224635483852,0.000270832062095737,0.0494372679502449,0.0460962748603433,2126,"tags=52%, list=15%, signal=44%","TRPC5/SEMA7A/MAPT/NDEL1/PAK1/LOC113983261/ANAPC2/DBN1/LIMK1/NTN1/TWF2/DBNL/MAP3K13/SRF/ZFYVE27"
