"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalues","rank","leading_edge","core_enrichment"
"GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",111,0.632991152658302,3.03631502388413,1e-10,4.54e-08,4.24842105263158e-08,2522,"tags=62%, list=18%, signal=51%","RPS29/RPL38/UBA52/PPP2R1A/RPS14/RPL23A/RPL19/LOC113990217/LOC113998810/RPL17/RPL32/RPL15/LOC113989206/RPS26/LOC114003727/RPL35/LOC113998898/RPS11/RPL37/RPSA/RPL7A/RPL6/RPS21/CASC3/RPL39/RPL10A/RPS15/LOC113990491/RPS4X/RPS15A/RPS25/LOC113983589/RPL4/RPS8/RPS23/RPL11/RPL37A/RPL22/LOC113987193/RPL27/EIF4A3/RPS3/RPL9/RPL3/LOC113990916/RPL12/RPS20/RPL18A/RPL36/RPL14/SMG7/RPS27A/RPL27A/RPL31/RPL35A/RPS3A/SMG8/EXOSC10/RPS5/RPL23/RPS12/RPL7/SMG5/RPL29/MAGOH/RPL5/RPL13/RPS28/RPS6"
"GO:0006412","translation",148,0.543955101940404,2.7509472760983,1e-10,4.54e-08,4.24842105263158e-08,3111,"tags=56%, list=23%, signal=44%","RPS29/RPL38/EEF1A2/RPS14/TNIP1/RPL23A/RPL19/LOC113990217/LOC113998810/RPL17/RPL32/RPL15/LOC113989206/RPS26/LOC114003727/RPL35/LOC113998898/RPS11/RPL37/RPSA/RPL7A/RPL6/RPS21/RPL39/RPL10A/RPS15/RPS4X/RPS15A/RPS25/LOC113983589/RPL4/RPS8/RPS23/RPL11/RPL37A/RPL22/GGT7/LOC113987193/RPL27/MRPL43/RPS3/RPL9/RPL3/RPL12/RPS20/RPL18A/MRPL23/RPL36/RPL14/RPS27A/RPL27A/RPL31/RPL35A/RPS3A/MRPS14/RPS5/RPL23/RPS12/RPS6KB2/MRPS7/MRPL9/RPL7/GCN1/RPL29/RPL5/RPL13/RPS28/RPS6/MRPS15/CPEB1/RPLP0/PABPC4/MRPL28/MRRF/MRPL10/MRPL55/RPS7/RPL34/GEMIN5/FARSB/IGHMBP2/GGT5/MRPS18B"
"GO:0006413","translational initiation",117,0.585749136828863,2.86524269244807,1e-10,4.54e-08,4.24842105263158e-08,2424,"tags=59%, list=18%, signal=49%","RPS29/LOC113998301/RPL38/UBA52/RPS14/RPL23A/RPL19/LOC113990217/LOC113998810/RPL17/RPL32/RPL15/LOC113989206/RPS26/LOC114003727/RPL35/LOC113998898/RPS11/RPL37/EIF3L/RPSA/RPL7A/RPL6/RPS21/RPL39/RPL10A/RPS15/RPS4X/RPS15A/RPS25/EIF3I/LOC113983589/RPL4/RPS8/EIF6/RPS23/RPL11/RPL37A/RPL22/LOC113987193/RPL27/EIF3D/RPS3/RPL9/RPL3/RPL12/RPS20/EIF1/RPL18A/RPL36/RPL14/EIF2B3/RPS27A/RPL27A/RPL31/RPL35A/RPS3A/RPS5/EIF4E2/EIF4E1B/RPL23/RPS12/EIF4B/RPL7/RPL29/RPL5/EIF2B2/RPL13/RPS28"
"GO:0006614","SRP-dependent cotranslational protein targeting to membrane",81,0.679835395707452,3.07922162536374,1e-10,4.54e-08,4.24842105263158e-08,2522,"tags=73%, list=18%, signal=60%","RPS29/RPL38/UBA52/RPS14/RPL23A/RPL19/LOC113990217/LOC113998810/RPL17/RPL32/RPL15/LOC113989206/RPS26/RPL35/LOC113998898/RPS11/RPL37/RPSA/RPL7A/SRPRA/RPL6/RPS21/RPL39/RPL10A/RPS15/RPS4X/RPS15A/RPS25/RPL4/RPS8/RPS23/RPL11/RPL37A/RPL22/LOC113987193/RPL27/RPS3/RPL9/RPL3/RPL12/RPS20/RPL18A/RPL36/RPL14/RPS27A/RPL27A/RPL31/RPL35A/RPS3A/RPS5/SRP72/RPL23/RPS12/RPL7/RPL29/RPL5/RPL13/RPS28/RPS6"
"GO:0019083","viral transcription",100,0.686477663357562,3.23295247511207,1e-10,4.54e-08,4.24842105263158e-08,2522,"tags=66%, list=18%, signal=54%","RPS29/RPL38/UBA52/RPS14/RPL23A/RPL19/LOC113990217/LOC113998810/RPL17/RPL32/RPL15/LOC113989206/RPS26/RPL35/LOC113998898/LOC113999689/RPS11/RPL37/RPSA/RPL7A/RPL6/RPS21/RPL39/RPL10A/RPS15/NUP214/RPS4X/RPS15A/RPS25/RPL4/RPS8/RPS23/RPL11/RPL37A/RPL22/NUP62CL/LOC113987193/RPL27/RPS3/RPL9/RPL3/RPL12/RPS20/RPL18A/RPL36/RPL14/NUP98/RPS27A/RPL27A/RPL31/RPL35A/RPS3A/RPS5/NUP160/RPL23/RPS12/RPL7/RPL29/TPR/NUP85/RPL5/RPL13/RPS28/NUP188/NUP88/RPS6"
"GO:0002181","cytoplasmic translation",33,0.704716642895754,2.6457720812964,1.78202007692758e-08,6.74197595770936e-06,6.30897634252608e-06,2793,"tags=85%, list=20%, signal=68%","RPS29/RPL38/RPL19/LOC113990217/RPL17/RPL32/RPL26L1/RPL15/RPS26/LOC113998898/RPSA/RPL6/RPS21/RPL39/RPL10A/RPS23/RPL11/RPL22/RPL9/RPL18A/RPL36/RPL31/RPL35A/RPL29/RPS28/DRG2/RPL22L1/RPLP0"
"GO:0042552","myelination",44,-0.652177823858819,-2.23161757781668,4.11598994779607e-07,0.000133475674021387,0.000124903273904548,1384,"tags=39%, list=10%, signal=35%","SBF2/NAB1/LOC113994464/ACER3/LOC113994484/LPAR1/LOC114001565/OLIG2/LOC113997666/ADGRG6/SCN1A/TSPAN2/BCAS1/FAM126A/PLLP/QKI/LOC114000755"
"GO:0006120","mitochondrial electron transport, NADH to ubiquinone",37,0.575224562886545,2.22432442369645,2.3319464725959e-05,0.00661689811599086,0.00619193155486647,3385,"tags=62%, list=25%, signal=47%","NDUFA13/NDUFB9/NDUFB10/NDUFA4/NDUFA6/NDUFA8/NDUFAB1/NDUFB11/COQ9/NDUFV1/NDUFA10/NDUFA12/NDUFV2/NDUFB3/NDUFS8/LOC113998672/NDUFB8/NDUFS7/NDUFB5/NDUFB4/NDUFA7/NDUFS5/NDUFS1"
"GO:0045766","positive regulation of angiogenesis",96,-0.471982540719246,-1.85260123269656,5.12185049354321e-05,0.0129184451337145,0.0120887652584447,4115,"tags=50%, list=30%, signal=35%","SFRP2/TERT/C3AR1/XBP1/CTSH/ANGPTL4/TGFBR2/NFE2L2/HMGA2/TEK/CX3CR1/PDPK1/WNT5A/ETS1/LOC113998942/VEGFC/AKT3/HK2/PDCD6/NR2E1/KDR/AGO2/FLT1/PRKD1/LOC113996102/BTG1/ITGB1/LOC113988059/HIF1A/TLR3/VEGFD/CDH5/SASH1/AGGF1/ISL1/VASH2/VEGFA/RRAS2/THBS1/RHOB/DDAH1/ANGPT2/HMOX1/PRKCA/MTDH/ITGB8/GAB1/AQP1"
"GO:0030148","sphingolipid biosynthetic process",48,-0.561233375612363,-1.97794403527224,7.6593881330257e-05,0.0164415495734897,0.0153856002964536,2572,"tags=42%, list=19%, signal=34%","PRKD3/ELOVL7/VAPA/ELOVL2/PRKD1/SAMD8/SGMS2/SPTLC1/FA2H/ACER3/ELOVL6/ELOVL4/CERS6/DEGS1/SPTSSA/HACD2/SGPP1/HACD1/KDSR/ELOVL5"
