"gene","moduleColor","best_anno","display_gene_ID","GS.status","p.GS.status","GS.mean_T","p.GS.mean_T","GS.strength","p.GS.strength"
"A1CF","turquoise","A1CF","A1CF",-0.021644502609238,0.858839967977138,0.0899014843325677,0.459222898951532,0.0463901900622898,0.702947206235638
"A2M","pink","A2M","A2M",-0.0693995711345133,0.568085957861665,-0.0131167533992267,0.914177152950684,-0.00228060753514059,0.985050605154893
"A4GNT","pink","A4GNT","A4GNT",0.126185058997235,0.297922759518193,0.0800394027866131,0.510115416434641,-0.0325810305291932,0.788887665638003
"AAAS","turquoise","AAAS","AAAS",-0.067462025781658,0.578964653010599,0.0517189678097964,0.670686932336355,0.153484104528483,0.204601577570777
"AACS","turquoise","AACS","AACS",0.0253885336655401,0.834741292374031,-0.00797054249245044,0.947786552528334,-0.0212852129570254,0.861159699611989
"AADAC","pink","AADAC","AADAC",-0.0475540690654507,0.695853908639282,-0.175463360020297,0.146252319758623,-0.117700693580419,0.331846234116097
"AADAT","brown","AADAT","AADAT",-0.0142857998457338,0.90656096972211,0.0323483893224246,0.790360559663358,0.0464799695706396,0.70239913189962
"AAGAB","brown","AAGAB","AAGAB",-0.0509520878870028,0.675294862990235,-0.142980991072839,0.237680732079196,-0.0188772940801786,0.876735575565568
"AAK1","blue","AAK1","AAK1",0.00287951440567415,0.981125408961029,0.0213406208503018,0.860801885047644,-0.0365145484688995,0.764099401286856
"AAMDC","pink","AAMDC","AAMDC",-0.0159468500376755,0.895754043322806,-0.0487295195318463,0.688716400352855,0.0245088665587191,0.840390557945506
"AAMP","brown","AAMP","AAMP",0.0165146292964714,0.892064258428847,-0.0233120222253058,0.84808962324518,0.015737282879715,0.897116503378614
"AAR2","magenta","AAR2","AAR2",-0.0195093247661269,0.872642450006208,-0.0437422587904723,0.719178775360694,-0.0717798435996879,0.554853886786967
"AARS","midnightblue","AARS","AARS",0.208102486769776,0.083855323828032,0.0621661983545931,0.609176320050939,0.044592611079488,0.713952275388422
