"gene","moduleColor","best_anno","display_gene_ID","MM.black","MM.blue","MM.brown","MM.grey","MM.grey60","MM.lightcyan","MM.lightgreen","MM.magenta","MM.midnightblue","MM.pink","MM.turquoise"
"A1CF","turquoise","A1CF","A1CF",-0.22619165535833,-0.243481397670354,-0.687531285275333,0.156693128759943,-0.0778892751344284,-0.559001606549154,-0.00421677560746327,-0.75589192485064,0.586543679880649,0.453108512229169,0.790774238394059
"A2M","pink","A2M","A2M",0.4413365404097,-0.811700376622423,-0.909909835054084,0.0367603523996395,-0.486247206025791,-0.648156892972613,-0.272183274382314,-0.389813502072433,0.0768915282173579,0.903809922537304,0.802687145526004
"A4GNT","pink","A4GNT","A4GNT",0.794612767196858,-0.896728760309775,-0.645272380978996,0.00221496678635834,-0.419198632548412,-0.257732076326767,-0.509738021481621,0.124246088518635,-0.415469966417594,0.849390865031802,0.418385771107711
"AAAS","turquoise","AAAS","AAAS",0.0638916152153176,-0.516947675310372,-0.840621516123678,-0.0711286289421958,-0.260359102530688,-0.697207884930673,-0.229156502643832,-0.651702081980082,0.425396784613215,0.697332269342294,0.858469709340269
"AACS","turquoise","AACS","AACS",-0.502568159738937,-0.0410073082065743,-0.658070067886436,0.0488754794565972,-0.055558496306778,-0.640671912312623,0.119562150549697,-0.963496999628911,0.851147756510229,0.320414746575119,0.852304658261325
"AADAC","pink","AADAC","AADAC",0.720700960234536,-0.849730897152533,-0.636165835280626,-0.100922555687859,-0.476452994214185,-0.321426930793542,-0.40006528474872,0.0779197181430716,-0.35281517414504,0.802500565105358,0.430068725609707
"AADAT","brown","AADAT","AADAT",0.0193568044310438,0.441710088971521,0.812752967287952,0.180372106463919,0.0964099564139419,0.758961054936845,0.378763614330787,0.705678654234534,-0.514685219159134,-0.640683024888316,-0.859084015044731
"AAGAB","brown","AAGAB","AAGAB",-0.408180719237608,0.758957155968289,0.838670291273103,-0.00723575859530158,0.194404163164336,0.461818607912714,0.463336937598522,0.351856029397193,-0.0704707466108519,-0.83642629135516,-0.735129275028341
"AAK1","blue","AAK1","AAK1",-0.604995465250889,0.923782136211374,0.882153350231559,-0.0530073565922343,0.449250187980824,0.382876456549991,0.420441103609708,0.213895342208368,0.129565942413077,-0.957023165924952,-0.718981827932665
"AAMDC","pink","AAMDC","AAMDC",0.708353637984261,-0.782504975765616,-0.513419965339051,0.262572571433991,-0.191028174029357,0.0934124612886289,-0.52513190588684,0.180565788243648,-0.459330520240079,0.718448146350468,0.306828148411736
"AAMP","brown","AAMP","AAMP",-0.0554466929300075,0.581314419081307,0.941044426195537,-0.0931583110312376,0.318111810777245,0.660787038314582,0.148364111886574,0.728229145763876,-0.449689128941938,-0.776768139134338,-0.960543526542966
"AAR2","magenta","AAR2","AAR2",0.353434525483497,0.192604627691107,0.745805126197273,0.0452185790826746,0.0258960134803177,0.736896410742078,-0.0129304348137819,0.914373132167912,-0.772111059929608,-0.44084098791107,-0.885624203045791
"AARS","midnightblue","AARS","AARS",-0.600292496055719,0.394746986488668,-0.0393590419972978,-0.38801448584956,0.281002195610848,-0.50049622389351,0.267417147940933,-0.550798410407314,0.67717649389524,-0.230442060083663,0.23574544508353
"AARS2","turquoise","AARS2","AARS2",-0.0857537031339726,-0.448829153307786,-0.895345004064923,-0.124945592390565,-0.256977251923729,-0.828520228079612,-0.138155134997661,-0.820477294457019,0.598118067150769,0.679869752978237,0.964777994512044
"AASDH","brown","AASDH","AASDH",0.0526530223899502,0.187216117616726,0.415239226329084,-0.184610669780153,0.087178910166743,0.380616224253702,-0.0907214736287999,0.39155141845713,-0.278785990639922,-0.307099309499648,-0.444558649761777
"AASDHPPT","pink","AASDHPPT","AASDHPPT",0.450023674290221,-0.673325808930021,-0.608210544740545,0.306161969430924,-0.276284148326299,-0.0583629657989403,-0.216062444674547,-0.104989653517969,-0.173269010918514,0.678051190074438,0.482150932638933
"AASS","blue","AASS","AASS",-0.565298079291456,0.488212163990351,0.184308385940137,0.157956060095517,0.246826566000965,0.000977425858550236,0.226563261825986,-0.324582579344953,0.444374420297587,-0.381846730434881,-0.000900493829201346
"AATF","black","AATF","AATF",0.438139855082665,-0.42876837614695,-0.24504350613913,-0.380090743425938,-0.421893858751997,-0.271934483233071,-0.0298701696024352,0.1551009942019,-0.24606088911165,0.36884982337955,0.114188253886988
"AATK","blue","AATK","AATK",-0.751638252767534,0.986816375369102,0.833807391274306,-0.0430781503362294,0.56448528829443,0.362896539676423,0.417042662991583,0.0558072422184522,0.293140780706267,-0.980911964657591,-0.624438809777954
"ABAT","brown","ABAT","ABAT",-0.32962084488226,0.778038757826567,0.97400725584238,0.0663176811815363,0.440847771154857,0.680902869355194,0.293508561297145,0.532317607861482,-0.225572190465772,-0.915413268521238,-0.908437888314781
"ABCA1","blue","ABCA1","ABCA1",-0.869661963357283,0.903601058860926,0.548958274275522,-0.168657709886132,0.383528610404103,-0.0188692918132422,0.558094635203654,-0.281860602860497,0.583294436986722,-0.812336215203188,-0.292837818612356
"ABCA12","turquoise","ABCA12","ABCA12",-0.524007123834934,0.0493318389133246,-0.525008150880644,-0.0332083340178524,-0.13430330546889,-0.633756981823282,0.341033185017303,-0.871728955281001,0.803341033954306,0.1968315832559,0.718564866850359
"ABCA13","pink","ABCA13","ABCA13",0.80691290292635,-0.951021912524683,-0.70398447084787,-0.108903631694156,-0.500894858414786,-0.28597439621254,-0.52221217270924,0.0935367489735781,-0.400768750829576,0.897268171480164,0.4724850154298
"ABCA2","blue","ABCA2","ABCA2",-0.632000175403993,0.916626762527171,0.842283467651835,-0.100306033500784,0.691206803868769,0.357146202882385,0.247345185496532,0.155472153282677,0.188031194640892,-0.939455350450321,-0.67104596680349
"ABCA3","brown","ABCA3","ABCA3",-0.335491334537225,0.792245248782846,0.976937228033077,-0.125589525343024,0.38120217219215,0.545178265674042,0.321337164030016,0.520807423128312,-0.188004870555889,-0.923063080887897,-0.907490577340774
"ABCA4","turquoise","ABCA4","ABCA4",0.148281301543404,-0.633475502521066,-0.928443565907975,0.224319013163236,-0.358156315361754,-0.584409601803534,-0.160872667767854,-0.640140609803817,0.349599173330736,0.80541031521751,0.918155022938587
"ABCA5","blue","ABCA5","ABCA5",-0.749090810968807,0.857969679838645,0.615902463884881,-0.218214115594922,0.346652143898274,0.0916302758925877,0.565614806317499,-0.120369521117281,0.414114304560391,-0.810690880826135,-0.399013757625032
"ABCA7","brown","ABCA1","ABCA7",-0.527054286515804,0.869467428626154,0.901488434195423,-0.109055048821239,0.395659060401709,0.466509156117982,0.470124333544282,0.305209367344129,0.0302088091396213,-0.946854989846655,-0.771326264795462
"ABCB10","black","ABCB10","ABCB10",0.949492361105975,-0.698482706688502,-0.0968752708821812,-0.0208242971797978,-0.448728330443774,0.278751440639406,-0.353834606221327,0.722704902746471,-0.89530475189602,0.474347889026611,-0.207745886806176
"ABCB11","turquoise","ABCB1","ABCB11",0.0831322220258029,-0.555782470855167,-0.872400646619246,0.0797008391096823,-0.346327769452641,-0.668554560534258,-0.0446383556340654,-0.648638724955009,0.391594439389272,0.725130843273384,0.878442387088727
"ABCB5","turquoise","ABCB1","ABCB5",0.297963859685764,-0.740606049881691,-0.93763750870467,0.0247985584099298,-0.358801642542639,-0.60339997465475,-0.372454864233253,-0.526942585848994,0.228359195841369,0.871933308918606,0.881582953882869
"ABCB6","magenta","ABCB6","ABCB6",0.236606536301179,0.314091018311994,0.812381548184387,-0.148420330836863,0.107860480978418,0.595657790711296,0.0874878769843508,0.864290768954554,-0.66082591122161,-0.555384096416985,-0.923023968284583
"ABCB7","pink","ABCB7","ABCB7",0.339884057606827,-0.672583042690679,-0.76850745877012,-0.099928158689974,-0.26826968977908,-0.424389617079232,-0.46131217835044,-0.350980435696135,0.091254044645695,0.767153935631567,0.698549303621295
"ABCB8","black","ABCB8","ABCB8",0.499358410530532,-0.2600841874348,0.11309412496735,-0.369510373854668,-0.216260496393177,-0.00153038786241347,-0.111646059057809,0.500395008257144,-0.499210385965991,0.0974632384587222,-0.288214968910108
"ABCB9","brown","ABCB9","ABCB9",-0.270100178568757,0.721137229858227,0.939786475954963,-0.0165594880085338,0.46039844448278,0.661672257616791,0.185704917412222,0.549644767152743,-0.249096893965447,-0.861201580129777,-0.887594052404346
"ABCC10","turquoise","ABCC1","ABCC10",-0.205098914438359,-0.288072697462646,-0.750176112132302,-0.189808556265072,-0.287006153651629,-0.811583691421523,0.0616198322283216,-0.800962893796071,0.64248842428765,0.508129442395835,0.852094236060173
"ABCC2","turquoise","ABCC2","ABCC2",-0.0393361544326847,-0.16247666816579,-0.347739531575328,-0.056823721742625,-0.14358298387861,-0.446966925937226,-0.0813766493661122,-0.331702115924253,0.257589904540554,0.252828283623758,0.379999542425273
"ABCC3","black","ABCC3","ABCC3",0.906968098784095,-0.612513307366653,0.00299287083306269,-0.176251637376724,-0.40696359065083,0.251278548383256,-0.307230831129063,0.764083900939524,-0.889392589103948,0.371535876887244,-0.299307834554211
"ABCC4","turquoise","ABCC4","ABCC4",-0.117081518384551,-0.380784340825777,-0.787407264302125,0.19162344221486,-0.0532540261184851,-0.472411354583228,-0.188645592737572,-0.744343081193206,0.530667261862931,0.587658849173354,0.860386034284096
"ABCC5","brown","ABCC5","ABCC5",-0.172027903976836,0.661422439612229,0.954213088278656,-0.0919489337199704,0.39120712035227,0.661523882614342,0.15900600249387,0.643725767427375,-0.350427428835174,-0.83486814982842,-0.937674368477892
"ABCC8","magenta","ABCC8","ABCC8",0.229909810371593,0.313007469515031,0.814810726838778,-0.0332912842299005,0.147090445662914,0.685984532693688,0.00299512415066039,0.86681191899431,-0.678732674297284,-0.555668668060737,-0.925582444531115
"ABCC9","black","ABCC9","ABCC9",0.884818173114626,-0.526576706576222,0.121944759790414,-0.167795031043282,-0.285810394032358,0.35065521094106,-0.395704861607496,0.841239774167002,-0.931293299815683,0.271430054924155,-0.412668883686809
"ABCD2","blue","ABCD2","ABCD2",-0.608980976867853,0.917434496382571,0.8791896130276,0.0743206559217899,0.59779017666603,0.516220281793594,0.292413128862831,0.213216961867716,0.116218933326975,-0.950943511255774,-0.713340362721764
"ABCD3","magenta","ABCD3","ABCD3",0.575195651625274,-0.177539761882102,0.403848469914668,0.218629125846515,0.0162381398838198,0.777967503889843,-0.227952973718536,0.837096474615959,-0.84731779129019,-0.0769599169907979,-0.610364133589597
"ABCD4","midnightblue","ABCD4","ABCD4",-0.662670412386574,0.422824049816799,-0.0644755398985186,-0.301544098899422,-0.00639666187645348,-0.487186963728359,0.366901945327604,-0.620640220977221,0.725499645734165,-0.224467275775741,0.290945319537596
"ABCE1","black","ABCE1","ABCE1",0.873142752787357,-0.699455974184592,-0.182450708411491,0.28530234265268,-0.420299771174815,0.341302037249132,-0.360930378016477,0.592615238688406,-0.801567799887366,0.522213005214312,-0.0905913541216418
"ABCF2","turquoise","ABCF2","ABCF2",0.0382036747006275,-0.567920575014894,-0.956150677326823,-0.0722646230514673,-0.310011049766759,-0.814142607286609,-0.174787683466834,-0.765218125438608,0.508572358162085,0.77794248748615,0.985161728252607
"ABCF3","turquoise","ABCF3","ABCF3",-0.411231443274365,-0.0120525206501129,-0.533795950251195,-0.384945202110037,-0.0327075479080323,-0.873236761873895,0.0815707048506626,-0.808137869512851,0.776695330249801,0.240326470020514,0.690694629046547
"ABCG1","magenta","ABCG1","ABCG1",0.363565004015474,0.189182970564348,0.759254580058995,-0.113441972577436,0.0396208304844388,0.68459101656882,-0.0327403771410853,0.932369907150732,-0.771894743309718,-0.454611409353669,-0.906009982824274
"ABCG2","turquoise","ABCG2","ABCG2",-0.282951304590709,-0.257968656801098,-0.787031916277388,0.0444002959641216,-0.134782132782688,-0.722829468085226,-0.0435423106340848,-0.891248599371862,0.717332510494185,0.511876394451105,0.913264943947631
"ABCG4","blue","ABCG4","ABCG4",-0.725832363904646,0.977890040643076,0.845264583925382,-0.0558859178791768,0.544069761389239,0.354645159004193,0.436482183382108,0.086240977916817,0.262685163580367,-0.979793737874272,-0.644943982308357
"ABHD10","black","ABHD10","ABHD10",0.956492021292745,-0.855153318792999,-0.358964894430915,0.0783743838355148,-0.476906744356849,0.135290305370844,-0.465868549052223,0.512564125822447,-0.76861222559643,0.691105706969271,0.0632716450698146
"ABHD11","turquoise","ABHD11","ABHD11",0.193427656353946,-0.394306577923312,-0.493517013361577,-0.326214661735397,-0.0747625100506712,-0.564296085208039,-0.2985213959169,-0.264801228990863,0.145347619810649,0.466109484107416,0.4510450611775
"ABHD12","brown","ABHD12","ABHD12",-0.385214103868511,0.822476755959725,0.980247849351884,-0.014673300464305,0.486462010152451,0.635194699616113,0.30052611796014,0.487168379873962,-0.160102535098931,-0.941779938992289,-0.894879005656575
"ABHD12B","brown","ABHD12","ABHD12B",-0.187274619286062,0.652445270046805,0.893988020574472,-0.183097283999455,0.229279075995215,0.451717068341668,0.309574506260928,0.573019303936168,-0.277096921197755,-0.797505793482847,-0.869003957046206
"ABHD13","magenta","ABHD13","ABHD13",0.609882010633469,-0.280874494976778,0.243349271113704,0.203708564553708,-0.10937882380165,0.605582669329936,-0.190702099176235,0.726192651220889,-0.776101643655012,0.0696550382216284,-0.449358524042344
"ABHD14A","turquoise","ABHD14A","ABHD14A",0.267436633314807,-0.723104786750049,-0.94881329265566,0.0333603457375335,-0.419322678734357,-0.654701665232458,-0.22854026369736,-0.559862190801313,0.259216916061856,0.869830462396729,0.902375850716596
