"gene","moduleColor","best_anno","display_gene_ID","MM.black","MM.blue","MM.brown","MM.grey","MM.grey60","MM.lightcyan","MM.lightgreen","MM.magenta","MM.midnightblue","MM.pink","MM.turquoise"
"A1CF","turquoise","A1CF","A1CF",0.0597190288042283,0.0422439047669709,4.89901808171193e-11,0.195181563992632,0.521581511416444,4.9156117223434e-07,0.972362837211864,3.90667735235751e-14,9.5198600611966e-08,8.18916305077801e-05,3.86097462962865e-16
"A2M","pink","A2M","A2M",0.00013113752756593,1.55365456037937e-17,1.08962933389337e-27,0.762557927178339,1.976041168271e-05,1.31231530650659e-09,0.0226393966450301,0.000850865727684046,0.526945932916264,9.12563056735328e-27,6.4976427064234e-17
"A4GNT","pink","A4GNT","A4GNT",2.20234167257629e-16,9.06580108986247e-26,1.63889593333922e-09,0.985480833494066,0.000303841275707308,0.0312363309268774,6.57291703628174e-06,0.305468169403637,0.000348082832955567,1.50847475963178e-20,0.000313022147787641
"AAAS","turquoise","AAAS","AAAS",0.599257932079961,4.61113611309496e-06,8.8787357652966e-20,0.558459347145428,0.0294962025767816,2.01510754689206e-11,0.0563632764052427,9.95419118217675e-10,0.0002415393640895,1.99177435973298e-11,2.12981785106615e-21
"AACS","turquoise","AACS","AACS",9.27732212661966e-06,0.736074700823224,6.00334262878749e-10,0.687831983155739,0.647801032558405,2.32480139489874e-09,0.324202217827347,1.2077032901059e-40,1.04336063848103e-20,0.0068467390685408,8.16357898432348e-21
"AADAC","pink","AADAC","AADAC",2.00037338597665e-12,1.4051105113607e-20,3.25584285738156e-09,0.40580389567045,3.05460902327511e-05,0.00666301182138964,0.000600430966539822,0.521418266497357,0.00273827911549066,6.6877547573562e-17,0.000202578170980645
"AADAT","brown","AADAT","AADAT",0.873629893650052,0.000129226664011621,1.30803226089581e-17,0.135119661445198,0.427223542552115,2.68590523602193e-14,0.00122377796195459,8.99242964152993e-12,5.15819283429656e-06,2.32285529299156e-09,1.85649107373755e-21
"AAGAB","brown","AAGAB","AAGAB",0.000451998893548934,2.68719342995155e-14,1.29818740034011e-19,0.952594153139548,0.106822274634882,5.71559896118511e-05,5.36293336425237e-05,0.00281749839502818,0.562112989324309,1.99707279971343e-19,4.29569027007639e-13
"AAK1","blue","AAK1","AAK1",2.90234965520118e-08,4.66326523679878e-30,6.30739426962676e-24,0.662972693488062,9.57381299688196e-05,0.00107050908772917,0.000290283640380348,0.0754049014078303,0.28505990283413,2.79789708069626e-38,2.38749907456725e-12
"AAMDC","pink","AAMDC","AAMDC",6.92858136982214e-12,1.24474033662383e-15,5.4900340391905e-06,0.0280939853848514,0.113169890220769,0.441800429116869,3.05301572581221e-06,0.134693919826863,6.34024786087235e-05,2.52161878758967e-12,0.00977958264108754
"AAMP","brown","AAMP","AAMP",0.648462997926955,1.31542450018833e-07,1.00168796237533e-33,0.443049035792728,0.00728142486768767,4.82046658771967e-10,0.220292862223344,9.07460957967867e-13,9.40605191938274e-05,2.72247444295292e-15,1.62134312263429e-39
