"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","51/951","232/11462",6.78055972345371e-11,1.16150988062762e-07,1.11558051029033e-07,"CCAR1/CHERP/CPSF7/CSTF1/CWC22/CWC25/DDX42/DDX46/DDX5/DHX15/DHX8/DHX9/ELAVL1/ESS2/GTF2F2/HNRNPD/HNRNPH3/HNRNPR/LOC113984019/LOC113987842/LOC113991857/LOC113992597/LOC113997733/LOC113998492/MAGOH/NONO/PABPC1/PCF11/PNN/PRPF40A/PRPF4B/RBM15/RBM5/RBMX/SART3/SF1/SF3A3/SF3B4/SFPQ/SMU1/SNRPD1/SPEN/SRSF10/SRSF11/SRSF2/SRSF4/SRSF6/SRSF7/TXNL4A/U2SURP/ZRSR2",51
"GO:0008380","GO:0008380","RNA splicing","35/951","143/11462",3.56586704508213e-09,3.05416512411285e-06,2.9333948376123e-06,"CDK12/DHX15/DHX8/GEMIN2/HNRNPH3/LOC113984019/LOC113987842/LOC113994500/LUC7L3/MAGOH/NONO/PPIG/PPP1R8/PRPF4B/RBM24/RBM25/RBM38/RBM39/RRP1B/SF3B4/SFPQ/SMU1/SNRPD1/SREK1/SRSF11/SRSF2/SRSF4/SRSF7/TCERG1/THOC1/THOC7/THRAP3/ZNF326/ZNF638/ZRSR2",35
"GO:0060271","GO:0060271","cilium assembly","39/951","175/11462",8.08395899299744e-09,4.61594058500154e-06,4.43341330037018e-06,"ABLIM3/ARMC9/ASAP1/B9D1/BBS4/BBS5/CELSR2/CEP162/CEP290/CEP41/CFAP43/CPLANE1/DYNC2H1/FAM92A/FNBP1L/FUZ/HSPB11/HYLS1/IFT88/IQCB1/IQUB/KIAA0586/LAMA5/NEK1/NME5/PCM1/RAB8A/RFX2/RPGR/SSX2IP/STK36/TCTN2/TMEM67/TRAF3IP1/TTC26/TXNDC15/WDPCP/WDR19/WDR35",39
"GO:0006397","GO:0006397","mRNA processing","32/951","131/11462",1.7554556243063e-08,7.51773871109174e-06,7.22046615997566e-06,"ADAR/CDK12/CNOT6L/DHX15/GEMIN2/HNRNPR/NONO/PDCD11/PHRF1/PPP1R8/RBBP6/RBM24/RBM25/RBM26/RBM27/RBM38/RBM39/RRP1B/SCAF4/SF3A3/SF3B4/SFPQ/SREK1/SRSF11/SRSF2/SRSF4/SRSF7/TCERG1/THRAP3/TSEN2/XRN2/ZNF326",32
"GO:0099054","GO:0099054","presynapse assembly","8/951","13/11462",1.92517128843303e-06,0.000659563683417155,0.00063348267869912,"CNTN5/DVL1/EFNB2/LOC113988378/LOC113997350/LOC113999917/NLGN1/NLGN2",8
"GO:0038007","GO:0038007","netrin-activated signaling pathway","8/951","14/11462",4.16486634764523e-06,0.00112191606441626,0.0010775523450288,"DSCAM/LOC113983017/LOC113987855/LOC113988456/LOC113993074/LOC113998953/LOC114002067/UNC5D",8
"GO:0048511","GO:0048511","rhythmic process","17/951","60/11462",4.58459570981543e-06,0.00112191606441626,0.0010775523450288,"CIPC/CREBBP/CREM/CRTC1/DDX5/DHX9/EZH2/FBXL3/HLF/HNF4A/KDM5B/NKX2-1/NLGN1/PRKAA2/SFPQ/SIN3A/THRAP3",17
"GO:0097711","GO:0097711","ciliary basal body-plasma membrane docking","21/951","87/11462",6.06386629477176e-06,0.001298425370368,0.00124708197614846,"AKAP9/B9D1/C2CD3/CEP152/CEP162/CEP290/CEP41/CEP78/CSNK1E/IQCB1/LOC113997525/LOC113998758/LOC113999915/MAPRE1/NPHP4/ODF2/PCM1/RPGRIP1L/TCTN2/TMEM67/YWHAE",21
"GO:0000380","GO:0000380","alternative mRNA splicing, via spliceosome","8/951","18/11462",4.48808921433222e-05,0.0076880968241511,0.00738408783368554,"CELF4/DDX17/DDX5/DHX9/KDM1A/LOC113998492/SFPQ/SRSF6",8
"GO:0007158","GO:0007158","neuron cell-cell adhesion","8/951","18/11462",4.48808921433222e-05,0.0076880968241511,0.00738408783368554,"ASTN1/LOC113983904/LOC113988378/LOC113999917/NCAM2/NLGN1/NLGN2/TNR",8
