"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006614","GO:0006614","SRP-dependent cotranslational protein targeting to membrane","72/1487","81/12151",3.83291203216845e-56,7.9571253787817e-53,7.58513117944914e-53,"LOC113987193/LOC113989206/LOC113990217/LOC113996674/LOC113998810/LOC113998898/LOC114002081/RPL10A/RPL11/RPL12/RPL14/RPL15/RPL17/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL27/RPL27A/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL37/RPL37A/RPL38/RPL39/RPL5/RPL6/RPL7/RPL7A/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPSA/SEC61A1/SRP14/SRP54/SRPRA/UBA52",72
"GO:0019083","GO:0019083","viral transcription","70/1487","100/12151",2.36752297053804e-41,1.73414333587212e-38,1.65307244267295e-38,"LOC113987193/LOC113989206/LOC113990217/LOC113996674/LOC113998810/LOC113998898/LOC114002081/NUP133/RPL10A/RPL11/RPL12/RPL14/RPL15/RPL17/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL27/RPL27A/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL37/RPL37A/RPL38/RPL39/RPL5/RPL6/RPL7/RPL7A/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPSA/SEC13/UBA52",70
"GO:0000184","GO:0000184","nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","74/1487","111/12151",2.50598747958399e-41,1.73414333587212e-38,1.65307244267295e-38,"DCP1B/EIF4A3/ETF1/LOC113987193/LOC113989206/LOC113990217/LOC113996674/LOC113998810/LOC113998898/LOC114002081/MAGOH/PYM1/RBM8A/RPL10A/RPL11/RPL12/RPL14/RPL15/RPL17/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL27/RPL27A/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL37/RPL37A/RPL38/RPL39/RPL5/RPL6/RPL7/RPL7A/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPSA/UBA52",74
"GO:0006413","GO:0006413","translational initiation","75/1487","118/12151",1.1344236287474e-39,5.887658633199e-37,5.61241163696082e-37,"ABCE1/EIF1/EIF2B1/EIF2B2/EIF3H/EIF4E2/EIF5B/LOC113987193/LOC113989206/LOC113990217/LOC113996674/LOC113998810/LOC113998898/LOC114002081/RPL10A/RPL11/RPL12/RPL14/RPL15/RPL17/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL27/RPL27A/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL37/RPL37A/RPL38/RPL39/RPL5/RPL6/RPL7/RPL7A/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27A/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPSA/UBA52",75
"GO:0006412","GO:0006412","translation","84/1487","148/12151",6.88755560055877e-39,2.859713085352e-36,2.72602200611589e-36,"ASMT/EEF1A1/GGT5/LOC113987193/LOC113989206/LOC113990217/LOC113996674/LOC113998810/LOC113998898/LOC114002081/MRPL18/MRPL28/MRPL35/MRPL43/MRPS14/MRPS15/MRPS16/MRPS17/MRPS18C/MRPS21/MRPS5/MRPS6/PDF/RPL10A/RPL11/RPL12/RPL14/RPL15/RPL17/RPL18A/RPL19/RPL21/RPL22/RPL23/RPL23A/RPL27/RPL27A/RPL29/RPL3/RPL30/RPL31/RPL32/RPL34/RPL35/RPL35A/RPL37/RPL37A/RPL38/RPL39/RPL5/RPL6/RPL7/RPL7A/RPL9/RPLP0/RPLP1/RPLP2/RPS10/RPS11/RPS12/RPS13/RPS14/RPS15/RPS15A/RPS19/RPS2/RPS20/RPS21/RPS23/RPS24/RPS25/RPS26/RPS27A/RPS27L/RPS28/RPS29/RPS3/RPS3A/RPS4X/RPS5/RPS6/RPS7/RPS8/RPSA",84
"GO:0002181","GO:0002181","cytoplasmic translation","28/1487","33/12151",2.91866407205693e-21,1.0098577689317e-18,9.62647097450357e-19,"LOC113990217/LOC113998898/RPL10A/RPL11/RPL15/RPL17/RPL18A/RPL19/RPL22/RPL22L1/RPL26L1/RPL29/RPL30/RPL31/RPL32/RPL35A/RPL38/RPL39/RPL6/RPL9/RPLP0/RPLP1/RPS21/RPS23/RPS26/RPS28/RPS29/RPSA",28
"GO:0042274","GO:0042274","ribosomal small subunit biogenesis","16/1487","20/12151",7.03531850566422e-12,2.08647445967984e-09,1.98893214896973e-09,"EMG1/LOC113989206/LOC113996674/LOC113998810/LOC114002081/NPM1/RIOK1/RIOK2/RPS15/RPS19/RPS24/RPS25/RPS28/RPS6/RPS7/SURF6",16
"GO:0006364","GO:0006364","rRNA processing","41/1487","135/12151",1.56998347721631e-08,4.07410712337633e-06,3.88364333837719e-06,"DDX27/EIF4A3/EMG1/EXOSC3/EXOSC5/FCF1/FRG1/IMP3/KRR1/LOC113987193/LOC113989206/LOC113996674/LOC113998810/LOC114002081/MPHOSPH6/MRTO4/NOB1/NOL9/NOP53/NOP56/NPM3/POP4/RPL11/RPL14/RPL27/RPL35A/RPL5/RPL7/RPP25L/RPS14/RPS15/RPS19/RPS2/RPS24/RPS25/RPS28/RPS6/RPS7/UTP14A/UTP3/WDR43",41
"GO:0070125","GO:0070125","mitochondrial translational elongation","30/1487","85/12151",3.11858966924598e-08,6.47419215335465e-06,6.17152481913941e-06,"MRPL12/MRPL14/MRPL17/MRPL18/MRPL20/MRPL22/MRPL28/MRPL35/MRPL39/MRPL40/MRPL43/MRPL44/MRPL46/MRPL48/MRPL58/MRPS14/MRPS15/MRPS16/MRPS17/MRPS18C/MRPS21/MRPS23/MRPS25/MRPS28/MRPS30/MRPS35/MRPS5/MRPS6/MRPS9/TSFM",30
"GO:0070126","GO:0070126","mitochondrial translational termination","30/1487","85/12151",3.11858966924598e-08,6.47419215335465e-06,6.17152481913941e-06,"MRPL12/MRPL14/MRPL17/MRPL18/MRPL20/MRPL22/MRPL28/MRPL35/MRPL39/MRPL40/MRPL43/MRPL44/MRPL46/MRPL48/MRPL58/MRPS14/MRPS15/MRPS16/MRPS17/MRPS18C/MRPS21/MRPS23/MRPS25/MRPS28/MRPS30/MRPS35/MRPS5/MRPS6/MRPS9/MTRF1",30
