"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007186","GO:0007186","G protein-coupled receptor signaling pathway","191/2297","472/12151",1.18165830293634e-28,2.61382816609517e-25,2.28619785347051e-25,"ABCA1/ABR/ADCY1/ADCYAP1/ADGRB1/ADGRB2/ADGRL3/ADORA1/ADRA1A/ADRA1B/ADRA1D/ADRA2A/ANXA1/APOA1/ARHGEF17/ARHGEF4/ARHGEF7/ARHGEF9/BRS3/CALCB/CALCR/CASR/CCKBR/CELSR1/CELSR2/CELSR3/CHRM2/CHRM3/CHRM4/CHRM5/CMKLR1/CRH/CX3CR1/CXCR4/CYSLTR1/DGKQ/DRD1/DRD3/EDN1/ENTPD2/FFAR4/FGD3/FZD3/FZD5/FZD8/FZD9/GABBR2/GAL/GALR1/GALR2/GALR3/GCGR/GHRH/GLP1R/GNB1/GNG3/GNRH1/GPR12/GPR158/GPR162/GPR176/GPR21/GPR22/GPR26/GPR37/GPR37L1/GPR6/GPR61/GPR75/GPR83/GRK2/GRK5/GRM1/GRM2/GRM4/GRM5/GRM7/GRM8/GRP/GRPR/HCRT/HCRTR2/HRH1/HRH3/HTR1A/HTR2C/HTR5A/HTR6/HTR7/IAPP/KCNK2/LGR5/LOC113982386/LOC113983488/LOC113983498/LOC113983511/LOC113983590/LOC113983744/LOC113984281/LOC113984696/LOC113984725/LOC113985104/LOC113985892/LOC113987175/LOC113989201/LOC113989303/LOC113989831/LOC113990137/LOC113992576/LOC113993090/LOC113993476/LOC113993677/LOC113994592/LOC113995512/LOC113995733/LOC113996139/LOC113996140/LOC113997129/LOC114000489/LOC114000503/LOC114001074/LOC114003402/LOC114003556/LOC114003560/LOC114003827/LOC114004322/MC3R/MTNR1A/NGEF/NMB/NMBR/NMS/NMU/NPBWR1/NPFFR1/NPR1/NPY2R/NPY5R/NTS/NTSR1/OPRD1/OPRK1/OPRL1/OPRM1/OXTR/P2RY1/P2RY2/PDE1A/PDE8B/PDYN/PENK/PIK3CA/PIK3CG/PIK3R5/PIK3R6/PLCB1/PLCB4/PLEKHG5/PNOC/PRLH/PROK2/PTGFR/QRFP/RAPGEF2/RGS11/RGS12/RGS19/RGS20/RGS4/RGS5/RGS6/RGS7BP/RGS8/RGS9/RORB/RXFP1/RXFP3/S1PR2/S1PR3/SORT1/SOS2/SST/SSTR2/SSTR3/SSTR4/TACR1/TACR3/TRH/TRIO/VIP/VIPR2",191
"GO:0007268","GO:0007268","chemical synaptic transmission","98/2297","198/12151",1.08711802543677e-22,1.20235253613307e-19,1.05164364776462e-19,"APBA1/APBA2/BSN/CACNA1E/CACNA1G/CACNB1/CACNB4/CBLN1/CDK5/CHRM2/CHRM3/CHRM4/CHRM5/CHRNA7/CPLX1/CRH/DLGAP1/GABBR2/GABRA1/GABRA2/GABRA3/GABRA5/GABRB1/GABRB2/GABRG1/GALR3/GLRA1/GLRA2/GPR176/GRIA1/GRIA2/GRIK1/GRIN1/GRIN2B/GRM1/GRM2/GRM4/GRM5/GRM7/HAP1/HCRT/HCRTR2/HOMER1/HRH1/HRH3/HTR1A/HTR2C/HTR5A/HTR6/HTR7/KCND2/KCNMB4/KCNQ3/LOC113982386/LOC113983488/LOC113984666/LOC113987271/LOC113987767/LOC113989700/LOC113991128/LOC113992038/LOC113993166/LOC113994017/LOC113998100/LOC113999820/LOC113999869/LOC113999917/LOC114000517/LOC114000755/LOC114001545/LOC114003402/LOC114003560/LOC114003869/LRP6/LRP8/NLGN2/NPBWR1/NPY5R/NTSR1/OPRK1/PAFAH1B1/PCDH8/PDYN/PENK/PLP1/PNOC/SLC12A5/SLC18A3/SLC1A2/SLITRK5/SNCB/SPG11/SST/SV2C/SYT1/SYT10/UNC119/UNC13C",98
"GO:0007218","GO:0007218","neuropeptide signaling pathway","51/2297","82/12151",5.93017550987039e-18,4.37251607594444e-15,3.82444301303221e-15,"ADCYAP1/CALCB/CYSLTR1/ECEL1/GAL/GALR1/GALR2/GALR3/GLRA1/GLRA2/GPR37/GPR83/GRP/GRPR/HCRT/HCRTR2/LOC113985104/LOC113993090/LOC113995512/LOC113995733/LOC113997131/LOC114000503/NMB/NMS/NMU/NPBWR1/NPFFR1/NPVF/NPY2R/NPY5R/NTS/NTSR1/NXPH2/NXPH4/OPRD1/OPRK1/OPRL1/OPRM1/PDYN/PENK/PNOC/PROK2/QRFP/RAPGEF2/RXFP3/SORT1/SSTR2/SSTR3/SSTR4/TENM1/TYRO3",51
"GO:0007411","GO:0007411","axon guidance","90/2297","209/12151",5.00411104678883e-16,2.76727340887422e-13,2.42040950105207e-13,"ARHGAP35/BDNF/CDH4/CNTN2/CNTN6/CXCR4/DAB1/DOK6/DRAXIN/DSCAM/DSCAML1/EFNA2/EFNA3/EFNA5/EPHA4/EPHA5/EPHA6/EPHA8/EPHB2/EVL/FEZ2/FEZF1/FOXD1/GBX2/GFRA2/GFRA3/KLF7/LGI1/LOC113982192/LOC113982696/LOC113983017/LOC113983904/LOC113984454/LOC113988059/LOC113988455/LOC113988456/LOC113988625/LOC113989518/LOC113989623/LOC113993074/LOC113993595/LOC113996059/LOC113996649/LOC113996660/LOC113998953/LOC113999057/LOC113999307/LOC113999997/LOC114003809/LOC114004136/LRTM2/LYPLA2/NECTIN1/NEO1/NKX2-1/NPTN/NRP2/NRXN3/NTN4/OPHN1/PDLIM7/PIK3CA/PIK3CD/RAP1GAP/ROBO2/ROBO3/ROBO4/SEMA3A/SEMA3B/SEMA3D/SEMA3E/SEMA3G/SEMA4A/SEMA4B/SEMA5A/SEMA6D/SEMA7A/SHC3/SHH/SLIT1/SPTAN1/SPTB/SPTBN1/TRIO/TUBB3/UNC5A/UNC5C/USP33/VAX1/VSTM2L",90
"GO:0007204","GO:0007204","positive regulation of cytosolic calcium ion concentration","53/2297","103/12151",9.1791182311358e-14,4.06084190545448e-11,3.55183564396371e-11,"ADCYAP1/ADRA1A/ADRA1B/ADRA1D/CALCB/CALCR/CCKBR/CMKLR1/CX3CR1/CXCR4/CYSLTR1/EDN1/FFAR4/GALR1/GALR2/GJA1/GLP1R/GNB1/GNG3/GPR6/HCRT/IAPP/LOC113983498/LOC113983511/LOC113984281/LOC113984696/LOC113985892/LOC113988419/LOC113992301/LOC113993166/LOC114000517/LOC114001545/LOC114003869/LRP1/LRP1B/LRP6/NMB/NMU/NPTN/NPY2R/OXTR/P2RY1/PDGFRA/PIK3CG/PKD1/PLCE1/PROK2/PTGFR/S1PR3/SPPL3/TACR1/TRPC5/TRPC6",53
"GO:0007399","GO:0007399","nervous system development","103/2297","273/12151",1.49952223186357e-13,5.52823862813703e-11,4.8353015125706e-11,"ACVR1B/ADORA1/APBA1/APBA2/APC/APC2/ARHGEF7/ARID1A/BDNF/CAMK1/CBLN1/CHRM2/CHRM3/CNTFR/CSPG5/DCTN1/DCX/DLX5/DLX6/DPF3/DPYSL4/DSCAM/EFNA5/ENC1/EP300/EPHB2/ERBB3/EVL/FABP7/FEZ2/FGF14/FGF2/FRMD7/FZD9/GBX2/GDA/GDPD5/GFRA2/GFRA3/GPM6B/GRIK1/HDAC4/IGSF9B/LGI1/LHX1/LIMK1/LOC113983414/LOC113986534/LOC113988059/LOC113988592/LOC113991778/LOC113994464/LOC113994886/LOC113996059/LOC113996650/LOC113996715/LOC113999997/LOC114001545/LOC114003809/LRCH4/LSAMP/MAB21L2/MAGI2/MBD5/MEF2D/MERTK/MET/MYT1L/NAV1/NAV3/NDP/NGEF/NR2C2/NR2E1/NRG2/NRGN/NRN1/OPHN1/PCDH1/PCDH7/PLPPR1/POU3F2/PPP2R5D/RAPGEF1/RBFOX2/RBFOX3/RGS9/SARM1/SCN1A/SCN3B/SCN8A/SEMA5A/SIM1/SIM2/SRRM4/ST8SIA4/TENM1/TIMM8A/TRPC5/TTLL7/TYRO3/UNC119/ZEB1",103
"GO:0007156","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","47/2297","104/12151",7.16171692006277e-10,2.26310254673984e-07,1.97943393971058e-07,"AMIGO1/CADM1/CADM3/CDH13/CDH18/CDH2/CDH20/CDH22/CDH4/CDH9/CELSR1/CELSR2/CELSR3/CNTN2/CNTN6/DSCAM/DSCAML1/IGSF21/LOC113982686/LOC113986534/LOC113991384/LOC113991386/LOC113993201/LOC113993340/LOC113997805/LOC113998139/LOC113999997/LOC114002819/LOC114003844/NECTIN1/NPTN/PCDH1/PCDH10/PCDH15/PCDH18/PCDH19/PCDH7/PCDH8/PCDH9/PKD1/PTPRM/ROBO2/ROBO3/ROBO4/SDK1/SDK2/VSTM2L",47
"GO:0007200","GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","27/2297","48/12151",8.91249354863225e-09,2.46430446619682e-06,2.15541620294554e-06,"ADRA1A/ADRA1B/ADRA1D/CASR/CCKBR/CMKLR1/CX3CR1/FFAR4/GALR2/GNB1/GRPR/HCRT/HCRTR2/HRH1/HTR2C/LOC113985892/LOC114001074/MC3R/NMBR/OPRD1/OPRK1/OPRM1/P2RY1/P2RY2/PLCE1/TACR1/VIP",27
"GO:2000463","GO:2000463","positive regulation of excitatory postsynaptic potential","18/2297","25/12151",1.10050353750419e-08,2.70479313884363e-06,2.36576082097392e-06,"CHRNA7/CUX2/GRIN1/LOC113982192/LOC113999917/LOC114001545/LOC114004136/NETO1/NLGN2/PRKCZ/PTEN/RGS4/RIMS1/RIMS2/SHANK2/SSH1/STX1A/WNT7A",18
"GO:0051965","GO:0051965","positive regulation of synapse assembly","28/2297","52/12151",1.75014933879837e-08,3.87133033742199e-06,3.38607840495937e-06,"ADGRB1/AMIGO1/AMIGO3/BDNF/CBLN1/CBLN2/CUX2/DLG5/EPHB2/IL1RAP/IL1RAPL1/LINGO2/LOC113983511/LOC113999057/LOC113999307/LOC113999917/LRRC4B/LRRTM2/LRRTM3/LRTM2/NLGN2/NTRK2/OXTR/SLITRK1/SLITRK5/SLITRK6/SYNDIG1/WNT7A",28
