"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007399","GO:0007399","nervous system development","74/1951","273/12151",1.90124884846625e-06,0.00165400912746966,0.00157893580154878,"ACTL6B/ACVR1C/ADGRV1/ARHGAP26/ARID1B/ATXN1/BEND6/CAMK1D/CAMK2G/CLN8/CPLX2/CRIM1/DCLK1/EDNRB/ERBB4/FEZ1/FGF12/FGF13/FOS/GFRA1/GLRB/GPSM1/IGF2BP2/IRF2BPL/KCNQ2/KIF2A/LDB1/LDB2/LOC113983912/LOC113984508/LOC113987855/LOC113991383/LOC113993050/LOC113993707/LOC113994484/LOC113998421/LOC114001848/LOC114002067/LOC114004198/MAFK/MEF2C/MYT1/N4BP3/NAV2/NELL1/NEURL1/NEURL1B/NEXMIF/NLGN1/NOG/NR2F1/NRG1/NRN1L/NRSN1/NTF3/NTRK3/OLFM1/PCSK2/PTN/PURA/RAPGEF5/RAPGEFL1/RBFOX1/ROBO1/SCN2B/SEMA6A/SMARCA2/SOX14/SPOCK1/STMN3/TPP1/VEGFA/VLDLR/ZC4H2",74
"GO:0007215","GO:0007215","glutamate receptor signaling pathway","12/1951","18/12151",2.03935674103878e-06,0.00165400912746966,0.00157893580154878,"GNAQ/GRIA3/GRIA4/GRID2/GRIK2/GRIN2A/GRIN2C/KCNB1/LOC113984000/LOC113986221/LOC113987027/SSTR1",12
"GO:0048813","GO:0048813","dendrite morphogenesis","18/1951","36/12151",2.2761593497289e-06,0.00165400912746966,0.00157893580154878,"BTBD3/CTNNA2/DCDC2/DCLK1/FARP1/FYN/HPRT1/KIDINS220/LOC113982201/LOC113987855/LOC113999471/LOC114002067/MAP6/PICALM/PREX2/SDC2/TMEM106B/VLDLR",18
"GO:0034220","GO:0034220","ion transmembrane transport","48/1951","158/12151",4.48236003052667e-06,0.00167481236157374,0.00159879480387797,"ANO3/ANO6/ANO8/ATP11C/ATP12A/ATP13A2/ATP2A2/ATP2A3/ATP2B1/ATP2B2/ATP6V0C/ATP6V1E1/ATP6V1G1/ATP7A/CHRNA4/CHRNB3/CLCN3/CLCN4/FXYD6/GABRG2/GLRA3/GLRB/GRIA3/GRIA4/GRID2/GRIK2/LOC113982360/LOC113982575/LOC113984000/LOC113986221/LOC113987027/LOC113990008/LOC113990089/LOC113990721/LOC113998098/LOC113998942/LOC114000920/LOC114002258/NALCN/NOX1/SGK1/TMEM120B/TMEM150C/TPCN1/TPCN2/UNC79/UNC80/WWP1",48
"GO:0010977","GO:0010977","negative regulation of neuron projection development","23/1951","55/12151",4.64822435368791e-06,0.00167481236157374,0.00159879480387797,"ADCY6/CBFA2T2/EFNB2/FKBP4/INPP5J/ITM2C/KANK1/LOC113984352/LPAR1/MINAR1/NEU4/NR2F1/PRAG1/PTPN9/PTPRG/PTPRO/PTPRS/RIT2/RTN4RL1/SPOCK1/STMN2/VIM/ZNF365",23
"GO:0035235","GO:0035235","ionotropic glutamate receptor signaling pathway","13/1951","22/12151",5.3778378582643e-06,0.00167481236157374,0.00159879480387797,"APP/CDK5R1/GRIA3/GRIA4/GRID2/GRIK2/GRIN2A/GRIN2C/GRIN3A/LOC113982360/LOC113984000/LOC113986221/LOC113987027",13
"GO:0099560","GO:0099560","synaptic membrane adhesion","13/1951","22/12151",5.3778378582643e-06,0.00167481236157374,0.00159879480387797,"GPC4/LOC113990002/LOC114000969/LRFN5/LRRC4C/NLGN1/NTNG1/PCDH17/PTPRD/PTPRF/PTPRS/SLITRK2/SLITRK3",13
"GO:0007268","GO:0007268","chemical synaptic transmission","56/1951","198/12151",8.53313594656147e-06,0.002325279545438,0.00221973812715158,"AKAP5/AKAP9/CACNA1B/CACNB2/CACNB3/CARTPT/CHRNA4/CHRNB3/DLG1/DRD5/DTNA/FGF12/GABRG2/GAD1/GAD2/GLRA3/GLRB/GLS/GRIK2/GRIN2A/HTR1B/HTR1F/HTR2A/HTR4/KCNA1/KCNC4/KCNIP2/KCNQ2/LOC113983406/LOC113984000/LOC113985240/LOC113986221/LOC113990008/LOC113990089/LOC113990721/LOC113995009/LOC113998098/LOC114000223/LOC114001565/LOC114002719/MAPK1/MPZL1/NLGN1/NOVA1/NPTX1/NPTX2/PDE7B/PTCHD1/RIT2/SCN2B/SLC12A4/SLC6A1/SNAP25/SNCA/SNCG/SYN2",56
"GO:0007186","GO:0007186","G protein-coupled receptor signaling pathway","111/1951","472/12151",1.15383238624253e-05,0.00279483844667634,0.00266798435976781,"ABCA7/ADCY2/ADCY5/ADCY6/ADCY8/ADGRB3/ADGRL2/ADGRV1/ADORA2B/ADRB1/ADRB2/AGT/APLP2/APP/ARHGEF12/ARHGEF18/ARHGEF3/ARRB1/ATRNL1/CALCRL/CALM1/CALM2/CARTPT/CCK/CNR1/DRD5/EDNRB/FGD4/FRS2/FZD1/FZD7/GABBR1/GNA11/GNAQ/GNAZ/GNB4/GNG10/GNG2/GPR139/GPR146/GPR161/GPR34/GPR52/GPR63/GPR78/GPR85/GPRC5B/GRK3/HTR1B/HTR1F/HTR2A/HTR4/INSR/JAK2/LANCL1/LOC113982579/LOC113985105/LOC113985240/LOC113987733/LOC113990316/LOC113991385/LOC113993087/LOC113993299/LOC113993563/LOC113994469/LOC113996113/LOC113999236/LOC114002719/LPAR1/LPAR2/LPAR4/MC5R/MCF2/MCF2L/MCHR1/NPSR1/NPY1R/P2RY12/P2RY6/PDE10A/PDE2A/PDE3A/PDE4B/PDE4C/PDE7B/PLXNB1/PREX1/PREX2/PSAP/QRFPR/RAMP3/RAPGEF4/RAPGEFL1/RGS10/RGS14/RGS16/RGS17/RGS7/RHOB/RHOC/RIC8A/ROCK2/S1PR1/SOS1/SRC/SSTR1/TIAM1/TSHR/VAV2/VAV3/VIPR1",111
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","24/1951","62/12151",1.42308540428051e-05,0.00310232618133152,0.00296151562553955,"ARC/BCR/CACNA1B/CDH11/DGKB/FYN/GRID2/GRIK2/JAK2/LOC113982360/LOC113984000/LOC113986221/LOC113987027/LOC113998756/LRRC4C/NLGN1/NRG3/NTF3/NTNG1/PLCG1/PRKAR1B/PTPRD/PTPRS/PXK",24
"GO:0007264","GO:0007264","small GTPase mediated signal transduction","29/1951","84/12151",2.53309306335126e-05,0.00502012988918705,0.00479227271411047,"ARHGAP31/ARHGEF18/ARL3/BCR/CHM/DOCK10/DOCK4/DOCK7/DOCK9/PLD1/RABIF/RAC3/RAPGEF4/RAPGEF5/RAPGEFL1/RASGEF1B/RASGEF1C/RASGRF1/RASGRP3/RHOC/RIT2/RND2/RRAD/RRAGC/RUNDC3A/TIAM1/VAV2/VAV3/YWHAQ",29
