"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019886","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","13/577","69/11462",3.33685061784931e-05,0.0472498047487462,0.0470320313400024,"ACTR10/AP1B1/AP3D1/DCTN1/DCTN2/DCTN4/DYNC1H1/DYNC1I1/KIF18A/KIF3B/SEC13/SEC31A/SH3GL2",13
"GO:0016241","GO:0016241","regulation of macroautophagy","11/577","62/11462",0.000233476049384782,0.0920118916954373,0.0915878107197372,"ATP6V0A1/ATP6V0B/ATP6V1A/ATP6V1B2/ATP6V1E1/ATP6V1H/LOC113987184/LOC113995133/LOC114003933/MTOR/ULK1",11
"GO:0000278","GO:0000278","mitotic cell cycle","15/577","105/11462",0.000233739463409725,0.0920118916954373,0.0915878107197372,"DCTN1/DYNC1H1/IK/LOC113991233/LOC113991530/LOC113995051/LOC113995052/LOC113996267/LOC113998331/PHF13/RRM1/TADA3/TBCD/TUBA1A/TUBB3",15
"GO:0000226","GO:0000226","microtubule cytoskeleton organization","15/577","106/11462",0.00025992059800971,0.0920118916954373,0.0915878107197372,"LOC113991233/LOC113991530/LOC113995051/LOC113995052/LOC113996267/LOC113998331/MAP1B/MAP2/MAPT/RNF19A/TBCD/TBCEL/TUBA1A/TUBB3/WEE1",15
"GO:0090383","GO:0090383","phagosome acidification","6/577","22/11462",0.000591874724346194,0.145628079705052,0.144956882786995,"ATP6V0A1/ATP6V0B/ATP6V1A/ATP6V1B2/ATP6V1E1/ATP6V1H",6
"GO:0006887","GO:0006887","exocytosis","12/577","80/11462",0.000617068134343443,0.145628079705052,0.144956882786995,"ANK1/DNAJC5/ITSN1/LGI3/LOC113987184/LOC113992886/LOC113995133/NSF/RAB11A/SNX19/VAMP7/WASHC1",12
"GO:0033572","GO:0033572","transferrin transport","7/577","32/11462",0.000883511173053282,0.178721688720493,0.177897964017796,"ATP6V0A1/ATP6V0B/ATP6V1A/ATP6V1B2/ATP6V1E1/ATP6V1H/LOC114003853",7
"GO:0006888","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","17/577","150/11462",0.00142852971894366,0.252849760253027,0.251684380745468,"ACTR10/ANK1/ANK2/ARCN1/COG4/COPA/DCTN1/DCTN2/DCTN4/DYNC1H1/DYNC1I1/LMAN2L/LOC113995145/NSF/SEC31A/TMED3/VAMP7",17
"GO:1901687","GO:1901687","glutathione derivative biosynthetic process","5/577","19/11462",0.00204935506200757,0.313683702986524,0.312237941048882,"LOC113984279/LOC113988145/LOC113990807/LOC113990865/LOC113990970",5
"GO:0070328","GO:0070328","triglyceride homeostasis","4/577","12/11462",0.00227495674590144,0.313683702986524,0.312237941048882,"ANGPTL4/IL18/RORA/SCARB1",4
"GO:0006890","GO:0006890","retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","10/577","70/11462",0.00250424460485981,0.313683702986524,0.312237941048882,"ARCN1/COG4/COPA/KIF18A/KIF3B/LMAN2L/NSF/RAB41/TMED3/UVRAG",10
"GO:0032148","GO:0032148","activation of protein kinase B activity","6/577","29/11462",0.00279118751879796,0.313683702986524,0.312237941048882,"FGF1/IL18/MTOR/NTF3/PRR5/SRC",6
"GO:0006886","GO:0006886","intracellular protein transport","22/577","230/11462",0.00287986450481978,0.313683702986524,0.312237941048882,"AP1B1/AP3D1/ARCN1/ARL1/CLTB/COPA/ERP29/LOC113997049/LOC114000804/NGFR/NSF/RAB3GAP2/RAB41/SEC13/SEC23B/SEC31A/SGSM3/STX12/SYNDIG1/TMED3/VPS16/VPS33A",22
"GO:0006612","GO:0006612","protein targeting to membrane","7/577","41/11462",0.00398789526241811,0.403347120827431,0.401488101983297,"AQP11/CACNG2/CHM/LOC113987184/LOC113995133/MICALL1/ZDHHC22",7
"GO:0006139","GO:0006139","nucleobase-containing compound metabolic process","5/577","23/11462",0.00502022516666512,0.473909255733187,0.471725017415059,"LOC114003809/PRPSAP1/REXO2/SRBD1/TPMT",5
"GO:1902430","GO:1902430","negative regulation of amyloid-beta formation","4/577","15/11462",0.00556095891320082,0.492144863818272,0.489876577945783,"LOC113987965/LOC113988015/RTN1/RTN4",4
"GO:0032259","GO:0032259","methylation","7/577","44/11462",0.00596910682697585,0.497191486293988,0.49489994063905,"ASMTL/EEF1AKNMT/GNMT/NDUFAF5/SMYD5/SPOUT1/TPMT",7
"GO:0031175","GO:0031175","neuron projection development","12/577","105/11462",0.00640713967531136,0.504028321124494,0.50170526463403,"ADCYAP1/LOC114003933/MAP2/MAPT/MICALL1/MICALL2/RAB11A/SH3GL2/STMN2/UHMK1/ULK1/WDR5",12
"GO:0034244","GO:0034244","negative regulation of transcription elongation from RNA polymerase II promoter","4/577","16/11462",0.00712367032580771,0.504355859067186,0.50203129296087,"LARP7/NELFB/RNF168/RNF8",4
"GO:0046655","GO:0046655","folic acid metabolic process","4/577","16/11462",0.00712367032580771,0.504355859067186,0.50203129296087,"LOC113995145/MTHFD2/MTHFR/MTHFS",4
"GO:0034063","GO:0034063","stress granule assembly","4/577","17/11462",0.00895072296783511,0.590457340692713,0.587735934572958,"DYNC1H1/G3BP2/MAPT/OGFOD1",4
"GO:0090263","GO:0090263","positive regulation of canonical Wnt signaling pathway","13/577","125/11462",0.0101416147201188,0.590457340692713,0.587735934572958,"AMER1/BAMBI/CAPRIN2/CAV1/FZD9/GPC3/LOC113993664/PSMA6/PSMD13/PSMD9/PSMF1/RSPO3/SRC",13
"GO:0060612","GO:0060612","adipose tissue development","5/577","27/11462",0.0102055532077619,0.590457340692713,0.587735934572958,"AMER1/LOC113988498/LOC113999701/LOC113999702/PPARGC1A",5
"GO:0001709","GO:0001709","cell fate determination","4/577","18/11462",0.0110582133099063,0.590457340692713,0.587735934572958,"DSCAML1/LOC113988498/LOC113999701/LOC113999702",4
"GO:0032508","GO:0032508","DNA duplex unwinding","9/577","74/11462",0.0116386327370364,0.590457340692713,0.587735934572958,"BLM/IGHMBP2/LOC113993175/MCM3/MCM8/MCM9/RFC2/RFC5/SUPV3L1",9
"GO:0031113","GO:0031113","regulation of microtubule polymerization","3/577","10/11462",0.0116757101266921,0.590457340692713,0.587735934572958,"MAP2/MAPRE3/MAPT",3
"GO:0097502","GO:0097502","mannosylation","3/577","10/11462",0.0116757101266921,0.590457340692713,0.587735934572958,"ALG3/ALG9/PIGZ",3
"GO:2000786","GO:2000786","positive regulation of autophagosome assembly","3/577","10/11462",0.0116757101266921,0.590457340692713,0.587735934572958,"RAB3GAP1/RAB3GAP2/ULK1",3
