"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032515","GO:0032515","negative regulation of phosphoprotein phosphatase activity","17/1276","40/11462",4.04551296879442e-07,0.000500053323118056,0.000483546603307828,"ARPP19/BOD1L1/CRY2/FKBP1A/LMTK2/LOC113994727/PHACTR1/PHACTR3/PPME1/PPP1R11/PPP1R14C/PPP1R1B/PPP1R2/PPP1R9B/SAG/SET/TIPRL",17
"GO:0006468","GO:0006468","protein phosphorylation","78/1276","402/11462",5.14987974374929e-07,0.000500053323118056,0.000483546603307828,"AATK/ACVR1/ADAM10/AKT1/BCR/BMPR2/BRAF/BRD2/BRSK2/CAMK2A/CAMKK2/CDK13/CDK16/CDK17/CDKL5/CSNK2A1/DAPK1/DCLK1/FNIP2/GLYCTK/GRK6/HUS1/IGFBP3/ITPKA/KSR2/LMTK2/LOC113984695/LOC113985226/LOC113986509/LOC113990269/LOC113992932/LOC113993142/LOC113993809/LOC113993810/LOC113995005/LOC113999252/LOC114000515/LOC114001432/MAP2K1/MAP3K12/MAP3K13/MAP3K2/MAP3K20/MAP3K5/MAPK1/MAPK8/MARK3/MEX3B/MYLK3/NLK/NUAK1/PAK3/PDPK1/PEAK1/PLK2/PPP1R9B/PPP3CB/PRKACB/PRKAG2/PRKCB/PRKCE/PRKCZ/RARA/RIOK3/RPS6KA5/SCYL3/SPEG/SRPK2/STK11/STK24/STK4/STRADA/TAOK1/TBCK/TEX14/TP53RK/TTBK1/YWHAZ",78
"GO:0061178","GO:0061178","regulation of insulin secretion involved in cellular response to glucose stimulus","8/1276","14/11462",3.73939659408087e-05,0.0242063606190168,0.0234073106099658,"ADCY5/BRSK2/CDK16/EPHA5/HMGN3/LOC113984696/PRKCE/TIAM1",8
"GO:0051928","GO:0051928","positive regulation of calcium ion transport","9/1276","19/11462",8.33393272278684e-05,0.0404612433691301,0.039125620993294,"CACNB2/CAMK2A/CRACR2A/HOMER1/LOC113986509/LOC113999252/STIM2/TRPC6/WFS1",9
"GO:0061001","GO:0061001","regulation of dendritic spine morphogenesis","9/1276","20/11462",0.000136609487383114,0.0530591248996016,0.0513076474718897,"ABI2/ADAM10/ARC/CDK5R1/LOC113982192/LOC113982203/PPP1R9A/SIPA1L1/ZDHHC15",9
"GO:1903078","GO:1903078","positive regulation of protein localization to plasma membrane","14/1276","46/11462",0.000322241497171391,0.0755416325710003,0.0730480093808144,"AKAP5/AKT1/ATP2B4/DLG1/KCNJ11/LOC113999252/PDPK1/PPP1R9B/PRKCE/PTPN9/RAB11FIP2/RER1/SORBS1/ZDHHC5",14
"GO:0060997","GO:0060997","dendritic spine morphogenesis","9/1276","22/11462",0.000328976454716294,0.0755416325710003,0.0730480093808144,"ARC/LOC113982192/LOC113982203/LOC113990269/LOC114001545/PAK3/PTEN/SHANK2/ZNF365",9
"GO:0046339","GO:0046339","diacylglycerol metabolic process","7/1276","14/11462",0.000352369036416451,0.0755416325710003,0.0730480093808144,"DGKB/DGKE/DGKH/DGKI/DGKZ/LOC113986829/LOC113989956",7
"GO:0030168","GO:0030168","platelet activation","19/1276","74/11462",0.00035648119453601,0.0755416325710003,0.0730480093808144,"C1GALT1C1/DGKB/DGKE/DGKH/DGKI/DGKZ/GNA12/GNB1/ITPR1/LOC113986829/LOC113989956/MAPK1/PDPK1/PRKCB/PRKCE/RAP2B/TRPC6/TYRO3/YWHAZ",19
"GO:0007268","GO:0007268","chemical synaptic transmission","38/1276","195/11462",0.000388988839191556,0.0755416325710003,0.0730480093808144,"AKAP5/APBA1/CACNB2/CACNB3/CACNB4/CHRM4/DLG1/DLGAP1/GABRA2/GABRA4/GABRD/GLRB/GLS/GRIA1/GRIN1/GRM5/GRM7/HOMER1/HTR1B/HTR6/HTR7/KCNIP2/KCNN1/LOC113983406/LOC113983488/LOC113992038/LOC113993166/LOC113994017/LOC114000517/LOC114001545/LOC114002719/LOC114003869/MAPK1/SLC1A2/SLC6A1/SLITRK5/SV2B/SYT1",38
"GO:0007257","GO:0007257","activation of JUN kinase activity","11/1276","32/11462",0.000437368114014359,0.0772153524923533,0.0746664799427385,"DAB2IP/HACD3/LOC113989207/MAP3K12/MAP3K13/MAP3K2/MAP3K20/MAP3K5/PTPN1/TAOK1/TF",11
"GO:0048013","GO:0048013","ephrin receptor signaling pathway","21/1276","91/11462",0.000839504212935524,0.118025730819784,0.114129710977557,"ACTG1/ACTR2/ANKS1A/APH1A/ARPC4/CDK5R1/CHN1/CHN2/EPHA5/EPHA6/EPHA7/GRIN1/LOC113984695/LOC113990269/LOC113993801/MMP9/NGEF/PAK3/RAC1/SIPA1L1/TIAM1",21
"GO:0007216","GO:0007216","G protein-coupled glutamate receptor signaling pathway","7/1276","16/11462",0.000960566178195595,0.118025730819784,0.114129710977557,"DAGLA/GRM5/GRM7/HOMER1/HOMER2/LOC114002719/LOC114003843",7
"GO:0046834","GO:0046834","lipid phosphorylation","7/1276","16/11462",0.000960566178195595,0.118025730819784,0.114129710977557,"DGKB/DGKE/DGKH/DGKI/DGKZ/LOC113986829/LOC113989956",7
"GO:0006974","GO:0006974","cellular response to DNA damage stimulus","40/1276","218/11462",0.000968856619726788,0.118025730819784,0.114129710977557,"AKT1/APC/ARMT1/ASH2L/BATF/CBX3/CUL4B/DCUN1D5/FANCF/FMN2/FOXO1/FOXP1/HUS1/LOC114000521/MAPK1/MCTS1/NUAK1/PARG/PARP1/POLE3/POLK/POLQ/SETD7/SHPRH/SLF2/SMC6/SPIDR/STK11/SUSD6/TAOK1/TRIP12/UBQLN4/WAC/XIAP/XRCC5/YY1/ZBTB1/ZBTB38/ZBTB4/ZRANB3",40
"GO:2000463","GO:2000463","positive regulation of excitatory postsynaptic potential","9/1276","25/11462",0.000991788956561192,0.118025730819784,0.114129710977557,"CACNB3/GRIN1/LOC113982192/LOC113982203/LOC114001545/PRKCZ/PTEN/RIMS1/SHANK2",9
"GO:0008542","GO:0008542","visual learning","11/1276","35/11462",0.00103318095980243,0.118025730819784,0.114129710977557,"B4GALT2/DRD1/DRD3/GRIN1/HIF1A/LOC113988556/LRRN4/MEIS2/NF1/NPTN/PPP1R1B",11
"GO:0018105","GO:0018105","peptidyl-serine phosphorylation","29/1276","145/11462",0.00119307082987069,0.122669050083565,0.118619754647449,"AKT1/BRSK2/CAMK2A/CDK5R1/CSNK2A1/DCLK1/LMTK2/LOC113985226/LOC113986509/LOC113993142/LOC113993809/LOC113993810/LOC114000515/MAP3K12/MAP3K13/MAPK1/MARK3/MAST3/PDPK1/PLK2/PRKCB/PRKCE/PRKCZ/RPS6KA3/RPS6KA5/SMG1/SRPK2/STK4/TTBK1",29
"GO:0010800","GO:0010800","positive regulation of peptidyl-threonine phosphorylation","8/1276","21/11462",0.00123888701965505,0.122669050083565,0.118619754647449,"CALM1/CALM2/LOC113999252/MAPK1/PRKAG2/TRPC5/TRPC6/UBE2K",8
"GO:0006654","GO:0006654","phosphatidic acid biosynthetic process","11/1276","36/11462",0.0013402398013762,0.122669050083565,0.118619754647449,"ABHD5/DGKB/DGKE/DGKH/DGKZ/GPAT3/LOC113989956/LOC114003119/LOC114003310/LPCAT1/PLA2G12A",11
"GO:0060291","GO:0060291","long-term synaptic potentiation","11/1276","36/11462",0.0013402398013762,0.122669050083565,0.118619754647449,"ARC/LOC113982192/LOC113982203/LRRTM2/MAPK1/NPTN/NTRK2/PLK2/PRKCZ/PTEN/SHANK2",11
"GO:0019933","GO:0019933","cAMP-mediated signaling","10/1276","31/11462",0.00138965968168817,0.122669050083565,0.118619754647449,"ADCY2/AHR/AKAP6/CAP2/EPHA5/PCLO/PDE3A/PDE7A/RAPGEF2/RAPGEF4",10
"GO:1904645","GO:1904645","response to amyloid-beta","6/1276","13/11462",0.00161462543105092,0.136330547265256,0.131830286910519,"LOC113993166/LOC113994017/LOC113997326/LOC114000517/LOC114003869/MMP9",6
"GO:0043666","GO:0043666","regulation of phosphoprotein phosphatase activity","11/1276","37/11462",0.00171832788662145,0.1366263737922,0.1321163482277,"IGFBP3/LOC113983557/LOC113986620/PPP1R2/PPP1R7/PPP2R2A/PPP3R1/PPP4R2/PPP6R3/SHOC2/TIPRL",11
"GO:0051899","GO:0051899","membrane depolarization","8/1276","22/11462",0.00175883591390576,0.1366263737922,0.1321163482277,"CACNB3/CACNB4/EDN1/LOC113993166/LOC113994017/LOC114000517/LOC114003869/PRKCZ",8
"GO:0018107","GO:0018107","peptidyl-threonine phosphorylation","14/1276","55/11462",0.00224837246936984,0.167936128289086,0.16239257025732,"ACVR1/AKT1/CDK5R1/CIT/CSNK2A1/LMTK2/LOC113999252/LOC114000515/MAP2K1/MAP3K12/MAPK1/NLK/PDPK1/TTBK1",14
"GO:0007205","GO:0007205","protein kinase C-activating G protein-coupled receptor signaling pathway","9/1276","28/11462",0.00246455550139266,0.168948828156434,0.163371840983835,"DGKB/DGKE/DGKH/DGKI/DGKZ/EDN1/HTR1B/LOC113986829/LOC113989956",9
"GO:0035556","GO:0035556","intracellular signal transduction","50/1276","302/11462",0.00255210959685585,0.168948828156434,0.163371840983835,"AKT1/ARHGEF4/BRSK2/CCN2/CHN1/CHN2/CIT/CNKSR2/DAPK1/DCLK1/DGKB/DGKE/DGKH/DGKI/DGKZ/FMN2/INPP5D/LOC113983590/LOC113984695/LOC113985226/LOC113986829/LOC113989956/LOC113993142/LOC113993809/LOC113993810/LOC113999252/LOC114000515/MAP3K12/MAPK1/MAPK8/MARK3/MAST3/NLK/NUAK1/NUDT4/PDPK1/PPP1R1B/PRKAG2/PRKCB/PRKCE/PRKCZ/RAB40C/RAC1/RALGPS1/RAPGEF2/RPS6KA3/RPS6KA5/SH3BP5/SRPK2/STK4",50
"GO:0060292","GO:0060292","long-term synaptic depression","6/1276","14/11462",0.00256131772702678,0.168948828156434,0.163371840983835,"ABHD6/ARF1/GRIA1/PLK2/PTEN/SHANK2",6
"GO:0007191","GO:0007191","adenylate cyclase-activating dopamine receptor signaling pathway","5/1276","10/11462",0.00264218787873325,0.168948828156434,0.163371840983835,"ADCY5/DRD1/DRD3/GNB1/LOC113984696",5
"GO:0006816","GO:0006816","calcium ion transport","14/1276","56/11462",0.00269691744224997,0.168948828156434,0.163371840983835,"ATP2C1/CACNB3/CAMK2A/GRIN3A/ITPR1/LOC113986509/LOC113993166/LOC113994017/LOC114000517/LOC114003869/PPP3CA/PRKCB/TRPC1/TRPC5",14
"GO:0007213","GO:0007213","G protein-coupled acetylcholine receptor signaling pathway","6/1276","15/11462",0.00387058163181549,0.219237652258243,0.212000635063529,"CDK5R1/CHRM4/GNB1/LOC113997129/PLCB1/RGS10",6
"GO:0036151","GO:0036151","phosphatidylcholine acyl-chain remodeling","6/1276","15/11462",0.00387058163181549,0.219237652258243,0.212000635063529,"LOC114003119/LOC114003310/LPCAT1/PLA2G12A/PLA2G4F/PNPLA8",6
"GO:0048168","GO:0048168","regulation of neuronal synaptic plasticity","6/1276","15/11462",0.00387058163181549,0.219237652258243,0.212000635063529,"ARC/CAMK2A/DBN1/EGR2/LOC113986509/STARD3",6
"GO:0048167","GO:0048167","regulation of synaptic plasticity","11/1276","41/11462",0.00418861428689556,0.219237652258243,0.212000635063529,"GRIN1/ITPKA/LOC113986074/LOC113988556/LOC113999497/PLK2/PPP3CB/RAPGEF2/RIMS1/SIPA1L1/YWHAG",11
"GO:0060999","GO:0060999","positive regulation of dendritic spine development","7/1276","20/11462",0.00436404346784125,0.219237652258243,0.212000635063529,"ARF1/CDKL5/EIF4G2/LOC113982192/LOC113982203/PPP1R9A/SHANK2",7
"GO:0036150","GO:0036150","phosphatidylserine acyl-chain remodeling","5/1276","11/11462",0.00440281587954247,0.219237652258243,0.212000635063529,"LOC114003119/LOC114003310/OSBPL5/PLA2G12A/PLA2G4F",5
"GO:0036152","GO:0036152","phosphatidylethanolamine acyl-chain remodeling","5/1276","11/11462",0.00440281587954247,0.219237652258243,0.212000635063529,"LOC114003119/LOC114003310/PLA2G12A/PLA2G4F/PNPLA8",5
"GO:0046889","GO:0046889","positive regulation of lipid biosynthetic process","5/1276","11/11462",0.00440281587954247,0.219237652258243,0.212000635063529,"ABHD6/AKT1/CCDC3/PPARA/SORBS1",5
"GO:0090630","GO:0090630","activation of GTPase activity","20/1276","97/11462",0.00453441754809472,0.220145971959999,0.212878971205289,"ARHGAP29/BCR/DOCK7/LOC113995005/LOC114004070/NDEL1/NGEF/RALGAPA1/RAP1GAP/RAPGEF1/RCC2/RUNDC1/SIPA1L1/TBC1D10A/TBC1D14/TBC1D30/TBC1D8B/TBCK/TIAM1/TIAM2",20
"GO:0007223","GO:0007223","Wnt signaling pathway, calcium modulating pathway","10/1276","36/11462",0.00475258929743641,0.2251104491615,0.217679571415316,"CALM1/CAMK2A/GNB1/LOC113986509/LOC113997129/NLK/PLCB1/PPP3CA/PPP3CB/PPP3R1",10
"GO:0051592","GO:0051592","response to calcium ion","11/1276","42/11462",0.00511592265620423,0.236550519008301,0.22874200548041,"ALG2/ANXA11/CALM1/CALM2/HNRNPDL/HOMER1/LOC113989210/LOC113993934/PPP3CA/TRPC1/TTN",11
"GO:0047496","GO:0047496","vesicle transport along microtubule","6/1276","16/11462",0.00561659090398745,0.244882964377373,0.236799397500804,"LOC113983557/LOC113986620/NDEL1/PRKCZ/RAB1A/TRAK1",6
"GO:2001222","GO:2001222","regulation of neuron migration","6/1276","16/11462",0.00561659090398745,0.244882964377373,0.236799397500804,"CAMK2A/CTNNA2/FLRT2/LOC113986509/NTNG1/PHACTR1",6
"GO:2000134","GO:2000134","negative regulation of G1/S transition of mitotic cell cycle","8/1276","26/11462",0.00573493050825142,0.244882964377373,0.236799397500804,"APC/CDC73/CTDSPL/DCUN1D3/DLG1/FAM107A/MYO16/PTEN",8
"GO:0031334","GO:0031334","positive regulation of protein-containing complex assembly","10/1276","37/11462",0.00587638981996048,0.244882964377373,0.236799397500804,"BAX/DAB2IP/FAF1/FNIP2/ICE1/LOC113989207/SH3GLB1/SLF2/SPIDR/SUMO1",10
"GO:0061003","GO:0061003","positive regulation of dendritic spine morphogenesis","7/1276","21/11462",0.00592662169193436,0.244882964377373,0.236799397500804,"ACTR2/DBN1/ITPKA/LOC113984695/LOC113990269/PAK3/TIAM1",7
"GO:0032869","GO:0032869","cellular response to insulin stimulus","17/1276","80/11462",0.00621232115835705,0.246793241662994,0.238646616687507,"AKT1/CAPN10/ERRFI1/FOXO1/IRS2/LOC114001595/LPIN2/PARP1/PDPK1/PPAT/PRKCZ/PTEN/RHOQ/SORBS1/STARD3/TRARG1/YWHAG",17
"GO:0042310","GO:0042310","vasoconstriction","5/1276","12/11462",0.00686242793501632,0.246793241662994,0.238646616687507,"EDN1/EDNRB/HTR1B/HTR7/LOC113983488",5
"GO:0043011","GO:0043011","myeloid dendritic cell differentiation","5/1276","12/11462",0.00686242793501632,0.246793241662994,0.238646616687507,"BATF/LOC113985226/LOC113993142/LOC114001824/NOTCH2",5
"GO:0044255","GO:0044255","cellular lipid metabolic process","5/1276","12/11462",0.00686242793501632,0.246793241662994,0.238646616687507,"ABHD2/FAM135B/LOC113989812/LPIN2/SCAP",5
"GO:0048148","GO:0048148","behavioral response to cocaine","5/1276","12/11462",0.00686242793501632,0.246793241662994,0.238646616687507,"DRD3/HOMER1/HOMER2/LOC114003843/PPP1R1B",5
"GO:0097120","GO:0097120","receptor localization to synapse","5/1276","12/11462",0.00686242793501632,0.246793241662994,0.238646616687507,"DLG1/DLG3/LOC113983406/LOC114001545/LRRC7",5
"GO:2000781","GO:2000781","positive regulation of double-strand break repair","5/1276","12/11462",0.00686242793501632,0.246793241662994,0.238646616687507,"FMN2/FOXM1/SLF2/SPIDR/SPIRE1",5
"GO:0019722","GO:0019722","calcium-mediated signaling","12/1276","50/11462",0.00749599737254047,0.264676852681338,0.255939891150473,"CAMKK2/EDN1/EDNRB/GRIN1/KSR2/LOC114003119/LOC114003310/MCU/NUDT4/PDPK1/PPP1R9A/PPP1R9B",12
"GO:0007264","GO:0007264","small GTPase mediated signal transduction","17/1276","82/11462",0.00801806386969794,0.278055000624168,0.268876427510171,"BCR/DOCK3/DOCK4/DOCK7/DOCK9/HACD3/KRIT1/RALBP1/RALGPS1/RAPGEF2/RAPGEF4/RASGEF1A/RASGEF1B/RHOBTB2/RHOQ/TIAM1/TIAM2",17
"GO:0006469","GO:0006469","negative regulation of protein kinase activity","14/1276","63/11462",0.00830609865390897,0.282990238348969,0.273648753436262,"AKT1/DTNBP1/DUSP19/GSKIP/MLLT1/NF1/PDPK1/PPM1E/PPP1R1B/PRKAG2/SMCR8/SMYD3/SPRED1/YWHAG",14
"GO:0050770","GO:0050770","regulation of axonogenesis","7/1276","23/11462",0.0102492634207059,0.343173613155359,0.331845479900895,"BRSK2/CHN1/CHN2/LOC113990269/LOC114000515/PAK3/SIPA1L1",7
"GO:0097503","GO:0097503","sialylation","6/1276","18/11462",0.0107181500473152,0.352790633760782,0.341145043432833,"ST3GAL2/ST6GAL2/ST6GALNAC3/ST6GALNAC5/ST8SIA1/ST8SIA5",6
"GO:0050796","GO:0050796","regulation of insulin secretion","13/1276","59/11462",0.0115666484834005,0.367529404162744,0.355397288214178,"ABCC8/ARL2/DPP4/ICA1/ITPR1/KCNJ11/LOC113993166/LOC114000517/LOC114003869/NOS2/PPP3CB/RAPGEF4/SYT7",13
"GO:0016567","GO:0016567","protein ubiquitination","55/1276","365/11462",0.0117313685575418,0.367529404162744,0.355397288214178,"AKT1/ANAPC16/AREL1/ARIH2/ARRDC4/CBLL1/CDC27/CDC73/CRBN/CUL2/CUL4B/DCAF17/DCAF6/FBXL17/FBXO11/FBXO3/FBXW7/FEM1B/GID4/HERC4/HIF1A/JADE2/KLHL2/KLHL3/KLHL7/KLHL8/LOC113989210/LOC113993519/LOC113993934/LOC113994897/LOC114000386/MAEA/MED1/MGRN1/MKRN1/NFX1/PDZRN3/PEX13/PEX5L/PPP1R11/RAB40C/RLIM/RNF150/RNF6/RTF1/SHPRH/SIAH3/TRIM33/UBE2K/UBR2/UBR3/UCHL3/USP7/WAC/XIAP",55
"GO:0046777","GO:0046777","protein autophosphorylation","27/1276","155/11462",0.012018475975759,0.367529404162744,0.355397288214178,"AKT1/BCR/CAMK2A/CAMKK2/CDKL5/DAPK1/GRK7/LMTK2/LOC113985226/LOC113986509/LOC113993142/LOC113999252/LOC114000515/MAP3K12/MAP3K13/MEX3B/NLK/NTRK2/PDPK1/PEAK1/SLK/SMG1/STK11/STK24/STK4/TAOK1/TYRO3",27
"GO:0070317","GO:0070317","negative regulation of G0 to G1 transition","9/1276","35/11462",0.0123535431867576,0.367529404162744,0.355397288214178,"BMI1/CBX3/DAB2IP/LOC113989207/MGA/PHC3/RBBP4/RNF2/RRM2B",9
"GO:0006470","GO:0006470","protein dephosphorylation","24/1276","134/11462",0.0124200726134587,0.367529404162744,0.355397288214178,"CTDSPL/DLG1/DUSP7/DUSP8/LOC113985122/LRRC39/PHLPP2/PPM1A/PPM1E/PPP1R12A/PPP2CA/PPP2R2A/PPP3CA/PPP3CB/PPP3CC/PPP3R1/PPP4R2/PTEN/PTPN1/PTPN12/PTPN4/PTPN9/PTPRZ1/STK11",24
"GO:0006363","GO:0006363","termination of RNA polymerase I transcription","7/1276","24/11462",0.0131092520397178,0.367529404162744,0.355397288214178,"GTF2H1/POLR1B/POLR2L/TAF1D/TBP/TTF1/UBTF",7
"GO:0043113","GO:0043113","receptor clustering","7/1276","24/11462",0.0131092520397178,0.367529404162744,0.355397288214178,"DLG1/DLG3/LOC113983406/LOC113988556/LOC114001545/LRRC7/MAGI2",7
"GO:0007612","GO:0007612","learning","13/1276","60/11462",0.0133044996026493,0.367529404162744,0.355397288214178,"ARC/ATXN1/DRD3/GRM5/LOC113982192/LOC113982203/LOC113999497/LOC114001545/NTRK2/PPP1R9B/PPP3CB/SHANK2/YTHDF1",13
"GO:0008286","GO:0008286","insulin receptor signaling pathway","15/1276","73/11462",0.0133414302675696,0.367529404162744,0.355397288214178,"AKT1/APC/APPL1/ATP6AP1/ATP6V0A2/CAV2/FOXO1/GRB10/IRS2/IRS4/NAMPT/NDEL1/PTPN1/RHOQ/SORBS1",15
"GO:0009311","GO:0009311","oligosaccharide metabolic process","6/1276","19/11462",0.0142186214426848,0.367529404162744,0.355397288214178,"MAN1B1/ST6GAL2/ST6GALNAC3/ST6GALNAC5/ST8SIA1/ST8SIA5",6
"GO:0030225","GO:0030225","macrophage differentiation","5/1276","14/11462",0.0143539638183102,0.367529404162744,0.355397288214178,"CSF1/GAB3/L3MBTL3/MMP9/PARP1",5
"GO:0030948","GO:0030948","negative regulation of vascular endothelial growth factor receptor signaling pathway","5/1276","14/11462",0.0143539638183102,0.367529404162744,0.355397288214178,"DAB2IP/LOC113989207/LOC113989210/LOC113993934/PTPN1",5
"GO:0060134","GO:0060134","prepulse inhibition","5/1276","14/11462",0.0143539638183102,0.367529404162744,0.355397288214178,"CTNNA2/DRD1/DRD3/GRIN3A/PTEN",5
"GO:0007190","GO:0007190","activation of adenylate cyclase activity","8/1276","30/11462",0.0143832310588922,0.367529404162744,0.355397288214178,"ADCY2/ADCY5/ADCY9/CALM1/CAP2/DRD1/LGR4/LOC113984696",8
"GO:0045773","GO:0045773","positive regulation of axon extension","8/1276","30/11462",0.0143832310588922,0.367529404162744,0.355397288214178,"CDKL5/DBN1/EIF4G2/LOC113991273/MACF1/MAP3K13/NDEL1/TRPC5",8
"GO:0046326","GO:0046326","positive regulation of glucose import","8/1276","30/11462",0.0143832310588922,0.367529404162744,0.355397288214178,"AKT1/APPL1/ARPP19/CAPN10/IRS2/MEF2A/RHOQ/SORBS1",8
"GO:2000310","GO:2000310","regulation of NMDA receptor activity","8/1276","30/11462",0.0143832310588922,0.367529404162744,0.355397288214178,"DAPK1/DLG1/DLG3/GRIA1/GRIN1/LOC113983406/LOC114001545/LRRC7",8
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","13/1276","61/11462",0.0152361862034719,0.384268488404446,0.371583816636963,"ARC/BCR/CDH11/DGKB/DGKE/LOC113988814/LOC113993166/LOC113993373/LOC113994017/LOC114000517/LOC114003869/NTNG1/PPP1R9B",13
"GO:0070588","GO:0070588","calcium ion transmembrane transport","17/1276","88/11462",0.0160587393023742,0.399821432374495,0.386623359182665,"ATP2B4/ATP2C1/CACNB2/CACNB4/FKBP1A/GPM6A/GRIN3A/LOC113993166/LOC113994017/LOC114000517/LOC114003869/PKD2L1/STIM2/TMEM165/TRPC1/TRPC5/TRPC6",17
"GO:0070059","GO:0070059","intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","7/1276","25/11462",0.0164994979179869,0.403529629998807,0.390209149502885,"BAX/BRSK2/DAB2IP/ITPR1/LOC113989207/MAP3K5/UBE2K",7
"GO:0043647","GO:0043647","inositol phosphate metabolic process","10/1276","43/11462",0.017509047961175,0.403529629998807,0.390209149502885,"CALM1/INPP4A/INPP5D/ITPKA/LOC113997129/NUDT3/NUDT4/PLCB1/PPIP5K2/PTEN",10
"GO:0008219","GO:0008219","cell death","8/1276","31/11462",0.0175443674704759,0.403529629998807,0.390209149502885,"EIF4G2/FAF1/LOC113993166/LOC114000517/LOC114003869/MAP3K20/PNPLA8/SUSD6",8
"GO:2000300","GO:2000300","regulation of synaptic vesicle exocytosis","9/1276","37/11462",0.0177835245535243,0.403529629998807,0.390209149502885,"APBA1/CALM1/CSPG5/DTNBP1/GRIN3A/HTR1B/PRKCB/RIMS1/STXBP5L",9
"GO:0006171","GO:0006171","cAMP biosynthetic process","4/1276","10/11462",0.0184933764520566,0.403529629998807,0.390209149502885,"ADCY2/ADCY5/ADCY9/LOC113984696",4
"GO:0010666","GO:0010666","positive regulation of cardiac muscle cell apoptotic process","4/1276","10/11462",0.0184933764520566,0.403529629998807,0.390209149502885,"CAMK2A/LOC113986509/MAP3K5/PTEN",4
"GO:0021819","GO:0021819","layer formation in cerebral cortex","4/1276","10/11462",0.0184933764520566,0.403529629998807,0.390209149502885,"CDK5R1/CDK5R2/DAB2IP/LOC113989207",4
"GO:0030278","GO:0030278","regulation of ossification","4/1276","10/11462",0.0184933764520566,0.403529629998807,0.390209149502885,"ACVR1/CSF1/EGR2/MAPK1",4
"GO:0070914","GO:0070914","UV-damage excision repair","4/1276","10/11462",0.0184933764520566,0.403529629998807,0.390209149502885,"ACTR5/CUL4B/INO80/XPA",4
"GO:0098696","GO:0098696","regulation of neurotransmitter receptor localization to postsynaptic specialization membrane","4/1276","10/11462",0.0184933764520566,0.403529629998807,0.390209149502885,"ADAM10/LOC113988814/LOC113993373/PRKCZ",4
