"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0048013","GO:0048013","ephrin receptor signaling pathway","11/422","91/11462",0.000493464110342804,0.62472556369399,0.62472556369399,"ACTR3/ARPC2/EPHA4/KALRN/LOC113996192/NCK2/PSEN2/PTK2/RHOA/SS18/WASL",11
"GO:0034329","GO:0034329","cell junction assembly","4/422","18/11462",0.00367552518110355,0.787354185160381,0.787354185160382,"FLNC/LOC114002136/MYO9A/RHOA",4
"GO:0030334","GO:0030334","regulation of cell migration","8/422","69/11462",0.00369712939278904,0.787354185160381,0.787354185160382,"FGF18/HACE1/LOC113995760/LOC114002136/NTN1/RHOA/RHOB/TMSB4X",8
"GO:0060396","GO:0060396","growth hormone receptor signaling pathway","3/422","10/11462",0.0049011010195628,0.787354185160381,0.787354185160382,"PTK2/SOCS2/STAT3",3
"GO:0006828","GO:0006828","manganese ion transport","3/422","11/11462",0.0065565940435692,0.787354185160381,0.787354185160382,"LOC113989062/LOC113992172/TRPC3",3
"GO:0045446","GO:0045446","endothelial cell differentiation","3/422","11/11462",0.0065565940435692,0.787354185160381,0.787354185160382,"FSTL1/JAG2/PTN",3
"GO:0070509","GO:0070509","calcium ion import","4/422","22/11462",0.00782283901674554,0.787354185160381,0.787354185160382,"LOC113989062/LOC113992172/MICU1/ORAI1",4
"GO:0007275","GO:0007275","multicellular organism development","19/422","281/11462",0.00795136373885967,0.787354185160381,0.787354185160382,"ARHGDIB/CDH8/CHST2/ENC1/EPHA4/FSTL1/HUNK/LOC113996192/LTK/MET/NEPRO/PHF3/PRR15/PSME4/RADIL/ROR2/SUFU/TSHZ2/WIPF3",19
"GO:0035556","GO:0035556","intracellular signal transduction","20/422","302/11462",0.008186363280237,0.787354185160381,0.787354185160382,"ASB5/CDC42BPA/DDX3X/HUNK/KALRN/LATS2/LOC114001403/MAP4K3/MAPKAPK2/MKNK1/MYO9A/PREX1/PRKAR2B/PRKCH/PSEN2/SHC4/SIK2/SOCS2/SS18/TNIK",20
"GO:0010952","GO:0010952","positive regulation of peptidase activity","3/422","12/11462",0.00850593752108426,0.787354185160381,0.787354185160382,"CLPX/FBLN1/PSME4",3
"GO:0010996","GO:0010996","response to auditory stimulus","3/422","12/11462",0.00850593752108426,0.787354185160381,0.787354185160382,"ABHD12/PTN/XPC",3
"GO:0098656","GO:0098656","anion transmembrane transport","5/422","35/11462",0.00862158859621241,0.787354185160381,0.787354185160382,"LOC114003586/LRRC8B/LRRC8D/SLC13A5/SLC24A3",5
"GO:0031532","GO:0031532","actin cytoskeleton reorganization","6/422","51/11462",0.0106659689239426,0.787354185160381,0.787354185160382,"CDC42BPA/FARP2/LOC114002136/RHOA/THSD7B/TNIK",6
"GO:0042493","GO:0042493","response to drug","15/422","211/11462",0.0113320481260843,0.787354185160381,0.787354185160382,"ADA/ADCY1/APOA1/ARRB1/COL18A1/DUSP6/GAD1/OGG1/PTN/RAD51B/SS18/TENT4A/TOP1/VEGFC/XPC",15
"GO:0035335","GO:0035335","peptidyl-tyrosine dephosphorylation","8/422","84/11462",0.0119830667943519,0.787354185160381,0.787354185160382,"CDC14B/DUSP4/DUSP5/DUSP6/EYA2/MTMR3/PTPDC1/PTPN2",8
"GO:0007015","GO:0007015","actin filament organization","9/422","101/11462",0.0120156350579293,0.787354185160381,0.787354185160382,"LOC113995760/MYO5B/NCK2/RHOA/RHOB/RHOBTB1/SHROOM3/SHROOM4/TMSB4X",9
"GO:0030048","GO:0030048","actin filament-based movement","3/422","14/11462",0.0133254364853887,0.787354185160381,0.787354185160382,"MYH10/WASL/WIPF3",3
"GO:0036120","GO:0036120","cellular response to platelet-derived growth factor stimulus","3/422","14/11462",0.0133254364853887,0.787354185160381,0.787354185160382,"CBLB/CCNA2/PTN",3
"GO:0003091","GO:0003091","renal water homeostasis","4/422","26/11462",0.0142436284264509,0.787354185160381,0.787354185160382,"ADCY1/AQP4/MYO5B/PRKAR2B",4
"GO:0002576","GO:0002576","platelet degranulation","8/422","87/11462",0.014612109066305,0.787354185160381,0.787354185160382,"APOA1/ISLR/LOC114002136/PHACTR2/TMSB4X/TMX3/VCL/VEGFC",8
