"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070125","GO:0070125","mitochondrial translational elongation","5/109","85/11462",0.00127201790190958,0.147737789690762,0.137963354174181,"MRPL35/MRPL36/MRPL4/MRPS28/TSFM",5
"GO:0070536","GO:0070536","protein K63-linked deubiquitination","3/109","29/11462",0.00255340967270973,0.147737789690762,0.137963354174181,"BABAM1/LOC113991744/LOC113991747",3
"GO:0007420","GO:0007420","brain development","7/109","203/11462",0.0032019820759855,0.147737789690762,0.137963354174181,"LOC113984925/LOC113984926/LOC113994162/LOC113998583/LOC114003200/SLC17A7/UFC1",7
"GO:0045039","GO:0045039","protein insertion into mitochondrial inner membrane","2/109","10/11462",0.00383654955124904,0.147737789690762,0.137963354174181,"TIMM10B/TIMM29",2
"GO:0071816","GO:0071816","tail-anchored membrane protein insertion into ER membrane","2/109","10/11462",0.00383654955124904,0.147737789690762,0.137963354174181,"EMC4/EMC6",2
"GO:0001654","GO:0001654","eye development","3/109","35/11462",0.0043886621785284,0.147737789690762,0.137963354174181,"LOC113984436/LOC113988702/LOC114003200",3
"GO:0043044","GO:0043044","ATP-dependent chromatin remodeling","3/109","36/11462",0.00475485141631074,0.147737789690762,0.137963354174181,"LOC113984925/LOC113984926/LOC113987549",3
"GO:0031334","GO:0031334","positive regulation of protein-containing complex assembly","3/109","37/11462",0.00513898419444589,0.147737789690762,0.137963354174181,"BRK1/GNL3L/PIH1D1",3
"GO:0043928","GO:0043928","exonucleolytic catabolism of deadenylated mRNA","3/109","37/11462",0.00513898419444589,0.147737789690762,0.137963354174181,"EXOSC4/LOC113984933/LOC113984936",3
"GO:0032508","GO:0032508","DNA duplex unwinding","4/109","74/11462",0.0053443554713721,0.147737789690762,0.137963354174181,"DQX1/LOC113984925/LOC113984926/LOC113987549",4
"GO:0006878","GO:0006878","cellular copper ion homeostasis","2/109","12/11462",0.00555753440842991,0.147737789690762,0.137963354174181,"CCDC22/LOC113988702",2
"GO:0045945","GO:0045945","positive regulation of transcription by RNA polymerase III","2/109","12/11462",0.00555753440842991,0.147737789690762,0.137963354174181,"LOC113984925/LOC113984926",2
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","7/109","232/11462",0.00660805118437359,0.160952191499308,0.150303481914879,"HNRNPA1/LOC113996651/LOC113996654/METTL3/RBM10/SNRNP27/SRRM2",7
"GO:0016075","GO:0016075","rRNA catabolic process","2/109","14/11462",0.0075682848667386,0.160952191499308,0.150303481914879,"EXOSC4/TRIR",2
"GO:0060134","GO:0060134","prepulse inhibition","2/109","14/11462",0.0075682848667386,0.160952191499308,0.150303481914879,"LOC113984925/LOC113984926",2
