"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006457","GO:0006457","protein folding","14/74","129/11462",6.5710992582036e-14,2.43787782479354e-11,2.20650596143889e-11,"AHSA1/CALR/CCT3/CCT5/CCT6A/DNAJB6/HSP90AA1/HSP90B1/HSPA8/LOC113994013/PDIA4/PDIA6/PTGES3/TCP1",14
"GO:1904851","GO:1904851","positive regulation of establishment of protein localization to telomere","6/74","11/11462",2.65255883719797e-11,4.92049664300224e-09,4.45350667929554e-09,"CCT3/CCT5/CCT6A/LOC113994013/TCP1/WRAP53",6
"GO:1904871","GO:1904871","positive regulation of protein localization to Cajal body","5/74","12/11462",7.47744125317747e-09,9.2471023497628e-07,8.36948687636355e-07,"CCT3/CCT5/CCT6A/LOC113994013/TCP1",5
"GO:0042026","GO:0042026","protein refolding","5/74","16/11462",4.04180389744404e-08,2.99901849190348e-06,2.71439040691505e-06,"DNAJA4/HSP90AA1/HSPA2/HSPA5/HSPA8",5
"GO:1904874","GO:1904874","positive regulation of telomerase RNA localization to Cajal body","5/74","16/11462",4.04180389744404e-08,2.99901849190348e-06,2.71439040691505e-06,"CCT3/CCT5/CCT6A/LOC113994013/TCP1",5
"GO:0006986","GO:0006986","response to unfolded protein","6/74","33/11462",5.68436480571558e-08,3.5148322382008e-06,3.18124977723381e-06,"HERPUD1/HSP90AA1/HSPA2/HSPA4/HSPA8/MANF",6
"GO:0051973","GO:0051973","positive regulation of telomerase activity","5/74","29/11462",1.02937222644513e-06,4.55980484084845e-05,4.12704708251002e-05,"HSP90AA1/LOC113994013/PTGES3/TCP1/WRAP53",5
"GO:0007339","GO:0007339","binding of sperm to zona pellucida","4/74","13/11462",1.09520991791337e-06,4.55980484084845e-05,4.12704708251002e-05,"CCT3/CCT5/LOC113994013/TCP1",4
"GO:0032212","GO:0032212","positive regulation of telomere maintenance via telomerase","5/74","30/11462",1.22905790858449e-06,4.55980484084845e-05,4.12704708251002e-05,"CCT3/CCT5/CCT6A/LOC113994013/TCP1",5
"GO:1901998","GO:1901998","toxin transport","5/74","30/11462",1.22905790858449e-06,4.55980484084845e-05,4.12704708251002e-05,"CCT3/CCT5/HSPA5/LOC113994013/TCP1",5
"GO:0051131","GO:0051131","chaperone-mediated protein complex assembly","4/74","16/11462",2.74718494967396e-06,9.26550560299127e-05,8.38614353058368e-05,"HSP90AA1/HSPA4/PSMG3/PTGES3",4
"GO:0050821","GO:0050821","protein stabilization","8/74","157/11462",7.26204459040582e-06,0.000224518211920047,0.000203209844240303,"CALR/CCT3/CCT5/CCT6A/HSP90AA1/LOC113994013/PTGES3/TCP1",8
"GO:0051085","GO:0051085","chaperone cofactor-dependent protein refolding","4/74","27/11462",2.51039245733123e-05,0.000716427385899913,0.000648433355375436,"HSPA2/HSPA5/HSPA8/PTGES3",4
