"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043524","GO:0043524","negative regulation of neuron apoptotic process","6/40","109/11462",1.90041787341888e-06,0.000427594021519249,0.000310068179347292,"EN1/EN2/LOC114000843/POU4F1/TFAP2B/TFAP2D",6
"GO:2000679","GO:2000679","positive regulation of transcription regulatory region DNA binding","3/40","10/11462",4.64571938827865e-06,0.000522643431181348,0.000378992897464837,"LOC114000843/POU4F1/POU4F2",3
"GO:0071345","GO:0071345","cellular response to cytokine stimulus","4/40","37/11462",7.72834087055496e-06,0.000579625565291622,0.000420313275416147,"LOC114000843/MME/POU4F1/POU4F2",4
"GO:0045672","GO:0045672","positive regulation of osteoclast differentiation","3/40","14/11462",1.39561119275691e-05,0.000783132142900832,0.000567885296606451,"LOC114000843/POU4F1/POU4F2",3
"GO:0035115","GO:0035115","embryonic forelimb morphogenesis","3/40","15/11462",1.74029365089074e-05,0.000783132142900832,0.000567885296606451,"EN1/SHOX2/TFAP2A",3
"GO:0030901","GO:0030901","midbrain development","3/40","21/11462",5.01364211364541e-05,0.00188011579261703,0.00136335882037726,"EN1/EN2/OTX2",3
"GO:0072332","GO:0072332","intrinsic apoptotic signaling pathway by p53 class mediator","3/40","23/11462",6.64382055715793e-05,0.00213551375051505,0.00154855967873606,"LOC114000843/POU4F1/POU4F2",3
"GO:0051090","GO:0051090","regulation of DNA-binding transcription factor activity","3/40","27/11462",0.00010867300841683,0.00303549200494448,0.00220117548896559,"LOC114000843/POU4F1/POU4F2",3
"GO:0048856","GO:0048856","anatomical structure development","3/40","28/11462",0.000121419680197779,0.00303549200494448,0.00220117548896559,"TFAP2A/TFAP2B/TFAP2D",3
"GO:0071392","GO:0071392","cellular response to estradiol stimulus","3/40","31/11462",0.000165395468797885,0.00372139804795241,0.00269855764880759,"LOC114000843/POU4F1/POU4F2",3
"GO:0001501","GO:0001501","skeletal system development","4/40","91/11462",0.000273082307414889,0.00558577446985,0.00405050312433568,"EN1/IGF2/SHOX/SHOX2",4
"GO:0003223","GO:0003223","ventricular compact myocardium morphogenesis","2/40","10/11462",0.000525014183709754,0.00908678394882266,0.00658924684008193,"LOC114000843/POU4F1",2
"GO:0048665","GO:0048665","neuron fate specification","2/40","10/11462",0.000525014183709754,0.00908678394882266,0.00658924684008193,"LOC114000843/POU4F1",2
"GO:0001967","GO:0001967","suckling behavior","2/40","13/11462",0.00090401433314173,0.0145288017826349,0.0105355053862382,"LOC114000843/POU4F1",2
