"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0098742","GO:0098742","cell-cell adhesion via plasma-membrane adhesion molecules","3/41","30/12151",0.000135892807888793,0.0251401694594267,0.0213137140794002,"CDH19/LOC113990764/LOC114000287",3
"GO:0022010","GO:0022010","central nervous system myelination","2/41","12/12151",0.000717635456947847,0.0663812797676758,0.0562777279395943,"LOC113990764/NKX6-2",2
"GO:0009636","GO:0009636","response to toxic substance","3/41","65/12151",0.00134709366966201,0.0830707762958237,0.0704270023788207,"CNP/GJC2/LOC114000287",3
"GO:0034332","GO:0034332","adherens junction organization","2/41","37/12151",0.00686562949471982,0.194290882788974,0.164718870757082,"CDH19/LOC114000287",2
"GO:0098656","GO:0098656","anion transmembrane transport","2/41","40/12151",0.00798970136175065,0.194290882788974,0.164718870757082,"LOC114000060/SLC13A4",2
"GO:0007155","GO:0007155","cell adhesion","4/41","317/12151",0.0215652927426995,0.194290882788974,0.164718870757082,"HAPLN2/JCAD/LOC113990764/NINJ2",4
"GO:0006811","GO:0006811","ion transport","2/41","80/12151",0.0297412912605858,0.194290882788974,0.164718870757082,"PLLP/SLC12A2",2
"GO:0006883","GO:0006883","cellular sodium ion homeostasis","1/41","10/12151",0.0332464520353664,0.194290882788974,0.164718870757082,"SLC12A2",1
"GO:0030195","GO:0030195","negative regulation of blood coagulation","1/41","10/12151",0.0332464520353664,0.194290882788974,0.164718870757082,"APOH",1
"GO:0035493","GO:0035493","SNARE complex assembly","1/41","10/12151",0.0332464520353664,0.194290882788974,0.164718870757082,"LOC113995247",1
"GO:0035635","GO:0035635","entry of bacterium into host cell","1/41","10/12151",0.0332464520353664,0.194290882788974,0.164718870757082,"LOC114000287",1
"GO:0035865","GO:0035865","cellular response to potassium ion","1/41","10/12151",0.0332464520353664,0.194290882788974,0.164718870757082,"SLC12A2",1
"GO:0048715","GO:0048715","negative regulation of oligodendrocyte differentiation","1/41","10/12151",0.0332464520353664,0.194290882788974,0.164718870757082,"DAAM2",1
"GO:0051918","GO:0051918","negative regulation of fibrinolysis","1/41","10/12151",0.0332464520353664,0.194290882788974,0.164718870757082,"APOH",1
