"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001974","GO:0001974","blood vessel remodeling","4/70","32/12151",3.21533909944235e-05,0.0126362826608085,0.0122182885778809,"CHD7/FGF10/LOC114002556/RSPO3",4
"GO:0050767","GO:0050767","regulation of neurogenesis","3/70","24/12151",0.000339793279984409,0.0667693795169365,0.0645607231970378,"CHD7/HEY2/PER2",3
"GO:0060173","GO:0060173","limb development","3/70","33/12151",0.000882600981126279,0.115620728527543,0.111796124275995,"CHD7/FGF10/SLC39A1",3
"GO:0009948","GO:0009948","anterior/posterior axis specification","2/70","11/12151",0.00173993569702377,0.136250513228531,0.131743498796035,"HEY2/SKI",2
"GO:0050872","GO:0050872","white fat cell differentiation","2/70","12/12151",0.00208016050730582,0.136250513228531,0.131743498796035,"FGF10/PER2",2
"GO:0051145","GO:0051145","smooth muscle cell differentiation","2/70","12/12151",0.00208016050730582,0.136250513228531,0.131743498796035,"FGF10/HEY2",2
"GO:0021772","GO:0021772","olfactory bulb development","2/70","13/12151",0.00244923572107193,0.137507091197324,0.132958510572476,"CHD7/SKI",2
"GO:0003222","GO:0003222","ventricular trabecula myocardium morphogenesis","2/70","16/12151",0.00372623686494659,0.183051385990501,0.176996251084963,"CHD7/HEY2",2
"GO:0060045","GO:0060045","positive regulation of cardiac muscle cell proliferation","2/70","18/12151",0.00471577220761585,0.205922053065892,0.199110382099336,"HEY2/PIM1",2
"GO:0006812","GO:0006812","cation transport","2/70","21/12151",0.00640094351907018,0.228688254817689,0.221123503386061,"PANX3/SLC39A1",2
"GO:1901687","GO:1901687","glutathione derivative biosynthetic process","2/70","21/12151",0.00640094351907018,0.228688254817689,0.221123503386061,"LOC113984986/LOC113990807",2
"GO:0043153","GO:0043153","entrainment of circadian clock by photoperiod","2/70","22/12151",0.00701496971691261,0.229740258228888,0.222140707702233,"PER2/PER3",2
"GO:0030334","GO:0030334","regulation of cell migration","3/70","70/12151",0.0076083697097727,0.230006868918513,0.22239849920874,"AMOTL2/FGF10/LAMA1",3
"GO:1900087","GO:1900087","positive regulation of G1/S transition of mitotic cell cycle","2/70","32/12151",0.0145152328914185,0.279830603997973,0.270574120914071,"FGF10/LSM10",2
"GO:0016575","GO:0016575","histone deacetylation","2/70","33/12151",0.0153947575307922,0.279830603997973,0.270574120914071,"LOC114003358/RCOR1",2
"GO:0042059","GO:0042059","negative regulation of epidermal growth factor receptor signaling pathway","2/70","34/12151",0.0162966776414926,0.279830603997973,0.270574120914071,"ITGA1/ZFYVE28",2
"GO:0006749","GO:0006749","glutathione metabolic process","2/70","35/12151",0.0172207137542172,0.279830603997973,0.270574120914071,"LOC113984986/LOC113990807",2
"GO:0120162","GO:0120162","positive regulation of cold-induced thermogenesis","3/70","95/12151",0.0173766328849068,0.279830603997973,0.270574120914071,"LOC114000001/LOC114002556/PER2",3
"GO:0030177","GO:0030177","positive regulation of Wnt signaling pathway","2/70","37/12151",0.0191340280701175,0.279830603997973,0.270574120914071,"RSPO3/SKI",2
"GO:0043010","GO:0043010","camera-type eye development","2/70","37/12151",0.0191340280701175,0.279830603997973,0.270574120914071,"LAMA1/SKI",2
"GO:0050896","GO:0050896","response to stimulus","2/70","38/12151",0.0201227592433409,0.279830603997973,0.270574120914071,"HPS1/PPT1",2
"GO:0060041","GO:0060041","retina development in camera-type eye","2/70","41/12151",0.0232140158515349,0.279830603997973,0.270574120914071,"CHD7/SKI",2
"GO:0030514","GO:0030514","negative regulation of BMP signaling pathway","2/70","42/12151",0.0242852378764573,0.279830603997973,0.270574120914071,"HTRA3/SKI",2
"GO:0000187","GO:0000187","activation of MAPK activity","3/70","108/12151",0.0243145238889016,0.279830603997973,0.270574120914071,"FGF10/ITGA1/MAP3K11",3
"GO:0003151","GO:0003151","outflow tract morphogenesis","2/70","43/12151",0.0253764249291994,0.279830603997973,0.270574120914071,"GJA5/HEY2",2
"GO:0043525","GO:0043525","positive regulation of neuron apoptotic process","2/70","48/12151",0.0311228650286338,0.279830603997973,0.270574120914071,"ITGA1/MAP3K11",2
"GO:0007368","GO:0007368","determination of left/right symmetry","2/70","51/12151",0.0347941047840175,0.279830603997973,0.270574120914071,"FGF10/NPHP3",2
