"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006888","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","10/120","158/12151",3.5389738873206e-06,0.001666856700928,0.001666856700928,"CAPZA2/CD59/CUL3/DYNC1LI1/GOPC/RAB1A/TMED7/TRAPPC2/TRAPPC6B/VAPA",10
"GO:0048208","GO:0048208","COPII vesicle coating","5/120","59/12151",0.000282563828483789,0.0665437816079322,0.0665437816079322,"CD59/CUL3/RAB1A/TRAPPC2/TRAPPC6B",5
"GO:0043087","GO:0043087","regulation of GTPase activity","4/120","66/12151",0.00406917135893747,0.434476829179686,0.434476829179686,"ARHGAP15/CRK/TBC1D15/TRAPPC6B",4
"GO:0051480","GO:0051480","regulation of cytosolic calcium ion concentration","3/120","34/12151",0.00449676078368831,0.434476829179686,0.434476829179686,"CAV2/GPER1/TMEM64",3
"GO:0008631","GO:0008631","intrinsic apoptotic signaling pathway in response to oxidative stress","2/120","14/12151",0.00814455890888402,0.434476829179686,0.434476829179686,"ARL6IP5/GSKIP",2
"GO:0048490","GO:0048490","anterograde synaptic vesicle transport","2/120","16/12151",0.0106027543168475,0.434476829179686,0.434476829179686,"AP3S1/BLOC1S6",2
"GO:0032402","GO:0032402","melanosome transport","2/120","18/12151",0.0133459309104969,0.434476829179686,0.434476829179686,"BLOC1S6/RAB1A",2
"GO:0007088","GO:0007088","regulation of mitotic nuclear division","2/120","19/12151",0.0148206353845174,0.434476829179686,0.434476829179686,"CAV2/CDK13",2
"GO:0061418","GO:0061418","regulation of transcription from RNA polymerase II promoter in response to hypoxia","3/120","58/12151",0.0195479202666968,0.434476829179686,0.434476829179686,"EGLN1/EPAS1/HIGD1A",3
"GO:0006914","GO:0006914","autophagy","4/120","106/12151",0.0207831385550559,0.434476829179686,0.434476829179686,"GABARAPL2/LOC113984071/RAB12/RAB1A",4
"GO:0006479","GO:0006479","protein methylation","2/120","24/12151",0.0231674938284478,0.434476829179686,0.434476829179686,"CAMKMT/SNRPD3",2
"GO:0048469","GO:0048469","cell maturation","2/120","26/12151",0.0269344716605982,0.434476829179686,0.434476829179686,"EPAS1/RFX3",2
"GO:0043312","GO:0043312","neutrophil degranulation","8/120","362/12151",0.0269447919311031,0.434476829179686,0.434476829179686,"CD59/CDK13/DEGS1/DYNC1LI1/RAB31/RAP1B/TMEM30A/VAPA",8
"GO:0006886","GO:0006886","intracellular protein transport","6/120","235/12151",0.028963045523616,0.434476829179686,0.434476829179686,"AP3S1/MYO6/RAB1A/RAB31/TBC1D15/TMED7",6
"GO:0008089","GO:0008089","anterograde axonal transport","2/120","28/12151",0.0309300683693363,0.434476829179686,0.434476829179686,"AP3S1/BLOC1S6",2
"GO:0016311","GO:0016311","dephosphorylation","3/120","72/12151",0.0342324979560426,0.434476829179686,0.434476829179686,"NANP/NT5DC3/PHOSPHO2",3
"GO:0008286","GO:0008286","insulin receptor signaling pathway","3/120","74/12151",0.0366891949528255,0.434476829179686,0.434476829179686,"AP3S1/CAV2/GRB10",3
"GO:0006334","GO:0006334","nucleosome assembly","2/120","31/12151",0.0373297142389002,0.434476829179686,0.434476829179686,"SET/SPTY2D1",2
"GO:0008219","GO:0008219","cell death","2/120","31/12151",0.0373297142389002,0.434476829179686,0.434476829179686,"PNPLA8/VAPA",2
"GO:0007029","GO:0007029","endoplasmic reticulum organization","2/120","33/12151",0.0418525449506966,0.434476829179686,0.434476829179686,"CAV2/VAPA",2
"GO:0043280","GO:0043280","positive regulation of cysteine-type endopeptidase activity involved in apoptotic process","2/120","35/12151",0.0465693420152205,0.434476829179686,0.434476829179686,"ARL6IP5/GPER1",2
