"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003341","GO:0003341","cilium movement","3/34","42/12151",0.000213278560432641,0.0236765638745274,0.0181464811650513,"DNAH9/LOC113998190/LOC114000425",3
"GO:0007155","GO:0007155","cell adhesion","6/34","317/12151",0.000218217178567073,0.0236765638745274,0.0181464811650513,"CCN2/CCN6/CDHR4/COL8A1/CX3CL1/LOC113987784",6
"GO:0034453","GO:0034453","microtubule anchoring","2/34","13/12151",0.000581446473637315,0.0420579615930991,0.0322345764332266,"CCDC187/LOC113993489",2
"GO:0007018","GO:0007018","microtubule-based movement","3/34","68/12151",0.000885975383273777,0.0480641645426024,0.036837923830857,"DNAH9/LOC113998190/LOC114000425",3
"GO:0022400","GO:0022400","regulation of rhodopsin mediated signaling pathway","2/34","19/12151",0.00126136683717081,0.0505994936492172,0.0387810817199918,"GUCA1B/GUCA1C",2
"GO:0032967","GO:0032967","positive regulation of collagen biosynthetic process","2/34","20/12151",0.00139906434053135,0.0505994936492172,0.0387810817199918,"CCN2/MYB",2
"GO:0009966","GO:0009966","regulation of signal transduction","2/34","25/12151",0.00218978321708102,0.0623772085881434,0.0478079018041555,"FRMPD2/VEPH1",2
"GO:0030833","GO:0030833","regulation of actin filament polymerization","2/34","27/12151",0.00255309019916706,0.0623772085881434,0.0478079018041555,"ARHGAP40/ELN",2
"GO:0030198","GO:0030198","extracellular matrix organization","4/34","208/12151",0.00258707316725019,0.0623772085881434,0.0478079018041555,"ADAMTS14/COL8A1/ELN/LOC113984118",4
"GO:0030030","GO:0030030","cell projection organization","2/34","33/12151",0.0038004362217747,0.0824694660125109,0.0632072550568844,"DNAH9/LOC114000425",2
"GO:0007267","GO:0007267","cell-cell signaling","3/34","137/12151",0.0064991795821172,0.128211088119948,0.0982651075573702,"CCN6/CX3CL1/GUCA1B",3
"GO:0007601","GO:0007601","visual perception","3/34","147/12151",0.00788973124542114,0.137399892333479,0.105307703073925,"GUCA1B/GUCA1C/LOC113984118",3
"GO:0048661","GO:0048661","positive regulation of smooth muscle cell proliferation","2/34","49/12151",0.00823132995546188,0.137399892333479,0.105307703073925,"CX3CL1/MYB",2
"GO:0060548","GO:0060548","negative regulation of cell death","2/34","57/12151",0.0110163870490479,0.170753999260243,0.130871364943577,"CCN2/CCN6",2
"GO:0021670","GO:0021670","lateral ventricle development","1/34","10/12151",0.0276416346539216,0.172041983268101,0.131858517372593,"LOC113998190",1
"GO:0033622","GO:0033622","integrin activation","1/34","10/12151",0.0276416346539216,0.172041983268101,0.131858517372593,"CX3CL1",1
"GO:0032330","GO:0032330","regulation of chondrocyte differentiation","1/34","11/12151",0.0303646545387555,0.172041983268101,0.131858517372593,"CCN2",1
"GO:0035988","GO:0035988","chondrocyte proliferation","1/34","11/12151",0.0303646545387555,0.172041983268101,0.131858517372593,"CCN2",1
"GO:0060397","GO:0060397","growth hormone receptor signaling pathway via JAK-STAT","1/34","11/12151",0.0303646545387555,0.172041983268101,0.131858517372593,"FRMPD2",1
"GO:0070831","GO:0070831","basement membrane assembly","1/34","11/12151",0.0303646545387555,0.172041983268101,0.131858517372593,"LOC113984118",1
"GO:0030336","GO:0030336","negative regulation of cell migration","2/34","101/12151",0.0322948683270247,0.172041983268101,0.131858517372593,"CX3CL1/EPPK1",2
"GO:0010839","GO:0010839","negative regulation of keratinocyte proliferation","1/34","12/12151",0.0330802724749727,0.172041983268101,0.131858517372593,"EPPK1",1
"GO:0018149","GO:0018149","peptide cross-linking","1/34","12/12151",0.0330802724749727,0.172041983268101,0.131858517372593,"F13A1",1
"GO:0032233","GO:0032233","positive regulation of actin filament bundle assembly","1/34","12/12151",0.0330802724749727,0.172041983268101,0.131858517372593,"CX3CL1",1
"GO:0045109","GO:0045109","intermediate filament organization","1/34","12/12151",0.0330802724749727,0.172041983268101,0.131858517372593,"EPPK1",1
"GO:0051764","GO:0051764","actin crosslink formation","1/34","12/12151",0.0330802724749727,0.172041983268101,0.131858517372593,"GAS2L2",1
"GO:0060252","GO:0060252","positive regulation of glial cell proliferation","1/34","12/12151",0.0330802724749727,0.172041983268101,0.131858517372593,"MYB",1
"GO:0060338","GO:0060338","regulation of type I interferon-mediated signaling pathway","1/34","12/12151",0.0330802724749727,0.172041983268101,0.131858517372593,"FRMPD2",1
"GO:0009887","GO:0009887","animal organ morphogenesis","2/34","104/12151",0.0340745904037412,0.172041983268101,0.131858517372593,"ELN/LOC113984118",2
"GO:0001774","GO:0001774","microglial cell activation","1/34","13/12151",0.0357885079750843,0.172041983268101,0.131858517372593,"CX3CL1",1
"GO:0003351","GO:0003351","epithelial cilium movement involved in extracellular fluid movement","1/34","13/12151",0.0357885079750843,0.172041983268101,0.131858517372593,"LOC113998190",1
"GO:0010812","GO:0010812","negative regulation of cell-substrate adhesion","1/34","13/12151",0.0357885079750843,0.172041983268101,0.131858517372593,"CX3CL1",1
"GO:0014002","GO:0014002","astrocyte development","1/34","13/12151",0.0357885079750843,0.172041983268101,0.131858517372593,"LOC113984118",1
"GO:0021794","GO:0021794","thalamus development","1/34","13/12151",0.0357885079750843,0.172041983268101,0.131858517372593,"TAL2",1
"GO:0043523","GO:0043523","regulation of neuron apoptotic process","1/34","13/12151",0.0357885079750843,0.172041983268101,0.131858517372593,"EGLN3",1
"GO:0061045","GO:0061045","negative regulation of wound healing","1/34","13/12151",0.0357885079750843,0.172041983268101,0.131858517372593,"EPPK1",1
"GO:0002548","GO:0002548","monocyte chemotaxis","1/34","14/12151",0.0384893805017643,0.172041983268101,0.131858517372593,"CX3CL1",1
"GO:0014850","GO:0014850","response to muscle activity","1/34","14/12151",0.0384893805017643,0.172041983268101,0.131858517372593,"METRNL",1
