"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043312","GO:0043312","neutrophil degranulation","57/1188","362/12151",0.000192004130974987,0.144367400930588,0.144367400930588,"ACAA1/AGA/APAF1/ARPC5/ARSB/ASAH1/BRI3/CAP1/CD47/COPB1/COTL1/CPNE1/CPNE3/CRACR2A/CTSC/CTSD/CTSH/CTSZ/CYFIP1/DPP7/GLA/GM2A/HEXB/HSPA8/IQGAP2/JUP/LAMP2/LAMTOR3/LOC113983003/LOC113992709/LOC113994003/LOC113999601/LOC114003019/MAPK14/MGST1/NRAS/ORMDL3/OSTF1/PDAP1/PGRMC1/PPIA/PPIE/PRKCD/PSMA2/PTPN6/PTPRJ/RAB18/RAB27A/RAB7A/RAC1/SDCBP/SLC15A4/SURF4/TIMP2/TMBIM1/TOM1/TSPAN14",57
"GO:0034314","GO:0034314","Arp2/3 complex-mediated actin nucleation","7/1188","15/12151",0.000266498848156927,0.144367400930588,0.144367400930588,"ACTR3/ARPC3/ARPC4/ARPC5/ARPC5L/IQGAP2/WHAMM",7
"GO:0030031","GO:0030031","cell projection assembly","8/1188","20/12151",0.000350764584132964,0.144367400930588,0.144367400930588,"CDC42/CYFIP1/PARVA/RAC1/RHOJ/RHOQ/RHOV/SCIN",8
"GO:0032091","GO:0032091","negative regulation of protein binding","14/1188","53/12151",0.000421663736888979,0.144367400930588,0.144367400930588,"BAG2/BAX/CTSZ/DACT1/DTNBP1/DVL1/GOLGA2/ID1/ITGB1BP1/MITD1/PARK7/PPP1CA/PRKCD/SORL1",14
"GO:0033617","GO:0033617","mitochondrial cytochrome c oxidase assembly","6/1188","12/12151",0.000474319235117786,0.144367400930588,0.144367400930588,"LOC113988702/LOC113992715/LOC113993743/LOC113995044/LOC113998336/SMIM20",6
"GO:0006635","GO:0006635","fatty acid beta-oxidation","12/1188","42/12151",0.000494955309719965,0.144367400930588,0.144367400930588,"ABCD3/ACAA1/ACADL/CPT1A/CROT/ECHS1/ECI1/ECI2/HSD17B10/HSD17B4/SCP2/SESN2",12
"GO:0016192","GO:0016192","vesicle-mediated transport","25/1188","127/12151",0.000503523570759402,0.144367400930588,0.144367400930588,"ADAMTS9/AP1S2/AP3M1/AP4B1/ARF1/ARL1/ARL5A/CACFD1/CPNE1/GOLT1B/HPS4/HSPA8/JAGN1/KXD1/MYO5B/RAB11A/RAB32/SFT2D2/SYT15/SYT17/TBC1D4/TSC2/TVP23A/YIPF5/ZFYVE27",25
"GO:0006418","GO:0006418","tRNA aminoacylation for protein translation","7/1188","17/12151",0.000675775310980909,0.169535131142336,0.169535131142336,"EEF1E1/FARS2/FARSA/FARSB/PPA1/SARS2/WARS2",7
"GO:0033540","GO:0033540","fatty acid beta-oxidation using acyl-CoA oxidase","6/1188","13/12151",0.000808235962307156,0.174749673331946,0.174749673331946,"ACAA1/CROT/DECR2/ECI2/HSD17B4/SCP2",6
"GO:0043407","GO:0043407","negative regulation of MAP kinase activity","10/1188","33/12151",0.00087070091346261,0.174749673331946,0.174749673331946,"CDK5RAP3/DUSP1/INPP5K/LOC113992269/LYN/PRKCD/PTPN6/PTPRJ/SORL1/SPRY1",10
"GO:0034599","GO:0034599","cellular response to oxidative stress","17/1188","81/12151",0.00185364959836039,0.338206794900846,0.338206794900846,"ATF4/LOC113983382/LOC114003019/LONP1/PARK7/PARP1/PPIA/PRDX1/PRKAA1/PRKD1/SESN2/SIRT2/SOD1/SOD2/STX2/TMEM161A/ZFAND1",17
"GO:0098869","GO:0098869","cellular oxidant detoxification","13/1188","55/12151",0.00204072233940443,0.341310811265391,0.341310811265391,"ALOX5AP/GSTK1/LOC113988359/MGST1/MGST3/NXN/PARK7/PRXL2A/PRXL2C/PTGES/SELENOT/SESN2/TXN",13
"GO:0042149","GO:0042149","cellular response to glucose starvation","11/1188","43/12151",0.00226578398243661,0.349802188673098,0.349802188673098,"ATF4/BCL2/BECN1/IMPACT/ITFG2/LOC113988359/NIM1K/PRKAA1/SESN2/SIK2/XBP1",11
"GO:0006165","GO:0006165","nucleoside diphosphate phosphorylation","6/1188","16/12151",0.00291673195447632,0.418134359473855,0.418134359473855,"CMPK2/DTYMK/LOC113994090/LOC114003019/LOC114003020/NME9",6
"GO:0033209","GO:0033209","tumor necrosis factor-mediated signaling pathway","17/1188","85/12151",0.00317476417556604,0.424783446690736,0.424783446690736,"ACTN1/ADAM17/COMMD7/EDARADD/IKBKB/LIMS1/LOC113989316/NFKBIA/PSMA2/PSMB4/PSMC5/PSMC6/RIPK1/ST18/TMSB4X/TNFRSF11A/TRAF5",17
"GO:0038096","GO:0038096","Fc-gamma receptor signaling pathway involved in phagocytosis","14/1188","66/12151",0.00408610502610002,0.472842139555546,0.472842139555546,"ACTR3/ARPC3/ARPC4/ARPC5/CDC42/CYFIP1/GRB2/LYN/PAK1/PIK3R1/PRKCD/PTK2/RAC1/YES1",14
