"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0046330","GO:0046330","positive regulation of JNK cascade","7/297","61/11462",0.00096186436110448,0.296514601289664,0.282503346599449,"CDC42/HRAS/NOX1/SDCBP/TLR4/TRAF2/WNT5A",7
"GO:0007156","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","9/297","98/11462",0.000974962045407778,0.296514601289664,0.282503346599449,"CADM3/CLSTN1/CLSTN3/FAT4/IGSF21/LOC113984508/LOC113991383/LOC113999997/RET",9
"GO:0051965","GO:0051965","positive regulation of synapse assembly","6/297","50/11462",0.00175302677334949,0.296514601289664,0.282503346599449,"BDNF/CLSTN1/CLSTN3/LRRTM3/LRTM2/PTPRD",6
"GO:0060052","GO:0060052","neurofilament cytoskeleton organization","3/297","10/11462",0.001805255790487,0.296514601289664,0.282503346599449,"ATP8A2/LOC113984010/LOC113998649",3
"GO:0034613","GO:0034613","cellular protein localization","6/297","52/11462",0.00215102758016928,0.296514601289664,0.282503346599449,"CDC42/LAMTOR1/LOC113996768/PRPF19/SEPT6/WNT5A",6
"GO:0090383","GO:0090383","phagosome acidification","4/297","22/11462",0.00223447991461982,0.296514601289664,0.282503346599449,"ATP6V0C/ATP6V0D1/ATP6V1D/LOC113993289",4
"GO:0071805","GO:0071805","potassium ion transmembrane transport","8/297","90/11462",0.00227686204449462,0.296514601289664,0.282503346599449,"HCN2/HCN3/KCNA6/KCNC2/KCNIP4/KCNK10/KCNQ3/LOC113982091",8
"GO:0007017","GO:0007017","microtubule-based process","3/297","11/11462",0.00243488267482388,0.296514601289664,0.282503346599449,"EML4/KIFAP3/PAFAH1B1",3
"GO:0050884","GO:0050884","neuromuscular process controlling posture","3/297","11/11462",0.00243488267482388,0.296514601289664,0.282503346599449,"ATP8A2/LOC113984010/LOC113998649",3
"GO:0010996","GO:0010996","response to auditory stimulus","3/297","12/11462",0.00318466890051997,0.324063036911801,0.308750031325881,"ATP8A2/LOC113984010/LOC113998649",3
"GO:0017158","GO:0017158","regulation of calcium ion-dependent exocytosis","3/297","13/11462",0.00406130978791199,0.324063036911801,0.308750031325881,"SYT12/SYT13/SYT6",3
"GO:2000573","GO:2000573","positive regulation of DNA biosynthetic process","3/297","13/11462",0.00406130978791199,0.324063036911801,0.308750031325881,"FGFR4/HGF/LOC114000839",3
"GO:0014059","GO:0014059","regulation of dopamine secretion","4/297","26/11462",0.00421006730077984,0.324063036911801,0.308750031325881,"SNCA/SYT12/SYT13/SYT6",4
"GO:0017156","GO:0017156","calcium-ion regulated exocytosis","4/297","26/11462",0.00421006730077984,0.324063036911801,0.308750031325881,"SYN2/SYT12/SYT13/SYT6",4
"GO:0007268","GO:0007268","chemical synaptic transmission","12/297","195/11462",0.00484267742067638,0.324063036911801,0.308750031325881,"CHRNA5/CHRNB3/FGF12/KCNQ3/LOC113998100/LOC114000223/PAFAH1B1/PTCHD1/SDCBP/SNCA/SYN2/UNC119",12
"GO:0045332","GO:0045332","phospholipid translocation","4/297","27/11462",0.00484302185712721,0.324063036911801,0.308750031325881,"ATP10A/ATP8A2/LOC113984010/LOC113998649",4
"GO:0007399","GO:0007399","nervous system development","15/297","273/11462",0.00502652520757356,0.324063036911801,0.308750031325881,"BDNF/CNTFR/FGF12/FGF5/INHBA/LOC113984508/LOC113991383/LOC113999997/NELL1/NR2F1/NRN1/OLFM1/SPOCK1/STMN3/UNC119",15
"GO:0034220","GO:0034220","ion transmembrane transport","10/297","150/11462",0.00564779932433325,0.343888225526069,0.327638416943777,"ATP10A/ATP6V0C/ATP6V0D1/ATP6V1D/CHRNA5/CHRNB3/FKBP1B/GRIA4/LOC113998100/NOX1",10
"GO:0050908","GO:0050908","detection of light stimulus involved in visual perception","3/297","15/11462",0.00621815508590291,0.358689367060505,0.341740157629678,"ATP8A2/LOC113984010/LOC113998649",3
"GO:0071346","GO:0071346","cellular response to interferon-gamma","5/297","47/11462",0.00711450926880895,0.38987510793073,0.371452273403078,"CDC42/DAPK3/TLR4/WNT5A/ZYX",5
"GO:0006897","GO:0006897","endocytosis","9/297","136/11462",0.00886354864113507,0.462592824318288,0.440733847218346,"AP2M1/AP3M2/BIN1/CDC42/HRAS/ITSN2/LOC114000223/PRSS12/UNC119",9
"GO:0007157","GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","4/297","33/11462",0.0100021890790322,0.490800942057895,0.467609041991387,"CADM3/FAT4/IGSF21/PTPRD",4
"GO:0007158","GO:0007158","neuron cell-cell adhesion","3/297","18/11462",0.010530499418233,0.490800942057895,0.467609041991387,"LOC113984508/LOC113999997/RET",3
"GO:0060071","GO:0060071","Wnt signaling pathway, planar cell polarity pathway","6/297","72/11462",0.0107474658844795,0.490800942057895,0.467609041991387,"AP2M1/CDC42/PSMC6/PSMD3/PSME3/WNT5A",6
"GO:0070593","GO:0070593","dendrite self-avoidance","3/297","19/11462",0.0122689659420568,0.525359124093315,0.500534240396244,"EXT1/LOC113984508/LOC113999997",3
"GO:0001558","GO:0001558","regulation of cell growth","5/297","55/11462",0.0136546687497718,0.525359124093315,0.500534240396244,"CLSTN1/CLSTN3/LAMTOR1/NRG3/SPOCK1",5
