"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1904837","GO:1904837","beta-catenin-TCF complex assembly","8/497","32/12151",3.2674049244005e-05,0.0236579365532859,0.0229426350001631,"BCL9/BCL9L/KMT2D/LOC113985906/LOC113985909/LOC113991570/LOC113998423/TRRAP",8
"GO:0006338","GO:0006338","chromatin remodeling","13/497","84/12151",3.35573568131715e-05,0.0236579365532859,0.0229426350001631,"BPTF/INO80E/KAT2A/LOC113984496/LOC113985906/LOC113985909/LOC113991570/LOC113998272/LOC113998736/RSF1/SCMH1/SMARCA1/SMARCC2",13
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","22/497","233/12151",0.000227002300813663,0.106691081382422,0.103465259212964,"LOC113984740/LOC113989432/LOC113989853/LOC113991857/LOC113992597/LOC113993656/LOC113995977/LOC113997351/LOC113997733/LOC113998492/LOC114000273/LOC114004318/NCBP2/RBM10/RBM15/SF3A1/SNRNP200/SRRM2/SRRT/U2AF2/WBP11/ZRSR2",22
"GO:0033120","GO:0033120","positive regulation of RNA splicing","5/497","17/12151",0.000461169409422803,0.126832353999237,0.122997557181791,"LOC113992597/LOC113997351/LOC113997733/LOC114000273/U2AF2",5
"GO:0006406","GO:0006406","mRNA export from nucleus","12/497","96/12151",0.000525801255449854,0.126832353999237,0.122997557181791,"LOC113989853/LOC113993656/LOC113997351/LOC113999689/LOC114004318/NCBP2/SEH1L/SMG1/SMG5/SMG7/TPR/U2AF2",12
"GO:0000266","GO:0000266","mitochondrial fission","5/497","18/12151",0.000617238248068754,0.126832353999237,0.122997557181791,"DNM1L/LOC113984160/LOC113989436/LOC113993578/MTFR2",5
"GO:0061024","GO:0061024","membrane organization","14/497","126/12151",0.000629664168790537,0.126832353999237,0.122997557181791,"ACTG1/CBL/CLTCL1/EPN2/EPS15L1/EREG/FCHO2/FNBP1/GAPVD1/HGS/ITSN1/LOC113989436/LOC113993578/OCRL",14
"GO:0010637","GO:0010637","negative regulation of mitochondrial fusion","4/497","12/12151",0.00105296156051702,0.141794966538747,0.13750777270163,"DNM1L/LOC113984160/LOC113990253/LOC113994101",4
"GO:0006893","GO:0006893","Golgi to plasma membrane transport","6/497","30/12151",0.00116668479185425,0.141794966538747,0.13750777270163,"LOC113987184/LOC113989436/LOC113992886/LOC113993578/LOC113997864/LOC114001550",6
"GO:0006355","GO:0006355","regulation of transcription, DNA-templated","26/497","336/12151",0.00138127437895312,0.141794966538747,0.13750777270163,"ATF7/DAPK3/HMG20A/KMT2D/LOC113984041/LOC113984425/LOC113989436/LOC113992597/LOC113993578/LOC113997733/LOC113998272/LOC114000273/LOC114001399/LOC114002405/LOC114003348/PPP2CA/PRDM2/PRDM8/PRMT5/RNF20/SAP30L/SETD2/SOX1/SRRT/TRRAP/ZFHX3",26
"GO:0061025","GO:0061025","membrane fusion","7/497","42/12151",0.00142696918846365,0.141794966538747,0.13750777270163,"DNM1L/LOC113984160/LOC113989436/LOC113990253/LOC113993578/LOC113994101/VPS33B",7
"GO:0030516","GO:0030516","regulation of axon extension","4/497","13/12151",0.00147210111291,0.141794966538747,0.13750777270163,"BARHL2/GSK3B/LOC113989436/LOC113993578",4
"GO:0098789","GO:0098789","pre-mRNA cleavage required for polyadenylation","4/497","13/12151",0.00147210111291,0.141794966538747,0.13750777270163,"LOC113989853/LOC113993656/LOC114004318/NCBP2",4
"GO:1903358","GO:1903358","regulation of Golgi organization","4/497","13/12151",0.00147210111291,0.141794966538747,0.13750777270163,"LOC113989436/LOC113993578/RBSN/STX5",4
"GO:0006325","GO:0006325","chromatin organization","12/497","108/12151",0.00150845709083774,0.141794966538747,0.13750777270163,"CHD9/DAPK3/HMG20A/LOC113984425/LOC113985906/LOC113985909/LOC113986121/LOC113987219/LOC113991570/NCOR1/SFMBT1/SOX1",12
"GO:0033572","GO:0033572","transferrin transport","6/497","32/12151",0.00166143970772922,0.146414374243638,0.141987511864491,"ATP6AP1L/ATP6V1F/ATP6V1H/CLTCL1/LOC113989436/LOC113993578",6
"GO:0016573","GO:0016573","histone acetylation","6/497","33/12151",0.00196164391864207,0.156263366954045,0.151538718681079,"KAT2A/KAT6A/LOC113984495/LOC113998423/MECP2/TRRAP",6
"GO:0060766","GO:0060766","negative regulation of androgen receptor signaling pathway","4/497","14/12151",0.00199485149303037,0.156263366954045,0.151538718681079,"LOC113985906/LOC113985909/LOC113991570/NCOR1",4
"GO:0016032","GO:0016032","viral process","29/497","405/12151",0.00244033537675667,0.16402411476937,0.159064819026063,"ABI2/ANKRD17/ATF7/BRD2/COPS7B/CRTC1/ITSN1/KAT2A/KCTD5/LOC113983589/LOC113984041/LOC113984425/LOC113984495/LOC113988015/LOC113991759/LOC113992597/LOC113994587/LOC113997733/LOC113998422/LOC113998423/LOC113999689/LOC114000273/LOC114001399/RBM15/SEH1L/SETD2/TPR/UBN1/WDR48",29
"GO:0006306","GO:0006306","DNA methylation","5/497","24/12151",0.00249983130778505,0.16402411476937,0.159064819026063,"DNMT3A/KMT2E/LOC113986121/LOC113987219/PPM1D",5
"GO:0045814","GO:0045814","negative regulation of gene expression, epigenetic","5/497","24/12151",0.00249983130778505,0.16402411476937,0.159064819026063,"DNMT3A/LOC113986121/LOC113987219/LOC113987817/PPM1D",5
"GO:0000729","GO:0000729","DNA double-strand break processing","4/497","15/12151",0.00263314518523904,0.16402411476937,0.159064819026063,"ATM/BLM/EXD2/LOC113998423",4
"GO:0016070","GO:0016070","RNA metabolic process","7/497","47/12151",0.00279032327828852,0.16402411476937,0.159064819026063,"ATXN2/LOC113991857/LOC113992597/LOC113997733/LOC113998492/LOC114000273/NCBP2",7
"GO:0006897","GO:0006897","endocytosis","14/497","147/12151",0.00279189982586161,0.16402411476937,0.159064819026063,"ATP6V1H/CSNK1G1/EPN2/EPS15L1/FNBP1/GAPVD1/GHR/ITSN1/LOC113989436/LOC113993578/LOC113997736/MRC2/NPC1/USP20",14
"GO:0043044","GO:0043044","ATP-dependent chromatin remodeling","6/497","36/12151",0.00311046935724522,0.165242304671682,0.160246176758877,"LOC113984495/LOC113985906/LOC113985909/LOC113991570/SMARCA1/SMARCC2",6
