"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007218","GO:0007218","neuropeptide signaling pathway","27/676","83/11462",8.5423592340948e-14,7.43610072685542e-11,7.14490296346473e-11,"CALCB/GAL/GALR3/GPR139/GPR83/HCRT/LOC113987733/LOC113995733/LOC114000503/MCHR1/NMS/NMU/NPBWR2/NPVF/NPW/NTSR1/OPRK1/OPRL1/PDYN/PENK/PNOC/POMC/PROK2/QRFP/RXFP3/SSTR5/TENM1",27
"GO:0007186","GO:0007186","G protein-coupled receptor signaling pathway","68/676","437/11462",9.33011383545222e-14,7.43610072685542e-11,7.14490296346473e-11,"ADCY7/ADGRD1/ADGRG2/ADRA2A/AGTR1/ANXA1/CALCB/CASR/CMKLR1/CXCR4/FFAR4/FZD5/GAL/GALR3/GCGR/GHRH/GHSR/GLP1R/GNRH1/GPR135/GPR139/GPR176/GPR75/GPR83/HCRT/HEBP1/IAPP/LGR6/LOC113982931/LOC113987733/LOC113987774/LOC113989201/LOC113991146/LOC113993563/LOC113995733/LOC113996140/LOC114000503/LOC114001074/LOC114004322/MC3R/MCHR1/NMS/NMU/NPBWR2/NPR1/NPW/NTSR1/OBSCN/OPRK1/OPRL1/PDE3B/PDE7B/PDE8B/PDYN/PENK/PNOC/POMC/PRLH/PROK2/QRFP/RGS2/RORB/RXFP3/S1PR3/SSTR5/TRH/TRHR/TSHR",68
"GO:0007631","GO:0007631","feeding behavior","10/676","21/11462",9.28939880151972e-08,4.93576722987415e-05,4.74248254603902e-05,"CALCB/GAL/GALR3/LOC113987774/LOC114000503/MCHR1/MRAP2/NEGR1/NPW/PRLH",10
"GO:0007200","GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","12/676","45/11462",7.62208481151785e-06,0.00303740079738986,0.00291845615809433,"AGTR1/CASR/CMKLR1/ESR1/FFAR4/GPR139/HCRT/LOC113991146/LOC114001074/MC3R/OPRK1/TRHR",12
"GO:0048704","GO:0048704","embryonic skeletal system morphogenesis","6/676","11/11462",1.47307195154558e-05,0.00469615338152732,0.00451225197789226,"LOC113998261/LOC114001942/PCGF2/PDGFRA/SATB2/SOX11",6
"GO:0007204","GO:0007204","positive regulation of cytosolic calcium ion concentration","16/676","86/11462",3.59535897957166e-05,0.00955167035572872,0.00917762686890661,"AGTR1/CALCB/CD36/CMKLR1/CXCR4/ESR1/FFAR4/GLP1R/HCRT/IAPP/LOC113991146/MCHR1/NMU/PDGFRA/PROK2/S1PR3",16
"GO:0006112","GO:0006112","energy reserve metabolic process","6/676","13/11462",4.93960683702414e-05,0.0112481904260235,0.0108077111998047,"LOC113985008/LOC113987774/LOC113999007/MRAP2/MYC/PRLH",6
"GO:0007189","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","14/676","76/11462",0.000122261299402903,0.0243605639060284,0.0234066040304242,"ADCY7/ADGRD1/ADGRG2/ADRA2A/CALCB/GCGR/GHRH/GLP1R/IAPP/LOC113991146/LOC113997521/MC3R/S1PR3/TSHR",14
"GO:0030518","GO:0030518","intracellular steroid hormone receptor signaling pathway","5/676","10/11462",0.000138175804965362,0.0244724703460875,0.0235141282134038,"AR/ESR1/ESR2/NR3C1/PGR",5
"GO:0060412","GO:0060412","ventricular septum morphogenesis","9/676","36/11462",0.000182476250494017,0.0290867143287463,0.0279476783651363,"CITED2/LOC113994594/LOC113997556/LOC114001848/PROX1/SLIT2/SMAD7/SOX11/TGFB2",9
"GO:0042462","GO:0042462","eye photoreceptor cell development","5/676","11/11462",0.000241046709506951,0.03492985954128,0.0335620059648434,"CRB1/LOC113982931/LOC113984885/MYO7A/RORB",5
"GO:0055010","GO:0055010","ventricular cardiac muscle tissue morphogenesis","5/676","13/11462",0.000608123690299362,0.0807790968614319,0.0776157867882081,"ISL1/LOC113998261/LOC114001942/PROX1/SMAD7",5
"GO:0042755","GO:0042755","eating behavior","6/676","21/11462",0.00104011553425299,0.126173797114487,0.121232830219625,"BSX/HCRT/IAPP/LOC113984885/NMU/TRH",6
"GO:0010629","GO:0010629","negative regulation of gene expression","21/676","171/11462",0.00110817638620001,0.126173797114487,0.121232830219625,"ACE/AGBL5/BRIP1/CITED2/ESR1/FLOT2/GGNBP2/HDAC1/ID2/LOC113986121/LOC113997556/LOC114003020/PARP14/PARP9/PGR/PLA2G3/SLC7A5/SOX11/TGFB2/TNRC6A/TNRC6C",21
"GO:0002230","GO:0002230","positive regulation of defense response to virus by host","5/676","15/11462",0.0012854544917353,0.136600963988404,0.131251669156131,"DTX3L/EIF2AK4/PARP9/SELENOK/STAT1",5
"GO:0030279","GO:0030279","negative regulation of ossification","5/676","16/11462",0.00177983237369779,0.167482241497745,0.160923635593488,"CALCB/LOC113994594/LOC113996059/SMAD7/TPH1",5
"GO:0048557","GO:0048557","embryonic digestive tract morphogenesis","4/676","10/11462",0.00189126746986161,0.167482241497745,0.160923635593488,"ID2/PDGFRA/SHH/SOX11",4
"GO:0050892","GO:0050892","intestinal absorption","4/676","10/11462",0.00189126746986161,0.167482241497745,0.160923635593488,"ADRA2A/CD36/IREB2/KCNQ1",4
"GO:0061053","GO:0061053","somite development","5/676","17/11462",0.00240036026444808,0.191308713076512,0.183817062356419,"FRZB/MTHFD1L/PTCH1/SHH/SOX11",5
"GO:0071385","GO:0071385","cellular response to glucocorticoid stimulus","5/676","17/11462",0.00240036026444808,0.191308713076512,0.183817062356419,"ANXA1/ISL1/NR3C1/SSTR5/ZFP36L2",5
"GO:0001501","GO:0001501","skeletal system development","13/676","91/11462",0.0025227614140672,0.191489604477291,0.18399087004851,"CMKLR1/EVC/FRZB/LOC113991146/LOC113991284/LOC113997556/LOC114001848/PAPSS1/PRDX1/SOX11/TEAD4/TGFB2/TP63",13
"GO:0007166","GO:0007166","cell surface receptor signaling pathway","15/676","114/11462",0.00279467733028795,0.196425900600852,0.188733860776754,"ADGRD1/ADGRG2/ANXA1/BRD8/CBL/EPHA1/GCGR/GLP1R/LOC113991146/LOC113993563/LOC113996140/MCHR1/NPR1/PTPRC/TSHR",15
"GO:0060389","GO:0060389","pathway-restricted SMAD protein phosphorylation","4/676","11/11462",0.00283425076149284,0.196425900600852,0.188733860776754,"LOC113997556/LOC114001848/SMAD7/TGFB2",4
"GO:0006302","GO:0006302","double-strand break repair","9/676","52/11462",0.0030663330399629,0.203655619404203,0.195680463734475,"BRIP1/DTX3L/EXD2/PARP9/RAD50/SMCHD1/TDP1/TRIP13/XRCC4",9
"GO:0042417","GO:0042417","dopamine metabolic process","4/676","12/11462",0.00405476191669134,0.241390480977165,0.231937627829212,"ATP7A/LOC113993563/NPR1/SNCAIP",4
"GO:0048485","GO:0048485","sympathetic nervous system development","4/676","12/11462",0.00405476191669134,0.241390480977165,0.231937627829212,"LOC113993848/PLXNA4/SOX11/TP63",4
"GO:0031069","GO:0031069","hair follicle morphogenesis","5/676","19/11462",0.00408879735657683,0.241390480977165,0.231937627829212,"ATP7A/LOC113997556/SHH/TGFB2/TP63",5
"GO:0045747","GO:0045747","positive regulation of Notch signaling pathway","8/676","45/11462",0.00433987341733079,0.247062793829474,0.237387812865274,"EP300/KAT2B/LOC113994594/LOC113997556/MFNG/POGLUT1/TGFB2/TP63",8
"GO:0035902","GO:0035902","response to immobilization stress","5/676","20/11462",0.00519122506061038,0.278869384024899,0.267948856736596,"GAL/LOC113984885/LOC113997521/NR0B1/TPH1",5
"GO:0030199","GO:0030199","collagen fibril organization","7/676","37/11462",0.00524848276081992,0.278869384024899,0.267948856736596,"ATP7A/LOC113997556/LOC113998261/LOC114001848/LOC114001942/LOXL4/TGFB2",7
"GO:0060749","GO:0060749","mammary gland alveolus development","4/676","13/11462",0.0055866011284211,0.28725942576462,0.276010344375304,"AR/ESR1/ID2/TPH1",4
"GO:0010634","GO:0010634","positive regulation of epithelial cell migration","6/676","30/11462",0.00723770687285944,0.33980014143249,0.326493565201263,"CLASP1/EPB41L5/LOC113997556/PLCG2/PPM1F/TGFB2",6
"GO:0060271","GO:0060271","cilium assembly","19/676","175/11462",0.00734629739722586,0.33980014143249,0.326493565201263,"ARL3/CC2D2A/CCDC66/CEP164/CEP83/CLUAP1/CPLANE2/DCDC2/GMNC/IFT122/IFT46/MKS1/NPHP3/PLA2G3/RILPL2/SPAG16/TCTN1/TEKT2/TMEM216",19
