"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","54/1353","233/12151",9.94908428163207e-08,0.000197091359619131,0.000192383871845875,"ALYREF/AQR/BCAS2/CDC40/CDC5L/CPSF4/CRNKL1/CSTF1/CSTF2/CSTF3/CWC27/DBR1/FIP1L1/GEMIN6/GPATCH1/GTF2F2/HNRNPH3/IK/LOC113982025/LOC113985815/LOC113988372/LSM8/METTL14/MFAP1/NCBP1/PABPC1/PABPC1L/PHF5A/POLR2C/POLR2E/POLR2F/POLR2L/PPIL1/PPIL3/PPWD1/PRPF38A/RBM6/RBMX2/RNPS1/SF3A3/SF3B6/SLU7/SNIP1/SNRNP27/SNRNP35/SNRNP40/SNRPB2/SNRPE/SNW1/SRSF1/SRSF10/TFIP11/TRA2B/WBP4",54
"GO:0032981","GO:0032981","mitochondrial respiratory chain complex I assembly","18/1353","49/12151",2.42008677400472e-06,0.00239709594965168,0.00233984179149825,"LOC113987270/LOC113998672/NDUFA1/NDUFA11/NDUFA6/NDUFA7/NDUFAF3/NDUFB10/NDUFB3/NDUFS1/NDUFS3/NDUFS4/NDUFS5/NDUFS7/NDUFS8/NDUFV3/TIMM21/TIMMDC1",18
"GO:0006120","GO:0006120","mitochondrial electron transport, NADH to ubiquinone","15/1353","38/12151",5.95996806626284e-06,0.00336235221691979,0.00328204310554566,"COQ9/LOC113998672/NDUFA1/NDUFA11/NDUFA6/NDUFA7/NDUFB10/NDUFB3/NDUFS1/NDUFS3/NDUFS4/NDUFS5/NDUFS7/NDUFS8/NDUFV3",15
"GO:1901990","GO:1901990","regulation of mitotic cell cycle phase transition","21/1353","67/12151",6.78920185142814e-06,0.00336235221691979,0.00328204310554566,"ANAPC11/ANAPC15/ANAPC16/BUB3/CDC23/CDC26/DDB1/FBXO5/PSMA3/PSMA6/PSMB2/PSMC1/PSMC2/PSMD1/PSMD12/PSMD14/PSMD4/PSMD6/PSMD7/PSMF1/XPC",21
"GO:0031145","GO:0031145","anaphase-promoting complex-dependent catabolic process","21/1353","68/12151",8.80389601178746e-06,0.00348810359987019,0.0034047909418218,"ANAPC11/ANAPC15/ANAPC16/BUB3/CDC23/CDC26/FBXO5/PSMA3/PSMA6/PSMB2/PSMC1/PSMC2/PSMD1/PSMD12/PSMD14/PSMD4/PSMD6/PSMD7/PSMF1/UBB/UBC",21
"GO:0031124","GO:0031124","mRNA 3'-end processing","19/1353","60/12151",1.56652669007864e-05,0.00517214895507631,0.00504861320995519,"ALYREF/CDC40/CHTOP/CPSF4/CSTF1/CSTF2/CSTF3/FIP1L1/LOC113982025/LOC113985815/LOC113988372/LOC113998416/NCBP1/RNPS1/SLU7/SRSF1/THOC2/THOC3/THOC7",19
"GO:0061418","GO:0061418","regulation of transcription from RNA polymerase II promoter in response to hypoxia","18/1353","58/12151",3.54022409241726e-05,0.0100188341815409,0.00977953632747445,"BACH1/ELOC/PSMA3/PSMA6/PSMB2/PSMC1/PSMC2/PSMD1/PSMD12/PSMD14/PSMD4/PSMD6/PSMD7/PSMF1/RBX1/UBB/UBC/VHL",18
"GO:0032543","GO:0032543","mitochondrial translation","12/1353","30/12151",4.39010681799979e-05,0.0106380510424388,0.0103839633172826,"GATC/MRPL23/MRPL47/MRPL51/MRPL57/MRPS11/MRPS18A/MRPS24/MRPS7/NDUFA7/PTCD3/RARS2",12
"GO:0000717","GO:0000717","nucleotide-excision repair, DNA duplex unwinding","10/1353","22/12151",5.19068486177941e-05,0.0106380510424388,0.0103839633172826,"CUL4A/DDB1/GTF2H1/GTF2H3/LOC113998758/RBX1/UBB/UBC/XPA/XPC",10
"GO:0043687","GO:0043687","post-translational protein modification","55/1353","291/12151",5.37004090986308e-05,0.0106380510424388,0.0103839633172826,"ASB3/ASB5/ASB6/ASB7/BTBD19/CALU/CKAP4/COMMD1/COP1/COPS7A/CP/CUL4A/DCAF13/DDB1/ELOC/F5/FBXO22/FSTL3/FUCA2/GOLM1/HSP90B1/ICMT/IGFBP5/ITIH2/LAMB1/LAMC1/LOC113983436/LOC113985905/LOC113987192/LOC113987294/LOC113990026/LOC113999119/NAE1/PDIA6/PRSS23/PSMA3/PSMA6/PSMB2/PSMC1/PSMC2/PSMD1/PSMD12/PSMD14/PSMD4/PSMD6/PSMD7/PSMF1/PTP4A2/RBX1/RCN1/STT3B/SUMF1/TNC/UBE2F/VHL",55
"GO:0043488","GO:0043488","regulation of mRNA stability","25/1353","100/12151",7.26557612803512e-05,0.0130846420996705,0.0127721180355986,"EXOSC1/EXOSC6/EXOSC8/EXOSC9/PABPC1/PABPC1L/PARN/PCID2/PSMA3/PSMA6/PSMB2/PSMC1/PSMC2/PSMD1/PSMD12/PSMD14/PSMD4/PSMD6/PSMD7/PSMF1/RNASEL/UBB/UBC/XPO1/ZC3H14",25
"GO:0010972","GO:0010972","negative regulation of G2/M transition of mitotic cell cycle","15/1353","47/12151",0.000109863870251356,0.0181366939139947,0.0177035026010299,"FHL1/MIIP/PSMA3/PSMA6/PSMB2/PSMC1/PSMC2/PSMD1/PSMD12/PSMD14/PSMD4/PSMD6/PSMD7/PSMF1/RBX1",15
"GO:0006294","GO:0006294","nucleotide-excision repair, preincision complex assembly","11/1353","29/12151",0.000161244520924563,0.0245711843039661,0.0239843064727468,"CUL4A/DDB1/GTF2H1/GTF2H3/LOC113998758/RBX1/RPA3/UBB/UBC/XPA/XPC",11
"GO:0070911","GO:0070911","global genome nucleotide-excision repair","10/1353","25/12151",0.000191715373747992,0.0271277253853408,0.0264797850808316,"CUL4A/DDB1/GTF2H1/GTF2H3/LOC113998758/RBX1/UBB/UBC/XPA/XPC",10
