"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","17/410","191/11462",0.000496542883188776,0.271319728490684,0.267986617072026,"ADAMTS3/COL14A1/COL1A2/COL2A1/COL4A1/COL4A4/COL6A1/COL6A2/CRISPLD2/DAG1/ITGA4/ITGA6/KAZALD1/LOC113982687/NID1/TGFBI/THBS1",17
"GO:0071711","GO:0071711","basement membrane organization","4/410","12/11462",0.000635409200212376,0.271319728490684,0.267986617072026,"COL4A1/DAG1/FERMT1/NID1",4
"GO:2000353","GO:2000353","positive regulation of endothelial cell apoptotic process","4/410","12/11462",0.000635409200212376,0.271319728490684,0.267986617072026,"GPER1/ITGA4/PLCG1/THBS1",4
"GO:0016477","GO:0016477","cell migration","16/410","200/11462",0.00221298542474606,0.578885080392781,0.571773586944512,"BCAR1/EPHB3/FGFR1/FMNL2/FSCN1/FUT8/HES1/JUP/LOC113994699/LOC114000376/PIK3CD/PLCG1/PLXNB1/SLC9A1/STRIP2/THBS1",16
"GO:0030166","GO:0030166","proteoglycan biosynthetic process","4/410","17/11462",0.00265050661304315,0.578885080392781,0.571773586944512,"B4GALT7/CHST10/CHST8/LOC114001489",4
"GO:0007601","GO:0007601","visual perception","12/410","132/11462",0.00271378565611544,0.578885080392781,0.571773586944512,"ABLIM1/ATF6/CNNM4/COL2A1/CPLX3/CRYBB2/GJA3/PITPNA/RDH10/SLITRK6/TGFBI/TRPM1",12
"GO:0019228","GO:0019228","neuronal action potential","4/410","18/11462",0.00331269018747757,0.578885080392781,0.571773586944512,"CACNA1H/GPER1/KCNA1/KCND2",4
"GO:0007267","GO:0007267","cell-cell signaling","11/410","122/11462",0.00428067824781728,0.578885080392781,0.571773586944512,"CARTPT/CXCL14/FADS1/FGF13/FGFR3/GJA3/GJA5/LOC113994699/NMB/PCDH8/STAB1",11
"GO:0006029","GO:0006029","proteoglycan metabolic process","3/410","10/11462",0.00451900921461968,0.578885080392781,0.571773586944512,"B4GALT7/CNMD/COL2A1",3
"GO:0010762","GO:0010762","regulation of fibroblast migration","3/410","10/11462",0.00451900921461968,0.578885080392781,0.571773586944512,"APPL2/FER/LOC114000376",3
"GO:0001501","GO:0001501","skeletal system development","9/410","91/11462",0.00516099269962685,0.601021058929272,0.593637629181959,"CNMD/COL1A2/COL2A1/FGFR1/FGFR3/LOC113982687/NPR3/PRELP/RASSF2",9
"GO:1902230","GO:1902230","negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage","3/410","11/11462",0.00605018998030507,0.636915763381723,0.629091373996328,"DDIAS/SNAI2/TRIM32",3
"GO:0007166","GO:0007166","cell surface receptor signaling pathway","10/410","114/11462",0.00764111162717915,0.636915763381723,0.629091373996328,"ADGRD2/BIRC2/CALCR/IFNGR2/IL1R1/LOC113994699/P2RY1/RANBP9/TDP2/TSPAN12",10
"GO:0090162","GO:0090162","establishment of epithelial cell polarity","3/410","12/11462",0.00785511690700266,0.636915763381723,0.629091373996328,"FERMT1/FRMD4B/HES1",3
"GO:0030036","GO:0030036","actin cytoskeleton organization","11/410","133/11462",0.0081311617435076,0.636915763381723,0.629091373996328,"ADD1/ARHGEF10/ARPC1A/CAP1/CORO2B/DAAM1/EPB41L4A/FSCN1/SDCBP2/SLC9A3R1/SSH1",11
"GO:0043547","GO:0043547","positive regulation of GTPase activity","17/410","249/11462",0.00816204641797793,0.636915763381723,0.629091373996328,"ALS2/ARAP3/ARFGAP2/ARHGEF6/GIT1/ITGA6/LOC113988963/LOC114000838/OCRL/PLXNB1/PREX2/RASAL2/RGS11/RGS4/SRGAP2/STXBP5/USP6NL",17
