"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045766","GO:0045766","positive regulation of angiogenesis","28/1351","95/11462",2.65343136540635e-06,0.00517419116254238,0.00506386427945443,"ADAM12/ANGPT2/BRCA1/C3AR1/CDH5/ENG/ETS1/F3/FLT1/GAB1/GATA2/HMGA2/HMOX1/HSPB1/ITGB2/KDR/LOC113986257/LOC113997171/NFE2L2/NODAL/NOS3/PGF/RAMP2/RRAS2/SPHK1/TEK/TIE1/VEGFA",28
"GO:0061042","GO:0061042","vascular wound healing","7/1351","10/11462",2.70463407935587e-05,0.0176767469461645,0.0172998338533853,"GATA2/KDR/LOC113986257/LOC113997171/MCAM/NDNF/VEGFA",7
"GO:0038084","GO:0038084","vascular endothelial growth factor signaling pathway","8/1351","13/11462",2.71949953017915e-05,0.0176767469461645,0.0172998338533853,"FLT1/FOXC1/GAB1/KDR/LOC113997171/PGF/PIK3CA/VEGFA",8
"GO:2000352","GO:2000352","negative regulation of endothelial cell apoptotic process","11/1351","25/11462",5.40445562103584e-05,0.0263467211525497,0.0257849422129947,"ANGPT4/CDH5/GATA2/KDR/LOC113997171/LOC114003293/NDNF/NFE2L2/RAMP2/TEK/TNIP2",11
"GO:0048709","GO:0048709","oligodendrocyte differentiation","11/1351","26/11462",8.37487549615919e-05,0.0326620144350208,0.0319655774200771,"CDKN2C/CNP/GPR17/LOC113985801/LOC114003174/MYRF/NKX6-1/SOX10/SOX8/TPPP/TSPAN2",11
"GO:0043491","GO:0043491","protein kinase B signaling","11/1351","28/11462",0.000186111280531822,0.0604861661728422,0.0591964476498585,"EPHA2/KDR/LOC113997171/LOX/MERTK/P2RY12/PAX2/PEAR1/PIK3C2B/PIK3CA/SETX",11
"GO:1990573","GO:1990573","potassium ion import across plasma membrane","12/1351","33/11462",0.000225970318280326,0.0621168294443326,0.0607923410432254,"ABCC9/FXYD2/KCNH2/KCNK9/LOC113985310/LOC113986621/LOC113987767/LOC113996443/LOC114000946/SLC12A1/SLC12A2/SLC12A3",12
"GO:0070126","GO:0070126","mitochondrial translational termination","22/1351","85/11462",0.000254838274643416,0.0621168294443326,0.0607923410432254,"LOC114000420/MRPL17/MRPL19/MRPL23/MRPL24/MRPL28/MRPL30/MRPL37/MRPL39/MRPL45/MRPL51/MRPL58/MRPS18C/MRPS21/MRPS22/MRPS23/MRPS24/MRPS25/MRPS33/MRPS9/MTRF1/OXA1L",22
"GO:0055075","GO:0055075","potassium ion homeostasis","7/1351","14/11462",0.000503401143269975,0.109070247708495,0.106744593303914,"KCNH2/LOC113985310/LOC113986621/LOC113987767/SLC12A1/SLC12A2/SLC12A3",7
"GO:0070125","GO:0070125","mitochondrial translational elongation","21/1351","85/11462",0.000683849285149751,0.133350610604201,0.130507237260684,"LOC114000420/MRPL17/MRPL19/MRPL23/MRPL24/MRPL28/MRPL30/MRPL37/MRPL39/MRPL45/MRPL51/MRPL58/MRPS18C/MRPS21/MRPS22/MRPS23/MRPS24/MRPS25/MRPS33/MRPS9/OXA1L",21
