"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0009314","GO:0009314","response to radiation","9/1121","23/11462",0.000182151475264915,0.121214366176691,0.120782498522092,"BACE1/CXCL12/LOC113993147/LOC113996079/LOC113999502/LOC114000703/LOC114002346/PPM1D/TNFRSF11A",9
"GO:0050790","GO:0050790","regulation of catalytic activity","32/1121","170/11462",0.000211423536799266,0.121214366176691,0.120782498522092,"ALOX5AP/BRCC3/CYTH1/CYTH3/DENND4A/DENND6B/EIF2B5/ELMO1/GBF1/HERC1/HERC2/HPS1/HSPH1/KATNB1/LOC113988305/LOC114000307/LOC114003556/MCF2/MYCBP2/PSD3/PSMD1/RAB3IP/RAPGEFL1/RASGEF1C/RASGRF2/RCC1L/RUNDC3A/SEC61B/SH3PXD2A/TRIO/WDR41/WRNIP1",32
"GO:1901838","GO:1901838","positive regulation of transcription of nucleolar large rRNA by RNA polymerase I","6/1121","11/11462",0.000258841466642649,0.121214366176691,0.120782498522092,"IPPK/LOC113985906/LOC113985909/LOC113991570/NCL/SMARCB1",6
"GO:0007064","GO:0007064","mitotic sister chromatid cohesion","7/1121","15/11462",0.000266845054874389,0.121214366176691,0.120782498522092,"HASPIN/LOC113993147/LOC113996079/LOC113999502/LOC114002346/RAD21/SMC1B",7
"GO:0060976","GO:0060976","coronary vasculature development","7/1121","18/11462",0.00101444702855213,0.271841918533489,0.270873388684414,"AP2B1/NDST1/PLXND1/PRICKLE1/PTK7/SMAD6/TAB1",7
"GO:0098962","GO:0098962","regulation of postsynaptic neurotransmitter receptor activity","7/1121","18/11462",0.00101444702855213,0.271841918533489,0.270873388684414,"BEGAIN/CACNG4/DLGAP3/DLGAP4/NPTX1/NPTX2/NPTXR",7
"GO:0008306","GO:0008306","associative learning","8/1121","23/11462",0.00104727211322753,0.271841918533489,0.270873388684414,"ASIC3/CRH/DRD5/GABRA5/NEUROD2/NPTX2/NRGN/SRF",8
"GO:0035904","GO:0035904","aorta development","7/1121","19/11462",0.00147182149433515,0.313437848709452,0.312321119126529,"AP2B1/NDST1/PLXND1/PRICKLE1/ROBO2/SMAD6/TAB1",7
"GO:0045666","GO:0045666","positive regulation of neuron differentiation","16/1121","73/11462",0.00155252649333245,0.313437848709452,0.312321119126529,"CDON/CXCL12/FEZF2/LOC113982697/LOC113983912/LOC113989272/LOC113994886/LOC113997056/LOC113998036/LOC114003556/LOC114003727/NEUROD1/NEUROD2/SH3GL3/TCF12/TCF4",16
"GO:0016082","GO:0016082","synaptic vesicle priming","7/1121","20/11462",0.00207521487748765,0.377066543239506,0.375723114660922,"ERC2/LOC114001826/LOC114001855/LOC114002475/SNAP47/SYNJ1/UNC13A",7
"GO:0006337","GO:0006337","nucleosome disassembly","6/1121","16/11462",0.0029202349704384,0.442172245107215,0.440596855188952,"LOC113985906/LOC113985909/LOC113991570/SMARCB1/SMARCC2/SMARCD1",6
"GO:0015721","GO:0015721","bile acid and bile salt transport","6/1121","16/11462",0.0029202349704384,0.442172245107215,0.440596855188952,"ABCC2/LOC113982697/LOC113997056/LOC113998036/NCOA2/RXRA",6
"GO:0032870","GO:0032870","cellular response to hormone stimulus","7/1121","22/11462",0.00383651126945327,0.501977695175772,0.500189227878416,"LOC113982697/LOC113997056/LOC113998036/NCOA2/RAMP1/ROBO2/SLIT3",7
"GO:0032012","GO:0032012","regulation of ARF protein signal transduction","6/1121","17/11462",0.00414400959143455,0.501977695175772,0.500189227878416,"ARFGAP1/ARFGEF1/CYTH1/CYTH3/GBF1/PSD3",6
"GO:0043923","GO:0043923","positive regulation by host of viral transcription","6/1121","17/11462",0.00414400959143455,0.501977695175772,0.500189227878416,"LOC113985906/LOC113985909/LOC113991570/LOC114000703/SMARCB1/SP1",6
"GO:0021549","GO:0021549","cerebellum development","10/1121","41/11462",0.00513816358546263,0.5835027021741,0.581423774144456,"FAIM2/LOC113982697/LOC113984666/LOC113997056/LOC113998036/NEUROD1/PAK1/SEMA4C/SSTR1/SSTR2",10
"GO:0006956","GO:0006956","complement activation","6/1121","18/11462",0.00570879087287576,0.590030939140192,0.587928752032633,"C1QA/C1QB/C1QC/C1S/CFH/LOC113986455",6
