"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:2000279","GO:2000279","negative regulation of DNA biosynthetic process","6/998","11/11462",0.000135204243521656,0.245260497748284,0.242940677569965,"CDKN1A/DACH1/DUSP1/GJA1/LOC113982616/NPPC",6
"GO:0051384","GO:0051384","response to glucocorticoid","10/998","33/11462",0.000345009549289439,0.257060572653319,0.254629140323342,"ACSBG1/AGL/ALAD/ALPL/DUSP1/KRAS/PAPPA/SPARC/TPH2/TYMS",10
"GO:0030198","GO:0030198","extracellular matrix organization","31/998","191/11462",0.000506824734336746,0.257060572653319,0.254629140323342,"ADAMTS19/ADAMTS5/ADAMTSL5/BSG/CD44/COL16A1/COL6A3/COLQ/ECM2/ERO1A/FGF2/HSPG2/ITGA2/ITGA7/ITGB1/LAMA1/LAMB1/LAMC1/LAMC3/LOC113991705/LOC113998180/LOC113998468/LOC113999927/LOXL1/MATN4/MFAP5/POMT1/SPARC/ST7L/VTN/VWA1",31
"GO:0006687","GO:0006687","glycosphingolipid metabolic process","11/998","41/11462",0.000566836984902578,0.257060572653319,0.254629140323342,"ARSA/CTSA/ESYT1/GALC/GLB1/GLB1L/KIT/NEU4/PSAP/SMPD2/SUMF2",11
"GO:0030178","GO:0030178","negative regulation of Wnt signaling pathway","10/998","38/11462",0.00118059731355428,0.428320705357491,0.424269392470979,"APCDD1/CXXC4/LRP1B/MDFI/NKD1/NOTUM/SFRP1/SFRP2/TLE1/TRABD2B",10
"GO:0044267","GO:0044267","cellular protein metabolic process","23/998","136/11462",0.00146715543766506,0.440494209400481,0.436327752246632,"B2M/BMP4/C3/CTSH/D2HGDH/GSN/HSPG2/IGFBP4/IGFBP7/LAMB1/LAMC1/LOC113991705/NOTUM/PAPPA/PNPLA2/PRKCSH/SCG2/SHISA5/STC2/TMEM132A/TSPAN33/VWA1/ZDHHC2",23
"GO:0006027","GO:0006027","glycosaminoglycan catabolic process","8/998","28/11462",0.00205668115297731,0.440494209400481,0.436327752246632,"GLB1/GLB1L/GUSB/HPSE/HSPG2/HYAL2/LOC113991705/SGSH",8
"GO:0046686","GO:0046686","response to cadmium ion","6/998","17/11462",0.00229407087109439,0.440494209400481,0.436327752246632,"ALAD/B2M/KIT/LOC114001109/SORD/SPARC",6
"GO:0022617","GO:0022617","extracellular matrix disassembly","9/998","35/11462",0.002455303550347,0.440494209400481,0.436327752246632,"A2M/ADAMTS5/BSG/CAPN2/CD44/GSN/LAMC1/LOC113991586/TLL2",9
"GO:0042572","GO:0042572","retinol metabolic process","8/998","29/11462",0.00262680695381061,0.440494209400481,0.436327752246632,"BCO1/DHRS13/LOC113991249/LOC114001960/LOC114002778/PLB1/PNPLA2/RETSAT",8
"GO:0050679","GO:0050679","positive regulation of epithelial cell proliferation","10/998","42/11462",0.00267113357409332,0.440494209400481,0.436327752246632,"BMP4/ERBB2/FGF2/GRN/ID1/LAMB1/LAMC1/NOTCH1/SFRP1/SMO",10
"GO:0043434","GO:0043434","response to peptide hormone","9/998","37/11462",0.00369500701835499,0.558561894274662,0.55327868248526,"BSG/GJA1/LRP5/LRP6/OXTR/SPARC/STAT6/STC2/TH",9
"GO:0048565","GO:0048565","digestive tract development","6/998","19/11462",0.00432422748784112,0.596341583361275,0.590701028722623,"CLMP/COBL/KIT/OXTR/SLC4A2/TGFBR2",6
"GO:0071850","GO:0071850","mitotic cell cycle arrest","5/998","14/11462",0.00508779483866586,0.596341583361275,0.590701028722623,"CDKN1A/CDKN1B/DUSP1/MCPH1/RGCC",5
"GO:0051412","GO:0051412","response to corticosterone","5/998","15/11462",0.00709185945389339,0.596341583361275,0.590701028722623,"CCND1/CDKN1A/FOS/LOC113982386/TH",5
"GO:0042981","GO:0042981","regulation of apoptotic process","22/998","145/11462",0.00710991170669195,0.596341583361275,0.590701028722623,"ACER2/ACTN2/AIFM2/BCL2L13/CARD10/CASP6/CIDEA/DFFA/GJA1/LOC113989368/LOC114003259/LRP5/NDRG1/NF2/OSGIN1/RAF1/SGK1/SKP2/STEAP3/TARDBP/TP53BP2/TP53I3",22
"GO:0010043","GO:0010043","response to zinc ion","6/998","21/11462",0.00744055757768078,0.596341583361275,0.590701028722623,"ALAD/CPS1/CRIP1/D2HGDH/SLC39A13/TH",6
"GO:0010575","GO:0010575","positive regulation of vascular endothelial growth factor production","6/998","21/11462",0.00744055757768078,0.596341583361275,0.590701028722623,"C3/FLT4/HPSE/PTGS2/SULF1/SULF2",6
"GO:0002244","GO:0002244","hematopoietic progenitor cell differentiation","9/998","41/11462",0.00760028981275389,0.596341583361275,0.590701028722623,"AP3B1/BMP4/BVES/DHTKD1/FLT4/HYAL2/KIT/SBDS/SFRP1",9
"GO:0009948","GO:0009948","anterior/posterior axis specification","4/998","10/11462",0.00782337884306783,0.596341583361275,0.590701028722623,"AURKA/BMP4/LHX1/PGAP1",4
"GO:0046697","GO:0046697","decidualization","4/998","10/11462",0.00782337884306783,0.596341583361275,0.590701028722623,"BSG/GJA1/STC2/TPPP3",4
"GO:0060322","GO:0060322","head development","4/998","10/11462",0.00782337884306783,0.596341583361275,0.590701028722623,"EDNRA/LHX1/LIMK2/WDR11",4
"GO:2001028","GO:2001028","positive regulation of endothelial cell chemotaxis","4/998","10/11462",0.00782337884306783,0.596341583361275,0.590701028722623,"FGF2/LOC113988059/P2RX4/SEMA5A",4
"GO:0032496","GO:0032496","response to lipopolysaccharide","16/998","96/11462",0.00838848462083144,0.596341583361275,0.590701028722623,"AKAP12/ALAD/ALPL/CPS1/DUSP10/FOS/GCH1/GJA1/LOXL1/MGST1/NOTCH1/OPRM1/PTGER4/SPARC/SRR/TH",16
"GO:0045216","GO:0045216","cell-cell junction organization","7/998","28/11462",0.00863470174503366,0.596341583361275,0.590701028722623,"LIMS2/LOC113997805/NF2/OCLN/PRKCI/SDK1/SDK2",7
"GO:0000079","GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","9/998","42/11462",0.0089446051505704,0.596341583361275,0.590701028722623,"CCND1/CCNE1/CCNF/CCNO/CDC25A/CDKN1A/CDKN1B/GTPBP4/MNAT1",9
"GO:0044344","GO:0044344","cellular response to fibroblast growth factor stimulus","6/998","22/11462",0.00949170454788568,0.596341583361275,0.590701028722623,"CD44/CPS1/DLL4/HYAL2/LHX1/SFRP1",6
