"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051301","GO:0051301","cell division","166/3113","348/12151",1.94316429166591e-19,4.41681243495662e-16,4.22587097534924e-16,"AHCTF1/ANAPC1/ANAPC2/ANAPC4/ANAPC5/ANAPC7/ANKLE2/ASPM/AURKA/BCAR1/BOD1/BOD1L1/BORA/BUB1/BUB1B/CCNA2/CCNB2/CCNB3/CCNE2/CCNF/CCNK/CCNT1/CDC123/CDC16/CDC20/CDC25A/CDC27/CDC6/CDC7/CDCA2/CDCA3/CDCA8/CDK2/CDK3/CENPC/CENPE/CENPF/CENPJ/CENPT/CENPW/CEP164/CHEK2/CKS1B/CKS2/CNTRL/CSNK1A1/CTDP1/DIS3L2/E4F1/ENTR1/EPB41L2/FZR1/HAUS3/HAUS6/HAUS8/HELLS/HEPACAM2/HMCN1/HNRNPU/INO80/IST1/ITGB3BP/KATNB1/KIF11/KIF20B/KIF2C/KLHL22/KNL1/KNSTRN/KNTC1/LIG3/LMLN/LOC113982299/LOC113984017/LOC113984403/LOC113985480/LOC113988078/LOC113989158/LOC113989368/LOC113992455/LOC113993416/LOC113994446/LOC113994854/LOC113996850/LOC113998085/LOC113998129/LOC113998216/LOC113999107/LOC113999391/LOC113999654/LOC114000824/LOC114001178/LOC114001859/LOC114002134/LOC114003426/MAD2L1/MAP10/MASTL/MAU2/MICAL3/MIS18A/MPLKIP/NCAPD2/NCAPG/NCAPG2/NCAPH/NDC80/NEDD1/NEK1/NEK2/NEK4/NSUN2/NUF2/OIP5/PARD6A/PARD6G/PDS5A/PIMREG/PMF1/POGZ/PPP2R2D/PRC1/PRPF40A/PTTG1/RAD21L1/RAE1/RAN/RECQL5/REEP4/RNF8/SGO1/SGO2/SKA1/SKA3/SMC2/SMC3/SMC4/SMC5/SPAG5/SPART/SPC24/SPC25/SPDL1/SPICE1/STAG1/SYCE3/SYCP1/SYCP2/SYCP3/TENT4B/TERF1/TEX14/TIPIN/TPPP/TPX2/UBE2C/USP16/USP39/USP44/USP9X/VPS4A/VRK1/WAPL/WEE1/ZW10/ZWILCH",166
"GO:0007286","GO:0007286","spermatid development","49/3113","64/12151",1.74947175341058e-17,1.98827464775113e-14,1.90232033818224e-14,"ACRBP/ADAD1/BBS4/BRIP1/CAPZA3/CCDC42/CCDC63/CDYL/DDX25/DHH/DMC1/DYNLL1/FANCG/HSPA2/IQCG/KIT/KLHL10/LOC113985010/LOC113985554/LOC113986012/LOC113986045/LOC113987740/LOC113990666/LOC113992013/LOC114000708/LOC114000824/MEIOC/NECTIN3/NME5/NSUN2/ODF2/ODF2L/PACRG/PANK2/PIWIL1/PLD6/REC8/RFX2/RNF8/RSPH1/SOX30/SPINK2/SPO11/SYCP3/TARBP2/TDRD5/TOPAZ1/TRIP13/YTHDC2",49
"GO:0006260","GO:0006260","DNA replication","74/3113","126/12151",2.8338587916927e-15,2.14712034450583e-12,2.05429903987267e-12,"ATR/ATRIP/BRCA1/BRIP1/CCDC88A/CDC45/CDC6/CDC7/CDK2/CHAF1B/CHEK1/CHTF8/CLSPN/DHX9/DNA2/DNAJC2/DTL/DUT/E4F1/EXO1/FEN1/HUS1/IGHMBP2/ING4/KAT7/LOC113982617/LOC113984403/LOC113984499/LOC113988014/LOC113995758/LOC113996190/LOC114000574/LOC114001738/MCM10/MCM2/MCM3/MCM5/MCM6/MCM7/MCM8/MCM9/NAP1L1/ORC1/ORC4/ORC5/ORC6/POLA1/POLD2/POLE/POLE2/POLL/RAD50/RAD9B/RBBP4/RBBP6/RBBP7/RECQL5/REV1/RFC4/RMI1/RMI2/RRM1/RRM2/SIN3A/SLX4/SSRP1/STRA8/SUPT16H/TICRR/TIPIN/TOP1MT/TOP3A/TOPBP1/UPF1",74
"GO:0007283","GO:0007283","spermatogenesis","113/3113","241/12151",5.36758789887673e-13,3.0501318235367e-10,2.9182727892314e-10,"ACSBG2/ADAM28/ADGRG2/ALKBH5/APOB/ASZ1/ATAT1/BNC1/BOLL/BRCA2/BRD4/BRDT/BTBD18/CCNI/CDYL/CFAP54/CLDN11/CNTD1/CSNK2A2/DAZAP1/DAZL/DHX36/DMC1/DMRT1/DZIP1/E2F1/FKBP6/FOXJ1/GAMT/GGNBP2/GOLGA3/HERC4/HORMAD1/HSF2BP/HSPA2/IFT27/IFT81/KDM5A/KIT/LARP7/LOC113982299/LOC113985256/LOC113985531/LOC113989199/LOC113989681/LOC113992013/LOC113992319/LOC113992699/LOC113994402/LOC113995134/LOC113999654/LOC114001859/LOC114002094/LOC114002134/LOC114003116/LOC114003426/MAEL/MAK/MEI4/METTL3/MLH1/MNS1/MSH4/MYBL1/NDC1/NME5/NME8/NUP62CL/ODF1/PARP11/PATZ1/PCYT1B/PGM3/PHC2/PIWIL1/PIWIL2/PRKAG1/PTTG1/RACGAP1/REC8/RNF17/SEPT2/SETX/SIAH1/SLCO4C1/SNRPA1/SOX9/SPAG8/SPATA20/SPATA6/SPEF2/SPO11/STK11/STRA8/SUN1/SYCE3/SYCP1/TCFL5/TDRD1/TDRD12/TDRD6/TDRD7/TDRKH/TESK2/TMEM203/TP63/TRIP13/TSNAX/TXNRD3/USP42/WDR33/ZFX/ZNF628",113
"GO:0060271","GO:0060271","cilium assembly","91/3113","182/12151",1.07851279035324e-12,4.90291914494585e-10,4.6909629997259e-10,"ABCC4/ACTR3B/AHI1/ATAT1/ATP6V1D/ATXN10/BBS4/BBS9/CC2D2A/CCDC65/CDC14B/CENPJ/CEP126/CEP131/CEP162/CEP164/CEP19/CEP41/CEP83/CEP89/CFAP43/CFAP44/CFAP53/CFAP54/CFAP70/CPLANE2/DNAAF1/DNAI2/DYNC2H1/DYNLL1/DZIP1/FAM149B1/FAM161A/FAM92A/FBF1/FOXJ1/HYLS1/IFT122/IFT140/IFT74/IFT80/IFT81/IFT88/INTU/IQCB1/IQUB/KIAA0586/KIF24/KIF27/LOC113982241/LOC113984124/LOC113989681/LOC113989827/LOC113992699/LOC113994014/LOC113996763/LOC113996850/LOC114000139/LOC114002136/MAK/NEK1/NME5/NME8/OFD1/PCM1/PCNT/PIBF1/PLA2G3/POC1B/PTPN23/RAB23/RAB8B/RFX2/SCLT1/SEPT2/SNAP29/SPAG16/SSX2IP/TCTN1/TEKT1/TEKT2/TEKT3/TEKT4/TMEM138/TMEM17/TMEM67/TRAF3IP1/TTC26/TTC39C/UBXN10/WDPCP",91
"GO:0006511","GO:0006511","ubiquitin-dependent protein catabolic process","108/3113","234/12151",6.08057533357903e-12,2.30352462220419e-09,2.2039418665218e-09,"ADRM1/ANAPC1/ANAPC2/ANAPC4/ANAPC5/ANAPC7/ARIH1/ASB2/ATXN3/AURKA/BFAR/BUB1B/CDC16/CDC20/CDC27/CNOT4/COPS3/CYLD/DTL/FBXL14/FBXO11/FBXO7/FBXO8/FBXW4/FEM1C/FZR1/HERPUD1/KCTD10/KLHL15/LOC113984683/LOC113986711/LOC113992164/LOC113993934/LOC113996048/LOC113996144/LOC113997070/LOC113997178/LOC113997743/LOC113998129/LOC114001177/LOC114002376/LOC114002990/MAD2L1/MIB1/NPLOC4/NUB1/PLK1/PRKN/PSMD11/PSMD13/PSMD3/PTTG1/RBBP6/RFFL/RLIM/RNF111/RNF126/RNF128/RNF14/RNF168/RNF185/RNF19A/RNF213/RNF217/RNF34/RNF43/RNF6/RNF8/SIAH1/SPSB4/SYVN1/TOPORS/TRIP12/TRPC4AP/UBA1/UBA6/UBE2C/UBE2L3/UBE2R2/UBE2Z/UBE3A/UBE3B/UBE3C/UBE4A/UBE4B/UBQLN1/UBR3/UBR4/UCHL5/UHRF1/USP1/USP15/USP16/USP2/USP21/USP24/USP28/USP30/USP38/USP4/USP40/USP42/USP43/USP48/USP49/USP50/USP7/USP8",108
"GO:0002077","GO:0002077","acrosome matrix dispersal","18/3113","18/12151",2.17918316002846e-11,7.07611903249241e-09,6.77021414829895e-09,"LOC113981956/LOC113982191/LOC113982194/LOC113982195/LOC113982196/LOC113983201/LOC113983206/LOC113984045/LOC113985504/LOC113987936/LOC113994810/LOC113994811/LOC113994817/LOC113994818/LOC114000676/LOC114000677/LOC114000678/LOC114000680",18
"GO:0003341","GO:0003341","cilium movement","31/3113","42/12151",7.93524551416414e-11,2.25460163171189e-08,2.15713384635041e-08,"ARMC4/CCDC103/CCDC39/CCDC40/CCDC63/CFAP53/CFAP61/CFAP70/DNAAF1/DNAAF4/DNAAF5/DNAH1/DNAH12/DNAH17/DNAI1/DNAI2/LOC113981955/LOC113985451/LOC113986306/LOC113987257/LOC113992279/LOC113992388/LOC113994177/LOC113994178/LOC113999122/LOC114000433/LRRC6/TTC25/TTC29/ZBBX/ZMYND10",31
"GO:0097711","GO:0097711","ciliary basal body-plasma membrane docking","53/3113","93/12151",1.20109285185305e-10,3.03342672473552e-08,2.90228986190455e-08,"AHI1/C2CD3/CC2D2A/CCP110/CDK5RAP2/CENPJ/CEP131/CEP135/CEP152/CEP162/CEP164/CEP192/CEP41/CEP70/CEP78/CEP83/CEP89/CNTRL/CSNK1D/CSNK1E/DYNLL1/FBF1/HAUS3/HAUS6/HAUS8/IQCB1/KIF24/LOC113982037/LOC113982241/LOC113984017/LOC113984403/LOC113986004/LOC113997525/LOC113999107/LOC113999391/LOC113999915/LOC114002134/NEDD1/NEK2/NPHP1/ODF2/ODF2L/OFD1/PCM1/PCNT/PLK1/PLK4/RPGRIP1L/SCLT1/SDCCAG8/SFI1/TCTN1/TMEM67",53
"GO:0006281","GO:0006281","DNA repair","93/3113","204/12151",4.04194344981591e-10,9.18733746143156e-08,8.7901633340207e-08,"ACTL6A/ASF1A/ATR/ATRIP/CDC14B/CDK2/CEP164/CGAS/CHAF1B/CHD1L/CHEK1/CLSPN/CSNK1E/DDB2/DDX11/DMAP1/DOT1L/EMSY/ENDOV/ERCC4/ETAA1/EXO1/FANCA/FANCC/FANCG/FEN1/FOXM1/FZR1/HUS1/IGHMBP2/INIP/INO80/KAT7/LOC113982064/LOC113984403/LOC113984499/LOC113985939/LOC113987068/LOC113987847/LOC113988014/LOC113990258/LOC113992164/LOC113993175/LOC113996190/LOC113997232/LOC113997233/LOC114000574/LOC114001738/MCRS1/MEN1/MNAT1/MRNIP/MUS81/NABP2/NFRKB/PDS5A/POLA1/POLE2/POLQ/PSME4/PTTG1/PWWP3A/RAD18/RAD50/RAD51/RAD9B/RECQL5/RFC4/RMI2/RTEL1/SHLD1/SHPRH/SIRT7/SLF1/SLF2/SLX4/SMARCAL1/SMC3/SMC6/SSRP1/SUPT16H/TICRR/TOPBP1/TRIP12/UBE2D3/UBR5/UCHL5/UHRF1/UPF1/USP28/UVRAG/WDHD1/ZRANB3",93
"GO:0007129","GO:0007129","homologous chromosome pairing at meiosis","19/3113","21/12151",6.70389810995483e-10,1.34042878281404e-07,1.28248123986098e-07,"ANKRD31/CCNE2/DMC1/FANCD2/LOC113982292/LOC113997307/LOC113999654/MAEL/MEI4/MEIOB/MLH1/MSH4/NDC1/RNF212/SIRT7/SPATA22/SYCP1/TERB1/TERB2",19
"GO:0006974","GO:0006974","cellular response to DNA damage stimulus","101/3113","229/12151",7.07661477948461e-10,1.34042878281404e-07,1.28248123986098e-07,"ACER2/AKT1/AKTIP/ALKBH8/ASH2L/ATAD5/ATR/BRAT1/BRCA1/CASP3/CBX1/CCDC13/CCNK/CCNT1/CDK3/CGAS/CHD1L/CHEK1/CHEK2/CTC1/CUL4B/CUNH9orf116/DCUN1D5/DDX11/DTL/DYRK2/DYRK3/ERCC8/ETAA1/FANCF/FANCG/FBH1/GNL1/HUS1/INIP/LOC113984683/LOC113985290/LOC113985512/LOC113989594/LOC113992164/LOC114000824/MAPK15/MASTL/MCM10/MCM7/MCM8/MCM9/MEN1/METTL3/MORC2/MRNIP/NABP2/NEK4/NFATC2/NIPBL/PARG/PIDD1/POLQ/PRKDC/PSEN1/PSME4/RAD18/RAD50/RAD51/RAD52/RBBP6/RFWD3/RIF1/RNF168/RNF8/SAMHD1/SETX/SHPRH/SIRT7/SLF1/SLF2/SMARCAL1/SMC5/SMC6/SPATA18/SPDYA/STK11/SUSD6/TAF9B/TLK2/TOP2A/TOPBP1/TOPORS/TRAIP/TRIP12/UBA1/UBA6/UBR5/USP16/USP28/VCPIP1/WAC/XRCC5/ZBTB40/ZDHHC16/ZRANB3",101
"GO:0010389","GO:0010389","regulation of G2/M transition of mitotic cell cycle","46/3113","80/12151",1.34734663335347e-09,2.35578376739419e-07,2.25394181741561e-07,"AURKA/CCNB3/CCP110/CDK2/CDK5RAP2/CENPF/CENPJ/CEP131/CEP135/CEP152/CEP164/CEP192/CEP41/CEP70/CEP78/CNTRL/CSNK1D/CSNK1E/CTC1/DYNLL1/HAUS3/HAUS6/HAUS8/HMMR/LOC113982037/LOC113982241/LOC113984017/LOC113984403/LOC113986004/LOC113997525/LOC113999107/LOC113999391/LOC113999915/LOC114002134/NEDD1/NEK2/ODF2/ODF2L/OFD1/PCM1/PCNT/PLK1/PLK4/SDCCAG8/SFI1/TPX2",46
"GO:0007339","GO:0007339","binding of sperm to zona pellucida","27/3113","38/12151",5.4021570512156e-09,8.77078784100932e-07,8.39162140436949e-07,"CCT3/CCT8/FETUB/LOC113981956/LOC113982191/LOC113982194/LOC113982195/LOC113982196/LOC113983201/LOC113983206/LOC113984045/LOC113985504/LOC113987936/LOC113994810/LOC113994811/LOC113994817/LOC113994818/LOC113997745/LOC114000676/LOC114000677/LOC114000678/LOC114000680/LOC114003006/PCSK4/PRSS55/TMPRSS12/ZPBP2",27
"GO:0044782","GO:0044782","cilium organization","17/3113","19/12151",8.41645302429454e-09,1.27537318161477e-06,1.22023803145211e-06,"ARMC2/CATIP/CEP78/CFAP126/CFAP61/FAM161A/FAM161B/IQCG/LOC113994014/MNS1/ODF2/ODF2L/PIFO/SLC9A3R1/TTC17/TTC29/WDPCP",17
