"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003341","GO:0003341","cilium movement","24/476","37/11462",8.47395680001068e-25,1.08466647040137e-21,1.05523062046449e-21,"ARMC4/CCDC40/CFAP206/CFAP221/CFAP53/CFAP70/CFAP73/DNAAF1/DNAAF5/DNAH1/DNAH12/DNAH5/DNAH9/DNAI1/DNAI2/LOC113981955/LOC113998190/LOC114000425/LRRC6/RSPH9/TTC25/TTC29/ZBBX/ZMYND10",24
"GO:0060271","GO:0060271","cilium assembly","36/476","175/11462",7.55333916550738e-16,3.81612233412041e-13,3.71255980367142e-13,"AHI1/CCDC65/CDC14A/CEP126/CEP131/CEP89/CFAP221/CFAP44/CFAP53/CFAP54/CFAP70/DNAAF1/DNAH5/DNAI2/DZIP1/FOXJ1/IFT140/IFT43/IFT74/IFT81/INTU/KIF24/KIF27/LOC113992699/LOC113996763/LOC113996850/LOC113997538/LOC113998190/LOC114000139/MAK/OFD1/PCNT/TMEM17/TMEM231/TMEM237/UBXN10",36
"GO:0007368","GO:0007368","determination of left/right symmetry","20/476","48/11462",8.94403672059472e-16,3.81612233412041e-13,3.71255980367142e-13,"ARMC4/BICC1/CFAP53/CUNH9orf116/DNAH5/DNAI1/DNAI2/DPCD/FOXJ1/IFT140/IFT74/LOC113982904/LOC113984044/LOC113992699/LOC113997538/LOC113998190/NEK8/PKD2/PSKH1/TBC1D32",20
"GO:0036158","GO:0036158","outer dynein arm assembly","11/476","16/11462",2.04778285023683e-12,6.55290512075787e-10,6.37507134692151e-10,"ARMC4/DNAAF1/DNAAF2/DNAAF5/DNAH5/DNAI1/DNAI2/LOC113998190/LRRC6/TTC25/ZMYND10",11
"GO:0060285","GO:0060285","cilium-dependent cell motility","10/476","13/11462",3.55717449933642e-12,9.10636671830124e-10,8.85923670045261e-10,"CCDC65/CFAP44/DNAAF2/DNAH1/DNAH12/DNAH3/EFHC1/EFHC2/LOC113982904/LOC113984044",10
"GO:0036159","GO:0036159","inner dynein arm assembly","10/476","14/11462",1.19898865648361e-11,2.52903218639906e-09,2.4603989116037e-09,"CCDC40/CFAP73/DNAAF1/DNAAF2/DNAAF5/DNAH1/DNAH12/LOC113981955/LRRC6/ZMYND10",10
"GO:0035082","GO:0035082","axoneme assembly","11/476","18/11462",1.38306447693699e-11,2.52903218639906e-09,2.4603989116037e-09,"CCDC40/CFAP206/CFAP46/FOXJ1/GAS8/JHY/LOC113990666/LOC113992699/LOC113995134/RSPH1/RSPH9",11
"GO:0044458","GO:0044458","motile cilium assembly","11/476","19/11462",3.16267258300427e-11,5.06027613280683e-09,4.92294956012375e-09,"CCDC40/CFAP221/DNAAF1/FOXJ1/INTU/JHY/LOC113992699/LRRC6/RSPH9/SPATA6/ZMYND10",11
"GO:0003351","GO:0003351","epithelial cilium movement involved in extracellular fluid movement","9/476","13/11462",2.10294049098705e-10,2.9908486982927e-08,2.90968257407916e-08,"CCDC40/DNAAF2/DNAH5/DPCD/KIF27/LOC113998190/ROPN1L/SPAG17/SPEF2",9
"GO:0070286","GO:0070286","axonemal dynein complex assembly","8/476","10/11462",3.4933084489323e-10,4.47143481463334e-08,4.3500883106178e-08,"CCDC40/CCDC65/DNAAF1/DNAAF2/LOC113982904/LOC113984044/SPAG1/TTC12",8
"GO:0030317","GO:0030317","flagellated sperm motility","13/476","35/11462",5.93806908613295e-10,6.90975311840925e-08,6.72223514726821e-08,"CCDC40/CFAP65/DNAH1/DNAH5/DNAI1/DPCD/DRC7/ENKUR/GAS8/LOC113998190/LRRC6/ROPN1L/TCTE1",13
"GO:0007288","GO:0007288","sperm axoneme assembly","9/476","20/11462",3.80468563930082e-08,4.05833134858754e-06,3.94819571166041e-06,"CEP131/CFAP206/CFAP44/CFAP65/DNAH1/IQCG/MEIG1/SPEF2/TTC12",9
"GO:0007507","GO:0007507","heart development","24/476","160/11462",4.22791632052552e-08,4.1628714540559e-06,4.04989879124024e-06,"ARMC4/ASCL1/BICC1/CASP7/CDKL1/DNAH5/FOXJ1/GLI3/IFT140/IFT74/LOC113982904/LOC113984044/LOC113992699/LOC113998190/MTHFD1/NEK8/PCNA/PKD2/POFUT1/PSKH1/SOX9/TBC1D32/TTC25/ZFP36L1",24
