"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential","12/446","36/11462",5.56497651741348e-09,7.09534505970219e-06,7.01772828195932e-06,"GABRA3/GABRG1/GRID1/LOC113982360/LOC113987027/LOC113990089/LOC113990721/LOC113997560/LOC113998098/LOC113999820/LOC114001303/LOC114001611",12
"GO:0007214","GO:0007214","gamma-aminobutyric acid signaling pathway","8/446","28/11462",7.71708439211456e-06,0.00491964129997303,0.00486582479039644,"GABRA3/GABRG1/LOC113990089/LOC113990721/LOC113997560/LOC113998098/LOC113999820/PLCL2",8
"GO:0051932","GO:0051932","synaptic transmission, GABAergic","6/446","15/11462",1.24524001271921e-05,0.00529227005405664,0.0052343773166232,"GABRA3/GABRG1/LOC113990089/LOC113990721/LOC113997560/LOC113998098",6
"GO:0042391","GO:0042391","regulation of membrane potential","12/446","79/11462",4.97927482218423e-05,0.014406999233518,0.014249399448301,"GABRA3/GABRG1/GLRA2/KCNH5/LOC113987027/LOC113990089/LOC113990721/LOC113997560/LOC113998098/LOC113999820/LOC114001611/PIEZO2",12
"GO:1902476","GO:1902476","chloride transmembrane transport","11/446","68/11462",5.64980362098746e-05,0.014406999233518,0.014249399448301,"CFTR/CLIC5/GABRA3/GABRG1/GLRA2/LOC113990089/LOC113990721/LOC113997560/LOC113998098/LOC113999820/SLC12A9",11
"GO:0050877","GO:0050877","nervous system process","8/446","38/11462",8.62156258355141e-05,0.0183208204900468,0.0181204069738502,"GABRA3/GABRG1/GLRA2/LOC113990089/LOC113990721/LOC113997560/LOC113998098/LOC113999820",8
"GO:0051967","GO:0051967","negative regulation of synaptic transmission, glutamatergic","4/446","10/11462",0.000393973623172716,0.0657076417030545,0.0649888584192027,"HTR2A/LOC113987027/LOC114001611/NPY2R",4
"GO:0050731","GO:0050731","positive regulation of peptidyl-tyrosine phosphorylation","9/446","59/11462",0.000419862426612903,0.0657076417030545,0.0649888584192027,"ABL1/EFNA5/HTR2A/ITGB3/LOC113998756/LOC114004136/LOC114004198/SEMA4D/SYK",9
"GO:0018108","GO:0018108","peptidyl-tyrosine phosphorylation","13/446","114/11462",0.000475311118597183,0.0657076417030545,0.0649888584192027,"ABL1/ALK/EGFR/EIF2AK2/HIPK1/LOC113991889/LOC113998756/LOC113999057/LOC113999307/LOC114002148/LOC114004136/MELK/SYK",13
"GO:0007411","GO:0007411","axon guidance","19/446","209/11462",0.000515354052572976,0.0657076417030545,0.0649888584192027,"ANOS1/BMP7/EFNA2/EFNA5/GDF7/GFRA1/LAMA3/LOC113998756/LOC113999057/LOC113999307/LOC114004136/LOC114004198/PTPRO/ROBO1/SEMA3C/SEMA4D/SEMA5B/SEMA6A/VSTM2L",19
"GO:0035249","GO:0035249","synaptic transmission, glutamatergic","6/446","31/11462",0.00107873598030979,0.125035306808635,0.123667531522596,"GRID1/LOC113982360/LOC113987027/LOC114001303/LOC114001611/UNC13C",6
"GO:0007268","GO:0007268","chemical synaptic transmission","17/446","195/11462",0.00158353971521034,0.151057675342121,0.149405238439513,"GABRA3/GABRG1/GAD2/GLRA2/GRM4/HCRTR2/HRH3/HTR2A/LOC113990089/LOC113990721/LOC113997560/LOC113998098/LOC113999820/PMP22/SLC18A3/SYT10/UNC13C",17
"GO:0035235","GO:0035235","ionotropic glutamate receptor signaling pathway","5/446","23/11462",0.00164093658341649,0.151057675342121,0.149405238439513,"GRID1/LOC113982360/LOC113987027/LOC114001303/LOC114001611",5
"GO:0019432","GO:0019432","triglyceride biosynthetic process","4/446","14/11462",0.00165867251356054,0.151057675342121,0.149405238439513,"ACSL1/DGAT2/LPGAT1/MOGAT2",4
"GO:0030154","GO:0030154","cell differentiation","26/446","360/11462",0.00179675411495512,0.152724099771186,0.151053433664297,"CPNE9/DLK1/EDARADD/EGFR/FST/FSTL5/GABPA/HES4/ID4/KIAA1522/LOC113991889/MAEL/NHS/NXN/PARP11/PRMT7/PTPRU/RBL1/SH3PXD2B/SHB/STYK1/SYK/ZC3H12A/ZIC1/ZIC3/ZNF423",26
"GO:0007269","GO:0007269","neurotransmitter secretion","7/446","47/11462",0.00210352872333096,0.167624945140436,0.1657912770099,"CHAT/GAD2/GRM4/HRH3/SLC18A3/SLC32A1/SLC5A7",7
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","8/446","61/11462",0.00237647326944871,0.178235495208653,0.176285757077372,"GRID1/LOC113982360/LOC113987027/LOC113998756/LOC114001303/LOC114001611/LOC114004136/LRFN2",8
