gene,moduleColor,Module Membership,MM.black,MM.blue,MM.brown,MM.grey,MM.grey60,MM.lightcyan,MM.lightgreen,MM.magenta,MM.midnightblue,MM.pink,MM.turquoise
AVPR1B,black,0.934127936,0.934127936,-0.676583771,-0.079416081,-0.200062647,-0.386192847,0.200018147,-0.441828797,0.715634698,-0.857351686,0.446413654,-0.222245448
POMC,black,0.94010487,0.94010487,-0.634813687,-0.004919484,-0.107681399,-0.399391061,0.276859741,-0.382836653,0.781498379,-0.916250729,0.395254178,-0.296818081
PRL,black,0.973480244,0.973480244,-0.705335029,-0.084424482,-0.056902623,-0.374754612,0.270939284,-0.458957637,0.746625043,-0.91212004,0.47407653,-0.22693055
AR,blue,0.825838393,-0.798869072,0.825838393,0.491239595,-0.250189293,0.258281806,-0.059097729,0.423989737,-0.274868949,0.557794682,-0.732429139,-0.248044347
CALCB,blue,0.409338586,-0.442545684,0.409338586,0.175632307,-0.074685412,0.34704332,-0.032319812,-0.010874885,-0.239861357,0.362781245,-0.318126561,-0.025507046
DDC,blue,0.586534212,-0.407210807,0.586534212,0.552746661,0.045191239,-0.080038751,0.264239177,0.674576706,0.130360008,0.059433149,-0.616267068,-0.44970143
DRD1,blue,0.615306946,-0.859947476,0.615306946,0.056594656,0.167960932,0.472033532,-0.16346478,0.17093211,-0.679463839,0.811657786,-0.394798634,0.227068562
DRD3,blue,0.688400608,-0.431929201,0.688400608,0.686935533,-0.070563967,0.56354186,0.385304274,0.005826974,0.197489174,0.063076891,-0.729135531,-0.570983772
ESR2,blue,0.900320658,-0.779866787,0.900320658,0.649217422,0.024745005,0.231588647,0.187771512,0.641945012,-0.114143199,0.401633264,-0.842018642,-0.421666734
GABBR2,blue,0.974248903,-0.724605509,0.974248903,0.847887118,0.052119316,0.585685592,0.458002804,0.379554143,0.093725455,0.242234287,-0.975008744,-0.64594505
GABRB1,blue,0.91146075,-0.699689252,0.91146075,0.76665688,-0.059348213,0.291690156,0.3110898,0.525811968,0.047915474,0.263636524,-0.901564671,-0.568286799
GABRB2,blue,0.991524326,-0.807742335,0.991524326,0.782824512,-0.025387131,0.487083779,0.323419794,0.505450854,-0.028743703,0.365398888,-0.963100096,-0.553936428
GAL,blue,0.82196317,-0.657820417,0.82196317,0.663506114,0.059792684,0.13403691,0.238044021,0.784845458,0.008169149,0.256379663,-0.809521955,-0.48639823
GALR1,blue,0.925293343,-0.652862709,0.925293343,0.84883481,0.054718057,0.368086084,0.450017045,0.486420988,0.158452872,0.162577148,-0.94789284,-0.672185284
GALR3,blue,0.516027302,-0.509823237,0.516027302,0.280238038,-0.090772005,0.010819745,-0.094757078,0.370924988,-0.211214179,0.368039637,-0.433574157,-0.108204545
GHRH,blue,0.57167992,-0.62496313,0.57167992,0.254886794,0.067204745,0.07457593,-0.117011775,0.568792639,-0.310207653,0.462736554,-0.471707838,-0.071003396
