referenceSet,testSet,moduleLabel,moduleSize,medianRank.qual,propVarExplained.qual,meanSignAwareKME.qual,meanSignAwareCorDat.qual,meanAdj.qual,meanMAR.qual,medianRank.pres,medianRankDensity.pres,medianRankConnectivity.pres,propVarExplained.pres,meanSignAwareKME.pres,meanSignAwareCorDat.pres,meanAdj.pres,meanMAR.pres,cor.kIM,cor.kME,cor.kMEall,cor.cor,cor.MAR,accuracy,minusLogFisherP,coClustering,separability.qual,separability.pres,Zsummary.qual,Z.propVarExplained.qual,Z.meanSignAwareKME.qual,Z.meanSignAwareCorDat.qual,Z.meanAdj.qual,Z.meanMAR.qual,log.psummary.qual,log.p.propVarExplained.qual,log.p.meanSignAwareKME.qual,log.p.meanSignAwareCorDat.qual,log.p.meanAdj.qual,log.p.meanClusterCoeff.qual,log.p.meanMAR.qual,log.p.Bonfsummary.qual,log.p.Bonf.propVarExplained.qual,log.p.Bonf.meanSignAwareKME.qual,log.p.Bonf.meanSignAwareCorDat.qual,log.p.Bonf.meanAdj.qual,log.p.Bonf.meanClusterCoeff.qual,log.p.Bonf.meanMAR.qual,Zsummary.pres,Zdensity.pres,Zconnectivity.pres,Z.propVarExplained.pres,Z.meanSignAwareKME.pres,Z.meanSignAwareCorDat.pres,Z.meanAdj.pres,Z.meanMAR.pres,Z.cor.kIM,Z.cor.kME,Z.cor.kMEall,Z.cor.cor,Z.cor.MAR,log.psummary.pres,log.pdensity.pres,log.pconnectivity.pres,log.p.propVarExplained.pres,log.p.meanSignAwareKME.pres,log.p.meanSignAwareCorDat.pres,log.p.meanAdj.pres,log.p.meanClusterCoeff.pres,log.p.meanMAR.pres,log.p.cor.kIM,log.p.cor.kME,log.p.cor.kMEall,log.p.cor.cor,log.p.cor.clusterCoeff,log.p.cor.MAR,log.p.Bonfsummary.pres,log.p.Bonfdensity.pres,log.p.Bonfconnectivity.pres,log.p.Bonf.propVarExplained.pres,log.p.Bonf.meanSignAwareKME.pres,log.p.Bonf.meanSignAwareCorDat.pres,log.p.Bonf.meanAdj.pres,log.p.Bonf.meanClusterCoeff.pres,log.p.Bonf.meanMAR.pres,log.p.Bonf.cor.kIM,log.p.Bonf.cor.kME,log.p.Bonf.cor.kMEall,log.p.Bonf.cor.cor,log.p.Bonf.cor.clusterCoeff,log.p.Bonf.cor.MAR,Z.accuracy,Z.minusLogFisherP,Z.coClustering,log.p.accuracy,log.p.minusLogFisherP,log.p.coClustering,log.p.Bonf.accuracy,log.p.Bonf.minusLogFisherP,log.p.Bonf.coClustering,Z.separability.qual,log.p.separability.qual,log.p.Bonf.separability.qual,Z.separability.pres,log.p.separability.pres,log.p.Bonf.separability.pres
territorial,floater,black,1000,10,0.666394579920573,0.797368416121089,0.63686641586245,0.168977739650236,0.279999055355763,9,10,8,0.672585081672741,0.803588109031589,0.64139543647773,0.174007316578933,0.291438674801564,0.893121731854706,0.816671481368292,0.977513463605442,0.757484197912229,0.896946664696567,1,200,1,0.373512514803113,0.35080902737461,23.3099510967376,23.4203360035819,23.1995661898933,29.8112820864486,19.914324340989,-1.18834071478243,-119.757850924133,-120.877368755432,-118.638333092835,-194.855433880804,-87.8156647814513,NA,-0.0542112784165064,-118.678669678086,-119.798187509384,-117.559151846787,-193.776252634756,-86.7364835354037,NA,0,34.4349844684204,27.6664024283289,41.2035665085119,17.940946148697,37.3918587079608,281.877901025906,10.8852257057785,-4.17690770283049,28.3123244271724,41.2035665085119,166.589816637085,271.892683033553,27.8125192897508,-279.617737001824,-188.562963087651,-370.672510915996,-71.5490958348671,-305.576830340436,-17256.3159943156,-27.1688907733328,NA,-6.41672356607407e-06,-175.914166151519,-370.672510915996,-6028.92725006932,-16055.5803195189,NA,-169.815147857236,-278.538555755776,-187.483781841604,-369.593329669949,-70.4699145888194,-304.497649094388,-17255.2368130695,-26.0897095272851,NA,0,-174.834984905472,-369.593329669949,-6027.84806882327,-16054.5011382728,NA,-168.735966611188,75.6356522843924,393.147388810763,254.948887036257,-1244.52338286389,-33566.3285709198,-14117.1449500028,-1243.44420161785,-33565.2493896738,-14116.0657687568,93.7278712175131,-1909.99081110776,-1908.91162986172,1168.93338011255,-296714.596318583,-296713.517137337
territorial,floater,blue,1000,8,0.678805535870883,0.80525293890255,0.650110968793372,0.20044600242975,0.339841301796782,5,8.5,3,0.684845267664048,0.807871927149247,0.650452156675279,0.206600083679845,0.345098558830026,0.937856857323084,0.868988381576098,0.980393394163076,0.83395731630374,0.940113863837035,1,200,1,0.249606834394206,0.230469243386991,26.3785419374719,24.2927119766326,24.1834851575213,32.4821665064572,28.4643718983111,8.33589978866864,-153.861368257434,-129.931671505145,-128.779947896183,-231.02127578012,-177.791065009722,NA,-16.4150413100399,-152.782187011386,-128.852490259098,-127.700766650136,-229.942094534072,-176.711883763675,NA,-15.3358600639923,36.2062877626489,27.2746567568863,45.1379187684115,18.7891720602907,35.7601414534819,259.591815415433,17.6011323539329,3.58932660778818,28.9681005376118,45.1379187684115,140.366760433575,252.092149813573,28.7057970529317,-311.731362181239,-178.986205385425,-444.476518977052,-78.3343581957267,-279.638052575124,-14635.9122543213,-68.9182061381186,NA,-3.78050289135632,-184.080817510655,-444.476518977052,-4280.96099262347,-13802.6059686035,NA,-180.791859119939,-310.652180935191,-177.907024139378,-443.397337731004,-77.2551769496791,-278.558871329076,-14634.8330730752,-67.839024892071,NA,-2.7013216453087,-183.001636264607,-443.397337731004,-4279.88181137743,-13801.5267873575,NA,-179.712677873891,94.7676875267539,418.503948948795,298.892148042456,-1952.55662499314,-38035.394887212,-19402.0526099871,-1951.4774437471,-38034.315705966,-19400.9734287411,31.0052357845826,-210.639970120588,-209.560788874541,527.396546604028,-60402.0003442893,-60400.9211630433
territorial,floater,brown,1000,5.5,0.7109548003021,0.825680511130448,0.682581715233998,0.23391090127344,0.356023441165953,3,3.5,2,0.713256041004357,0.823429653067635,0.67692733155375,0.244469838458974,0.370736495271649,0.94247274994758,0.870555849357902,0.982296542797078,0.832248850326792,0.94627650802476,1,200,1,0.249606834394206,0.204639334624497,33.454428650582,28.5363986911449,27.3208025186881,39.6402310610472,38.3724586100191,11.3782251140032,-250.202287473336,-178.683675837425,-163.920564101017,-343.211367149787,-321.720899109247,NA,-29.571208444121,-249.123106227289,-177.604494591378,-162.841382854969,-342.132185903739,-320.641717863199,NA,-28.4920271980733,37.6724071946609,30.8752294761607,44.4695849131611,21.6662833999268,36.8645844188522,289.472331775474,24.8858745334692,7.03825403614044,28.4958756413696,44.4695849131611,137.732503010245,285.155358231165,29.6802464281061,-324.069067938242,-216.672543902959,-431.465591973524,-103.670754127483,-297.06859416742,-18198.5467418556,-136.276493638498,NA,-12.0117453544096,-178.181206490035,-431.465591973524,-4121.8739434524,-17659.8733626286,NA,-193.160751192705,-322.989886692194,-215.593362656911,-430.386410727477,-102.591572881436,-295.989412921372,-18197.4675606095,-135.19731239245,NA,-10.932564108362,-177.102025243987,-430.386410727477,-4120.79476220635,-17658.7941813826,NA,-192.081569946658,80.5088692825239,434.860966072979,277.376044139426,-1409.78350227433,-41066.4622840021,-16709.6014709559,-1408.70432102828,-41065.383102756,-16708.5222897098,94.4990907333386,-1941.51639781375,-1940.4372165677,1.94744425538302,-1.58937883090504,-0.51019758485741
territorial,floater,gold,1000,11,0.506467140510874,0.650223032058396,0.498191233079317,0.121737510913802,0.318438857892603,11,11,1,0.516971280040119,0.649285972632038,0.483104096021773,0.127178854683777,0.324471344711538,0.955266602047445,0.987437535468609,0.981447613139335,0.965030158864022,0.944152567301108,NA,NA,NA,0.0473023484358257,0.0515923308230968,0.824198655329826,0.982098066107145,1.09210749098451,0.666299244552507,0.598463173001039,0.050778336190214,-0.6926466669276,-0.787743742358137,-0.862035619139629,-0.597549591497064,-0.561037858503973,NA,-0.318984041719698,0,0,0,0,0,NA,0,40.3633922747324,25.3918800803469,55.334904469118,1.26397167566182,49.5197884850319,672.805406246625,0.907415604591982,0.0508172817926101,31.8390714993397,55.334904469118,138.000705672845,747.468189205208,30.6765341431545,-467.411096799212,-267.785609488758,-667.036584109666,-0.98665668824733,-534.584562289268,-98298.6420015074,-0.739705484284756,NA,-0.318998088718246,-222.030384586551,-667.036584109666,-4137.93334366937,-121325.324053789,NA,-206.232712672825,-466.355046692614,-266.75269052161,-665.957402863618,0,-533.505381043221,-98297.5628202614,0,NA,0,-220.951203340503,-665.957402863618,-4136.85416242332,-121324.244872543,NA,-205.153531426777,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.8535175735849,-63.3060275719621,-62.2268463259145,189.54876521937,-7804.50236799659,-7803.42318675054
territorial,floater,grey,94,12,0.157414839591215,0.33284210625562,0.190504973592253,0.00278535093983613,0.0506798338539823,12,12,12,0.171235999986653,0.0856092482048363,0.0795301234286065,0.00504893322716938,0.0657709586130019,0.0117925429941767,0.266414235135032,0.229018183763258,0.382770029873385,-0.0156575249273267,1,200,1,0.897269068149486,0.759832130805842,-8.56698459353078,-8.39278798931725,-8.74118119774432,-12.8208366356784,-6.79035332577041,-10.507305213546,-5.40496671224009e-18,-1.03090058305799e-17,-5.00927593900331e-19,-2.72173895978972e-38,-2.42899276871902e-12,NA,-1.73599036362447e-26,0,0,0,0,0,NA,0,0.0197737736882679,-2.94509454690742,2.98464209428395,-9.78755202020325,0.582818046668437,8.90260496132042,-6.47300714048327,-10.4481386650638,0.0244858964436097,2.98464209428395,28.9188841355004,24.5133892141572,-0.256098599284342,-1.56213185165581,-0.276414859756295,-2.84784884355533,-2.76518635547877e-23,-0.552829719491729,-18.5642268751353,-2.08616418015079e-11,NA,-3.24481109033896e-26,-0.309597885771862,-2.84784884355533,-183.461430649711,-132.274347469227,NA,-0.221080259505949,-0.884333798753853,0,-1.76866759750771,0,0,-17.4850456290877,0,NA,0,0,-1.76866759750771,-182.382249403664,-131.195166223179,NA,0,134.617439318773,647.593991950512,12010.5918299454,-3937.63902260946,-91069.9813214694,-31324431.2163383,-3936.55984136341,-91068.9021402234,-31324430.137157,9.76767875700616,-22.110805641964,-21.0316243959164,0.995718772625714,-0.796713023983072,0
territorial,floater,grey60,55,2,0.727085265792027,0.845852394787819,0.710601525550532,0.214387492156422,0.328220591218843,7,6,11,0.694927153515579,0.82211063940499,0.671180893900367,0.188755183358343,0.324462457764327,0.853868932219356,0.677217202798292,0.923563403111356,0.663466243970377,0.887040620121275,1,156.533504877795,1,0.43023237910084,0.500654384265594,7.15315790515496,7.11875881413854,7.04216152394238,8.76246817330129,7.18755699617139,1.64487285078883,-12.3728663181629,-12.2639890183606,-12.0239247650672,-18.0199487582606,-12.4817436179653,NA,-1.30104721692321,-11.2936850721153,-11.184807772313,-10.9447435190196,-16.940767512213,-11.4025623719177,NA,-0.221865970875588,7.61026381287033,8.33726052878772,6.88326709695294,4.77135813760445,11.903162919971,38.6029957839048,3.66418681350368,0.420855103575925,6.22132065520646,6.88326709695294,129.048267049302,23.1674814112682,6.47969376684313,-15.3376904448981,-19.1414711269785,-11.5339097628177,-6.03860776368212,-32.2443344902748,-325.576927592131,-3.9063583491145,NA,-0.47245974373381,-9.60819412409331,-11.5339097628177,-3618.76172335005,-118.314689429771,NA,-10.3376721158173,-14.2585091988504,-18.0622898809309,-10.45472851677,-4.95942651763449,-31.1651532442272,-324.497746346084,-2.82717710306688,NA,0,-8.52901287804569,-10.45472851677,-3617.682542104,-117.235508183724,NA,-9.2584908697697,13.7967311368487,352.105842147209,37.6339908083668,-42.8750502065345,-26924.5402066343,-309.524362531159,-41.7958689604869,-26923.4610253883,-308.445181285111,3.79443164344409,-4.13082097831978,-3.05163973227215,0.946742652056918,-0.764762109090427,0
territorial,floater,lightcyan,143,8,0.676338518422271,0.810047539932508,0.655632489149628,0.185891944079436,0.309461821959679,4,4,5,0.703164986812294,0.82597495825762,0.680931010646171,0.211105367766618,0.329540403828616,0.925488711941061,0.849798125733568,0.925097099185056,0.785273192783654,0.928126020525269,1,200,1,0.269356739903909,0.204639334624497,8.74682817768346,8.56659469139455,8.92706166397236,11.8881262874177,8.52135505717069,1.2577502335666,-17.9666953395043,-17.2733125169812,-18.6600781620275,-32.1661105768339,-17.103205795507,NA,-0.98196122494807,-16.8875140934567,-16.1941312709335,-17.5808969159798,-31.0869293307863,-16.0240245494594,NA,0,13.4836506564798,12.2161232192209,14.7511780937387,7.66033155898871,16.7719148794531,83.458796012506,6.97893527819663,0.600669228935957,10.9640721510267,14.7511780937387,135.226989663441,72.8145199489165,11.193147126828,-43.595490070124,-38.3704464679896,-48.8205336722584,-14.0327945493283,-62.7080983866508,-1514.83163929082,-11.8276518732346,NA,-0.562201637323412,-27.5460628886062,-48.8205336722584,-3973.35818013329,-1153.56614103714,NA,-28.6570690197479,-42.5163088240764,-37.2912652219419,-47.7413524262108,-12.9536133032807,-61.6289171406032,-1513.75245804477,-10.748470627187,NA,0,-26.4668816425586,-47.7413524262108,-3972.27899888725,-1152.4869597911,NA,-27.5778877737003,19.8332319897833,396.953399330038,64.5854354205211,-87.1139876215998,-34219.3231526368,-907.990939245773,-86.0348063755522,-34218.2439713908,-906.911757999726,4.43309942004351,-5.33307035505733,-4.25388910900971,0.269439738649796,-0.404729080336648,0
territorial,floater,lightgreen,44,4,0.713835629944381,0.837935298538193,0.695925443571961,0.19731214210258,0.308438810925741,6,5,10,0.700184415990422,0.826383841842071,0.676699638107583,0.19773051502332,0.32208510920477,0.81095729661657,0.712380052542154,0.971023388366307,0.681251190242969,0.827910844127497,1,129.292172367526,1,0.528957352891333,0.498578815597878,6.32963338438926,6.1978653429419,6.46140142583662,8.02915425161374,5.42876832096392,0.897680701607817,-9.91423431484465,-9.54337534207924,-10.2850932876101,-15.3091534325721,-7.54710785473991,NA,-0.733585071524838,-8.83505306879703,-8.46419409603161,-9.20591204156244,-14.2299721865245,-6.46792660869228,NA,0,6.92335822918077,7.62846905197567,6.21824740638587,4.09469305551409,11.1622450484372,36.2827397762282,3.02720666709118,0.128615696481763,4.89523968231405,6.21824740638587,139.847153555576,20.6846387916029,5.0184336713843,-13.0950550441034,-16.5904221855902,-9.59968790261658,-4.67496893020279,-28.5058754409777,-287.81982638261,-2.90864059987789,NA,-0.347917277869905,-6.30898049307249,-9.59968790261658,-4249.34250998743,-94.6231239164858,NA,-6.5842383441769,-12.0158737980558,-15.5112409395426,-8.52050665656895,-3.59578768415517,-27.4266941949301,-286.740645136563,-1.82945935383027,NA,0,-5.22979924702487,-8.52050665656895,-4248.26332874139,-93.5439426704382,NA,-5.50505709812927,11.0264737966716,264.55060636803,28.2958853523836,-27.846467957015,-15200.3106233604,-175.711840226917,-26.7672867109673,-15199.2314421144,-174.632658980869,4.37918050145549,-5.22502185675886,-4.14584061071124,0.965754392549092,-0.777066312548564,0
territorial,floater,magenta,1000,7.5,0.677554807321246,0.81260411746217,0.660395599141194,0.166799535620934,0.280194573276558,9,8.5,9,0.676061550077391,0.811239707893014,0.65702232536856,0.166944626948147,0.285030256207766,0.867290680627733,0.796833762909765,0.980062089463184,0.751573474381041,0.888679020281117,1,200,1,0.269356739903909,0.33408576119376,25.8847176351862,25.3730729707491,26.3963622996233,34.3883834289906,19.8846410307873,-1.20328542663043,-147.362231811085,-141.601972198897,-153.122491423273,-258.725708089536,-87.5584900340624,NA,-0.0527785476885048,-146.283050565037,-140.522790952849,-152.043310177225,-257.646526843489,-86.4793087880148,NA,0,33.401841005625,28.7278943196559,38.0757876915941,20.1924125623138,37.2633760769981,301.944027201295,10.104995348675,-5.61471657354397,26.7998471119282,38.0757876915941,151.527382045987,247.707788820179,27.4155059650631,-256.830327287588,-196.868014820827,-316.792639754349,-90.2435468509164,-303.492482790738,-19800.2354445658,-23.5808867287802,NA,-4.27529680071073e-09,-157.789879699808,-316.792639754349,-4988.39914243922,-13326.7628714649,NA,-165.047692784443,-255.751146041541,-195.78883357478,-315.713458508301,-89.1643656048688,-302.413301544691,-19799.1562633197,-22.5017054827326,NA,0,-156.71069845376,-315.713458508301,-4987.31996119317,-13325.6836902189,NA,-163.968511538395,62.034706540826,410.802535604006,208.791482900411,-837.840610496307,-36648.5038677647,-9469.01030053184,-836.76142925026,-36647.4246865187,-9467.93111928579,75.7028753602837,-1246.7329032635,-1245.65372201745,1269.29961209277,-349854.092359141,-349853.013177895
territorial,floater,midnightblue,583,5.5,0.701806437081442,0.8265425044461,0.683689587381555,0.196260654676767,0.308030562989524,7,7,5,0.688688444507737,0.816695563630164,0.666437071806045,0.18417481462038,0.299627845071616,0.897894052504104,0.85839302247428,0.977488764674148,0.795563181480099,0.909743734414569,1,200,1,0.444865473539148,0.445673578427795,20.7032060140218,20.9442229711184,20.4621890569253,27.4866956439966,20.4406993097658,2.38432472830077,-94.8029650438064,-96.9750507022495,-92.6308793853633,-165.897529582807,-92.439554352589,NA,-2.06776738350134,-93.7237837977588,-95.8958694562019,-91.5516981393156,-164.818348336759,-91.3603731065413,NA,-0.988586137453716,27.4016118586791,22.3317331409565,32.4714905764016,15.6923391730183,28.9711271088947,219.307378341668,10.4711147510867,-2.65504369677195,22.9442321195387,32.4714905764016,161.832139954938,193.489365751798,23.9424340995435,-175.23224382903,-119.593933106497,-230.870554551563,-55.0689251046344,-184.118941108359,-10446.5943970366,-25.2319023994086,NA,-0.00172535984938319,-116.075097648937,-230.870554551563,-5689.61656939236,-8132.27340621924,NA,-126.256529680277,-174.153062582982,-118.514751860449,-229.791373305516,-53.9897438585868,-183.039759862312,-10445.5152157905,-24.152721153361,NA,0,-114.995916402889,-229.791373305516,-5688.53738814631,-8131.19422497319,NA,-125.177348434229,39.9324997809952,460.458098848637,130.260263557625,-348.264664359419,-46042.9809457797,-3687.01104198854,-347.185483113371,-46041.9017645336,-3685.93186074249,125.231319463885,-3407.99168555323,-3406.91250430718,6.21650934438836,-9.59487902240298,-8.51569777635536
