"","MEcyan","MEmediumpurple3","MEblack","MEdarkturquoise","MEhoneydew1","MEplum1","MEdarkgrey","MEsienna3","MEyellowgreen","MEnavajowhite2","MEyellow","MEpaleturquoise","MEbisque4","MEdarkmagenta","MEdarkseagreen4","MEpurple","MEtan","MEivory","MEviolet","MEdarkolivegreen","MEdarkorange2","MEgrey"
"PFT1_AH_run2",0.0304945350567341,0.00767088155933231,-0.0678541400909885,-0.0827956536027247,0.1416263056095,-0.054721784348559,-0.00643256184699522,-0.0129803578229503,0.0369351994363202,0.0706881891322755,-0.0738408072817272,0.125778473752822,0.0306502068116713,-0.0414558064325208,-0.0640982851565745,-0.0234651704751766,0.0146702237028091,0.0560449720628471,0.00215033132678144,0.00818382619469806,-0.121522308352188,0.0554291127381292
"PFT1_AI_run1",0.0581395081749232,0.157929342679354,0.109500775382745,0.039598027760368,0.152325172271133,0.0378660283258736,0.101063481818443,0.172635142215801,-0.146629445964167,-0.0945700833058238,-0.119804925516416,-0.0678327720362406,0.00673929918256999,-0.0493900974549185,-0.0291134923646028,-0.0521007081727856,-0.136266575174064,-0.123265880619611,0.0054368052559256,-0.0837770604676312,-0.152840803589887,0.0819588485457666
"PFT1_BSTm_run2",-0.047628096655108,-0.0493338769921963,-0.0726905394988663,-0.0658711254594544,0.112195426240384,-0.0509889268308939,0.067258707857807,-0.00965082095240311,0.0630083798059879,0.00554545199743128,-0.0516995925299993,0.11558157908702,0.0631720451274499,0.0784475859238736,-0.027223161209496,-0.0527673675456882,-0.0449902033104055,0.032193357409632,0.0201744086490064,-0.170968080107076,-0.167289765805538,0.0565581563675473
"PFT1_GCT_run2",0.0667676184699018,-6.33321128001574e-05,0.19796593206245,0.228299968658022,0.0603292718586718,-0.0139732834803109,-0.123802769167123,-0.110946130537338,-0.0411096760013636,-0.0788662367464602,0.0131778578327321,-0.114201370387424,-0.202268660121356,-0.0659430309937735,0.0812251115025957,0.214452526648421,0.103159143659687,0.0510952625915097,0.122898650892262,0.00715682366823887,-0.0386429387155138,0.115089435458523
"PFT1_ICO_run2",0.145335754025771,0.0464686902591796,0.155917711280263,0.0575881123636091,0.0875853249757187,-0.0272669558187105,-0.0860986576550585,-0.0519670466730915,-0.00760585635566332,-0.0580267391220563,-0.110186819887796,-0.117887385210277,-0.149356061870333,-0.0710362620562008,0.268756991075767,0.151418409818637,0.0559022384271723,-0.010284442088413,0.0693164649177506,-0.0117954975961089,-0.059891206431423,0.0687623083044741
"PFT1_LS_run2",-0.219750264961081,-0.229901370603951,-0.0643782900509194,0.0882500229234225,0.168524160908029,-0.0474207187550157,0.149688169431129,-0.0340149381398456,0.164323689677218,-0.0636373623903232,0.0509351140315706,0.0987243982343507,0.126276837720133,0.266744111918181,-0.0130427654178876,-0.107808562601262,-0.0882260431882963,-0.0315451599429382,-0.0102813386037225,-0.103883257575548,-0.163260436082505,0.0812287037901595
"PFT1_POM_run1",-0.00443172252894427,-0.0473495396951986,-0.0922101414609443,0.00735537867937403,0.122082332979639,-0.0363129173710994,-0.0771407657178883,-0.0496933188496928,0.061924958541255,0.116086399948228,0.0781991953073335,0.0174727115145922,0.0236712849630668,-0.0199901079256565,-0.0629452796573923,0.0101216440485048,0.0882990562271663,0.0126371331776793,-0.0811270507192223,-0.14175794687083,-0.0800814466858717,0.0649149122963474
"PFT1_PVN_run2",0.0539479483058037,-0.0284982965247462,-0.0385188310275523,0.0611082861102666,0.123470804485895,-0.0513126828109538,-0.103346397304066,-0.0461241143166592,0.039315399146928,0.122702141513584,0.158581962063343,-0.0423606666229482,0.00534189248891315,-0.0509069340891257,-0.0590125493752381,-0.0137113470267891,0.0999891472246843,-0.025282605651109,-0.116889505818222,0.101737920023694,-0.0371749946788258,0.0886444226261453
"PFT1_VMH_run1",0.0619792929963306,0.00617151904261025,-0.0504568497151421,-0.0387324661835842,0.104180724947881,-0.0498462731740736,-0.070657631631184,-0.0396415960549622,0.0328813042345597,0.113507431504341,0.0635249478421116,0.00801985180072175,0.00355984353339122,-0.0454096468543939,-0.0189397001141742,0.00728220183817541,0.0785673821632439,0.00944796729767149,-0.0340804031582683,-0.151111491631548,-0.0649498075377767,0.0589977479302829
"PFT10_AH_run2",-0.0057282693178724,-0.00552272294498045,-0.0375586687023203,-0.0457713696261396,-0.157174095609207,-0.0386851919752639,-0.0312732041712641,-0.0747540147523904,0.00678068245376856,0.0155373226594711,-0.0952335354174022,0.129390527682943,-0.051316376227394,-0.0460551428430188,-0.0538151639306857,0.0616713897832488,0.0390683400204754,0.148525376106224,0.0979707044003465,0.258103028276541,0.0468516635881769,0.119135746919712
