"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032922","GO:0032922","circadian regulation of gene expression","4/42","68/11462",0.000107009982589202,0.0168005672665046,0.0117147770413442,"CIART/NR1D1/PER2/PER3",4
"GO:0005978","GO:0005978","glycogen biosynthetic process","2/42","14/11462",0.00116002076648977,0.05042293100145,0.0351591339198847,"NR1D1/PER2",2
"GO:0007623","GO:0007623","circadian rhythm","3/42","59/11462",0.00128957624707124,0.05042293100145,0.0351591339198847,"LOC114003929/NR1D1/PER2",3
"GO:0042752","GO:0042752","regulation of circadian rhythm","3/42","61/11462",0.0014204255162045,0.05042293100145,0.0351591339198847,"NR1D1/NR1D2/PER2",3
"GO:0048024","GO:0048024","regulation of mRNA splicing, via spliceosome","2/42","18/11462",0.00193232974612464,0.05042293100145,0.0351591339198847,"KHDRBS1/SRSF3",2
"GO:0006090","GO:0006090","pyruvate metabolic process","2/42","19/11462",0.00215465558139951,0.05042293100145,0.0351591339198847,"LOC113983410/LOC113990030",2
"GO:0043153","GO:0043153","entrainment of circadian clock by photoperiod","2/42","20/11462",0.00238851251719308,0.05042293100145,0.0351591339198847,"PER2/PER3",2
"GO:0008652","GO:0008652","cellular amino acid biosynthetic process","2/42","21/11462",0.00263381714574701,0.05042293100145,0.0351591339198847,"KYAT1/PYCR1",2
"GO:0006783","GO:0006783","heme biosynthetic process","2/42","22/11462",0.00289048649052898,0.05042293100145,0.0351591339198847,"LOC113982573/UROS",2
"GO:0009060","GO:0009060","aerobic respiration","2/42","25/11462",0.00372785948503745,0.053206721740989,0.0371002283678368,"LOC113983410/LOC113990030",2
"GO:0032201","GO:0032201","telomere maintenance via semi-conservative replication","2/42","25/11462",0.00372785948503745,0.053206721740989,0.0371002283678368,"FEN1/LOC113991138",2
"GO:0009755","GO:0009755","hormone-mediated signaling pathway","2/42","28/11462",0.00466456876638128,0.0610281080268217,0.042553960675759,"NR1D1/NR1D2",2
"GO:0030522","GO:0030522","intracellular receptor signaling pathway","2/42","32/11462",0.0060642889991181,0.0667194206932145,0.046522425424702,"NR1D1/NR1D2",2
"GO:0006099","GO:0006099","tricarboxylic acid cycle","2/42","34/11462",0.00682734333336354,0.0667194206932145,0.046522425424702,"LOC113983410/LOC113990030",2
"GO:0043124","GO:0043124","negative regulation of I-kappaB kinase/NF-kappaB signaling","2/42","34/11462",0.00682734333336354,0.0667194206932145,0.046522425424702,"NR1D1/USP10",2
"GO:0007283","GO:0007283","spermatogenesis","4/42","209/11462",0.00699413895677942,0.0667194206932145,0.046522425424702,"GGT7/KHDRBS1/LOC113987976/SNRPA1",4
"GO:0071347","GO:0071347","cellular response to interleukin-1","2/42","35/11462",0.00722439587123978,0.0667194206932145,0.046522425424702,"NR1D1/USP10",2
"GO:0090502","GO:0090502","RNA phosphodiester bond hydrolysis, endonucleolytic","2/42","45/11462",0.0117459911530412,0.100026184494558,0.0697467193257397,"FEN1/YBEY",2
"GO:0006397","GO:0006397","mRNA processing","3/42","131/11462",0.0121050796522077,0.100026184494558,0.0697467193257397,"KHDRBS1/LOC113982025/SUGP2",3
"GO:0006405","GO:0006405","RNA export from nucleus","2/42","50/11462",0.0143676069840534,0.112785714824819,0.0786437434916606,"LOC113982025/SRSF3",2
"GO:0008380","GO:0008380","RNA splicing","3/42","143/11462",0.0153067907328581,0.114436483098034,0.0797947988078817,"LOC113982025/SNRPA1/SUGP2",3
"GO:0045892","GO:0045892","negative regulation of transcription, DNA-templated","5/42","414/11462",0.017011502845878,0.12140027030922,0.0846505404770961,"CIART/KHDRBS1/NR1D1/NR1D2/PER2",5
"GO:0050728","GO:0050728","negative regulation of inflammatory response","2/42","57/11462",0.0184197073783591,0.125734524278365,0.0876727490777735,"NR1D1/NR1D2",2
"GO:0050821","GO:0050821","protein stabilization","3/42","157/11462",0.0195934775986072,0.127405154121552,0.0888376535611225,"PER3/USP36/ZNF207",3
"GO:0031124","GO:0031124","mRNA 3'-end processing","2/42","60/11462",0.020287444923814,0.127405154121552,0.0888376535611225,"LOC113982025/SRSF3",2
"GO:1990830","GO:1990830","cellular response to leukemia inhibitory factor","2/42","70/11462",0.027052108440663,0.135679349198208,0.0946071224714287,"LOC113982025/SRSF3",2
"GO:0019216","GO:0019216","regulation of lipid metabolic process","2/42","73/11462",0.0292363436782122,0.135679349198208,0.0946071224714287,"NR1D1/NR1D2",2
"GO:0031647","GO:0031647","regulation of protein stability","2/42","74/11462",0.0299797040499631,0.135679349198208,0.0946071224714287,"KHDRBS1/USP36",2
"GO:0000082","GO:0000082","G1/S transition of mitotic cell cycle","2/42","80/11462",0.0345959565009485,0.135679349198208,0.0946071224714287,"KHDRBS1/LOC113991138",2
"GO:0006241","GO:0006241","CTP biosynthetic process","1/42","10/11462",0.0360583988766474,0.135679349198208,0.0946071224714287,"NME6",1
"GO:0009650","GO:0009650","UV protection","1/42","10/11462",0.0360583988766474,0.135679349198208,0.0946071224714287,"FEN1",1
"GO:0010498","GO:0010498","proteasomal protein catabolic process","1/42","10/11462",0.0360583988766474,0.135679349198208,0.0946071224714287,"NR1D1",1
"GO:0033198","GO:0033198","response to ATP","1/42","10/11462",0.0360583988766474,0.135679349198208,0.0946071224714287,"P2RX6",1
"GO:0034475","GO:0034475","U4 snRNA 3'-end processing","1/42","10/11462",0.0360583988766474,0.135679349198208,0.0946071224714287,"LOC113997303",1
"GO:0045598","GO:0045598","regulation of fat cell differentiation","1/42","10/11462",0.0360583988766474,0.135679349198208,0.0946071224714287,"NR1D1",1
"GO:0046785","GO:0046785","microtubule polymerization","1/42","10/11462",0.0360583988766474,0.135679349198208,0.0946071224714287,"ZNF207",1
"GO:0050872","GO:0050872","white fat cell differentiation","1/42","10/11462",0.0360583988766474,0.135679349198208,0.0946071224714287,"PER2",1
"GO:0071028","GO:0071028","nuclear mRNA surveillance","1/42","10/11462",0.0360583988766474,0.135679349198208,0.0946071224714287,"LOC113997303",1
"GO:1903206","GO:1903206","negative regulation of hydrogen peroxide-induced cell death","1/42","10/11462",0.0360583988766474,0.135679349198208,0.0946071224714287,"PYCR1",1
"GO:0120162","GO:0120162","positive regulation of cold-induced thermogenesis","2/42","82/11462",0.0361926959885175,0.135679349198208,0.0946071224714287,"BSCL2/PER2",2
"GO:0000467","GO:0000467","exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","1/42","11/11462",0.0395936370225766,0.135679349198208,0.0946071224714287,"LOC113997303",1
"GO:0006183","GO:0006183","GTP biosynthetic process","1/42","11/11462",0.0395936370225766,0.135679349198208,0.0946071224714287,"NME6",1
"GO:0006123","GO:0006123","mitochondrial electron transport, cytochrome c to oxygen","1/42","12/11462",0.0431162173426406,0.135679349198208,0.0946071224714287,"LOC113982573",1
"GO:0016578","GO:0016578","histone deubiquitination","1/42","12/11462",0.0431162173426406,0.135679349198208,0.0946071224714287,"USP36",1
"GO:0032516","GO:0032516","positive regulation of phosphoprotein phosphatase activity","1/42","12/11462",0.0431162173426406,0.135679349198208,0.0946071224714287,"VRK3",1
