"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0036444","GO:0036444","calcium import into the mitochondrion","4/571","10/11462",0.00100593358397525,0.609396130769894,0.60259266519511,"MAIP1/MCUR1/MICU2/MICU3",4
"GO:0043484","GO:0043484","regulation of RNA splicing","7/571","36/11462",0.00173310208897141,0.609396130769894,0.60259266519511,"CELF1/LOC114001870/MBNL2/PTBP2/RBM12/RBM12B/TRA2B",7
"GO:0030148","GO:0030148","sphingolipid biosynthetic process","8/571","48/11462",0.0023328540004947,0.609396130769894,0.60259266519511,"ACER3/ELOVL4/HACD2/KDSR/SGMS2/SGPP1/SPTLC1/VAPA",8
"GO:0006376","GO:0006376","mRNA splice site selection","5/571","20/11462",0.00250357513357966,0.609396130769894,0.60259266519511,"CELF1/LOC113985802/LOC113985815/PTBP2/SRSF1",5
"GO:0044257","GO:0044257","cellular protein catabolic process","4/571","13/11462",0.003038541367022,0.609396130769894,0.60259266519511,"CLN8/IDE/RAB12/RIPK1",4
"GO:0043161","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","16/571","149/11462",0.00304765260146983,0.609396130769894,0.60259266519511,"ATXN3/CLOCK/GID8/KCTD5/NEDD4/NHLRC1/NHLRC3/PPP2R5C/PSMD10/RAD23B/RNF4/SPOPL/TBL1XR1/UBE2D3/UBE2W/USP44",16
"GO:0006851","GO:0006851","mitochondrial calcium ion transmembrane transport","5/571","23/11462",0.00480200833036398,0.609396130769894,0.60259266519511,"LETM1/MAIP1/MCUR1/MICU2/MICU3",5
"GO:0031398","GO:0031398","positive regulation of protein ubiquitination","9/571","66/11462",0.00518917108393933,0.609396130769894,0.60259266519511,"BCL10/CHFR/DERL1/MAPK9/NDFIP2/NHLRC1/PSMD10/TRAF6/UBE2D1",9
"GO:0002756","GO:0002756","MyD88-independent toll-like receptor signaling pathway","4/571","15/11462",0.00535783371266235,0.609396130769894,0.60259266519511,"RIPK1/TLR3/UBE2D1/UBE2D3",4
"GO:0051560","GO:0051560","mitochondrial calcium ion homeostasis","4/571","16/11462",0.00686633492637279,0.609396130769894,0.60259266519511,"LETM1/MAIP1/MICU2/MICU3",4
"GO:0060261","GO:0060261","positive regulation of transcription initiation from RNA polymerase II promoter","4/571","16/11462",0.00686633492637279,0.609396130769894,0.60259266519511,"ERCC6/LOC113983147/MED17/SUB1",4
"GO:0070317","GO:0070317","negative regulation of G0 to G1 transition","6/571","35/11462",0.00702880951286611,0.609396130769894,0.60259266519511,"APAF1/EED/SUZ12/TFDP1/TFDP2/YAF2",6
"GO:0002224","GO:0002224","toll-like receptor signaling pathway","5/571","26/11462",0.00830050557079436,0.609396130769894,0.60259266519511,"BCL10/HMGB1/IRAK4/TLR3/TRAF6",5
"GO:0033120","GO:0033120","positive regulation of RNA splicing","4/571","17/11462",0.00863098065590744,0.609396130769894,0.60259266519511,"DYRK1A/LOC113985802/LOC113985815/PIK3R1",4
"GO:2001238","GO:2001238","positive regulation of extrinsic apoptotic signaling pathway","4/571","17/11462",0.00863098065590744,0.609396130769894,0.60259266519511,"AGT/BCL10/CYLD/RIPK1",4
"GO:0043928","GO:0043928","exonucleolytic catabolism of deadenylated mRNA","6/571","37/11462",0.00925710139030533,0.609396130769894,0.60259266519511,"CNOT6/CNOT7/DCP1A/DCP2/EXOSC8/LSM5",6
"GO:0070979","GO:0070979","protein K11-linked ubiquitination","5/571","27/11462",0.00977875487838876,0.609396130769894,0.60259266519511,"ANAPC4/RNF4/UBE2D3/UBE2E3/UBE2W",5
"GO:0032436","GO:0032436","positive regulation of proteasomal ubiquitin-dependent protein catabolic process","8/571","61/11462",0.0103549789271716,0.609396130769894,0.60259266519511,"ANKIB1/CHFR/CSNK1D/LOC113997839/PSEN1/PSMD10/RNF144A/TRIB2",8
"GO:0032402","GO:0032402","melanosome transport","4/571","18/11462",0.0106676084795355,0.609396130769894,0.60259266519511,"BLOC1S5/BLOC1S6/MKKS/RAB27A",4
"GO:0048026","GO:0048026","positive regulation of mRNA splicing, via spliceosome","4/571","18/11462",0.0106676084795355,0.609396130769894,0.60259266519511,"LOC114001870/NCBP1/TRA2A/TRA2B",4
"GO:0032511","GO:0032511","late endosome to vacuole transport via multivesicular body sorting pathway","3/571","10/11462",0.0113464609365294,0.609396130769894,0.60259266519511,"CHMP4C/LEPROT/LEPROTL1",3
"GO:0098761","GO:0098761","cellular response to interleukin-7","3/571","10/11462",0.0113464609365294,0.609396130769894,0.60259266519511,"HDGFL3/HMGB1/RAD23B",3
"GO:0001843","GO:0001843","neural tube closure","8/571","62/11462",0.0113867660508572,0.609396130769894,0.60259266519511,"APAF1/BCL10/FZD6/GLMN/RALA/SEC24B/TMED2/TRAF6",8
"GO:0000186","GO:0000186","activation of MAPKK activity","6/571","39/11462",0.0119485707971812,0.609396130769894,0.60259266519511,"CRK/FRS2/LOC113988184/MAP3K1/MAP3K21/PSEN1",6
"GO:0045197","GO:0045197","establishment or maintenance of epithelial cell apical/basal polarity","4/571","19/11462",0.0129904746980887,0.609396130769894,0.60259266519511,"ARF4/ERBIN/LOC113987271/SYNJ2BP",4
"GO:0051225","GO:0051225","spindle assembly","5/571","29/11462",0.0132572876082266,0.609396130769894,0.60259266519511,"CSNK1D/HAUS2/HAUS8/NEK7/TUBGCP5",5
"GO:0070536","GO:0070536","protein K63-linked deubiquitination","5/571","29/11462",0.0132572876082266,0.609396130769894,0.60259266519511,"ABRAXAS2/ATXN3/BABAM2/CYLD/DESI2",5
"GO:0006625","GO:0006625","protein targeting to peroxisome","8/571","64/11462",0.0136748676669396,0.609396130769894,0.60259266519511,"AGPS/AMACR/HACL1/IDE/NUDT19/NUDT7/UBE2D1/UBE2D3",8
"GO:0030307","GO:0030307","positive regulation of cell growth","8/571","64/11462",0.0136748676669396,0.609396130769894,0.60259266519511,"DERL2/FXN/LGI1/LOC113988184/LOC113997839/NCBP1/PSMD10/ZNF639",8
"GO:0006515","GO:0006515","protein quality control for misfolded or incompletely synthesized proteins","3/571","11/11462",0.0150318313861844,0.609396130769894,0.60259266519511,"ATXN3/NGLY1/UBE2W",3
"GO:0030500","GO:0030500","regulation of bone mineralization","3/571","11/11462",0.0150318313861844,0.609396130769894,0.60259266519511,"SGMS2/TXLNG/ZMPSTE24",3
"GO:0043171","GO:0043171","peptide catabolic process","3/571","11/11462",0.0150318313861844,0.609396130769894,0.60259266519511,"IDE/LOC113992470/TRHDE",3
"GO:0045116","GO:0045116","protein neddylation","3/571","11/11462",0.0150318313861844,0.609396130769894,0.60259266519511,"DCUN1D1/RNF7/UBA3",3
"GO:0016567","GO:0016567","protein ubiquitination","28/571","365/11462",0.015313723907004,0.609396130769894,0.60259266519511,"ASB7/BCL10/CHFR/CUL5/DERL1/G2E3/KLHL15/LOC113983147/LOC113989829/MIB1/MYLIP/NEDD4/OTULIN/RNF138/RNF144A/RNF170/RNF182/RNF38/RNF7/SPOPL/TRIM23/UBE2D1/UBE2D3/UBE2E1/UBE2E3/UBE2J2/UBE2W/WDSUB1",28
"GO:2001237","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","5/571","31/11462",0.017485754747121,0.647696601734408,0.640465539195109,"GCLM/LOC113988184/PHIP/RB1CC1/RIPK1",5
"GO:0006888","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","14/571","150/11462",0.0174912052794414,0.647696601734408,0.640465539195109,"ARF4/BCAP29/BET1/IER3IP1/MCFD2/RAB2A/SEC22A/SEC24B/SPAST/TMED2/TMED7/TRAPPC2/TRIP11/VAPA",14
"GO:0000209","GO:0000209","protein polyubiquitination","18/571","211/11462",0.0182308211390051,0.647696601734408,0.640465539195109,"ANKIB1/CBFB/CHFR/FBXW2/MYLIP/NEDD4/NHLRC1/NHLRC3/PSMD10/RNF144A/TPP2/TRAF6/UBE2D1/UBE2D3/UBE2E1/UBE2E3/UBE2J2/UBE2W",18
"GO:0048701","GO:0048701","embryonic cranial skeleton morphogenesis","4/571","21/11462",0.0185437374930181,0.647696601734408,0.640465539195109,"GNAS/LOC113988184/MMP16/SMAD2",4
"GO:0043011","GO:0043011","myeloid dendritic cell differentiation","3/571","12/11462",0.0193127457424226,0.647696601734408,0.640465539195109,"PSEN1/RBPJ/TRAF6",3
"GO:0045842","GO:0045842","positive regulation of mitotic metaphase/anaphase transition","3/571","12/11462",0.0193127457424226,0.647696601734408,0.640465539195109,"ANAPC4/NSMCE2/RB1",3
"GO:0016575","GO:0016575","histone deacetylation","5/571","32/11462",0.019899445039459,0.647696601734408,0.640465539195109,"LOC113984461/MIER1/MIER3/RCOR3/TBL1XR1",5
"GO:0016579","GO:0016579","protein deubiquitination","18/571","215/11462",0.0216156214145792,0.647696601734408,0.640465539195109,"ABRAXAS2/ATXN3/BABAM2/CCP110/CYLD/DESI2/INO80C/LOC113988184/PSMD10/RAD23B/RIPK1/SMAD2/STAM/TRAF6/UBE2D1/USP12/USP44/USP46",18
"GO:0035666","GO:0035666","TRIF-dependent toll-like receptor signaling pathway","4/571","22/11462",0.0217943682968758,0.647696601734408,0.640465539195109,"RIPK1/TLR3/UBE2D1/UBE2D3",4
"GO:0000398","GO:0000398","mRNA splicing, via spliceosome","19/571","232/11462",0.02286399130501,0.647696601734408,0.640465539195109,"CPSF2/HNRNPA3/HTATSF1/LOC113985802/LOC113985815/LOC113990369/LOC113997890/LOC114001870/LSM5/NCBP1/RNPC3/SMNDC1/SNRPD3/SRSF1/TRA2A/TRA2B/U2AF1/WBP4/ZCRB1",19
"GO:0090502","GO:0090502","RNA phosphodiester bond hydrolysis, endonucleolytic","6/571","45/11462",0.0232346610685794,0.647696601734408,0.640465539195109,"DICER1/LACTB2/POP4/RPP38/TSN/TSNAX",6
"GO:0045292","GO:0045292","mRNA cis splicing, via spliceosome","3/571","13/11462",0.0241950070550429,0.647696601734408,0.640465539195109,"LOC113997890/NCBP1/WBP4",3
"GO:0071044","GO:0071044","histone mRNA catabolic process","3/571","13/11462",0.0241950070550429,0.647696601734408,0.640465539195109,"DCP2/ERI1/TENT2",3
"GO:0090161","GO:0090161","Golgi ribbon formation","3/571","13/11462",0.0241950070550429,0.647696601734408,0.640465539195109,"GCC2/GOLPH3/TRIP11",3
"GO:0098789","GO:0098789","pre-mRNA cleavage required for polyadenylation","3/571","13/11462",0.0241950070550429,0.647696601734408,0.640465539195109,"CPSF2/CPSF6/NCBP1",3
"GO:0030433","GO:0030433","ubiquitin-dependent ERAD pathway","7/571","58/11462",0.024410791987129,0.647696601734408,0.640465539195109,"DERL1/DERL2/DNAJB14/DNAJB9/EDEM1/STT3B/UBE2J2",7
"GO:0018215","GO:0018215","protein phosphopantetheinylation","21/571","266/11462",0.0249145292830392,0.647696601734408,0.640465539195109,"ABHD13/ATXN3/C1GALT1/CYLD/DESI2/ERO1B/LOC113988823/LYPLA1/MINDY2/OTULIN/PLOD2/PTAR1/RNF144A/RNF7/UBA3/UBE2E1/USP12/USP44/USP46/ZDHHC17/ZDHHC21",21
"GO:0006362","GO:0006362","transcription elongation from RNA polymerase I promoter","4/571","23/11462",0.0253717072371941,0.647696601734408,0.640465539195109,"CDK7/ERCC6/GTF2H3/TAF1B",4
"GO:0045814","GO:0045814","negative regulation of gene expression, epigenetic","4/571","23/11462",0.0253717072371941,0.647696601734408,0.640465539195109,"CREBZF/EED/MTF2/SUZ12",4
"GO:0006486","GO:0006486","protein glycosylation","8/571","72/11462",0.0262303416217697,0.657215781745451,0.649878444469186,"B3GALT1/EXTL2/FUT4/FUT9/LOC113983884/NUS1/PSEN1/TRIP11",8
"GO:0006906","GO:0006906","vesicle fusion","5/571","35/11462",0.0284118656022105,0.669254631938699,0.661782889636353,"CHP1/SNAP23/SNAP29/STX2/STX7",5
"GO:0006479","GO:0006479","protein methylation","4/571","24/11462",0.0292817302552036,0.669254631938699,0.661782889636353,"CAMKMT/GSPT1/PCMTD1/SNRPD3",4
"GO:0006839","GO:0006839","mitochondrial transport","3/571","14/11462",0.029678697646949,0.669254631938699,0.661782889636353,"LOC114000599/PSEN1/SLC25A30",3
"GO:0030033","GO:0030033","microvillus assembly","3/571","14/11462",0.029678697646949,0.669254631938699,0.661782889636353,"RAP1B/RAP2C/STK26",3
"GO:0036120","GO:0036120","cellular response to platelet-derived growth factor stimulus","3/571","14/11462",0.029678697646949,0.669254631938699,0.661782889636353,"FYN/RDX/SYAP1",3
"GO:0051146","GO:0051146","striated muscle cell differentiation","3/571","14/11462",0.029678697646949,0.669254631938699,0.661782889636353,"CASP3/RB1/SPAG9",3
