"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007186","GO:0007186","G protein-coupled receptor signaling pathway","70/679","439/11465",1.37500096789578e-14,2.20275155056904e-11,2.11026464336005e-11,"ADCY7/ADGRD1/ADGRG2/ADRA2A/AGTR1/ANXA1/CALCB/CASR/CMKLR1/CXCR4/FFAR4/FZD5/GAL/GALR3/GCGR/GHRH/GHSR/GLP1R/GNRH1/GPR135/GPR139/GPR176/GPR75/GPR83/HCRT/HEBP1/IAPP/LGR6/LOC113982931/LOC113983498/LOC113983511/LOC113987733/LOC113987774/LOC113989201/LOC113991146/LOC113993563/LOC113995733/LOC113996140/LOC114000503/LOC114001074/LOC114004322/MC3R/MCHR1/NMS/NMU/NPBWR2/NPR1/NPW/NTSR1/OBSCN/OPRK1/OPRL1/PDE3B/PDE7B/PDE8B/PDYN/PENK/PNOC/POMC/PRLH/PROK2/QRFP/RGS2/RORB/RXFP3/S1PR3/SSTR5/TRH/TRHR/TSHR",70
"GO:0007218","GO:0007218","neuropeptide signaling pathway","27/679","83/11465",9.44775665710879e-14,7.56765308234414e-11,7.24991010845506e-11,"CALCB/GAL/GALR3/GPR139/GPR83/HCRT/LOC113987733/LOC113995733/LOC114000503/MCHR1/NMS/NMU/NPBWR2/NPVF/NPW/NTSR1/OPRK1/OPRL1/PDYN/PENK/PNOC/POMC/PROK2/QRFP/RXFP3/SSTR5/TENM1",27
"GO:0007631","GO:0007631","feeding behavior","10/679","21/11465",9.66238826480759e-08,5.15971533340725e-05,4.94307441757525e-05,"CALCB/GAL/GALR3/LOC113987774/LOC114000503/MCHR1/MRAP2/NEGR1/NPW/PRLH",10
"GO:0007204","GO:0007204","positive regulation of cytosolic calcium ion concentration","18/679","88/11465",3.1003956028886e-06,0.00124170843895688,0.00118957283921357,"AGTR1/CALCB/CD36/CMKLR1/CXCR4/ESR1/FFAR4/GLP1R/HCRT/IAPP/LOC113983498/LOC113983511/LOC113991146/MCHR1/NMU/PDGFRA/PROK2/S1PR3",18
"GO:0007200","GO:0007200","phospholipase C-activating G protein-coupled receptor signaling pathway","12/679","45/11465",7.95364221848533e-06,0.0025483469668027,0.00244134954832665,"AGTR1/CASR/CMKLR1/ESR1/FFAR4/GPR139/HCRT/LOC113991146/LOC114001074/MC3R/OPRK1/TRHR",12
"GO:0048704","GO:0048704","embryonic skeletal system morphogenesis","6/679","11/11465",1.50883695655967e-05,0.00402859467401432,0.00385944610993684,"LOC113998261/LOC114001942/PCGF2/PDGFRA/SATB2/SOX11",6
"GO:0006112","GO:0006112","energy reserve metabolic process","6/679","13/11465",5.05731477778007e-05,0.0115740261057195,0.011088067587975,"LOC113985008/LOC113987774/LOC113999007/MRAP2/MYC/PRLH",6
"GO:0007189","GO:0007189","adenylate cyclase-activating G protein-coupled receptor signaling pathway","14/679","76/11465",0.000127773426848196,0.0250877383998206,0.0240343797798399,"ADCY7/ADGRD1/ADGRG2/ADRA2A/CALCB/GCGR/GHRH/GLP1R/IAPP/LOC113991146/LOC113997521/MC3R/S1PR3/TSHR",14
"GO:0030518","GO:0030518","intracellular steroid hormone receptor signaling pathway","5/679","10/11465",0.00014094235056079,0.0250877383998206,0.0240343797798399,"AR/ESR1/ESR2/NR3C1/PGR",5
"GO:0060412","GO:0060412","ventricular septum morphogenesis","9/679","36/11465",0.000188317682205181,0.0281012974329546,0.0269214085401458,"CITED2/LOC113994594/LOC113997556/LOC114001848/PROX1/SLIT2/SMAD7/SOX11/TGFB2",9
"GO:0042755","GO:0042755","eating behavior","7/679","22/11465",0.000192955225819289,0.0281012974329546,0.0269214085401458,"BSX/HCRT/IAPP/LOC113983511/LOC113984885/NMU/TRH",7
"GO:0042462","GO:0042462","eye photoreceptor cell development","5/679","11/11465",0.000245820668056783,0.0328170591855806,0.0314391696514728,"CRB1/LOC113982931/LOC113984885/MYO7A/RORB",5
"GO:0055010","GO:0055010","ventricular cardiac muscle tissue morphogenesis","5/679","13/11465",0.000619905360798896,0.0763914144615255,0.0731839689105093,"ISL1/LOC113998261/LOC114001942/PROX1/SMAD7",5
"GO:0010629","GO:0010629","negative regulation of gene expression","21/679","171/11465",0.0011676722674197,0.133615069457598,0.128004974879543,"ACE/AGBL5/BRIP1/CITED2/ESR1/FLOT2/GGNBP2/HDAC1/ID2/LOC113986121/LOC113997556/LOC114003020/PARP14/PARP9/PGR/PLA2G3/SLC7A5/SOX11/TGFB2/TNRC6A/TNRC6C",21
"GO:0002230","GO:0002230","positive regulation of defense response to virus by host","5/679","15/11465",0.00130980824211615,0.139887520258005,0.134014064351252,"DTX3L/EIF2AK4/PARP9/SELENOK/STAT1",5
"GO:0030279","GO:0030279","negative regulation of ossification","5/679","16/11465",0.00181317353277803,0.17094819556373,0.163770595395176,"CALCB/LOC113994594/LOC113996059/SMAD7/TPH1",5
"GO:0048557","GO:0048557","embryonic digestive tract morphogenesis","4/679","10/11465",0.0019207662422891,0.17094819556373,0.163770595395176,"ID2/PDGFRA/SHH/SOX11",4
"GO:0050892","GO:0050892","intestinal absorption","4/679","10/11465",0.0019207662422891,0.17094819556373,0.163770595395176,"ADRA2A/CD36/IREB2/KCNQ1",4
"GO:0061053","GO:0061053","somite development","5/679","17/11465",0.00244481658828586,0.195829808721698,0.187607504511621,"FRZB/MTHFD1L/PTCH1/SHH/SOX11",5
"GO:0071385","GO:0071385","cellular response to glucocorticoid stimulus","5/679","17/11465",0.00244481658828586,0.195829808721698,0.187607504511621,"ANXA1/ISL1/NR3C1/SSTR5/ZFP36L2",5
"GO:0001501","GO:0001501","skeletal system development","13/679","91/11465",0.00261607280694391,0.19956898270115,0.191189681830788,"CMKLR1/EVC/FRZB/LOC113991146/LOC113991284/LOC113997556/LOC114001848/PAPSS1/PRDX1/SOX11/TEAD4/TGFB2/TP63",13
