"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005184","GO:0005184","neuropeptide hormone activity","10/697","21/11658",1.05754983125362e-07,4.66379475582846e-05,4.57529453310777e-05,"GAL/GHRH/HCRT/LOC113983498/LOC113983511/LOC113987774/PENK/PNOC/PRLH/QRFP",10
"GO:0017046","GO:0017046","peptide hormone binding","11/697","32/11658",1.30782141801792e-06,0.000288374622672951,0.000282902422529139,"GALR3/GCGR/GHR/GHSR/GLP1R/LOC113987733/LOC113991146/LOC113993563/LOC113996140/MC3R/NPR1",11
"GO:0004930","GO:0004930","G protein-coupled receptor activity","26/697","158/11658",2.18759863623526e-06,0.000321576999526584,0.000315474750699191,"ADGRD1/ADGRG2/ADRA2A/AGTR1/CASR/CMKLR1/CXCR4/FFAR4/FZD5/GHSR/GPR135/GPR176/GPR75/GPR83/LGR6/LOC113987733/LOC114000503/MC3R/MCHR1/NPBWR2/NTSR1/OPRK1/OPRL1/RXFP3/S1PR3/SSTR5",26
"GO:0008528","GO:0008528","G protein-coupled peptide receptor activity","9/697","30/11658",4.24992636909352e-05,0.00468554382192561,0.00459663088867746,"GALR3/GCGR/GLP1R/LOC113991146/LOC113993563/LOC113996140/NPR1/RXFP3/TSHR",9
"GO:0042923","GO:0042923","neuropeptide binding","6/697","19/11658",0.000619088387067918,0.0546035957393904,0.0535674372810346,"MC3R/MCHR1/NPBWR2/OPRK1/OPRL1/SSTR5",6
"GO:0042562","GO:0042562","hormone binding","5/697","14/11658",0.000958169031720012,0.0704254238314209,0.0690890301819166,"LOC113990629/LOC113990630/LOC113993563/MCHR1/NPR1",5
"GO:0005496","GO:0005496","steroid binding","5/697","16/11658",0.00189153505856566,0.119166708689636,0.116905399860223,"AR/ESR1/ESR2/NR3C1/PGR",5
"GO:1990837","GO:1990837","sequence-specific double-stranded DNA binding","32/697","316/11658",0.00239999300845697,0.12636283885835,0.123964976180407,"BSX/CEBPD/EOMES/ESR1/GBX2/GSX1/HMX2/IRF7/ISL1/JUN/KLF11/KLF6/LHX8/LOC113982931/LOC113984452/LOC113985615/LOC113989379/LOC113989862/LOC113992640/MAFG/NKX2-8/NR3C1/NR5A1/PROX1/RAX/RORB/SIX6/TCFL5/TFAP4/VAX1/ZBTB20/ZNF76",32
"GO:0005179","GO:0005179","hormone activity","8/697","41/11658",0.00257883344608877,0.12636283885835,0.123964976180407,"CALCB/GNRH1/IAPP/LOC113987774/LOC113997521/LOC114004322/POMC/PRLH",8
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","27/697","256/11658",0.00289796664930393,0.127800329234303,0.125375188722518,"AR/CEBPA/CEBPD/ESR1/GBX2/GSX1/ISL1/JUN/KLF6/LOC113982931/LOC113994594/MAFG/MLXIP/MYC/NKX2-8/NR3C1/PGR/RAX/RORB/SATB2/SOX11/TCF3/TFAP4/TP63/VEZF1/ZNF319/ZNF76",27
"GO:0004879","GO:0004879","nuclear receptor activity","8/697","45/11658",0.00471398249481019,0.188987843655572,0.18540160816909,"AR/ESR1/ESR2/LOC113982931/NR3C1/NR5A1/PGR/RORB",8
"GO:0000977","GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding","18/697","156/11658",0.00550958102645658,0.202477102722279,0.198634894901198,"EP300/GBX2/HMX2/HMX3/KAT2B/LHX8/LOC113985615/LOC113992640/LOC114003020/LOC114003431/MLXIP/NR3C1/NR5A1/OTP/SATB2/SIM1/TCF24/VEZF1",18
"GO:0003700","GO:0003700","DNA-binding transcription factor activity","28/697","291/11658",0.00865366209726644,0.293558844991885,0.287988268985952,"AR/CEBPA/ESR1/FEZF1/GBX2/INSM1/JUN/KLF11/LOC113982931/LOC113984452/LOC113989379/LOC113994594/MAFG/MYC/NKX2-8/NR3C1/PROX1/RORB/SIM1/SOX11/STAT1/STAT4/TCF3/TCFL5/TEAD4/TP63/ZNF362/ZNF710",28
"GO:0008188","GO:0008188","neuropeptide receptor activity","4/697","15/11658",0.0101784454033053,0.320621030204116,0.314536921861539,"GPR139/LOC114000503/MCHR1/NPBWR2",4
"GO:0000979","GO:0000979","RNA polymerase II core promoter sequence-specific DNA binding","4/697","17/11658",0.0161381334357339,0.418642167362274,0.410698008797934,"GBX2/HDAC1/POU2F1/STAT1",4
"GO:0004115","GO:0004115","3',5'-cyclic-AMP phosphodiesterase activity","4/697","17/11658",0.0161381334357339,0.418642167362274,0.410698008797934,"LOC113989201/PDE3B/PDE7B/PDE8B",4
"GO:0140326","GO:0140326","ATPase-coupled intramembrane lipid transporter activity","4/697","17/11658",0.0161381334357339,0.418642167362274,0.410698008797934,"ATP10D/ATP8A1/ATP8B3/LOC113990405",4
"GO:0050661","GO:0050661","NADP binding","5/697","26/11658",0.0173619022456035,0.425366605017286,0.417294843446962,"LOC113990467/LOC113990629/LOC113990630/NOX5/SPR",5
"GO:0005001","GO:0005001","transmembrane receptor protein tyrosine phosphatase activity","4/697","19/11658",0.0239103605983552,0.539505648652712,0.529267983282646,"PTPRA/PTPRC/PTPRF/PTPRM",4
"GO:0004983","GO:0004983","neuropeptide Y receptor activity","3/697","11/11658",0.024467376356132,0.539505648652712,0.529267983282646,"GPR83/LOC113995733/LOC114000503",3
"GO:0019838","GO:0019838","growth factor binding","5/697","29/11658",0.0270645993002833,0.56835658530595,0.557571444231401,"ACVR1C/ACVR2A/GHR/LOC114001848/PDGFRA",5
"GO:0044389","GO:0044389","ubiquitin-like protein ligase binding","4/697","20/11658",0.0285124710716959,0.570759895628201,0.559929149309442,"DTX3L/JUN/PARP9/STAT1",4
"GO:0016597","GO:0016597","amino acid binding","3/697","12/11658",0.0312031153096702,0.570759895628201,0.559929149309442,"CASR/LOC113984885/TAT",3
"GO:0140416","GO:0140416","transcription regulator inhibitor activity","3/697","12/11658",0.0312031153096702,0.570759895628201,0.559929149309442,"ID2/NCAPG2/SMAD7",3
"GO:0000146","GO:0000146","microfilament motor activity","4/697","21/11658",0.0336043201998778,0.570759895628201,0.559929149309442,"LOC113989611/MYO1C/MYO7A/MYO7B",4
"GO:0001102","GO:0001102","RNA polymerase II activating transcription factor binding","6/697","41/11658",0.0336502432796672,0.570759895628201,0.559929149309442,"EOMES/EP300/ID2/ISL1/JUN/TCF3",6
"GO:0003899","GO:0003899","DNA-directed 5'-3' RNA polymerase activity","5/697","32/11658",0.0396617260287834,0.647808191803462,0.635515376133722,"LOC114000273/POLR1A/POLR2D/POLR2J/POLR3H",5
"GO:0005102","GO:0005102","signaling receptor binding","19/697","209/11658",0.0448162640012629,0.694607626972838,0.681426744685133,"ALCAM/ANGPTL1/ANGPTL7/ANXA1/AR/EFNA1/FLT3LG/IAPP/LOC113983498/LOC113989695/LOC113997556/MCHR1/MYO1C/NMU/NPVF/POMC/PTPRC/TGFB2/TRIM24",19
"GO:0001046","GO:0001046","core promoter sequence-specific DNA binding","3/697","14/11658",0.0472522195219618,0.694607626972838,0.681426744685133,"HDAC1/MYC/NR3C1",3
"GO:0005161","GO:0005161","platelet-derived growth factor receptor binding","3/697","14/11658",0.0472522195219618,0.694607626972838,0.681426744685133,"ERN1/PDGFRA/VEGFD",3
"GO:0004114","GO:0004114","3',5'-cyclic-nucleotide phosphodiesterase activity","4/697","24/11658",0.0518540401061337,0.737665538284031,0.723667588577961,"LOC113989201/PDE3B/PDE7B/PDE8B",4
"GO:0022857","GO:0022857","transmembrane transporter activity","8/697","70/11658",0.0565066440977186,0.755321588053546,0.74098859694476,"ATP8A1/MFSD1/OSCP1/SLC17A8/SLC18A1/SLC18B1/SLC35B1/SLC35F1",8
"GO:0048185","GO:0048185","activin binding","3/697","15/11658",0.0565206630516259,0.755321588053546,0.74098859694476,"ACVR2A/LOC114001848/SMAD7",3
"GO:0005125","GO:0005125","cytokine activity","7/697","60/11658",0.0656304940694384,0.837679267953687,0.821783456567527,"CMTM3/FLT3LG/LOC113997556/LOC113997954/NDP/TGFB2/WNT7B",7
